Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,20.4375,19.625,20.0,20.4375,47600.0,9.089592933654785
2000-01-03,20.3125,20.0,20.0,20.0625,36600.0,8.922815322875977
2000-01-04,20.0,19.5625,20.0,19.5625,143800.0,8.700439453125
2000-01-05,20.5,19.5625,19.5625,20.1875,251700.0,8.978408813476562
2000-01-06,20.0,19.75,20.0,19.875,24300.0,8.839424133300781
2000-01-07,20.0625,19.75,19.75,20.0625,228900.0,8.922815322875977
2000-01-10,20.0625,19.75,20.0,19.8125,57300.0,8.811624526977539
2000-01-11,19.9375,19.75,19.8125,19.8125,155600.0,8.811624526977539
2000-01-12,19.8125,19.5,19.8125,19.5,32500.0,8.672640800476074
2000-01-13,19.625,18.875,19.625,19.125,55500.0,8.505857467651367
2000-01-14,19.375,18.8125,19.25,18.8125,75900.0,8.366875648498535
2000-01-18,18.875,18.625,18.875,18.75,70400.0,8.339076042175293
2000-01-19,18.875,18.5,18.875,18.625,42500.0,8.283483505249023
2000-01-20,18.6875,18.5,18.625,18.5625,40300.0,8.25568675994873
2000-01-21,18.625,18.125,18.5,18.25,170900.0,8.116703033447266
2000-01-24,18.875,18.0,18.75,18.25,109100.0,8.116703033447266
2000-01-25,18.375,17.25,18.25,17.75,63400.0,7.894331455230713
2000-01-26,17.9375,16.75,17.9375,16.9375,72700.0,7.532970905303955
2000-01-27,17.375,16.875,17.0,17.0,34900.0,7.560764312744141
2000-01-28,17.25,16.75,17.125,16.75,50600.0,7.449575901031494
2000-01-31,17.75,16.875,16.875,17.5,72400.0,7.783139705657959
2000-02-01,18.0,17.5,17.625,17.75,36000.0,7.894331455230713
2000-02-02,17.875,17.375,17.625,17.4375,44100.0,7.755345344543457
2000-02-03,17.875,17.375,17.4375,17.8125,56200.0,7.922122955322266
2000-02-04,17.8125,17.5,17.5625,17.6875,62300.0,7.86652946472168
2000-02-07,17.75,17.375,17.6875,17.375,45900.0,7.727546215057373
2000-02-08,17.5,17.25,17.4375,17.3125,51000.0,7.699744701385498
