Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.89,22.44,21.75,22.33,15.77,4234200
2000-01-03,25.67,25.72,24.0,25.67,18.12,19442800
2000-01-04,25.22,26.06,24.44,25.5,18.0,11525500
2000-01-05,25.33,25.94,23.33,25.33,17.89,11111500
2000-01-06,24.97,25.83,24.61,25.11,17.73,5968000
2000-01-07,25.11,25.89,25.0,25.89,18.28,5736600
2000-01-10,26.25,26.53,25.28,25.61,18.08,3794400
2000-01-11,25.36,25.44,24.67,24.83,17.53,5259700
2000-01-12,24.44,24.94,23.58,24.19,17.08,4086600
2000-01-13,24.19,24.69,23.56,23.56,16.63,2747400
2000-01-14,24.58,24.72,24.28,24.36,17.2,4419400
2000-01-18,24.08,24.33,23.86,24.25,17.12,2450200
2000-01-19,24.42,25.78,24.31,25.22,17.81,5818200
2000-01-20,25.33,25.33,24.33,24.39,17.22,4651600
2000-01-21,24.44,24.5,23.72,24.02,16.96,5484300
2000-01-24,24.42,24.5,22.75,22.94,16.2,3110500
2000-01-25,22.94,23.78,22.56,23.78,16.79,3492600
2000-01-26,23.67,23.75,22.94,23.03,16.26,2528500
2000-01-27,23.14,23.39,22.31,22.72,16.04,2168700
2000-01-28,22.78,22.78,21.67,22.22,15.69,3386400
2000-01-31,21.89,21.97,21.0,21.22,14.98,3929500
2000-02-01,21.22,22.33,21.0,22.08,15.59,6058800
2000-02-02,22.0,22.28,21.22,22.11,15.61,3402600
2000-02-03,22.44,23.28,22.22,23.14,16.34,5198800
2000-02-04,24.06,25.36,23.97,25.28,17.85,9243900
2000-02-07,24.72,24.83,23.97,24.44,17.26,3883500
2000-02-08,24.44,25.67,24.44,25.44,17.96,3761100
2000-02-09,25.72,25.72,24.0,24.36,17.2,3141000
2000-02-10,24.39,24.61,23.92,24.19,17.08,2844000
2000-02-11,24.42,24.42,23.72,23.86,16.85,2262300
2000-02-14,24.0,24.11,23.47,23.56,16.63,2982300
2000-02-15,23.56,23.75,23.42,23.58,16.65,2686600
2000-02-16,23.56,24.81,23.5,24.44,17.26,4536400
2000-02-17,24.83,24.83,24.11,24.19,17.08,3880300
2000-02-18,24.17,25.67,24.17,24.94,17.61,5533800
2000-02-22,24.39,24.47,23.0,23.89,16.87,3768900
2000-02-23,24.89,24.92,23.61,23.89,16.87,2394400
2000-02-24,23.92,23.92,22.25,23.0,16.24,4224700
2000-02-25,23.0,23.11,21.11,21.33,15.06,5459400
2000-02-28,21.42,23.14,21.0,22.97,16.22,5048200
2000-02-29,23.78,24.47,23.67,24.28,17.14,5269000
2000-03-01,24.28,24.75,24.22,24.44,17.26,4167900
2000-03-02,24.83,25.72,23.83,25.36,17.91,6690600
2000-03-03,25.89,27.97,25.81,26.89,18.98,8698900
2000-03-06,28.22,28.42,27.11,28.22,19.93,6126300
2000-03-07,28.0,28.0,25.94,26.08,18.42,4412200
2000-03-08,26.22,27.08,26.19,27.08,19.12,2242800
2000-03-09,26.94,28.75,26.53,28.44,20.08,3364800
2000-03-10,28.61,28.61,27.39,27.72,19.57,2562300
2000-03-13,26.67,27.69,26.67,27.31,19.28,2558800
2000-03-14,27.31,28.28,27.06,27.86,19.67,2651800
2000-03-15,27.97,30.0,27.44,29.39,20.75,4147800
2000-03-16,30.64,33.47,30.44,33.11,23.38,11468800
2000-03-17,34.0,35.22,32.39,33.11,23.38,8404300
2000-03-20,33.0,33.0,31.06,31.5,22.24,4148100
