Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.01,6.12,6.0,6.11,4.05,257500.0
2000-01-03,6.08,6.2,6.07,6.15,4.07,1075000.0
2000-01-04,6.12,6.2,5.97,6.03,4.0,806200.0
2000-01-05,6.0,6.13,6.0,6.08,4.03,744200.0
2000-01-06,6.05,6.15,6.04,6.12,4.06,1078000.0
2000-01-07,6.11,6.19,6.11,6.19,4.1,1163200.0
2000-01-10,6.16,6.16,6.0,6.09,4.04,713200.0
2000-01-11,6.09,6.12,6.0,6.01,3.98,1180000.0
2000-01-12,5.98,6.01,5.85,5.96,3.95,3227500.0
2000-01-13,5.97,6.21,5.97,6.15,4.08,2818700.0
2000-01-14,6.13,6.13,6.07,6.12,4.06,1577500.0
2000-01-18,6.03,6.07,5.99,6.03,4.0,1833700.0
2000-01-19,6.03,6.11,6.03,6.08,4.03,2034200.0
2000-01-20,6.08,6.23,6.07,6.19,4.1,2671700.0
2000-01-21,6.24,6.33,6.15,6.17,4.09,1301200.0
2000-01-24,6.19,6.28,6.11,6.12,4.06,1238200.0
2000-01-25,6.09,6.15,6.02,6.03,4.0,1046200.0
2000-01-26,6.05,6.06,5.89,5.97,3.96,669200.0
2000-01-27,5.93,5.95,5.85,5.91,3.92,333700.0
2000-01-28,5.91,5.93,5.81,5.86,3.88,605500.0
2000-01-31,5.87,5.97,5.76,5.97,3.96,583000.0
2000-02-01,5.94,5.94,5.8,5.91,3.92,328000.0
2000-02-02,5.89,6.03,5.84,5.92,3.92,587500.0
2000-02-03,5.89,6.13,5.89,6.05,4.01,871700.0
2000-02-04,6.02,6.02,5.72,5.81,3.85,738700.0
2000-02-07,5.75,5.8,5.74,5.76,3.82,904500.0
2000-02-08,5.77,5.77,5.66,5.68,3.77,513700.0
2000-02-09,5.7,5.7,5.63,5.64,3.74,579200.0
2000-02-10,5.64,5.77,5.64,5.64,3.74,534200.0
2000-02-11,5.64,5.67,5.51,5.53,3.66,816200.0
2000-02-14,5.54,5.6,5.52,5.55,3.68,527500.0
