Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,62.28,62.28,61.09,61.09,29.24,1181000
2000-01-03,61.15,61.75,60.56,61.33,29.35,3568500
2000-01-04,57.94,58.12,56.1,56.69,27.13,10592000
2000-01-05,57.11,57.34,55.68,56.1,26.96,7222700
2000-01-06,56.15,57.17,55.44,56.87,27.33,7321900
2000-01-07,58.53,66.15,58.3,65.2,31.33,10913500
2000-01-10,65.32,65.32,63.53,64.48,30.99,7113400
2000-01-11,64.48,64.72,63.29,63.59,30.56,5687500
2000-01-12,63.59,64.36,63.35,63.41,30.48,3727900
2000-01-13,64.01,64.07,61.92,62.22,29.9,4402000
2000-01-14,64.13,64.13,62.58,63.95,30.73,4535900
2000-01-18,62.46,63.41,61.87,62.16,29.88,3782300
2000-01-19,62.16,62.88,60.62,60.97,29.3,4188400
2000-01-20,61.15,61.33,58.47,58.89,28.3,4610500
2000-01-21,58.06,58.89,56.63,58.24,27.99,5863700
2000-01-24,59.96,60.08,55.2,55.86,26.85,5113200
2000-01-25,56.51,57.82,56.33,56.99,27.39,6337700
2000-01-26,56.99,58.77,56.63,58.53,28.13,6858700
2000-01-27,59.49,59.78,58.83,59.25,28.48,7669300
2000-01-28,60.32,62.58,59.84,61.15,29.39,7592600
2000-01-31,61.15,63.77,59.19,63.06,30.31,5492700
2000-02-01,61.15,62.1,60.2,61.51,29.56,4424100
2000-02-02,61.87,62.04,61.03,61.69,29.65,3455700
2000-02-03,62.1,62.4,60.74,62.22,29.9,3094300
2000-02-04,62.22,62.4,60.44,61.57,29.59,3108900
2000-02-07,61.15,61.57,59.61,61.15,29.39,3378500
2000-02-08,61.33,61.39,59.31,60.68,29.16,4707000
2000-02-09,60.2,60.44,59.01,59.49,28.59,3549100
2000-02-10,59.61,59.61,57.46,58.42,28.08,4034400
2000-02-11,57.46,57.82,56.87,57.11,27.45,3590300
2000-02-14,57.23,58.89,57.23,58.18,27.96,3320500
2000-02-15,58.53,59.25,57.76,59.07,28.39,4936100
2000-02-16,59.07,60.74,59.01,60.5,29.08,4526600
2000-02-17,61.15,61.15,59.96,60.44,29.05,4479600
2000-02-18,59.72,59.72,56.87,56.87,27.33,6121400
2000-02-22,57.58,58.06,56.51,57.05,27.42,5817400
2000-02-23,57.58,58.0,56.75,57.05,27.42,4156400
2000-02-24,56.27,56.75,54.49,55.08,26.47,6051200
2000-02-25,55.2,55.38,52.7,53.89,25.9,5300100
2000-02-28,52.82,54.43,52.82,53.6,25.76,5603400
2000-02-29,54.37,56.27,53.89,54.49,26.19,5050900
2000-03-01,53.95,54.25,47.83,48.78,23.44,15580300
2000-03-02,49.55,50.98,49.14,50.16,24.11,11046200
2000-03-03,49.97,50.03,47.83,49.02,23.56,9444500
2000-03-06,48.06,48.06,43.54,44.2,21.24,18310000
2000-03-07,44.2,44.97,40.39,41.4,19.9,18039300
2000-03-08,42.12,46.52,42.12,45.45,21.84,17237300
2000-03-09,46.58,51.51,45.98,51.16,24.59,15570200
2000-03-10,50.21,51.16,49.37,49.85,23.96,12927600
2000-03-13,48.06,49.73,47.83,48.48,23.3,5942100
2000-03-14,45.21,47.17,45.21,45.63,21.93,10250400
2000-03-15,46.88,48.9,46.22,48.06,23.1,10702000
2000-03-16,48.66,53.66,48.6,53.0,25.47,15903500
2000-03-17,52.35,53.36,50.62,50.92,24.47,7595300
2000-03-20,50.92,51.16,50.15,50.38,24.22,3490200
2000-03-21,50.09,51.16,49.31,50.68,24.36,5994400
2000-03-22,52.11,52.47,51.16,51.99,24.99,6072700
2000-03-23,51.99,54.07,51.99,53.3,25.62,5630700
2000-03-24,52.94,53.66,52.17,52.35,25.16,5618000
2000-03-27,52.35,52.41,51.57,51.99,24.99,4762500
2000-03-28,51.51,52.82,51.34,52.41,25.19,4531100
2000-03-29,54.73,55.62,53.83,55.08,26.47,5682600
2000-03-30,55.2,56.39,54.49,54.49,26.19,5367000
2000-03-31,54.55,57.34,53.42,54.37,26.13,5796200
2000-04-03,56.75,58.77,55.92,58.71,28.22,6674100
2000-04-04,59.01,63.06,58.89,63.06,30.31,11793000
2000-04-05,61.15,62.28,59.78,61.33,29.59,6372800
2000-04-06,59.49,59.96,57.11,57.58,27.78,7921000
2000-04-07,56.99,57.23,55.8,56.63,27.32,7172200
2000-04-10,56.63,58.89,56.33,58.42,28.18,4655900
2000-04-11,60.44,61.69,59.72,61.15,29.5,5486700
2000-04-12,61.15,63.06,60.68,61.69,29.76,5900400
2000-04-13,61.27,64.36,60.68,63.29,30.53,5467800
2000-04-14,62.82,63.17,59.49,60.32,29.1,6039800
2000-04-17,60.32,61.87,59.72,61.75,29.79,6027700
2000-04-18,61.63,62.1,59.61,61.98,29.9,4406700
2000-04-19,62.1,63.17,43.78,48.48,23.39,34887600
2000-04-20,48.18,48.18,46.64,47.59,22.96,40810300
2000-04-24,46.7,47.71,46.7,47.11,22.73,16044600
2000-04-25,47.59,49.49,47.17,48.3,23.3,18162700
2000-04-26,49.25,50.15,48.54,49.08,23.67,13249300
2000-04-27,48.54,50.44,48.48,49.73,23.99,11965900
2000-04-28,50.92,50.98,49.43,49.91,24.08,9276000
