Date,Open,High,Low,Close,Adj Close,Volume
2007-04-02,19.7,19.7,18.82,19.51,14.93,9470300
2007-04-03,19.48,19.5,18.49,19.07,14.6,7892900
2007-04-04,19.02,19.16,18.8,18.91,14.47,4738000
2007-04-05,18.75,19.81,18.7,19.38,14.83,4602900
2007-04-09,19.57,19.57,18.9,19.06,14.59,3600900
2007-04-10,18.68,19.44,18.6,19.22,14.71,3130800
2007-04-11,19.25,20.06,18.95,19.11,14.63,3356100
2007-04-12,19.06,19.27,18.89,19.2,14.7,2666300
2007-04-13,20.05,20.05,19.1,19.58,14.99,2980900
2007-04-16,19.62,19.9,19.62,19.86,15.2,1455800
2007-04-17,19.45,20.58,19.3,20.42,15.63,1567200
2007-04-18,20.23,20.72,19.96,20.68,15.83,1958200
2007-04-19,20.2,21.46,20.18,21.14,16.18,1890100
2007-04-20,21.37,21.77,21.0,21.08,16.14,2671300
2007-04-23,20.88,21.1,20.53,20.7,15.84,1531800
2007-04-24,20.7,20.7,20.5,20.61,15.78,1752700
2007-04-25,20.61,20.67,20.22,20.26,15.51,1029600
2007-04-26,19.78,20.14,19.7,20.06,15.35,1193200
2007-04-27,20.0,20.27,19.81,20.22,15.48,734500
2007-04-30,20.2,20.2,19.96,20.04,15.34,1581800
2007-05-01,19.96,20.11,19.86,20.04,15.34,1468800
2007-05-02,19.97,20.11,19.85,20.02,15.32,1460100
2007-05-03,20.05,20.44,20.01,20.3,15.54,1243100
2007-05-04,20.2,21.0,20.13,20.78,15.91,1242300
2007-05-07,20.76,21.04,20.52,21.01,16.08,1482300
2007-05-08,20.6,21.32,20.54,21.27,16.28,1294300
2007-05-09,21.12,21.85,21.08,21.4,16.38,2454100
2007-05-10,21.2,21.55,20.94,21.12,16.17,1278800
2007-05-11,21.13,21.45,21.1,21.43,16.4,468300
2007-05-14,21.33,21.36,21.12,21.31,16.31,661100
2007-05-15,21.31,21.41,20.84,20.84,15.95,1811800
2007-05-16,20.7,20.7,20.42,20.5,15.69,1595900
2007-05-17,20.12,20.73,20.1,20.65,15.81,893700
2007-05-18,20.6,20.75,20.3,20.46,15.66,1201800
2007-05-21,20.44,20.54,20.38,20.5,15.69,3019200
2007-05-22,20.62,20.62,20.35,20.39,15.61,1490500
2007-05-23,20.38,20.5,20.04,20.35,15.58,1014700
2007-05-24,20.01,20.33,20.0,20.02,15.32,1404600
2007-05-25,20.02,20.15,19.95,20.0,15.31,624200
2007-05-29,19.55,20.05,19.55,20.0,15.31,639000
2007-05-30,19.82,20.04,19.75,19.97,15.29,1165000
2007-05-31,19.99,20.25,19.9,20.24,15.49,953500
2007-06-01,20.31,20.42,19.75,19.93,15.26,886100
2007-06-04,19.68,20.0,19.66,19.85,15.19,967300
2007-06-05,19.75,20.08,19.65,19.93,15.26,847000
2007-06-06,19.78,19.81,19.28,19.45,14.89,1072800
2007-06-07,19.28,19.46,18.91,18.97,14.52,1127400
2007-06-08,18.99,19.18,18.91,19.14,14.65,627600
2007-06-11,19.06,19.31,19.0,19.27,14.75,2175300
2007-06-12,19.16,19.49,19.15,19.33,14.8,994400
2007-06-13,19.46,19.59,19.28,19.35,14.86,829700
2007-06-14,19.3,19.42,19.16,19.28,14.8,629800
2007-06-15,19.38,19.59,19.35,19.49,14.96,732300
2007-06-18,19.57,19.57,19.28,19.43,14.92,810700
2007-06-19,19.27,19.54,19.08,19.09,14.66,1422600
2007-06-20,19.02,19.14,18.99,19.11,14.67,1922200
2007-06-21,19.02,19.47,19.0,19.44,14.93,1592800
2007-06-22,19.43,20.0,19.43,19.9,15.28,1826000
2007-06-25,19.81,20.12,19.72,20.12,15.45,2052100
2007-06-26,20.25,20.25,19.76,19.9,15.28,1435300
2007-06-27,19.81,20.0,19.59,19.8,15.2,1720900
2007-06-28,19.81,19.83,19.22,19.41,14.9,1430600
2007-06-29,19.38,19.6,19.1,19.12,14.68,1323100
2007-07-02,19.23,19.38,19.09,19.34,14.85,848600
2007-07-03,19.31,19.85,19.25,19.72,15.14,322700
2007-07-05,19.81,19.84,19.51,19.6,15.05,669000
2007-07-06,19.53,19.92,19.53,19.76,15.17,492000
2007-07-09,19.76,20.46,19.46,20.34,15.62,1492100
2007-07-10,20.19,20.31,19.76,19.8,15.2,925900
2007-07-11,19.71,19.75,19.45,19.58,15.03,606100
