Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,414.38,419.53,411.56,417.66,273.45,260400
2000-01-03,417.19,417.19,390.0,397.5,260.26,1681900
2000-01-04,390.0,391.41,373.12,373.12,244.3,2403200
2000-01-05,381.56,390.0,371.25,388.12,254.12,1742500
2000-01-06,384.84,410.16,384.38,406.88,266.4,1863200
2000-01-07,405.0,412.03,396.09,405.0,265.17,1394500
2000-01-10,412.03,412.03,401.72,403.59,264.25,850300
2000-01-11,400.31,407.81,396.56,398.44,260.87,996600
2000-01-12,401.72,412.5,400.78,412.5,270.08,1145700
2000-01-13,412.5,420.47,410.16,417.19,273.15,1237900
2000-01-14,423.75,439.22,423.28,435.0,284.81,2225400
2000-01-18,435.47,442.03,428.91,438.75,287.26,1571700
2000-01-19,435.0,450.94,434.06,448.12,293.4,1955200
2000-01-20,449.06,450.47,428.91,439.57,287.8,1358200
2000-01-21,436.41,438.75,419.06,423.28,277.14,1547900
2000-01-24,427.5,427.5,409.69,413.91,271.0,1143200
2000-01-25,426.09,431.25,413.44,419.06,274.37,1541800
2000-01-26,423.75,439.22,422.34,435.94,285.42,1334300
2000-01-27,439.69,446.25,433.12,442.5,289.72,1449100
2000-01-28,431.25,438.75,420.0,420.94,275.6,1207100
2000-01-31,424.69,434.53,421.88,427.5,279.9,1360400
2000-02-01,431.72,438.75,430.78,436.88,286.04,1197400
2000-02-02,437.34,439.69,427.5,433.12,283.58,1318900
2000-02-03,433.59,435.0,412.5,422.34,277.29,1900200
2000-02-04,426.56,433.12,406.41,410.62,269.6,1466200
2000-02-07,414.84,421.41,406.41,407.81,267.75,1244100
2000-02-08,414.84,421.41,413.44,420.0,275.75,1320500
2000-02-09,413.44,418.12,404.53,406.41,266.83,1265200
2000-02-10,408.75,413.91,397.5,402.66,264.37,1124300
2000-02-11,406.41,413.91,396.56,405.0,265.9,1326300
2000-02-14,406.88,409.22,390.47,405.0,265.9,1153700
2000-02-15,396.56,412.03,395.16,411.56,270.21,1403100
2000-02-16,405.94,411.56,397.97,402.19,264.06,910300
2000-02-17,406.88,410.62,391.41,393.75,258.52,1287400
2000-02-18,393.28,395.16,374.53,385.78,253.29,2039100
2000-02-22,385.31,392.81,375.0,382.5,251.13,1947400
2000-02-23,381.56,387.66,378.75,382.03,250.82,1555300
2000-02-24,375.0,377.81,360.0,369.38,242.51,3156600
2000-02-25,370.31,380.16,353.44,360.0,236.36,1884900
2000-02-28,371.25,379.69,367.5,367.5,241.28,3225100
2000-02-29,378.75,390.94,377.34,388.12,254.83,2547700
2000-03-01,399.38,399.38,384.38,387.19,254.21,1671900
2000-03-02,389.53,390.0,375.0,386.25,253.59,1161300
2000-03-03,401.25,403.59,396.56,400.78,263.13,1851300
2000-03-06,405.0,406.88,382.97,391.41,256.98,1241700
2000-03-07,396.09,396.56,377.81,377.81,248.05,1145400
2000-03-08,380.62,382.03,368.91,378.75,248.67,1180700
2000-03-09,367.97,377.81,363.75,377.81,248.05,1507300
2000-03-10,373.59,380.16,365.62,367.5,241.28,1227100
2000-03-13,359.53,374.53,358.12,374.53,245.9,1928800
2000-03-14,375.94,377.81,369.38,373.12,244.98,1192100
2000-03-15,369.84,391.88,366.56,391.88,257.29,2380000
2000-03-16,402.19,427.5,395.62,420.94,276.37,3432400
2000-03-17,424.22,433.12,420.94,427.5,280.68,1960400
2000-03-20,420.94,430.78,414.84,421.41,276.68,1368000
2000-03-21,422.34,436.41,417.19,435.47,285.91,2067400
2000-03-22,436.88,442.5,432.19,440.62,289.29,1489800
2000-03-23,440.62,463.59,435.94,462.66,303.76,2188500
2000-03-24,463.59,467.81,447.19,454.22,298.22,1836400
2000-03-27,454.22,462.66,437.34,450.47,295.76,1287300
2000-03-28,443.44,464.06,442.97,457.5,300.37,1432600
2000-03-29,457.5,460.31,446.25,455.62,299.14,1127700
2000-03-30,450.94,457.5,440.16,457.5,300.37,1165900
2000-03-31,450.47,455.62,443.44,449.06,294.83,1165800
2000-04-03,450.0,468.28,449.06,465.0,305.3,1635600
2000-04-04,465.0,473.91,420.0,442.5,290.52,2371200
2000-04-05,440.62,446.25,435.0,440.16,288.99,1242900
2000-04-06,446.25,449.06,441.09,444.84,292.06,850700
2000-04-07,448.12,450.0,441.09,442.5,290.52,946300
2000-04-10,442.5,469.69,441.56,466.88,306.53,1570200
2000-04-11,465.94,475.78,460.31,475.78,312.38,1530800
2000-04-12,481.41,490.78,469.22,472.5,310.22,2113600
2000-04-13,472.5,472.5,461.25,469.22,308.07,1447700
2000-04-14,457.03,457.03,427.97,435.0,285.6,2168300
2000-04-17,429.38,448.59,425.62,444.38,291.76,1990600
2000-04-18,447.19,472.5,444.84,465.94,305.91,1495300
2000-04-19,465.47,465.94,431.72,447.19,293.6,2383300
2000-04-20,456.56,459.38,448.12,459.38,301.6,1038400
2000-04-24,454.69,465.94,453.75,463.59,304.37,1076900
2000-04-25,467.34,483.75,466.88,483.75,317.61,1270500
2000-04-26,475.78,480.94,465.0,468.75,307.76,1122700
2000-04-27,460.31,464.53,451.41,461.25,303.61,1119100
2000-04-28,469.69,470.16,442.03,442.5,291.27,1106800
2000-05-01,451.41,465.0,442.97,452.34,297.75,895400
2000-05-02,452.81,463.12,448.59,458.44,301.76,828900
2000-05-03,456.09,469.69,448.12,450.94,296.82,1189000
2000-05-04,448.59,452.81,435.47,439.69,289.42,1250400
2000-05-05,434.53,449.53,434.53,446.72,294.05,800600
2000-05-08,444.84,453.28,442.5,448.12,294.97,973000
2000-05-09,452.81,456.56,441.56,446.25,293.74,947100
2000-05-10,438.28,443.91,422.81,423.28,278.62,1285600
2000-05-11,432.66,445.78,427.5,441.56,290.65,1112900
2000-05-12,441.56,457.03,437.34,451.41,297.13,1167700
2000-05-15,452.34,472.97,449.53,471.56,310.4,1219800
2000-05-16,473.91,475.31,459.38,462.66,304.54,1153900
2000-05-17,462.19,468.75,456.56,457.97,301.45,943000
2000-05-18,465.0,472.97,460.31,461.72,303.92,1080600
2000-05-19,456.56,460.31,451.41,457.03,300.84,1020700
2000-05-22,460.31,462.19,446.72,459.84,302.69,855700
