Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.51,17.66,17.51,17.66,8.87,577000.0
2000-01-03,17.51,17.85,17.07,17.8,8.95,2137800.0
2000-01-04,17.32,17.61,17.27,17.46,8.78,2797300.0
2000-01-05,17.41,17.51,17.12,17.17,8.63,1535700.0
2000-01-06,17.12,17.7,17.02,17.66,8.87,1984800.0
2000-01-07,18.43,18.58,17.9,18.04,9.07,1704400.0
2000-01-10,18.04,18.53,17.7,17.9,9.0,1190000.0
2000-01-11,17.61,18.63,17.61,18.48,9.29,1663000.0
2000-01-12,18.34,19.02,18.34,18.53,9.31,1801100.0
2000-01-13,18.34,18.43,17.9,18.0,9.05,957000.0
2000-01-14,17.8,17.85,17.32,17.41,8.75,2087800.0
2000-01-18,17.41,17.61,17.17,17.46,8.78,1923300.0
2000-01-19,17.27,17.75,17.27,17.7,8.9,1766100.0
2000-01-20,17.61,18.04,17.51,17.95,9.02,2137400.0
2000-01-21,18.04,18.29,17.66,18.0,9.05,1999700.0
2000-01-24,17.95,18.09,17.41,17.51,8.8,1012100.0
2000-01-25,17.32,17.61,17.07,17.07,8.58,1581500.0
2000-01-26,16.93,17.17,16.34,16.54,8.39,2252200.0
2000-01-27,16.93,17.02,16.29,16.39,8.32,1275400.0
2000-01-28,16.39,16.39,15.86,16.1,8.17,1269300.0
2000-01-31,16.1,16.93,15.61,16.68,8.46,1295500.0
2000-02-01,16.44,16.54,16.1,16.39,8.32,1287500.0
2000-02-02,16.2,16.34,15.18,15.76,7.99,1705100.0
2000-02-03,15.76,16.25,15.47,16.0,8.12,2156800.0
2000-02-04,16.0,16.39,15.86,16.34,8.29,1851500.0
2000-02-07,16.34,16.34,15.71,15.95,8.09,1153100.0
2000-02-08,15.95,16.0,15.71,16.0,8.12,863000.0
2000-02-09,15.95,16.0,15.42,15.47,7.85,1972800.0
2000-02-10,15.47,15.81,14.74,14.83,7.53,2190700.0
2000-02-11,15.03,15.18,14.45,14.69,7.45,1722700.0
2000-02-14,14.79,14.93,14.25,14.45,7.33,1131000.0
2000-02-15,14.45,14.88,14.15,14.45,7.33,2673600.0
2000-02-16,14.45,14.54,13.91,14.2,7.21,3824800.0
2000-02-17,14.49,14.54,13.81,13.91,7.06,1990800.0
2000-02-18,13.62,14.01,13.52,13.91,7.06,3808600.0
2000-02-22,13.23,14.11,13.23,13.91,7.06,1707300.0
2000-02-23,13.76,13.86,13.08,13.13,6.66,1575900.0
2000-02-24,13.13,13.18,12.35,12.74,6.47,2493900.0
2000-02-25,13.18,13.18,12.45,12.55,6.37,1703200.0
2000-02-28,12.55,12.99,12.5,12.79,6.49,1461400.0
2000-02-29,12.74,13.13,12.5,12.74,6.47,1978700.0
2000-03-01,12.94,13.23,12.79,13.04,6.61,2955800.0
2000-03-02,13.04,13.13,12.45,12.55,6.37,4040900.0
2000-03-03,12.55,13.04,12.5,12.65,6.42,3416300.0
2000-03-06,12.6,12.65,12.21,12.45,6.32,3329000.0
2000-03-07,12.35,12.45,11.82,12.06,6.12,5724600.0
2000-03-08,11.87,12.45,11.87,12.31,6.24,2210200.0
2000-03-09,12.35,12.4,12.06,12.31,6.24,1788000.0
2000-03-10,12.16,12.4,11.87,12.16,6.17,2331800.0
