Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,32.04,32.42,31.29,31.92,16.8,511500.0
2000-01-03,32.5,33.08,32.42,32.88,17.3,1222600.0
2000-01-04,33.17,33.67,32.33,32.5,17.11,1951200.0
2000-01-05,32.67,34.88,32.38,34.79,18.31,2666200.0
2000-01-06,34.79,36.33,34.38,36.0,18.95,1876600.0
2000-01-07,37.0,39.5,37.0,39.25,20.66,3390300.0
2000-01-10,40.0,40.58,36.71,37.33,19.65,2038600.0
2000-01-11,37.67,38.42,37.25,37.58,19.78,1683700.0
2000-01-12,37.42,38.54,37.33,38.25,20.13,998200.0
2000-01-13,38.67,40.5,38.58,39.12,20.59,2816100.0
2000-01-14,39.5,39.83,38.67,39.58,20.83,1850500.0
2000-01-18,39.62,39.62,37.33,37.67,19.83,1562700.0
2000-01-19,37.5,39.29,37.42,38.88,20.46,2128300.0
2000-01-20,38.5,38.5,34.0,35.67,18.77,3557400.0
2000-01-21,35.67,35.79,34.0,34.75,18.29,2428500.0
2000-01-24,35.0,35.08,33.5,34.0,17.9,2722500.0
2000-01-25,33.83,34.0,32.67,32.96,17.35,3154600.0
2000-01-26,33.0,33.83,32.75,32.92,17.33,3339300.0
2000-01-27,32.92,33.83,32.33,33.04,17.39,1653100.0
2000-01-28,32.92,33.0,32.0,32.5,17.11,1402800.0
2000-01-31,32.17,32.21,30.33,31.79,16.73,2208100.0
2000-02-01,32.17,33.46,31.92,33.29,17.52,2163900.0
2000-02-02,33.29,33.29,31.79,31.83,16.75,1901100.0
2000-02-03,32.0,32.33,31.33,31.88,16.78,1494400.0
2000-02-04,32.0,33.21,31.96,32.83,17.28,1431400.0
2000-02-07,32.83,33.38,32.33,33.0,17.37,1299300.0
2000-02-08,33.33,34.17,33.12,34.17,17.98,1516800.0
2000-02-09,34.17,34.17,33.21,33.38,17.57,816100.0
2000-02-10,34.0,34.33,32.71,32.79,17.26,1386000.0
2000-02-11,32.79,32.92,31.04,31.38,16.51,1478700.0
2000-02-14,31.58,31.67,30.17,30.58,16.1,2202300.0
2000-02-15,30.25,30.54,29.29,29.62,15.59,2579500.0
2000-02-16,29.62,30.62,29.5,30.12,15.86,1741300.0
2000-02-17,30.12,30.25,29.71,29.79,15.68,2049300.0
2000-02-18,29.71,29.96,28.92,29.33,15.44,1364700.0
2000-02-22,29.38,30.25,29.21,30.04,15.81,1623700.0
2000-02-23,29.92,30.33,29.67,29.88,15.72,1345300.0
2000-02-24,29.5,29.92,28.12,29.12,15.33,1649200.0
2000-02-25,29.12,29.5,28.29,28.71,15.11,1029600.0
2000-02-28,29.0,29.08,27.67,28.5,15.0,1291200.0
2000-02-29,28.08,28.38,27.46,27.88,14.67,2105400.0
2000-03-01,26.67,27.0,24.83,26.0,13.68,6463300.0
2000-03-02,26.0,26.12,25.33,25.88,13.62,3297000.0
2000-03-03,26.0,27.5,25.96,26.75,14.08,2863500.0
2000-03-06,26.62,26.67,26.0,26.17,13.77,1906200.0
2000-03-07,25.67,25.83,24.67,24.79,13.05,2455600.0
2000-03-08,25.33,25.88,24.75,25.67,13.51,2116500.0
2000-03-09,25.67,28.5,25.5,27.29,14.36,3212500.0
2000-03-10,27.42,28.58,27.25,27.88,14.67,1577800.0
2000-03-13,26.92,27.83,26.25,27.33,14.39,2224200.0
2000-03-14,27.33,27.5,26.25,27.12,14.28,1299000.0
2000-03-15,27.33,29.0,26.83,28.83,15.18,2642100.0
