Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.19,16.94,16.19,16.69,7.59,416100
2000-01-03,17.06,17.12,16.12,16.31,7.42,1368700
2000-01-04,16.19,16.25,15.44,16.19,7.36,1283100
2000-01-05,16.19,16.19,15.19,15.25,6.94,1865000
2000-01-06,15.25,16.19,15.25,16.06,7.31,1076200
2000-01-07,16.25,19.0,16.25,18.12,8.24,5434300
2000-01-10,18.62,19.06,18.44,18.69,8.5,1611500
2000-01-11,18.88,18.88,17.75,17.81,8.1,939000
2000-01-12,17.81,18.69,17.81,18.44,8.39,1011200
2000-01-13,18.62,19.75,18.44,19.75,8.98,1079400
2000-01-14,20.0,20.88,20.0,20.56,9.35,1698000
2000-01-18,20.5,20.5,19.06,19.19,8.73,493600
2000-01-19,19.19,20.0,19.12,19.75,8.98,734100
2000-01-20,19.62,19.94,19.56,19.75,8.98,656400
2000-01-21,20.0,20.31,19.75,20.06,9.12,909300
2000-01-24,20.25,20.5,20.0,20.06,9.12,599200
2000-01-25,20.12,20.19,19.19,19.56,8.9,853500
2000-01-26,19.56,19.56,18.19,18.94,8.61,1765100
2000-01-27,18.94,19.0,18.25,18.44,8.39,687900
2000-01-28,18.5,18.5,17.75,18.0,8.19,442000
2000-01-31,18.0,18.06,17.5,17.69,8.04,679200
2000-02-01,17.69,18.19,17.5,18.0,8.19,1109300
2000-02-02,18.0,18.12,16.94,17.38,7.9,1280200
2000-02-03,17.62,17.88,16.81,17.0,7.73,960600
2000-02-04,17.19,17.31,16.75,16.88,7.67,891000
2000-02-07,17.06,17.06,16.38,16.75,7.62,429500
2000-02-08,16.69,16.75,16.25,16.44,7.48,598500
2000-02-09,16.38,16.56,15.81,15.94,7.25,417400
2000-02-10,16.0,16.06,15.0,15.44,7.02,755800
2000-02-11,15.5,15.81,14.88,14.94,6.79,3768400
2000-02-14,15.06,15.19,14.81,14.94,6.79,521800
2000-02-15,15.0,15.19,14.88,15.19,6.91,1230900
2000-02-16,15.5,18.31,15.5,18.12,8.24,5838300
2000-02-17,19.38,19.38,18.62,19.0,8.64,2032000
2000-02-18,19.0,19.0,18.0,18.25,8.3,822300
2000-02-22,18.25,18.5,17.38,17.44,7.93,788300
2000-02-23,17.5,17.5,16.75,17.0,7.73,649100
2000-02-24,17.19,17.38,16.81,17.12,7.79,1224200
2000-02-25,17.12,17.25,16.75,16.75,7.62,543900
2000-02-28,17.0,17.12,16.75,17.0,7.73,719800
2000-02-29,17.5,17.88,17.25,17.88,8.13,1161900
