Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.94,32.12,30.75,32.12,26.07,260200
2000-01-03,31.69,32.12,30.0,30.53,24.78,1084800
2000-01-04,30.44,30.88,29.94,30.5,24.75,983500
2000-01-05,30.56,30.56,29.81,30.06,24.39,701200
2000-01-06,29.88,29.94,28.19,29.0,23.53,843300
2000-01-07,29.5,30.5,29.0,30.5,24.75,597200
2000-01-10,32.75,34.12,31.75,31.94,25.92,1136600
2000-01-11,32.19,32.25,30.25,30.44,24.7,450600
2000-01-12,31.12,31.12,29.69,30.0,24.34,471800
2000-01-13,30.12,30.25,29.94,30.0,24.34,1046000
2000-01-14,30.12,30.25,28.5,28.88,23.43,1402600
2000-01-18,29.03,30.25,29.0,30.06,24.39,1920200
2000-01-19,30.25,30.5,29.31,30.0,24.34,1027100
2000-01-20,30.06,30.25,29.69,30.19,24.5,1357500
2000-01-21,30.38,31.31,30.25,31.0,25.16,2206200
2000-01-24,31.5,35.62,31.5,34.12,27.69,2574500
2000-01-25,34.38,34.38,33.0,33.75,27.39,1161100
2000-01-26,33.78,34.25,33.5,34.0,27.59,1422300
2000-01-27,34.25,34.38,32.62,32.88,26.68,1616200
2000-01-28,33.0,33.94,32.19,33.12,26.88,1236000
2000-01-31,32.88,33.25,30.25,31.62,25.66,970700
2000-02-01,31.44,32.38,31.31,31.88,25.87,1085900
2000-02-02,31.94,33.25,31.88,33.25,26.98,1175200
2000-02-03,33.44,33.75,33.06,33.06,26.83,2666500
2000-02-04,33.25,33.25,31.38,32.09,26.04,730500
2000-02-07,32.12,32.12,31.25,31.62,25.66,949200
2000-02-08,31.56,32.38,31.5,32.38,26.27,1040500
2000-02-09,32.88,33.88,32.62,33.81,27.44,2288000
2000-02-10,33.88,40.12,33.81,39.94,32.41,2879400
2000-02-11,39.38,39.5,35.38,38.97,31.62,2731600
2000-02-14,38.94,39.0,35.75,36.94,29.97,1256700
2000-02-15,37.0,37.0,34.69,35.75,29.01,1697000
2000-02-16,36.0,36.0,34.0,34.06,27.64,755900
2000-02-17,34.38,35.25,33.38,33.69,27.34,1919400
2000-02-18,34.12,34.12,32.38,32.75,26.58,1610600
2000-02-22,33.06,34.0,32.88,33.56,27.23,888900
2000-02-23,33.88,34.12,31.5,31.81,25.81,1781000
2000-02-24,32.38,32.62,31.75,32.12,26.07,1451000
2000-02-25,33.12,34.0,32.5,33.12,26.88,1500000
2000-02-28,33.56,33.88,30.25,31.38,25.46,1745600
2000-02-29,31.62,33.0,31.0,32.25,26.17,3442800
2000-03-01,33.12,33.62,32.38,33.38,27.08,6139900
2000-03-02,34.5,40.62,34.5,40.0,32.46,5387300
2000-03-03,39.88,42.62,37.88,42.44,34.44,2669800
2000-03-06,42.69,42.69,40.25,40.69,33.02,2229000
2000-03-07,40.88,41.12,39.88,40.06,32.51,3402000
2000-03-08,40.12,40.12,39.12,39.75,32.26,2693000
2000-03-09,39.88,41.19,39.5,40.81,33.12,5372400
2000-03-10,41.0,41.94,40.88,41.5,33.68,5832800
2000-03-13,40.88,42.38,39.88,41.5,33.68,3704300
2000-03-14,41.88,41.88,40.75,41.0,33.27,2173900
2000-03-15,40.69,40.75,39.38,40.06,32.51,2546400
2000-03-16,39.88,40.38,39.81,40.31,32.71,1027000
2000-03-17,40.31,42.12,39.0,40.5,32.86,2675200
2000-03-20,42.0,42.19,39.75,40.0,32.46,1415200
2000-03-21,40.38,40.38,39.5,39.75,32.26,849600
2000-03-22,40.38,42.19,40.0,41.88,33.98,869000
2000-03-23,41.81,44.75,41.5,42.25,34.28,2041200
2000-03-24,42.5,43.12,40.0,41.62,33.78,1149200
2000-03-27,42.0,42.0,39.5,39.94,32.41,980200
2000-03-28,39.69,39.75,37.75,38.5,31.24,851300
2000-03-29,39.25,39.88,37.56,37.88,30.73,686200
2000-03-30,37.88,37.88,35.88,36.0,29.21,1376800
2000-03-31,36.56,38.25,36.5,37.88,30.73,1088700
2000-04-03,38.25,38.25,33.38,33.5,27.18,1629600
2000-04-04,34.19,35.5,29.62,34.25,27.79,1524900
2000-04-05,33.38,36.0,33.0,35.38,28.71,1024600
2000-04-06,35.88,40.38,35.75,39.38,31.95,1550600
2000-04-07,39.12,40.25,38.5,38.5,31.24,1226700
2000-04-10,38.69,39.88,38.0,39.81,32.31,1294700
2000-04-11,39.88,39.88,36.62,36.75,29.82,1151400
2000-04-12,36.5,37.0,33.56,33.56,27.23,906000
2000-04-13,34.0,35.62,33.62,35.0,28.4,652600
2000-04-14,34.38,34.44,32.56,32.88,26.68,1028400
2000-04-17,32.19,32.78,29.25,32.25,26.17,1106900
2000-04-18,32.38,36.62,32.38,36.0,29.21,673000
2000-04-19,36.38,36.86,35.0,35.56,28.86,953700
2000-04-20,35.38,36.0,33.0,33.94,27.54,1569600
2000-04-24,33.38,33.81,31.75,33.81,27.44,771600
2000-04-25,34.06,34.88,33.38,33.81,27.44,168300
2000-04-26,34.0,39.0,33.12,37.75,30.63,1458600
2000-04-27,37.12,39.75,35.5,38.12,30.94,763000
2000-04-28,38.0,40.0,37.75,38.38,31.14,838800
2000-05-01,38.81,39.0,37.44,37.81,30.68,705700
2000-05-02,37.81,38.31,37.0,37.12,30.13,1001300
2000-05-03,36.75,37.81,31.75,33.0,26.78,1702600
2000-05-04,34.88,37.0,34.38,36.75,29.82,1046200
2000-05-05,37.0,37.0,34.5,34.88,28.3,982700
2000-05-08,35.12,35.5,32.5,33.12,26.88,622900
2000-05-09,33.62,34.38,30.31,31.88,25.87,826200
2000-05-10,32.12,32.19,30.0,30.12,24.45,614100
2000-05-11,30.5,30.56,27.75,29.69,24.09,870800
2000-05-12,29.78,30.31,29.25,29.88,24.24,1349900
2000-05-15,29.5,29.88,28.88,29.75,24.14,966400
2000-05-16,29.75,32.0,29.75,31.25,25.36,1631300
2000-05-17,31.0,31.06,30.12,30.62,24.85,779300
