Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.5,2.52,2.45,2.46,2.45,283200
2000-01-03,2.46,2.59,2.46,2.55,2.54,736800
2000-01-04,2.53,2.55,2.48,2.51,2.49,1083200
2000-01-05,2.52,2.52,2.47,2.51,2.49,1121600
2000-01-06,2.49,2.51,2.45,2.49,2.48,1267200
2000-01-07,2.47,2.55,2.44,2.54,2.53,1914400
2000-01-10,2.51,2.66,2.49,2.62,2.61,2478400
2000-01-11,2.64,2.88,2.64,2.83,2.81,3136000
2000-01-12,2.87,2.9,2.67,2.74,2.73,2398400
2000-01-13,2.73,2.85,2.73,2.77,2.76,1456800
2000-01-14,2.77,3.03,2.75,3.02,3.0,3086400
2000-01-18,2.99,3.02,2.88,2.94,2.92,2148000
2000-01-19,2.94,2.94,2.51,2.68,2.67,4578400
2000-01-20,2.66,2.76,2.61,2.67,2.66,4888000
2000-01-21,2.73,2.73,2.6,2.61,2.59,2749600
2000-01-24,2.59,2.62,2.42,2.47,2.46,4104800
2000-01-25,2.48,2.48,2.34,2.34,2.33,2660000
2000-01-26,2.33,2.44,2.3,2.3,2.29,1443200
2000-01-27,2.3,2.51,2.23,2.44,2.43,1470400
2000-01-28,2.81,3.0,2.66,2.68,2.67,12299200
2000-01-31,2.69,2.73,2.45,2.48,2.47,2507200
2000-02-01,2.5,2.7,2.48,2.57,2.56,6036800
2000-02-02,2.56,2.81,2.53,2.8,2.78,3224000
2000-02-03,2.73,2.94,2.73,2.9,2.88,2343200
2000-02-04,2.87,3.03,2.87,2.98,2.97,2793600
2000-02-07,3.02,3.22,2.91,3.19,3.17,4827200
2000-02-08,3.21,3.27,2.97,3.07,3.05,2711200
2000-02-09,3.09,3.11,2.95,3.0,2.98,1459200
2000-02-10,2.98,3.09,2.93,3.09,3.08,1788800
2000-02-11,3.09,3.12,3.02,3.09,3.08,2120800
2000-02-14,3.36,3.81,3.36,3.75,3.73,16994400
2000-02-15,3.67,3.98,3.56,3.97,3.95,7659200
2000-02-16,3.95,3.97,3.67,3.71,3.69,4128000
2000-02-17,3.7,3.88,3.66,3.84,3.82,2509600
2000-02-18,3.8,3.84,3.66,3.66,3.64,1654400
2000-02-22,3.65,3.77,3.55,3.73,3.72,1943200
2000-02-23,3.75,4.0,3.72,3.91,3.89,3170400
2000-02-24,3.89,4.08,3.85,4.04,4.02,2317600
2000-02-25,4.02,4.27,3.98,4.2,4.18,4053600
2000-02-28,4.17,4.2,4.06,4.17,4.15,1575200
