Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.34,28.46,27.66,28.29,14.14,73600
2000-01-03,28.0,28.06,27.44,27.69,13.84,323000
2000-01-04,27.32,27.66,26.98,27.66,13.82,472100
2000-01-05,27.55,28.29,27.55,27.95,13.97,333000
2000-01-06,27.89,28.59,27.83,28.12,14.05,574200
2000-01-07,28.17,28.68,28.12,28.68,14.33,302900
2000-01-10,28.57,28.74,27.89,27.89,13.94,352500
2000-01-11,28.0,28.12,27.32,27.66,13.82,296200
2000-01-12,27.55,28.57,27.32,27.89,13.94,754500
2000-01-13,28.03,28.34,27.27,28.23,14.11,156500
2000-01-14,28.23,28.68,27.55,27.55,13.77,251600
2000-01-18,27.55,27.89,26.59,26.76,13.37,367300
2000-01-19,26.93,27.78,26.76,27.1,13.54,775700
2000-01-20,26.93,27.38,26.25,26.25,13.12,342900
2000-01-21,27.21,27.49,26.87,27.27,13.63,664600
2000-01-24,27.44,27.44,26.87,26.96,13.47,384000
2000-01-25,26.87,27.32,26.7,26.81,13.4,266300
2000-01-26,26.87,27.61,26.87,27.49,13.74,397200
2000-01-27,27.44,27.61,26.3,26.42,13.2,194200
2000-01-28,26.3,26.3,24.83,25.06,12.52,268800
2000-01-31,25.09,26.76,24.94,26.08,13.03,303200
2000-02-01,26.08,27.32,25.62,26.36,13.17,449100
2000-02-02,26.13,26.19,25.17,25.85,12.92,259700
2000-02-03,25.96,27.21,25.74,26.76,13.37,392800
2000-02-04,26.7,27.66,26.64,27.1,13.54,659700
2000-02-07,27.1,27.24,26.08,26.13,13.06,761500
2000-02-08,26.08,26.98,26.08,26.08,13.03,414800
2000-02-09,25.96,27.21,25.96,26.56,13.27,559100
2000-02-10,26.39,26.42,26.13,26.28,13.13,474400
2000-02-11,26.36,26.36,25.91,26.19,13.09,294200
2000-02-14,26.19,26.36,26.02,26.05,13.02,373100
2000-02-15,26.19,27.38,26.02,27.38,13.68,543000
2000-02-16,27.32,27.61,27.15,27.55,13.77,465800
2000-02-17,27.52,28.17,27.44,27.89,13.94,329700
2000-02-18,27.95,28.0,27.21,27.83,13.91,590500
2000-02-22,27.66,28.57,27.49,27.72,13.85,401500
2000-02-23,27.72,28.51,27.66,28.0,13.99,536300
2000-02-24,27.95,28.12,27.38,27.38,13.68,389600
2000-02-25,27.38,27.89,26.98,26.98,13.48,309100
2000-02-28,27.13,27.83,27.1,27.15,13.57,297800
2000-02-29,27.13,27.49,27.1,27.1,13.54,347700
2000-03-01,27.1,27.55,26.93,27.55,13.77,543600
2000-03-02,27.32,29.25,27.21,28.8,14.39,771800
2000-03-03,29.08,29.25,28.12,28.85,14.42,284200
2000-03-06,28.74,28.97,26.3,26.64,13.31,408600
2000-03-07,26.81,26.84,24.94,25.45,12.72,431600
2000-03-08,25.62,25.72,23.81,24.21,12.1,361000
2000-03-09,24.21,25.51,23.75,25.51,12.75,690200
2000-03-10,25.4,25.4,24.38,24.38,12.18,526000
2000-03-13,23.92,25.0,23.92,24.83,12.41,408600
2000-03-14,24.83,24.94,24.04,24.69,12.34,306900
2000-03-15,24.66,26.19,24.6,26.08,13.03,347400
2000-03-16,26.16,29.25,26.08,29.2,14.59,592900
2000-03-17,29.02,29.48,27.95,28.12,14.05,818600
2000-03-20,27.78,29.37,27.78,28.97,14.48,434100
2000-03-21,29.0,30.73,28.85,29.54,14.76,348700
2000-03-22,29.54,29.71,28.8,29.08,14.62,316100
2000-03-23,28.97,29.59,28.34,29.54,14.85,381400
2000-03-24,29.37,30.95,29.02,30.84,15.5,201400
2000-03-27,30.39,30.84,28.85,29.14,14.65,196700
2000-03-28,29.14,30.27,28.23,29.93,15.04,376600
2000-03-29,29.48,30.39,29.42,30.37,15.27,514900
2000-03-30,30.1,32.2,30.05,31.92,16.04,427500
2000-03-31,31.86,34.45,31.75,34.13,17.15,700400
2000-04-03,33.99,35.94,33.84,35.32,17.75,1405400
2000-04-04,35.03,35.77,34.93,35.4,17.79,809400
2000-04-05,35.32,36.28,35.03,36.22,18.21,493000
2000-04-06,36.17,36.34,36.05,36.22,18.21,866600
2000-04-07,36.17,36.28,35.77,36.28,18.24,431300
2000-04-10,36.0,36.96,35.88,36.56,18.38,1528200
2000-04-11,36.28,36.96,36.17,36.56,18.38,488700
2000-04-12,36.34,36.62,36.17,36.22,18.21,362300
2000-04-13,36.34,37.07,36.17,36.86,18.53,508000
2000-04-14,36.34,36.39,35.03,35.26,17.72,250000
2000-04-17,35.26,36.73,34.92,36.3,18.24,393700
2000-04-18,36.34,36.96,36.05,36.73,18.46,386900
2000-04-19,36.54,36.68,35.03,35.83,18.01,173800
2000-04-20,35.7,36.51,34.64,36.39,18.29,239700
2000-04-24,36.2,36.96,36.11,36.93,18.56,236400
2000-04-25,36.59,38.49,36.56,38.1,19.15,781500
2000-04-26,37.98,38.21,37.13,37.13,18.66,822000
2000-04-27,36.73,36.73,35.71,35.88,18.04,407000
2000-04-28,35.97,36.9,35.49,36.56,18.38,424900
2000-05-01,36.39,37.98,36.17,37.7,18.95,550800
2000-05-02,37.76,39.29,36.62,38.89,19.55,1093600
2000-05-03,38.44,38.44,35.43,35.94,18.07,645500
2000-05-04,35.88,36.39,35.6,35.94,18.07,372400
2000-05-05,36.34,36.73,35.6,36.22,18.21,147000
2000-05-08,36.0,36.45,35.32,35.6,17.89,434100
2000-05-09,35.71,35.71,34.69,35.6,17.89,551000
2000-05-10,35.6,36.17,34.58,34.75,17.47,245500
2000-05-11,35.33,35.37,34.01,34.86,17.52,397900
2000-05-12,34.24,35.71,34.24,35.71,17.95,185900
2000-05-15,35.15,36.51,35.15,36.51,18.35,610300
2000-05-16,36.34,37.67,35.83,37.53,18.86,1974500
2000-05-17,37.05,37.19,35.94,36.0,18.09,622600
2000-05-18,36.11,37.07,36.05,36.56,18.38,234800
2000-05-19,35.94,36.05,34.64,35.09,17.64,450300
2000-05-22,35.01,36.62,34.75,36.39,18.29,272200
2000-05-23,35.88,36.04,35.26,35.71,17.95,297800
2000-05-24,35.83,36.79,35.66,36.62,18.41,490400
2000-05-25,36.39,36.45,34.86,35.43,17.81,194000
2000-05-26,35.26,36.56,35.15,36.28,18.24,414700
2000-05-30,36.28,37.24,36.11,36.96,18.58,336400
2000-05-31,37.07,37.19,36.17,36.41,18.3,409100
2000-06-01,36.45,36.56,36.05,36.51,18.35,334400
2000-06-02,36.73,36.96,36.51,36.73,18.46,190600
2000-06-05,36.79,36.96,34.69,35.66,17.92,167000
2000-06-06,35.43,35.49,33.62,34.07,17.12,227900
2000-06-07,32.88,36.0,32.65,35.66,17.92,329100
2000-06-08,35.32,35.43,33.56,34.18,17.18,252200
2000-06-09,34.47,34.81,34.3,34.35,17.27,253100
2000-06-12,34.3,34.3,32.82,32.94,16.55,182000
2000-06-13,32.79,33.79,32.43,33.67,16.93,152300
2000-06-14,33.53,34.41,31.58,31.92,16.04,180800
2000-06-15,31.92,33.33,31.86,32.71,16.44,910200
2000-06-16,33.11,33.22,31.41,32.03,16.1,734800
2000-06-19,31.92,32.37,31.52,31.52,15.84,775800
2000-06-20,31.52,32.2,29.59,29.82,14.99,392500
2000-06-21,29.82,30.9,29.71,30.61,15.48,699500
2000-06-22,30.56,30.78,30.44,30.61,15.48,360300
2000-06-23,30.67,31.41,30.39,31.07,15.71,126000
2000-06-26,31.07,31.75,30.9,31.58,15.96,777900
2000-06-27,31.43,32.03,30.73,30.78,15.56,320000
2000-06-28,30.78,32.2,30.78,31.75,16.05,264300
2000-06-29,31.63,33.33,30.1,30.1,15.22,387200
2000-06-30,30.78,30.81,28.12,28.51,14.42,639400
2000-07-03,28.51,29.54,28.51,29.08,14.7,213300
2000-07-05,29.25,30.27,29.02,29.82,15.07,213100
2000-07-06,29.82,29.88,29.71,29.82,15.07,672100
2000-07-07,30.07,30.33,29.76,30.05,15.19,195700
2000-07-10,29.99,30.33,29.59,30.16,15.25,191900
2000-07-11,30.24,31.24,30.22,31.24,15.79,320800
2000-07-12,31.38,32.03,31.18,31.97,16.16,382000
2000-07-13,31.8,32.43,31.8,32.26,16.31,379300
2000-07-14,32.31,32.88,32.2,32.77,16.57,291600
2000-07-17,32.65,32.65,31.52,32.43,16.39,286000
2000-07-18,32.2,32.26,31.29,31.75,16.05,253700
2000-07-19,31.72,32.2,31.18,31.29,15.82,158100
2000-07-20,31.35,33.16,31.35,32.7,16.53,223300
2000-07-21,32.43,32.99,31.01,31.12,15.73,269200
2000-07-24,31.01,32.31,30.95,31.46,15.91,190400
2000-07-25,31.69,33.79,31.41,33.11,16.74,537600
2000-07-26,33.13,34.24,33.05,33.05,16.71,557500
2000-07-27,33.72,34.47,33.39,34.47,17.43,380100
2000-07-28,34.41,34.75,33.22,33.79,17.08,336100
2000-07-31,33.56,34.58,33.16,34.24,17.31,411900
2000-08-01,34.24,35.71,34.13,35.66,18.03,632600
2000-08-02,35.54,35.6,35.32,35.49,17.94,854400
2000-08-03,35.43,36.28,35.26,36.22,18.31,640200
2000-08-04,36.17,36.34,35.15,36.28,18.34,442700
2000-08-07,36.14,36.14,35.32,36.0,18.2,268000
2000-08-08,35.91,36.11,35.37,36.0,18.2,259200
2000-08-09,35.88,35.88,34.35,35.03,17.71,106000
2000-08-10,35.2,35.66,34.75,35.2,17.8,169500
2000-08-11,35.49,36.34,35.46,36.28,18.34,385300
2000-08-14,36.22,36.27,35.83,36.22,18.31,181200
2000-08-15,35.86,35.87,34.47,35.2,17.8,420400
2000-08-16,35.6,36.17,35.37,35.54,17.97,294400
2000-08-17,35.6,36.22,34.81,36.17,18.28,210900
2000-08-18,35.91,36.34,35.25,36.0,18.2,395900
2000-08-21,36.0,36.34,35.66,36.22,18.31,220500
2000-08-22,36.17,36.22,35.88,35.88,18.14,249600
2000-08-23,35.94,36.0,35.15,35.6,18.0,224400
2000-08-24,35.57,35.66,34.35,34.64,17.51,126500
2000-08-25,34.64,34.92,34.07,34.07,17.22,252800
2000-08-28,34.16,35.22,33.79,34.58,17.48,133100
2000-08-29,34.58,34.75,33.67,34.01,17.2,91200
2000-08-30,33.99,35.37,33.99,35.03,17.71,192900
2000-08-31,34.98,35.37,34.52,35.26,17.83,237700
2000-09-01,35.23,35.26,33.84,34.58,17.48,358100
2000-09-05,34.61,36.0,34.13,35.73,18.06,343700
2000-09-06,35.6,36.11,35.2,35.77,18.08,236500
2000-09-07,35.66,35.74,34.64,35.26,17.83,166000
2000-09-08,35.2,36.0,34.58,35.77,18.08,178700
2000-09-11,35.74,36.34,35.71,36.34,18.37,382200
2000-09-12,36.22,36.85,36.0,36.45,18.43,418900
2000-09-13,36.68,36.68,36.0,36.22,18.31,201200
2000-09-14,36.14,36.22,35.66,35.83,18.11,125100
2000-09-15,34.98,35.37,34.18,34.75,17.57,702700
2000-09-18,34.81,34.81,32.38,33.5,16.94,429000
2000-09-19,33.62,35.54,33.62,35.02,17.7,237000
2000-09-20,34.98,34.98,33.73,34.4,17.48,243200
2000-09-21,34.35,34.69,33.45,34.52,17.54,119200
2000-09-22,34.27,34.69,33.56,34.41,17.48,235700
2000-09-25,34.18,34.24,33.33,33.56,17.05,191100
2000-09-26,33.45,33.73,33.11,33.39,16.96,453900
2000-09-27,31.97,32.43,30.73,31.86,16.19,948800
2000-09-28,31.86,32.77,31.69,32.4,16.46,359400
2000-09-29,32.54,33.33,32.14,32.2,16.36,296100
2000-10-02,32.11,32.65,30.84,32.54,16.53,230800
2000-10-03,32.45,32.48,31.29,31.52,16.01,291500
2000-10-04,31.63,31.8,30.67,30.9,15.7,458400
2000-10-05,31.29,31.46,30.84,31.29,15.9,777800
2000-10-06,31.69,32.2,31.46,31.69,16.1,496100
2000-10-09,31.52,31.68,30.78,30.85,15.68,180800
2000-10-10,31.24,31.24,30.27,30.5,15.5,257100
2000-10-11,30.5,31.01,29.76,30.16,15.32,323400
2000-10-12,30.19,30.33,29.54,30.16,15.32,334200
2000-10-13,30.33,30.73,30.1,30.56,15.52,393100
2000-10-16,30.67,31.07,29.82,31.07,15.78,465200
2000-10-17,30.67,30.9,30.5,30.78,15.64,369600
2000-10-18,30.44,31.01,30.27,30.74,15.62,269900
2000-10-19,30.84,32.64,30.78,32.14,16.33,515000
2000-10-20,31.63,32.54,31.52,31.69,16.1,283000
2000-10-23,31.92,32.09,31.18,31.29,15.9,538500
2000-10-24,31.38,32.99,31.35,32.6,16.56,382400
2000-10-25,32.71,33.22,32.31,32.6,16.56,208800
2000-10-26,32.51,33.62,31.75,32.26,16.39,278300
2000-10-27,32.17,33.73,32.03,33.33,16.94,232300
2000-10-30,33.28,34.58,33.28,34.41,17.48,411900
2000-10-31,34.33,34.33,33.33,33.33,16.94,301800
2000-11-01,33.13,34.62,33.11,34.07,17.31,205600
2000-11-02,34.01,35.15,34.01,34.64,17.6,328900
2000-11-03,34.5,34.52,33.9,34.18,17.37,389500
2000-11-06,34.18,34.35,33.79,34.07,17.31,125700
2000-11-07,34.13,34.18,32.62,33.11,16.82,437500
2000-11-08,32.31,33.73,32.2,32.82,16.68,173900
2000-11-09,32.77,33.28,32.54,32.65,16.59,266100
2000-11-10,32.71,33.73,32.65,33.11,16.82,260400
2000-11-13,32.71,33.5,31.97,32.2,16.36,203000
2000-11-14,32.21,33.05,32.17,32.81,16.67,217800
2000-11-15,32.77,33.22,32.31,33.11,16.82,228500
2000-11-16,32.94,33.45,32.26,33.33,16.94,209500
2000-11-17,33.13,33.45,32.82,33.28,16.91,181700
2000-11-20,32.99,33.11,31.92,32.6,16.56,163600
2000-11-21,32.88,33.05,31.86,32.6,16.56,177500
2000-11-22,32.2,32.77,31.97,31.97,16.24,176700
2000-11-24,31.86,32.03,31.7,31.86,16.19,69700
2000-11-27,31.8,31.8,31.24,31.28,15.89,189000
2000-11-28,31.46,32.31,31.18,31.86,16.19,298800
2000-11-29,32.26,33.56,32.09,32.87,16.7,399200
2000-11-30,32.74,33.33,32.43,33.16,16.85,639700
2000-12-01,32.96,34.16,32.77,33.96,17.25,295500
2000-12-04,33.77,34.52,33.73,34.3,17.42,393700
2000-12-05,34.81,35.37,34.47,35.13,17.85,299500
2000-12-06,34.75,35.94,34.69,35.94,18.26,328600
2000-12-07,35.69,35.94,35.54,35.77,18.17,271600
2000-12-08,35.8,36.39,35.77,36.1,18.34,970600
2000-12-11,36.05,36.34,35.71,36.34,18.46,456800
2000-12-12,36.28,36.62,35.66,36.15,18.37,400000
2000-12-13,36.08,36.15,35.32,35.43,18.0,259100
2000-12-14,35.46,35.49,34.13,34.13,17.34,470400
2000-12-15,33.62,34.35,33.39,33.73,17.14,911600
2000-12-18,33.96,34.81,33.79,34.64,17.6,459400
2000-12-19,34.69,35.6,34.64,35.15,17.86,496900
2000-12-20,35.09,35.66,34.69,35.37,18.06,374100
2000-12-21,35.32,35.49,34.92,35.32,18.03,449600
2000-12-22,35.37,35.42,35.03,35.42,18.08,264900
2000-12-26,35.43,35.49,35.03,35.32,18.03,246100
2000-12-27,35.32,35.66,35.03,35.49,18.12,224500
2000-12-28,35.43,36.05,34.47,35.94,18.35,313600
2000-12-29,36.0,36.39,35.66,35.88,18.32,358000
2001-01-02,35.88,36.22,35.71,35.94,18.35,669700
2001-01-03,35.83,37.41,35.83,37.3,19.04,886000
2001-01-04,37.24,37.3,36.05,36.22,18.49,1126000
2001-01-05,36.22,36.62,35.49,36.11,18.44,533700
2001-01-08,35.83,36.68,35.83,36.45,18.61,364600
2001-01-09,36.45,36.51,35.6,36.22,18.49,455800
2001-01-10,36.0,36.78,35.94,36.17,18.47,366200
2001-01-11,36.14,36.22,34.81,35.37,18.06,508900
2001-01-12,35.29,35.54,33.79,34.3,17.51,533400
2001-01-16,33.9,34.69,33.9,34.47,17.6,688100
2001-01-17,34.47,34.47,33.96,34.07,17.39,256800
2001-01-18,33.87,34.01,33.56,33.62,17.16,561500
2001-01-19,33.5,33.5,32.65,32.77,16.73,734700
2001-01-22,32.6,34.18,32.54,33.67,17.19,839700
2001-01-23,33.62,33.84,33.05,33.5,17.11,669600
2001-01-24,33.5,33.56,33.16,33.45,17.08,590200
2001-01-25,33.56,33.96,33.33,33.56,17.13,418900
2001-01-26,33.67,33.79,33.22,33.5,17.11,332700
2001-01-29,33.65,33.72,33.16,33.22,16.96,446800
2001-01-30,33.16,33.22,32.43,32.82,16.76,624700
2001-01-31,32.77,32.77,32.14,32.26,16.47,443700
2001-02-01,32.23,32.77,32.09,32.31,16.5,260100
2001-02-02,32.28,32.65,32.26,32.44,16.56,277500
2001-02-05,32.45,33.39,32.26,32.65,16.67,244900
2001-02-06,32.54,33.28,32.44,33.01,16.85,554700
2001-02-07,32.74,33.67,32.6,33.62,17.16,222900
2001-02-08,33.79,33.84,32.99,33.45,17.08,172600
2001-02-09,33.49,33.62,32.99,33.28,16.99,147200
2001-02-12,33.11,34.24,32.65,34.01,17.37,383100
2001-02-13,34.07,34.17,33.62,33.9,17.31,489100
2001-02-14,33.96,34.07,33.11,33.45,17.08,319800
2001-02-15,33.28,33.84,32.77,33.62,17.16,289100
2001-02-16,33.25,34.41,33.22,33.86,17.29,223000
2001-02-20,33.73,33.84,33.05,33.16,16.93,214600
2001-02-21,33.13,33.16,31.86,32.26,16.47,309200
2001-02-22,32.37,33.05,31.52,32.88,16.79,395500
2001-02-23,32.81,32.82,31.52,32.36,16.52,203000
2001-02-26,32.65,32.71,31.92,32.48,16.58,315300
2001-02-27,32.37,33.26,32.37,33.22,16.96,284000
2001-02-28,33.22,33.56,32.94,33.39,17.05,449400
2001-03-01,33.43,33.96,32.2,33.82,17.26,272100
2001-03-02,33.33,34.35,32.65,33.67,17.19,310200
2001-03-05,34.01,34.06,33.5,33.79,17.25,316800
2001-03-06,34.04,34.74,33.45,33.9,17.31,266400
2001-03-07,33.87,34.35,33.84,34.01,17.37,179400
2001-03-08,34.01,34.81,33.9,34.58,17.66,217300
2001-03-09,34.52,34.64,33.84,34.13,17.42,199700
2001-03-12,33.9,34.07,33.56,33.62,17.16,301100
2001-03-13,33.56,33.67,32.99,33.28,16.99,214900
2001-03-14,32.99,33.05,31.63,32.6,16.64,276100
2001-03-15,32.65,33.45,32.54,33.16,16.93,261800
2001-03-16,32.31,33.33,32.26,32.96,16.83,769800
2001-03-19,32.96,33.22,32.26,32.37,16.53,232600
2001-03-20,32.43,32.99,32.2,32.6,16.64,311000
2001-03-21,32.43,32.71,32.03,32.37,16.62,399600
2001-03-22,32.37,32.43,31.58,32.03,16.45,601400
2001-03-23,32.03,32.65,31.63,32.65,16.77,287500
2001-03-26,32.71,33.62,32.5,33.33,17.12,243300
2001-03-27,33.28,33.62,32.65,32.82,16.86,409100
2001-03-28,32.77,32.99,32.2,32.88,16.89,535900
2001-03-29,32.65,33.56,32.6,33.28,17.09,328100
2001-03-30,33.28,34.69,33.28,34.41,17.67,461600
2001-04-02,34.35,35.37,34.01,34.24,17.58,385600
2001-04-03,34.35,34.47,33.56,34.01,17.47,455200
2001-04-04,33.62,33.9,33.5,33.84,17.38,364500
2001-04-05,33.96,34.75,33.56,34.41,17.67,360900
2001-04-06,34.38,34.52,32.71,33.05,16.97,406700
2001-04-09,33.51,33.56,32.83,33.12,17.01,207500
2001-04-10,33.11,33.84,33.04,33.53,17.22,348400
2001-04-11,33.51,33.56,32.65,33.02,16.96,298700
2001-04-12,33.07,33.32,32.6,33.11,17.0,145000
2001-04-16,32.9,33.64,32.9,33.55,17.23,217800
2001-04-17,33.34,34.29,33.19,34.14,17.53,253700
2001-04-18,34.21,35.1,33.8,35.04,17.99,430500
2001-04-19,34.51,35.46,34.47,34.75,17.85,549400
2001-04-20,33.22,34.51,33.22,34.1,17.51,310500
2001-04-23,34.0,34.39,34.0,34.38,17.65,313100
2001-04-24,34.43,35.16,34.01,34.4,17.67,390800
2001-04-25,34.23,34.33,33.85,34.0,17.46,272700
2001-04-26,33.85,34.92,33.84,33.85,17.38,396400
2001-04-27,33.89,35.34,33.88,35.34,18.15,352900
2001-04-30,35.05,35.49,34.8,34.81,17.88,304600
2001-05-01,34.69,35.45,34.26,35.29,18.12,286600
2001-05-02,35.17,35.2,34.29,35.08,18.02,316000
2001-05-03,35.16,35.16,33.87,35.05,18.0,273600
2001-05-04,35.02,36.05,34.92,36.04,18.51,417300
2001-05-07,35.82,36.0,35.28,35.61,18.29,130800
2001-05-08,35.46,35.54,35.04,35.46,18.21,421800
2001-05-09,35.46,35.65,35.16,35.6,18.28,405400
2001-05-10,35.56,35.76,35.42,35.62,18.29,449900
2001-05-11,35.6,35.99,35.51,35.81,18.39,269700
2001-05-14,35.8,35.87,35.15,35.74,18.35,257000
2001-05-15,35.44,36.1,35.44,36.1,18.54,297400
2001-05-16,35.85,36.51,35.85,36.45,18.72,597100
2001-05-17,36.55,36.74,36.45,36.51,18.75,545800
2001-05-18,36.67,36.83,36.1,36.49,18.74,321700
2001-05-21,36.47,36.96,36.45,36.96,18.98,318000
2001-05-22,36.96,37.08,36.42,36.96,18.98,336300
2001-05-23,36.94,36.96,36.33,36.56,18.78,362900
2001-05-24,36.57,37.03,36.44,36.71,18.85,190200
2001-05-25,36.63,37.19,36.41,37.19,19.1,270600
2001-05-29,37.17,38.08,37.01,37.38,19.2,458300
2001-05-30,37.53,38.09,37.06,37.71,19.36,223100
2001-05-31,37.82,38.37,37.81,38.11,19.57,635200
2001-06-01,38.12,38.23,37.63,37.83,19.43,406800
2001-06-04,37.9,37.91,37.14,37.62,19.32,543900
2001-06-05,37.46,37.86,37.39,37.69,19.35,506900
2001-06-06,37.51,37.84,37.14,37.69,19.35,320100
2001-06-07,37.72,37.73,37.36,37.45,19.23,172800
2001-06-08,37.46,37.78,37.01,37.65,19.34,224000
2001-06-11,37.65,37.92,37.52,37.82,19.42,193700
2001-06-12,37.87,38.32,37.51,38.31,19.68,183500
2001-06-13,38.33,38.93,38.22,38.73,19.89,272000
2001-06-14,38.73,38.73,37.7,37.96,19.49,322900
2001-06-15,37.7,37.84,37.44,37.46,19.24,706100
2001-06-18,37.55,37.55,36.96,37.01,19.01,299200
2001-06-19,37.24,37.32,36.63,37.18,19.09,428000
2001-06-20,37.17,37.53,36.78,37.28,19.24,552900
2001-06-21,37.28,37.35,36.24,37.1,19.15,638600
2001-06-22,37.18,37.18,36.24,36.42,18.8,632100
2001-06-25,36.41,36.78,36.2,36.24,18.71,176800
2001-06-26,36.24,36.96,36.15,36.93,19.06,243900
2001-06-27,36.85,36.86,36.11,36.6,18.89,314200
2001-06-28,36.29,37.05,36.28,36.77,18.98,266000
2001-06-29,36.55,36.76,30.84,35.83,18.49,610200
2001-07-02,35.99,36.64,35.65,36.61,18.9,696800
2001-07-03,36.6,36.84,36.55,36.82,19.0,181400
2001-07-05,36.85,36.97,36.24,36.45,18.82,305700
2001-07-06,36.48,36.51,35.3,35.31,18.23,256900
2001-07-09,35.28,36.01,35.21,35.9,18.53,257200
2001-07-10,35.8,35.83,35.11,35.32,18.23,195400
2001-07-11,35.28,35.41,34.73,35.27,18.2,374600
2001-07-12,35.27,35.56,35.01,35.56,18.35,499300
2001-07-13,34.97,35.61,34.96,35.56,18.36,172500
2001-07-16,35.56,36.07,35.51,35.93,18.55,418700
2001-07-17,36.01,36.08,35.45,35.9,18.53,344100
2001-07-18,35.9,36.05,35.65,36.05,18.61,360100
2001-07-19,36.06,36.2,35.94,36.05,18.61,412400
