Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,31.38,32.5,31.28,32.5,21.38,1123000.0
2000-01-03,32.0,32.0,31.0,31.12,20.48,2434800.0
2000-01-04,30.62,30.97,30.25,30.31,19.94,2358400.0
2000-01-05,30.38,30.62,28.88,29.28,19.26,3169400.0
2000-01-06,29.0,30.0,28.94,29.22,19.22,5802200.0
2000-01-07,29.56,31.16,29.0,30.97,20.37,5570200.0
2000-01-10,31.75,31.81,30.88,31.81,20.93,3049600.0
2000-01-11,31.5,32.41,31.47,31.97,21.03,3850800.0
2000-01-12,31.62,32.22,31.41,32.19,21.18,2332600.0
2000-01-13,32.06,32.84,31.91,32.41,21.32,2643000.0
2000-01-14,33.0,33.38,31.03,31.66,20.83,4695800.0
2000-01-18,31.53,31.81,31.03,31.5,20.72,2902000.0
2000-01-19,31.5,31.62,30.56,30.75,20.23,2470200.0
2000-01-20,30.69,31.88,30.25,30.97,20.37,3082000.0
2000-01-21,31.62,31.62,30.19,30.66,20.17,3642200.0
2000-01-24,31.38,31.5,30.25,30.34,20.01,3024800.0
2000-01-25,30.88,30.91,29.62,29.81,19.66,1929000.0
2000-01-26,29.88,30.31,29.47,30.09,19.85,1368000.0
2000-01-27,29.88,30.66,29.88,30.16,19.89,2075200.0
2000-01-28,30.28,30.56,29.25,29.75,19.62,3138400.0
2000-01-31,29.38,29.84,29.25,29.62,19.54,3411800.0
2000-02-01,29.62,30.09,29.22,29.81,19.66,3090800.0
2000-02-02,30.25,30.81,29.88,30.66,20.22,3010400.0
2000-02-03,30.5,30.88,29.19,30.0,19.79,4268600.0
2000-02-04,29.75,29.78,27.5,28.12,18.55,6497800.0
2000-02-07,28.12,28.41,26.78,28.19,18.59,5906200.0
2000-02-08,28.19,29.69,28.19,29.34,19.35,5455600.0
2000-02-09,29.88,29.88,28.75,29.09,19.19,4435400.0
2000-02-10,29.12,29.25,28.69,28.75,18.96,2444400.0
2000-02-11,28.81,28.81,27.81,27.94,18.43,3301200.0
2000-02-14,27.97,27.97,26.5,27.0,17.81,3962000.0
2000-02-15,27.38,27.91,26.91,27.84,18.37,4309200.0
2000-02-16,27.94,28.38,27.56,27.69,18.26,3066000.0
2000-02-17,27.81,28.0,26.75,26.97,17.79,2682200.0
2000-02-18,26.25,27.44,26.0,26.53,17.5,4189600.0
2000-02-22,26.53,26.97,25.34,26.19,17.27,3111000.0
2000-02-23,25.94,25.97,25.47,25.69,16.94,3062800.0
2000-02-24,25.38,25.81,23.94,24.53,16.18,4953400.0
2000-02-25,24.59,24.88,24.0,24.12,15.91,5931200.0
2000-02-28,24.44,25.66,24.0,25.5,16.82,5317400.0
2000-02-29,25.62,26.75,25.31,26.09,17.21,4971800.0
2000-03-01,26.12,26.81,25.75,26.5,17.48,3489600.0
2000-03-02,26.62,26.69,26.25,26.31,17.36,3090400.0
2000-03-03,26.31,27.56,26.28,27.44,18.1,2866200.0
2000-03-06,27.5,27.5,26.31,26.41,17.42,2239600.0
2000-03-07,23.0,24.88,22.88,23.38,15.42,16743200.0
2000-03-08,23.56,23.94,21.19,21.97,14.49,15871800.0
2000-03-09,21.88,22.19,21.5,22.0,14.51,5240400.0
2000-03-10,22.0,22.0,20.44,21.38,14.1,8014200.0
2000-03-13,20.25,22.09,20.25,21.69,14.3,5746000.0
2000-03-14,21.12,21.78,21.0,21.59,14.24,3185400.0
2000-03-15,21.94,27.0,21.88,25.91,17.09,11815800.0
2000-03-16,25.91,26.19,24.88,25.62,16.9,9545400.0
2000-03-17,25.12,25.97,24.91,24.97,16.47,5084800.0
2000-03-20,24.97,25.5,24.56,25.12,16.57,3725000.0
2000-03-21,24.94,25.75,24.88,25.16,16.59,4182400.0
2000-03-22,24.94,25.47,24.25,25.28,16.68,4988400.0
2000-03-23,25.09,27.0,25.0,26.56,17.52,5917400.0
2000-03-24,26.59,28.0,26.59,27.19,17.93,4643000.0
2000-03-27,27.5,27.75,26.97,27.09,17.87,3348600.0
2000-03-28,26.69,28.44,26.69,28.44,18.76,4296200.0
2000-03-29,28.5,28.81,27.84,28.22,18.61,4349200.0
2000-03-30,27.62,28.22,27.28,28.09,18.53,5765000.0
2000-03-31,28.19,29.19,27.97,28.19,18.59,4308000.0
2000-04-03,28.31,30.44,28.22,30.25,19.95,3763600.0
2000-04-04,30.0,30.81,29.62,30.34,20.01,5783400.0
2000-04-05,30.19,30.88,29.12,29.22,19.27,3419600.0
2000-04-06,29.28,30.0,28.5,29.5,19.46,3068000.0
2000-04-07,29.5,30.0,29.38,29.66,19.56,2512000.0
2000-04-10,29.0,30.44,28.94,30.12,19.87,4362600.0
2000-04-11,30.44,31.44,30.38,31.31,20.65,5006600.0
2000-04-12,31.31,32.62,30.94,31.0,20.45,6154800.0
2000-04-13,30.5,30.75,28.91,29.5,19.46,5849000.0
2000-04-14,27.88,28.69,27.22,27.88,18.39,5026600.0
2000-04-17,27.5,28.81,27.28,28.81,19.0,4526400.0
2000-04-18,28.5,28.5,27.31,27.62,18.22,4614000.0
