Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,50.75,50.75,49.62,50.38,29.89,142400
2000-01-03,49.75,49.88,48.75,49.19,29.18,721300
2000-01-04,48.75,49.0,47.56,47.88,28.41,614000
2000-01-05,48.12,50.25,47.5,49.12,29.15,743400
2000-01-06,47.56,50.5,47.06,49.56,29.41,1038500
2000-01-07,49.75,52.88,49.19,52.31,31.04,1013300
2000-01-10,52.81,53.25,51.38,51.75,30.7,445400
2000-01-11,50.94,52.75,50.38,52.25,31.0,882600
2000-01-12,52.0,52.62,51.0,52.19,30.96,657500
2000-01-13,52.81,56.38,52.0,55.0,32.63,2040300
2000-01-14,54.12,55.5,53.75,54.25,32.19,938500
2000-01-18,52.88,53.75,52.19,52.75,31.3,733900
2000-01-19,53.25,53.25,50.25,51.94,30.82,1142200
2000-01-20,53.5,53.5,50.62,52.0,30.85,851000
2000-01-21,52.0,52.0,49.88,50.62,30.04,1225200
2000-01-24,50.5,50.56,48.5,48.88,29.0,1138800
2000-01-25,48.88,49.94,45.94,47.25,28.03,1151600
2000-01-26,47.44,48.12,47.38,47.81,28.37,579500
2000-01-27,49.75,49.75,46.75,47.25,28.15,1877800
2000-01-28,48.0,48.0,45.0,46.88,27.93,1265100
2000-01-31,46.88,48.38,46.88,47.75,28.45,1083400
2000-02-01,47.69,48.19,47.12,48.0,28.6,1054000
2000-02-02,47.94,49.94,47.88,48.31,28.79,1077300
2000-02-03,48.5,49.19,45.5,46.62,27.78,1224900
2000-02-04,46.06,46.75,43.19,43.88,26.14,1816500
2000-02-07,42.0,43.38,41.81,42.69,25.43,1296700
2000-02-08,43.5,45.56,42.88,45.0,26.81,1128200
2000-02-09,45.38,45.5,44.62,44.81,26.7,1096400
2000-02-10,44.56,44.56,41.62,41.88,24.95,853000
2000-02-11,41.81,41.88,39.56,40.5,24.13,1540100
2000-02-14,40.56,41.12,39.69,40.94,24.39,913600
2000-02-15,41.25,41.62,39.69,41.0,24.43,1114000
2000-02-16,40.88,41.69,40.25,40.62,24.2,728200
2000-02-17,41.0,41.5,40.31,40.81,24.32,890100
2000-02-18,40.0,40.31,38.25,39.0,23.24,1267400
2000-02-22,39.12,39.75,38.56,39.31,23.42,945100
2000-02-23,39.25,40.5,38.94,39.56,23.57,1225400
2000-02-24,40.25,40.25,37.75,38.81,23.12,1066500
2000-02-25,38.56,38.75,36.44,37.31,22.23,974700
2000-02-28,37.12,39.5,37.06,39.0,23.24,967200
2000-02-29,39.06,42.0,39.0,40.44,24.09,1423100
2000-03-01,40.94,41.19,40.0,40.12,23.91,717000
2000-03-02,40.25,40.81,40.0,40.25,23.98,659500
2000-03-03,40.62,41.5,40.19,41.19,24.54,851100
2000-03-06,40.69,40.88,40.0,40.06,23.87,673400
2000-03-07,38.5,38.5,34.56,36.25,21.6,3258600
2000-03-08,36.19,36.38,31.5,33.38,19.89,4021000
2000-03-09,33.5,34.5,33.0,33.81,20.15,1583200
2000-03-10,32.5,32.56,29.06,29.88,17.8,4337100
2000-03-13,29.88,30.81,29.5,30.62,18.25,2371300
2000-03-14,31.0,31.25,29.88,29.88,17.8,1388100
2000-03-15,30.75,34.5,30.12,33.56,20.0,2451600
2000-03-16,34.12,38.25,33.81,36.62,21.82,2741100
2000-03-17,36.88,36.88,34.0,35.12,20.93,1403400
2000-03-20,34.62,34.94,33.0,33.94,20.22,920800
2000-03-21,34.38,36.5,33.5,36.44,21.71,1196400
2000-03-22,36.25,36.38,34.19,34.75,20.7,1579000
2000-03-23,34.75,35.56,33.62,35.56,21.19,1397800
2000-03-24,35.56,35.88,31.62,33.0,19.66,2484100
2000-03-27,32.75,32.88,29.94,30.44,18.13,3173600
2000-03-28,30.38,31.38,30.38,31.38,18.69,1990900
2000-03-29,31.5,32.62,31.31,32.06,19.1,1556900
2000-03-30,32.06,33.0,31.62,32.5,19.36,1645100
2000-03-31,32.44,33.81,32.31,33.0,19.66,1311700
2000-04-03,32.38,35.19,32.38,34.56,20.59,1453400
2000-04-04,34.56,36.38,33.5,35.44,21.11,1834600
2000-04-05,36.0,36.56,34.12,35.5,21.15,1788300
2000-04-06,35.38,35.44,34.12,34.56,20.59,1132200
2000-04-07,35.38,35.75,34.81,35.62,21.23,844800
2000-04-10,35.62,36.31,35.06,36.0,21.45,995500
2000-04-11,36.12,37.31,35.62,37.31,22.23,966600
2000-04-12,37.81,41.5,37.56,40.06,23.87,2217400
2000-04-13,39.81,40.81,38.5,40.44,24.09,1206800
2000-04-14,40.44,40.44,35.38,35.88,21.37,1234600
2000-04-17,37.88,40.75,37.5,40.62,24.2,1685800
2000-04-18,40.06,40.12,37.81,38.19,22.75,1206600
2000-04-19,35.94,37.5,35.94,36.38,21.67,953600
2000-04-20,36.38,37.81,36.38,37.12,22.12,647000
2000-04-24,37.81,38.94,37.62,38.0,22.64,833800
2000-04-25,38.0,38.06,36.5,37.25,22.19,896600
2000-04-26,37.06,37.06,34.5,34.81,20.85,1148400
2000-04-27,34.25,38.62,33.56,37.56,22.5,2592900
2000-04-28,37.62,37.62,36.31,36.75,22.01,1453500
2000-05-01,36.5,37.19,35.56,36.88,22.09,983000
2000-05-02,35.5,36.44,35.5,36.25,21.71,725700
2000-05-03,36.0,36.94,35.38,35.62,21.34,840400
2000-05-04,35.62,36.75,35.5,36.12,21.64,444400
2000-05-05,35.81,36.94,35.56,36.56,21.9,395200
