Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.17,16.17,15.71,15.96,12.88,785600
2000-01-03,16.15,16.33,15.06,15.58,12.58,2333600
2000-01-04,15.21,15.71,14.0,14.42,11.64,1063400
2000-01-05,14.25,14.33,13.62,14.04,11.33,828800
2000-01-06,13.92,15.04,13.79,14.58,11.77,1103000
2000-01-07,14.62,14.62,13.88,14.12,11.4,738600
2000-01-10,15.23,16.42,14.96,15.94,12.86,2340200
2000-01-11,16.17,16.25,14.33,14.48,11.69,2114000
2000-01-12,14.62,15.62,14.29,15.06,12.16,1530000
2000-01-13,15.31,15.98,15.27,15.92,12.85,723600
2000-01-14,16.19,16.54,16.0,16.27,13.13,985800
2000-01-18,16.04,16.46,15.65,16.17,13.05,1712600
2000-01-19,16.33,17.33,16.29,17.15,13.84,1823000
2000-01-20,17.34,17.46,16.46,16.62,13.42,841200
2000-01-21,16.79,16.92,16.27,16.54,13.35,815400
2000-01-24,16.67,16.81,16.06,16.17,13.05,607400
2000-01-25,15.92,16.0,14.88,15.23,12.29,748800
2000-01-26,15.19,15.67,14.96,15.52,12.53,525000
2000-01-27,15.62,16.58,15.44,15.52,12.53,489000
2000-01-28,15.44,15.44,14.29,14.33,11.57,538400
2000-01-31,14.51,14.52,13.58,14.38,11.6,901800
2000-02-01,14.35,14.85,13.96,14.75,11.9,470400
2000-02-02,15.21,16.0,14.96,15.62,12.61,592200
2000-02-03,16.11,16.17,15.25,16.1,13.0,537600
2000-02-04,16.14,16.46,15.9,16.17,13.05,561600
2000-02-07,16.48,16.5,15.67,15.88,12.81,570800
2000-02-08,16.12,16.12,15.71,15.94,12.86,324200
2000-02-09,16.0,16.02,15.12,15.12,12.21,300600
2000-02-10,15.17,15.54,15.0,15.54,12.54,316400
2000-02-11,15.54,15.67,15.35,15.5,12.51,427800
2000-02-14,15.46,15.54,14.69,14.81,11.96,360200
2000-02-15,14.82,15.57,14.65,15.25,12.31,260400
2000-02-16,15.12,15.12,14.33,14.42,11.64,394800
2000-02-17,14.62,14.73,13.77,14.35,11.59,504000
2000-02-18,14.35,14.38,13.17,13.17,10.63,390800
2000-02-22,13.28,13.67,13.12,13.33,10.76,1121000
2000-02-23,13.46,14.29,13.25,14.1,11.38,564000
2000-02-24,14.27,14.27,12.96,13.21,10.66,366600
2000-02-25,13.21,14.12,13.17,13.92,11.23,602600
2000-02-28,14.08,14.27,13.62,13.79,11.13,1067000
2000-02-29,14.02,14.02,13.06,13.33,10.76,819000
2000-03-01,13.32,13.77,12.42,13.54,10.93,1668600
2000-03-02,13.65,13.83,12.67,12.79,10.32,827000
2000-03-03,12.92,13.29,12.5,13.1,10.58,1003200
2000-03-06,13.27,13.33,12.92,13.04,10.53,695000
2000-03-07,13.22,13.25,12.75,12.81,10.34,472400
2000-03-08,12.83,13.17,12.77,13.08,10.56,387800
2000-03-09,13.08,13.27,12.69,13.27,10.71,1018400
2000-03-10,13.19,13.44,12.69,12.71,10.26,1361000
2000-03-13,12.77,12.77,11.83,12.08,9.75,2302200
2000-03-14,12.27,12.44,11.52,12.17,9.82,1299600
2000-03-15,12.58,12.92,12.33,12.69,10.24,1045200
2000-03-16,12.92,13.56,12.75,13.56,10.95,879600
2000-03-17,13.29,13.43,13.0,13.1,10.58,249200
2000-03-20,13.29,13.56,12.88,12.9,10.41,705600
2000-03-21,13.0,13.17,12.52,12.77,10.31,865200
2000-03-22,12.75,12.77,12.27,12.5,10.09,1946000
2000-03-23,12.31,12.73,12.12,12.65,10.21,1341800
2000-03-24,12.75,12.81,12.29,12.6,10.17,1740600
2000-03-27,12.54,12.94,12.04,12.73,10.27,1173600
2000-03-28,12.75,12.75,12.12,12.19,9.84,797600
2000-03-29,12.17,12.4,12.0,12.29,9.92,779000
2000-03-30,12.25,12.79,12.21,12.46,10.06,635000
2000-03-31,12.54,13.75,12.54,13.75,11.1,699800
