Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,11.97,12.12,11.84,12.08,4.36,217600
2000-01-03,11.98,12.03,11.5,11.83,4.27,772000
2000-01-04,11.81,11.81,11.38,11.5,4.15,667600
2000-01-05,11.5,11.72,11.34,11.52,4.15,857600
2000-01-06,11.12,12.0,10.41,11.92,4.3,3072000
2000-01-07,11.92,12.5,11.88,12.23,4.41,2006000
2000-01-10,12.17,12.47,11.95,12.41,4.48,1014800
2000-01-11,12.31,12.31,11.59,11.7,4.22,769200
2000-01-12,11.7,11.97,11.62,11.75,4.24,677600
2000-01-13,11.81,12.25,11.8,11.95,4.31,608400
2000-01-14,12.02,12.06,11.67,11.67,4.21,443200
2000-01-18,11.55,11.64,11.38,11.56,4.17,511200
2000-01-19,11.56,11.56,11.27,11.3,4.07,1146800
2000-01-20,11.36,11.36,10.97,11.05,3.98,572400
2000-01-21,11.11,11.25,10.58,10.75,3.88,1079600
2000-01-24,10.8,10.81,10.28,10.42,3.76,1034400
2000-01-25,10.38,10.42,10.05,10.14,3.66,1258800
2000-01-26,10.2,10.3,10.0,10.17,3.67,2245200
2000-01-27,10.11,10.11,9.75,9.95,3.59,1246800
2000-01-28,10.12,10.16,9.5,9.66,3.48,1690000
2000-01-31,9.59,9.73,9.44,9.56,3.45,1202800
2000-02-01,9.38,9.56,9.3,9.31,3.36,1048000
2000-02-02,9.31,9.45,9.14,9.14,3.3,979600
2000-02-03,9.27,9.42,9.14,9.34,3.37,2487600
2000-02-04,9.34,9.45,9.34,9.39,3.39,1194000
2000-02-07,9.41,9.48,9.09,9.28,3.35,1344800
2000-02-08,9.34,9.5,9.16,9.23,3.33,1170000
2000-02-09,9.25,9.34,9.14,9.14,3.3,909600
2000-02-10,9.14,9.23,9.06,9.16,3.3,1580800
2000-02-11,9.25,9.25,8.72,8.77,3.16,1278800
2000-02-14,8.78,8.97,8.75,8.84,3.19,1257200
2000-02-15,8.84,9.08,8.84,8.98,3.24,1914800
2000-02-16,9.25,9.27,9.11,9.27,3.34,1792000
2000-02-17,9.0,9.09,8.91,9.02,3.25,1058800
2000-02-18,9.16,10.5,9.05,10.19,3.67,2434800
2000-02-22,10.12,10.17,9.64,10.17,3.67,2058400
2000-02-23,10.16,10.16,9.56,9.56,3.45,720000
2000-02-24,9.55,9.55,8.69,8.75,3.16,2075600
2000-02-25,8.56,8.69,8.44,8.66,3.12,2153200
2000-02-28,8.52,8.52,8.28,8.41,3.14,1172800
2000-02-29,8.47,8.47,8.25,8.33,3.11,1358000
2000-03-01,8.39,8.62,8.34,8.47,3.16,996400
2000-03-02,8.25,8.31,8.09,8.23,3.08,1185600
2000-03-03,8.3,8.67,8.2,8.66,3.23,1090400
2000-03-06,8.53,8.59,8.25,8.25,3.08,849600
2000-03-07,8.39,8.41,7.81,7.83,2.93,852400
2000-03-08,7.95,8.0,7.53,7.77,2.9,1096400
2000-03-09,7.86,8.06,7.69,8.0,2.99,651600
2000-03-10,7.75,8.06,7.7,8.0,2.99,1124000
2000-03-13,7.88,7.88,7.64,7.86,2.94,709200
