Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.81,31.19,30.81,31.19,16.85,165600
2000-01-03,30.94,31.0,29.5,29.5,15.94,1615200
2000-01-04,29.56,30.0,29.56,29.88,16.14,456400
2000-01-05,29.81,31.0,29.69,30.69,16.58,1842300
2000-01-06,30.69,31.12,30.12,30.44,16.45,366500
2000-01-07,30.88,31.25,30.62,31.12,16.82,531300
2000-01-10,30.94,31.31,30.44,30.69,16.58,257800
2000-01-11,30.56,31.56,30.56,31.5,17.02,1471100
2000-01-12,31.31,31.5,31.06,31.31,16.92,1518200
2000-01-13,31.56,32.0,31.31,31.62,17.09,492700
2000-01-14,31.62,31.62,30.88,31.19,16.85,276700
2000-01-18,31.0,31.0,30.44,30.56,16.52,418900
2000-01-19,30.62,31.12,30.5,30.88,16.68,512300
2000-01-20,30.94,31.12,30.31,30.94,16.72,391500
2000-01-21,31.0,31.62,30.62,31.38,16.95,567300
2000-01-24,31.5,32.06,31.25,31.25,16.89,657300
2000-01-25,31.31,31.31,30.5,30.69,16.58,714500
2000-01-26,30.88,30.88,30.0,30.44,16.45,1105700
2000-01-27,30.69,30.69,29.94,30.0,16.21,572300
2000-01-28,29.75,30.25,29.44,29.5,15.94,514300
2000-01-31,29.75,30.38,29.31,30.0,16.21,982200
2000-02-01,26.12,26.62,22.75,23.5,12.7,4026100
2000-02-02,23.0,23.0,20.31,21.38,11.55,6256700
2000-02-03,21.19,22.31,21.06,21.94,11.85,5044000
2000-02-04,21.88,22.0,20.12,20.38,11.2,3314200
2000-02-07,20.38,20.56,20.06,20.31,11.16,698100
2000-02-08,20.38,20.69,20.25,20.31,11.16,807100
2000-02-09,20.31,20.38,19.81,19.94,10.96,1282000
2000-02-10,19.94,19.94,18.06,18.75,10.3,2792300
2000-02-11,18.81,18.81,18.06,18.62,10.23,1121200
2000-02-14,18.75,19.38,18.62,19.19,10.54,714400
2000-02-15,19.5,19.75,19.25,19.38,10.65,746200
2000-02-16,19.12,19.31,18.5,18.69,10.27,920000
2000-02-17,18.69,18.69,18.0,18.38,10.1,1281500
2000-02-18,18.31,18.5,17.94,18.31,10.06,907200
2000-02-22,18.31,18.38,17.94,18.25,10.03,685400
2000-02-23,18.44,18.44,17.5,17.56,9.65,1077400
2000-02-24,17.69,17.69,16.88,17.0,9.34,697500
2000-02-25,17.0,17.0,16.19,16.44,9.03,757300
2000-02-28,16.69,16.69,16.06,16.5,9.07,816200
2000-02-29,16.62,16.94,16.56,16.75,9.2,914200
2000-03-01,16.75,17.0,16.69,16.94,9.31,487000
2000-03-02,16.94,17.25,16.88,16.88,9.27,1122500
2000-03-03,17.0,17.12,16.81,17.06,9.38,899300
2000-03-06,17.75,18.0,17.0,17.31,9.51,1817500
2000-03-07,17.31,17.5,17.12,17.25,9.48,842300
2000-03-08,17.25,17.38,17.06,17.19,9.45,850000
2000-03-09,17.19,17.25,16.88,17.12,9.41,589200
2000-03-10,17.06,17.38,17.06,17.19,9.45,450800
