Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.35,1.35,1.32,1.34,1.22,252800
2000-01-03,1.34,1.34,1.22,1.23,1.12,1306400
2000-01-04,1.22,1.22,1.19,1.2,1.09,334400
2000-01-05,1.19,1.22,1.19,1.22,1.11,363200
2000-01-06,1.21,1.27,1.21,1.24,1.13,538400
2000-01-07,1.24,1.3,1.24,1.3,1.18,388800
2000-01-10,1.31,1.32,1.25,1.25,1.14,766400
2000-01-11,1.24,1.24,1.2,1.2,1.09,723200
2000-01-12,1.2,1.2,1.18,1.18,1.07,547200
2000-01-13,1.19,1.19,1.17,1.19,1.08,1940000
2000-01-14,1.19,1.21,1.18,1.21,1.1,1100000
2000-01-18,1.21,1.29,1.21,1.27,1.15,1956800
2000-01-19,1.28,1.29,1.26,1.27,1.15,2683200
2000-01-20,1.26,1.27,1.25,1.27,1.15,1493600
2000-01-21,1.25,1.31,1.25,1.28,1.16,1320800
2000-01-24,1.28,1.28,1.23,1.23,1.12,886400
2000-01-25,1.23,1.24,1.22,1.23,1.12,454400
2000-01-26,1.24,1.39,1.24,1.31,1.19,1839200
2000-01-27,1.31,1.32,1.25,1.26,1.14,788000
2000-01-28,1.25,1.27,1.24,1.25,1.14,780000
2000-01-31,1.24,1.25,1.2,1.23,1.12,507200
2000-02-01,1.24,1.28,1.24,1.28,1.16,682400
2000-02-02,1.28,1.29,1.26,1.28,1.16,357600
2000-02-03,1.29,1.33,1.29,1.31,1.19,869600
2000-02-04,1.31,1.32,1.31,1.31,1.19,1332800
2000-02-07,1.31,1.32,1.29,1.31,1.19,320000
2000-02-08,1.29,1.31,1.28,1.28,1.16,602400
2000-02-09,1.27,1.29,1.27,1.27,1.15,281600
2000-02-10,1.27,1.3,1.24,1.3,1.18,1008800
2000-02-11,1.3,1.3,1.27,1.27,1.16,316800
2000-02-14,1.28,1.28,1.26,1.26,1.15,612800
2000-02-15,1.27,1.28,1.25,1.27,1.15,1841600
2000-02-16,1.27,1.27,1.25,1.27,1.15,1644800
2000-02-17,1.26,1.27,1.23,1.24,1.13,896000
2000-02-18,1.24,1.24,1.2,1.21,1.1,561600
2000-02-22,1.21,1.22,1.18,1.19,1.09,1360800
2000-02-23,1.19,1.19,1.17,1.18,1.08,384000
2000-02-24,1.18,1.23,1.18,1.2,1.1,360000
2000-02-25,1.19,1.24,1.18,1.23,1.12,1336800
2000-02-28,1.2,1.26,1.18,1.26,1.14,501600
2000-02-29,1.25,1.32,1.23,1.32,1.2,605600
2000-03-01,1.32,1.35,1.32,1.35,1.23,2980800
2000-03-02,1.36,1.41,1.36,1.4,1.27,1464000
2000-03-03,1.4,1.43,1.4,1.41,1.29,964800
2000-03-06,1.41,1.44,1.41,1.43,1.3,4927200
2000-03-07,1.44,1.52,1.42,1.49,1.36,1520000
2000-03-08,1.49,1.51,1.46,1.46,1.33,4411200
2000-03-09,1.46,1.46,1.42,1.44,1.31,1923200
2000-03-10,1.44,1.47,1.43,1.44,1.31,2873600
2000-03-13,1.43,1.48,1.43,1.45,1.32,902400
2000-03-14,1.45,1.48,1.44,1.46,1.33,768000
2000-03-15,1.45,1.46,1.42,1.42,1.3,525600
2000-03-16,1.44,1.45,1.42,1.43,1.3,1192800
2000-03-17,1.42,1.45,1.42,1.44,1.31,285600
2000-03-20,1.43,1.44,1.4,1.4,1.28,744800
2000-03-21,1.41,1.46,1.4,1.45,1.32,628800
2000-03-22,1.46,1.47,1.46,1.47,1.34,988800
2000-03-23,1.47,1.48,1.44,1.44,1.31,812000
2000-03-24,1.44,1.47,1.44,1.44,1.31,432000
2000-03-27,1.44,1.44,1.39,1.41,1.28,2011200
2000-03-28,1.4,1.4,1.38,1.39,1.27,1252800
2000-03-29,1.35,1.46,1.35,1.46,1.33,5056800
2000-03-30,1.47,1.5,1.44,1.5,1.37,1409600
2000-03-31,1.5,1.54,1.49,1.51,1.37,2131200
2000-04-03,1.51,1.52,1.5,1.51,1.38,753600
2000-04-04,1.52,1.52,1.4,1.4,1.27,1224000
2000-04-05,1.4,1.44,1.36,1.44,1.31,1375200
2000-04-06,1.45,1.48,1.45,1.46,1.33,816800
2000-04-07,1.46,1.46,1.41,1.43,1.3,684800
2000-04-10,1.44,1.44,1.41,1.41,1.28,492000
2000-04-11,1.42,1.44,1.4,1.43,1.3,727200
2000-04-12,1.5,1.5,1.44,1.49,1.36,2733600
2000-04-13,1.48,1.5,1.44,1.5,1.37,3048000
2000-04-14,1.5,1.5,1.38,1.46,1.33,1781600
2000-04-17,1.45,1.48,1.45,1.46,1.33,1113600
2000-04-18,1.47,1.52,1.47,1.49,1.36,804800
2000-04-19,1.48,1.48,1.43,1.46,1.33,1411200
2000-04-20,1.46,1.5,1.45,1.49,1.36,1901600
2000-04-24,1.5,1.51,1.47,1.5,1.37,1697600
2000-04-25,1.5,1.56,1.5,1.56,1.42,1540800
2000-04-26,1.56,1.56,1.52,1.53,1.39,1492800
2000-04-27,1.53,1.59,1.51,1.57,1.43,2009600
2000-04-28,1.58,1.58,1.54,1.55,1.41,1239200
2000-05-01,1.54,1.64,1.54,1.6,1.46,1340000
2000-05-02,1.58,1.6,1.55,1.57,1.43,1992000
2000-05-03,1.56,1.56,1.53,1.54,1.4,1157600
2000-05-04,1.53,1.54,1.51,1.51,1.38,1267200
2000-05-05,1.51,1.53,1.5,1.53,1.39,1816800
2000-05-08,1.54,1.58,1.53,1.57,1.43,2928800
2000-05-09,1.57,1.67,1.56,1.66,1.51,5824800
2000-05-10,1.65,1.66,1.61,1.64,1.49,2602400
2000-05-11,1.65,1.75,1.65,1.75,1.59,3058400
2000-05-12,1.77,1.78,1.7,1.73,1.58,2563200
2000-05-15,1.71,1.8,1.71,1.8,1.64,2604000
2000-05-16,1.83,1.9,1.75,1.81,1.65,4956800
2000-05-17,1.77,1.85,1.76,1.83,1.67,2565600
