Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,14.97,15.12,14.97,15.06,14.73,26600
2000-01-03,15.19,15.19,14.44,14.75,14.43,142400
2000-01-04,14.69,15.0,14.5,14.88,14.55,157600
2000-01-05,14.88,15.34,14.88,14.97,14.64,433400
2000-01-06,14.97,14.97,14.75,14.97,14.64,63400
2000-01-07,14.97,15.09,14.91,15.09,14.77,426800
2000-01-10,15.09,15.12,15.0,15.12,14.8,224200
2000-01-11,15.06,15.12,14.94,15.03,14.7,116800
2000-01-12,14.97,15.28,14.97,15.19,14.86,131000
2000-01-13,15.22,15.47,15.16,15.47,15.13,179800
2000-01-14,15.47,15.62,15.28,15.5,15.16,276600
2000-01-18,15.38,15.56,15.38,15.53,15.19,96600
2000-01-19,15.53,16.34,15.5,16.25,15.9,240200
2000-01-20,16.25,16.81,16.25,16.28,15.93,292200
2000-01-21,16.16,16.19,15.78,16.09,15.74,189400
2000-01-24,16.09,16.22,15.59,15.62,15.28,131000
2000-01-25,15.56,15.81,15.56,15.78,15.44,67000
2000-01-26,15.88,15.97,15.5,15.59,15.25,536600
2000-01-27,15.5,15.69,15.38,15.69,15.35,328000
2000-01-28,15.62,15.69,15.44,15.5,15.16,97200
2000-01-31,15.38,15.47,14.81,15.12,14.8,132400
2000-02-01,15.16,15.47,15.09,15.44,15.1,84400
2000-02-02,15.38,15.38,15.06,15.25,14.92,62200
2000-02-03,15.19,15.62,15.03,15.62,15.28,79800
2000-02-04,15.56,15.88,15.53,15.66,15.32,165200
2000-02-07,15.56,15.81,15.5,15.69,15.35,79600
2000-02-08,15.62,15.78,15.22,15.25,14.92,105800
2000-02-09,15.16,15.53,15.12,15.34,15.01,78200
2000-02-10,15.28,15.44,15.12,15.31,14.98,89200
2000-02-11,15.38,15.47,15.12,15.12,14.8,52000
2000-02-14,15.09,15.09,14.88,14.91,14.58,180400
2000-02-15,14.91,15.0,14.88,14.91,14.58,34000
2000-02-16,14.81,15.0,14.75,14.78,14.46,105800
2000-02-17,14.88,15.06,14.78,14.97,14.64,203600
2000-02-18,15.09,15.09,14.94,14.97,14.64,140200
2000-02-22,15.03,15.03,14.72,14.97,14.64,200400
2000-02-23,15.03,15.25,15.03,15.19,14.86,111000
2000-02-24,15.31,15.62,15.25,15.28,14.95,239000
2000-02-25,15.28,15.31,14.56,14.56,14.25,92200
2000-02-28,14.56,14.59,14.03,14.12,13.82,153400
2000-02-29,14.12,14.22,13.56,13.56,13.27,248000
2000-03-01,13.72,13.84,13.41,13.5,13.21,151600
2000-03-02,13.5,13.88,13.31,13.88,13.57,239200
2000-03-03,13.94,14.5,13.94,14.38,14.06,198800
2000-03-06,14.31,14.47,14.0,14.38,14.06,105200
2000-03-07,14.0,14.0,13.62,13.75,13.45,113800
2000-03-08,13.69,13.69,13.44,13.56,13.27,76000
2000-03-09,13.5,13.62,13.31,13.44,13.15,52800
2000-03-10,13.38,13.38,12.84,12.84,12.56,153400
2000-03-13,12.81,12.81,12.5,12.69,12.42,157400
2000-03-14,12.62,12.97,12.62,12.78,12.51,207600
2000-03-15,12.66,13.0,12.5,12.97,12.7,116000
2000-03-16,12.94,14.31,12.84,14.31,14.01,327200
2000-03-17,14.31,14.31,14.06,14.22,13.92,110600
2000-03-20,14.22,14.91,14.22,14.91,14.59,295600
2000-03-21,14.91,15.03,14.72,15.0,14.69,190600
2000-03-22,15.19,15.75,15.19,15.62,15.3,223800
2000-03-23,18.0,18.0,16.62,16.97,16.61,1839400
2000-03-24,17.09,17.12,15.28,15.81,15.48,398400
2000-03-27,15.78,15.78,15.41,15.41,15.08,158200
2000-03-28,15.41,15.66,15.31,15.66,15.33,269000
2000-03-29,15.66,16.19,15.62,15.97,15.63,254600
2000-03-30,16.09,16.28,15.16,15.19,14.87,89800
2000-03-31,15.19,16.09,15.19,16.09,15.76,187200
2000-04-03,16.09,16.97,15.78,16.69,16.34,301000
2000-04-04,16.66,16.66,16.09,16.53,16.18,223800
2000-04-05,16.53,17.75,16.25,17.25,16.89,516400
2000-04-06,17.5,17.62,17.03,17.12,16.77,244000
2000-04-07,17.44,17.56,17.19,17.5,17.13,227200
2000-04-10,17.75,17.81,17.31,17.44,17.07,141800
2000-04-11,17.0,17.19,17.0,17.0,16.64,166200
2000-04-12,17.0,17.91,17.0,17.66,17.29,879200
2000-04-13,17.59,17.62,17.31,17.34,16.98,168000
2000-04-14,17.25,17.31,16.38,16.44,16.09,93800
2000-04-17,16.44,16.5,15.84,15.91,15.57,121400
2000-04-18,16.03,16.28,15.88,15.94,15.6,218600
2000-04-19,15.94,16.06,15.44,15.5,15.17,253800
2000-04-20,15.62,15.88,15.56,15.69,15.36,205600
2000-04-24,15.56,15.69,15.5,15.62,15.3,77000
2000-04-25,15.75,15.75,15.31,15.59,15.27,172200
2000-04-26,15.66,15.84,15.5,15.5,15.17,95600
2000-04-27,15.59,15.88,15.44,15.81,15.48,171200
2000-04-28,15.94,17.03,15.94,16.81,16.46,248200
2000-05-01,16.81,17.22,16.72,17.0,16.64,111200
2000-05-02,16.88,17.25,16.88,17.03,16.67,84400
2000-05-03,16.91,16.91,16.19,16.44,16.09,211200
2000-05-04,16.56,16.88,16.44,16.56,16.21,136000
2000-05-05,16.56,16.81,16.5,16.78,16.43,32400
2000-05-08,16.72,16.84,16.59,16.75,16.4,101800
2000-05-09,16.78,17.12,16.66,17.09,16.73,152200
2000-05-10,17.03,17.12,16.81,17.06,16.7,91400
2000-05-11,17.0,17.25,16.94,17.25,16.89,73200
2000-05-12,17.28,17.56,17.28,17.41,17.04,170400
2000-05-15,17.41,17.59,17.38,17.41,17.04,139200
2000-05-16,17.47,17.69,17.44,17.59,17.22,195600
2000-05-17,17.53,17.53,17.31,17.31,16.95,37200
2000-05-18,17.38,17.47,17.0,17.03,16.67,55800
2000-05-19,16.97,16.97,16.56,16.69,16.34,75400
2000-05-22,16.69,16.84,16.5,16.53,16.18,84400
2000-05-23,16.66,16.84,16.59,16.62,16.28,62200
2000-05-24,16.66,16.75,16.38,16.5,16.15,94800
2000-05-25,16.5,16.66,16.44,16.62,16.28,76600
2000-05-26,16.62,16.81,16.56,16.69,16.34,121200
2000-05-30,16.88,17.47,16.81,17.47,17.1,224600
2000-05-31,17.5,17.62,17.25,17.25,16.89,116600
2000-06-01,17.31,17.38,17.12,17.25,16.89,43200
2000-06-02,17.31,17.5,17.28,17.47,17.1,61200
2000-06-05,17.5,17.75,17.25,17.66,17.29,187800
2000-06-06,17.66,18.12,17.66,17.72,17.35,271000
2000-06-07,17.81,17.91,17.69,17.91,17.53,155600
2000-06-08,17.91,18.19,17.84,18.16,17.77,212400
2000-06-09,18.28,18.94,18.28,18.81,18.42,307600
2000-06-12,19.0,19.16,18.5,18.62,18.23,215400
2000-06-13,18.59,18.59,18.31,18.47,18.09,179800
2000-06-14,18.53,18.62,18.31,18.5,18.12,114600
2000-06-15,18.5,18.75,18.47,18.5,18.12,64600
2000-06-16,18.69,18.69,18.06,18.12,17.75,230000
2000-06-19,18.19,18.62,18.12,18.5,18.12,147200
2000-06-20,18.53,18.69,18.47,18.53,18.15,151600
2000-06-21,18.5,18.56,18.31,18.53,18.15,181000
2000-06-22,18.62,18.69,18.12,18.12,17.75,435400
2000-06-23,18.12,18.16,17.88,18.16,17.78,229200
2000-06-26,18.19,18.19,18.03,18.12,17.75,35000
2000-06-27,18.16,18.19,18.03,18.03,17.66,72600
2000-06-28,18.03,18.44,18.03,18.44,18.06,104600
2000-06-29,18.41,18.53,18.25,18.31,17.94,46000
2000-06-30,18.38,18.41,18.03,18.19,17.82,132600
2000-07-03,18.31,18.66,18.22,18.59,18.21,69200
2000-07-05,18.56,18.75,18.5,18.75,18.37,95600
2000-07-06,18.75,19.12,18.69,19.06,18.67,184600
2000-07-07,19.06,19.41,18.91,18.94,18.55,211400
2000-07-10,18.97,19.0,18.84,18.91,18.52,67800
2000-07-11,18.94,18.94,18.47,18.62,18.24,66800
2000-07-12,18.62,18.62,18.41,18.62,18.24,71000
2000-07-13,18.56,18.72,18.5,18.72,18.34,78200
2000-07-14,18.69,18.94,18.56,18.69,18.3,56200
2000-07-17,18.72,18.72,18.12,18.12,17.75,183000
2000-07-18,18.12,18.53,18.12,18.41,18.03,105200
2000-07-19,18.38,18.44,17.94,18.19,17.82,74200
2000-07-20,18.12,18.31,18.09,18.22,17.85,246600
2000-07-21,18.19,18.22,18.09,18.09,17.72,134400
2000-07-24,18.19,18.22,17.88,18.0,17.63,105800
2000-07-25,18.06,18.06,17.66,17.75,17.39,105200
2000-07-26,17.69,17.69,17.31,17.47,17.11,165000
2000-07-27,17.38,17.5,17.28,17.28,16.93,70800
2000-07-28,17.28,17.28,17.12,17.16,16.81,39600
2000-07-31,17.16,17.56,17.09,17.56,17.2,65200
2000-08-01,17.62,18.03,17.62,18.03,17.66,71000
2000-08-02,17.97,18.06,17.88,17.94,17.57,31400
2000-08-03,17.88,17.88,17.66,17.66,17.29,48400
2000-08-04,17.69,17.78,17.44,17.78,17.42,349400
2000-08-07,17.84,18.19,17.84,18.0,17.63,98000
2000-08-08,17.94,18.09,17.75,17.84,17.48,104600
2000-08-09,17.84,18.12,17.78,18.09,17.72,133600
2000-08-10,18.03,18.09,17.88,18.09,17.72,61600
2000-08-11,18.06,18.09,17.81,17.84,17.48,23600
2000-08-14,17.78,17.78,17.41,17.47,17.11,90200
2000-08-15,17.41,17.41,16.97,17.16,16.81,175000
2000-08-16,17.25,17.28,17.06,17.19,16.84,94000
2000-08-17,17.19,17.19,16.97,17.0,16.65,63200
2000-08-18,16.88,16.88,16.25,16.5,16.16,543200
2000-08-21,16.34,16.38,15.94,16.0,15.67,189000
2000-08-22,15.94,16.44,15.84,16.44,16.1,133600
2000-08-23,16.81,17.0,16.38,16.38,16.04,120200
2000-08-24,16.25,16.25,14.0,14.62,14.33,1859400
2000-08-25,14.88,14.88,13.12,13.69,13.41,1291600
2000-08-28,13.66,13.69,13.22,13.69,13.41,327400
2000-08-29,13.81,14.56,13.81,14.5,14.2,352200
2000-08-30,14.81,16.28,14.81,16.28,15.95,993400
2000-08-31,16.34,16.44,16.06,16.44,16.1,259200
2000-09-01,16.5,16.66,16.44,16.59,16.25,132000
2000-09-05,16.53,16.78,16.53,16.72,16.38,96600
2000-09-06,16.78,16.91,16.69,16.81,16.47,63600
2000-09-07,16.78,16.84,16.62,16.81,16.47,89200
2000-09-08,16.84,17.03,16.69,16.88,16.53,123400
2000-09-11,16.81,17.25,16.72,17.25,16.9,191000
2000-09-12,17.23,17.34,16.91,17.19,16.84,114200
2000-09-13,17.16,17.25,16.97,17.22,16.88,71400
2000-09-14,17.34,17.34,16.5,16.5,16.17,130600
2000-09-15,16.31,16.81,16.09,16.81,16.48,325800
2000-09-18,16.88,16.88,16.44,16.47,16.14,130800
2000-09-19,16.34,16.44,16.06,16.09,15.77,126600
2000-09-20,16.16,16.28,16.09,16.19,15.87,60800
2000-09-21,16.19,16.22,15.88,16.22,15.9,192000
2000-09-22,16.16,16.47,15.88,16.44,16.11,189800
2000-09-25,16.38,16.44,16.09,16.22,15.9,77000
2000-09-26,16.16,16.19,15.88,16.03,15.71,118200
2000-09-27,16.0,16.31,16.0,16.09,15.77,107600
2000-09-28,16.06,17.0,16.0,16.81,16.48,161000
2000-09-29,16.75,17.69,16.72,17.69,17.34,331400
2000-10-02,17.69,17.75,17.19,17.31,16.97,243400
2000-10-03,17.38,17.56,16.88,16.97,16.63,200000
2000-10-04,16.94,17.06,16.62,16.69,16.36,192600
2000-10-05,16.56,17.12,16.56,17.0,16.66,142000
2000-10-06,17.06,17.19,16.94,17.09,16.75,137800
2000-10-09,17.03,17.25,17.03,17.25,16.91,144800
2000-10-10,17.06,17.38,17.06,17.25,16.91,161400
2000-10-11,17.22,17.22,16.84,17.03,16.69,56000
2000-10-12,17.09,17.09,16.81,17.0,16.66,120600
2000-10-13,16.94,17.62,16.62,17.47,17.12,155800
2000-10-16,17.47,17.59,17.38,17.38,17.03,38200
2000-10-17,17.31,17.5,17.16,17.38,17.03,49600
2000-10-18,17.31,17.5,17.31,17.38,17.03,30200
2000-10-19,17.44,17.5,17.34,17.5,17.15,39000
2000-10-20,17.44,17.5,17.41,17.44,17.09,23600
2000-10-23,17.38,17.69,17.38,17.66,17.3,37200
2000-10-24,17.66,17.69,17.41,17.59,17.24,57800
2000-10-25,17.66,17.69,17.44,17.62,17.27,102400
2000-10-26,17.56,17.69,17.41,17.5,17.15,62400
2000-10-27,17.56,17.75,17.56,17.69,17.34,62200
2000-10-30,17.62,17.81,17.56,17.75,17.4,76800
2000-10-31,17.75,17.88,17.5,17.88,17.52,96800
2000-11-01,17.88,17.88,17.5,17.59,17.24,93000
2000-11-02,17.53,17.62,17.38,17.62,17.27,68000
2000-11-03,17.72,17.84,17.72,17.84,17.49,47400
2000-11-06,17.91,17.91,17.72,17.81,17.46,26400
2000-11-07,17.81,17.81,17.44,17.66,17.3,73800
2000-11-08,17.66,17.84,17.47,17.66,17.3,118800
2000-11-09,17.59,17.59,16.88,17.03,16.69,163800
2000-11-10,17.06,17.06,16.59,16.72,16.39,122800
2000-11-13,16.47,16.62,16.03,16.62,16.29,208400
2000-11-14,16.66,16.97,16.66,16.88,16.54,71200
2000-11-15,16.88,17.19,16.81,17.19,16.85,48800
2000-11-16,17.31,17.38,17.16,17.16,16.81,55400
2000-11-17,17.22,17.25,17.09,17.25,16.91,49000
2000-11-20,17.19,17.22,16.94,17.03,16.69,50400
2000-11-21,17.09,17.12,16.91,16.94,16.6,28400
2000-11-22,16.94,16.94,16.53,16.59,16.26,48000
2000-11-24,16.59,16.62,16.59,16.59,16.26,5400
2000-11-27,16.62,16.84,16.59,16.69,16.36,39000
2000-11-28,16.75,16.75,16.38,16.38,16.05,32800
2000-11-29,16.41,16.5,16.38,16.44,16.11,24400
2000-11-30,16.44,16.44,16.28,16.28,15.96,20000
2000-12-01,16.28,16.44,16.28,16.38,16.05,21400
2000-12-04,16.06,16.25,16.06,16.06,15.74,86000
2000-12-05,16.12,16.34,16.09,16.34,16.02,51400
2000-12-06,16.38,16.5,16.31,16.34,16.02,84000
2000-12-07,16.38,16.5,15.97,15.97,15.65,68200
2000-12-08,15.91,15.97,15.28,15.34,15.04,135000
2000-12-11,15.41,15.75,15.38,15.47,15.16,218200
2000-12-12,15.59,16.25,15.25,15.97,15.65,372000
2000-12-13,16.0,16.25,16.0,16.12,15.81,82200
2000-12-14,16.09,16.16,15.62,15.72,15.42,150400
2000-12-15,15.66,18.0,15.66,17.81,17.47,517200
2000-12-18,17.69,17.84,17.22,17.47,17.13,212000
2000-12-19,17.47,17.66,17.31,17.59,17.25,247000
2000-12-20,17.44,17.59,17.28,17.28,16.95,86200
2000-12-21,17.31,17.47,17.31,17.47,17.13,59200
2000-12-22,17.47,18.19,17.47,18.03,17.68,296200
2000-12-26,18.0,18.44,18.0,18.25,17.9,148800
2000-12-27,18.31,19.38,18.31,19.38,19.0,172200
2000-12-28,19.5,19.88,19.44,19.72,19.34,149000
2000-12-29,19.72,20.75,19.72,19.94,19.55,343200
2001-01-02,19.69,20.19,19.38,19.97,19.58,345400
2001-01-03,20.09,20.25,19.91,19.94,19.55,434200
2001-01-04,19.84,20.06,19.03,19.03,18.66,168600
2001-01-05,18.81,18.88,18.25,18.5,18.14,300800
2001-01-08,18.41,18.75,18.12,18.25,17.9,218200
2001-01-09,18.28,19.0,18.28,18.72,18.36,280200
2001-01-10,18.75,19.69,18.75,19.5,19.12,97000
2001-01-11,19.53,19.97,19.19,19.25,18.88,183200
2001-01-12,19.19,20.19,19.19,19.75,19.37,228000
2001-01-16,19.69,19.72,19.19,19.72,19.34,247200
2001-01-17,19.66,19.66,18.59,18.59,18.24,261200
2001-01-18,18.72,19.09,18.72,19.09,18.73,66800
2001-01-19,19.06,19.16,18.91,18.94,18.57,41200
2001-01-22,18.88,19.38,18.88,19.28,18.91,248600
2001-01-23,19.28,19.38,19.25,19.25,18.88,119200
2001-01-24,19.31,19.88,19.31,19.69,19.31,152800
2001-01-25,19.72,19.88,19.5,19.88,19.49,46400
2001-01-26,19.91,20.38,19.78,19.88,19.49,142000
2001-01-29,19.85,20.0,19.66,19.98,19.59,60400
2001-01-30,20.0,20.23,19.89,20.1,19.71,163200
2001-01-31,20.11,20.15,19.2,19.3,18.93,213600
2001-02-01,19.2,19.3,19.0,19.3,18.93,125200
2001-02-02,19.23,19.27,18.86,18.87,18.51,81800
2001-02-05,18.75,18.88,18.58,18.83,18.46,126200
2001-02-06,18.95,19.17,18.75,18.98,18.61,721400
2001-02-07,19.05,19.67,18.92,19.61,19.23,77800
2001-02-08,19.55,19.8,19.35,19.35,18.98,122400
2001-02-09,19.35,19.35,19.2,19.25,18.88,220800
2001-02-12,19.2,19.48,18.85,18.9,18.54,298800
2001-02-13,18.91,19.12,18.12,18.12,17.78,348600
2001-02-14,18.15,18.3,17.45,17.64,17.3,561000
2001-02-15,17.76,18.05,17.7,17.86,17.52,305800
2001-02-16,17.86,18.5,17.73,18.5,18.14,458000
2001-02-20,18.48,19.2,18.38,19.2,18.83,223400
2001-02-21,19.2,19.2,18.8,18.8,18.44,131800
2001-02-22,18.77,19.08,18.73,19.08,18.72,167400
2001-02-23,19.0,19.2,18.8,19.12,18.76,170400
2001-02-26,19.13,19.88,19.13,19.55,19.17,174000
2001-02-27,19.62,19.62,19.15,19.15,18.78,116200
2001-02-28,19.27,20.58,19.27,20.45,20.06,416200
2001-03-01,20.62,20.67,20.08,20.5,20.1,355400
2001-03-02,20.42,20.96,20.33,20.7,20.3,203800
2001-03-05,20.7,22.5,20.7,22.3,21.87,809600
2001-03-06,22.0,22.41,21.35,21.58,21.16,345000
2001-03-07,21.58,22.2,21.5,22.0,21.58,149000
2001-03-08,21.5,22.17,21.42,22.12,21.7,302200
2001-03-09,22.0,22.0,21.62,21.8,21.38,196400
2001-03-12,21.62,21.88,21.62,21.78,21.36,165800
2001-03-13,21.66,21.66,20.8,20.88,20.47,185800
2001-03-14,20.75,21.05,20.55,20.75,20.35,149400
2001-03-15,21.0,21.0,20.5,20.5,20.1,176200
2001-03-16,20.88,21.35,20.75,20.75,20.35,128000
2001-03-19,20.75,20.92,20.58,20.92,20.52,146200
2001-03-20,20.8,21.48,20.76,21.48,21.06,122400
2001-03-21,21.48,21.48,21.15,21.15,20.74,117200
2001-03-22,20.75,21.17,20.67,21.12,20.72,276400
2001-03-23,21.17,21.23,20.7,21.12,20.72,85800
2001-03-26,21.1,21.98,21.05,21.98,21.55,139400
2001-03-27,21.95,22.65,21.6,22.46,22.03,315000
2001-03-28,22.45,22.62,22.25,22.35,21.92,251800
2001-03-29,22.25,23.3,22.21,23.15,22.7,300000
2001-03-30,23.12,24.12,22.7,23.67,23.22,548000
2001-04-02,23.67,23.75,22.88,23.15,22.7,404000
2001-04-03,23.15,23.15,22.47,22.65,22.21,166400
2001-04-04,22.65,22.9,22.0,22.64,22.2,211400
2001-04-05,22.65,23.5,22.65,23.5,23.05,179800
2001-04-06,23.5,24.5,23.0,24.3,23.83,1048600
2001-04-09,24.7,25.2,23.85,24.52,24.05,709200
2001-04-10,24.75,24.75,21.8,22.1,21.67,2299400
2001-04-11,22.08,22.1,21.34,21.95,21.53,345200
2001-04-12,21.95,22.27,21.95,22.15,21.72,188200
