Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,45.75,45.75,45.06,45.62,33.41,1163000
2000-01-03,45.53,45.53,43.97,44.5,32.59,6057400
2000-01-04,44.47,44.56,41.97,42.06,30.8,5722800
2000-01-05,42.22,42.94,41.84,42.78,31.33,7726400
2000-01-06,43.31,44.56,43.25,43.64,31.96,7221400
2000-01-07,43.44,46.62,43.41,46.53,34.08,5164800
2000-01-10,46.53,47.53,45.91,47.5,34.79,4454000
2000-01-11,47.12,47.56,45.75,45.81,33.55,2955000
2000-01-12,46.56,47.25,44.94,45.75,33.5,4687400
2000-01-13,46.28,48.06,45.44,47.47,34.76,5750800
2000-01-14,48.12,50.25,48.0,49.06,35.93,4571000
2000-01-18,48.75,51.75,48.25,51.25,37.53,5932000
2000-01-19,51.94,53.12,50.12,51.88,37.99,4130500
2000-01-20,52.38,53.12,50.0,50.0,36.62,5551900
2000-01-21,51.44,51.5,48.0,48.5,35.52,3520200
2000-01-24,48.19,51.25,46.5,47.0,34.42,5005500
2000-01-25,47.56,49.75,45.75,49.69,36.39,3730800
2000-01-26,49.12,52.0,48.69,50.44,36.94,3782800
2000-01-27,50.56,51.38,46.5,48.94,35.84,3109600
2000-01-28,48.62,49.75,45.88,46.0,33.69,2834600
2000-01-31,46.06,49.5,45.0,48.94,35.84,3249700
2000-02-01,49.31,52.12,48.0,51.88,37.99,4530500
2000-02-02,52.0,54.0,51.0,53.94,39.5,4945700
2000-02-03,54.0,55.0,53.25,54.19,39.68,4640800
2000-02-04,54.75,55.19,52.62,53.0,38.81,3273700
2000-02-07,52.0,52.25,51.0,51.25,37.53,2566700
2000-02-08,51.94,53.75,51.75,53.06,38.86,2440700
2000-02-09,52.0,53.0,51.44,52.88,38.72,1466800
2000-02-10,52.81,52.88,51.88,52.12,38.17,2761800
2000-02-11,52.12,52.31,51.0,51.69,37.85,2071000
2000-02-14,51.56,51.62,50.0,50.75,37.17,1856300
2000-02-15,50.06,50.5,48.5,49.38,36.16,2675400
2000-02-16,49.19,49.31,46.38,47.75,34.97,4231600
2000-02-17,48.0,48.0,43.5,44.0,32.22,6955400
2000-02-18,43.75,45.94,41.88,44.94,32.91,6004200
2000-02-22,44.81,45.25,42.62,44.0,32.22,3769600
2000-02-23,44.38,45.25,43.64,44.56,32.63,4267300
2000-02-24,44.7,45.06,43.0,44.38,32.5,3990500
2000-02-25,44.25,48.34,43.75,47.56,34.83,7698400
2000-02-28,47.25,50.62,47.25,48.94,35.84,6621300
2000-02-29,48.88,50.0,48.12,49.62,36.34,3681800
2000-03-01,49.44,49.81,46.12,46.5,34.05,4624400
2000-03-02,47.56,51.88,47.5,49.62,36.34,7841800
2000-03-03,50.19,51.25,48.88,49.94,36.57,2430500
2000-03-06,49.88,50.25,49.12,50.12,36.71,3419200
2000-03-07,50.03,50.06,45.0,45.38,33.23,7506100
2000-03-08,46.31,46.38,42.38,45.62,33.41,6526600
2000-03-09,45.5,45.56,43.69,44.56,32.63,4937300
2000-03-10,44.69,46.25,43.94,44.12,32.31,4934000
2000-03-13,44.0,45.0,42.38,43.0,31.49,3747300
2000-03-14,43.5,45.5,43.12,43.31,31.72,2097100
2000-03-15,43.19,50.5,43.0,49.81,36.48,5515300
2000-03-16,48.88,56.06,48.25,55.95,40.98,12820600
2000-03-17,54.75,54.88,52.25,53.94,39.5,7765900
2000-03-20,53.75,53.88,51.0,52.31,38.31,3873800
2000-03-21,52.12,53.25,52.0,52.19,38.22,4335200
2000-03-22,52.31,55.0,52.12,52.88,38.72,5072800
2000-03-23,52.75,54.0,52.0,53.62,39.27,2929400
2000-03-24,53.81,55.06,53.31,53.88,39.45,5254700
2000-03-27,53.25,54.62,52.75,53.44,39.13,2459100
2000-03-28,53.25,55.69,50.25,51.12,37.44,6036600
2000-03-29,51.19,51.19,49.44,50.5,36.98,5350400
2000-03-30,50.28,52.31,49.75,50.25,36.8,8942800
2000-03-31,51.31,52.75,49.5,52.56,38.49,9953300
2000-04-03,51.5,53.25,49.94,52.5,38.45,4199700
2000-04-04,53.94,55.25,49.75,54.06,39.59,9565100
2000-04-05,53.94,55.0,53.0,53.5,39.18,2591700
2000-04-06,54.5,54.75,50.62,51.88,37.99,4240500
2000-04-07,51.25,54.44,50.75,52.81,38.68,2588400
2000-04-10,52.25,55.12,51.12,54.25,39.73,5795900
2000-04-11,53.5,57.62,52.5,57.44,42.06,7303000
2000-04-12,57.06,60.5,54.75,55.06,40.32,7751400
2000-04-13,56.25,58.75,54.5,54.62,40.0,6418200
2000-04-14,54.12,54.12,50.38,50.88,37.26,4131600
2000-04-17,49.5,50.25,46.31,49.12,35.98,7134400
2000-04-18,49.25,51.62,48.75,50.94,37.3,5177100
2000-04-19,51.12,53.06,49.5,52.25,38.26,3508700
2000-04-20,52.12,55.62,51.62,54.81,40.14,4288000
2000-04-24,53.25,58.12,53.25,56.0,41.01,5967100
2000-04-25,56.62,57.12,55.0,57.0,41.74,3733300
2000-04-26,56.59,57.0,54.62,54.94,40.23,3081000
2000-04-27,53.0,56.5,51.62,56.06,41.06,5615600
2000-04-28,55.75,55.88,53.5,54.06,39.59,3699000
2000-05-01,54.06,59.0,52.88,58.44,42.79,3629500
2000-05-02,56.75,58.5,54.5,54.75,40.09,3729600
2000-05-03,52.06,52.62,50.38,52.19,38.22,7462700
2000-05-04,51.56,52.38,46.31,48.94,35.84,9973900
2000-05-05,47.81,50.88,47.12,48.81,35.75,4189400
2000-05-08,48.62,48.75,46.75,47.44,34.74,3451500
2000-05-09,48.06,50.38,47.69,49.19,36.02,2988400
2000-05-10,49.0,50.5,48.38,48.94,35.84,3644300
2000-05-11,49.5,50.25,48.5,49.81,36.48,2339900
2000-05-12,49.5,50.12,47.75,47.81,35.01,2610000
2000-05-15,47.88,49.44,47.06,48.94,35.84,3392900
2000-05-16,49.69,52.5,49.62,51.31,37.58,2932400
2000-05-17,50.31,50.31,47.38,47.73,34.96,4054800
2000-05-18,47.75,48.38,46.5,46.75,34.24,3042200
2000-05-19,45.83,46.0,44.81,45.0,32.95,4730400
2000-05-22,45.25,45.5,41.75,43.12,31.58,8660100
2000-05-23,42.94,44.25,40.56,40.62,29.75,8692300
2000-05-24,28.5,33.38,25.94,31.88,23.34,40016500
2000-05-25,32.0,32.5,29.69,30.0,21.97,33098200
2000-05-26,30.62,31.38,30.06,30.88,22.61,15012800
2000-05-30,31.75,32.88,31.31,32.5,23.8,28791800
2000-05-31,32.5,32.81,31.62,31.94,23.39,16909700
2000-06-01,32.69,32.69,31.88,32.38,23.71,15637200
2000-06-02,32.94,34.44,32.38,34.25,25.08,12979600
2000-06-05,34.25,34.31,33.0,33.25,24.35,6547400
2000-06-06,33.0,33.06,31.75,31.75,23.25,12969000
2000-06-07,32.06,33.5,32.0,32.75,23.98,7443500
2000-06-08,32.81,32.88,31.94,32.06,23.48,10472800
2000-06-09,32.38,32.69,31.75,32.31,23.66,7604100
2000-06-12,32.25,32.25,31.31,31.44,23.02,8322600
2000-06-13,31.44,34.69,31.25,32.12,23.53,6943800
2000-06-14,32.5,33.5,32.0,32.56,23.85,3403400
2000-06-15,32.88,33.56,32.0,33.19,24.3,3251500
2000-06-16,33.38,33.44,32.25,32.5,23.8,3507800
2000-06-19,32.25,32.94,31.94,32.0,23.43,6770200
2000-06-20,32.56,32.62,31.38,31.62,23.16,6683800
2000-06-21,31.62,33.0,31.5,32.38,23.71,4953000
2000-06-22,32.44,33.36,31.94,32.0,23.43,5329500
2000-06-23,32.0,32.5,31.5,32.0,23.43,7073400
2000-06-26,32.19,32.25,31.75,31.88,23.34,6453500
2000-06-27,31.88,33.19,31.81,33.0,24.17,4771400
2000-06-28,33.0,33.12,32.06,32.31,23.66,6008900
2000-06-29,32.19,32.44,31.94,32.06,23.48,6545300
2000-06-30,32.12,33.44,32.0,33.0,24.17,6764800
2000-07-03,33.0,34.25,32.88,34.19,25.04,2559000
2000-07-05,34.38,34.38,32.94,33.25,24.35,3182200
2000-07-06,33.19,33.19,32.0,32.88,24.08,4599900
2000-07-07,32.88,34.88,32.38,34.56,25.31,6814100
2000-07-10,34.69,37.12,34.25,37.06,27.14,9257200
2000-07-11,37.0,37.12,34.62,35.56,26.04,8824400
2000-07-12,35.75,36.81,34.88,36.56,26.78,4114200
2000-07-13,36.12,36.62,35.19,36.5,26.73,4144100
2000-07-14,37.06,37.06,35.81,36.0,26.36,2317000
2000-07-17,36.0,36.25,35.44,35.5,26.0,2640300
2000-07-18,35.5,35.62,33.75,33.88,24.81,5846200
2000-07-19,34.03,34.12,32.62,32.94,24.12,5116900
2000-07-20,33.06,33.62,32.75,32.94,24.12,8632300
2000-07-21,32.75,33.12,31.25,32.25,23.62,4244100
2000-07-24,32.31,32.31,31.31,31.69,23.21,5255000
2000-07-25,31.88,32.06,31.5,31.69,23.21,5155000
2000-07-26,31.81,32.31,31.19,31.31,22.93,9050400
2000-07-27,31.44,32.5,31.38,31.94,23.39,5947200
2000-07-28,32.31,33.62,31.75,32.25,23.62,4176200
2000-07-31,32.19,32.81,31.95,32.56,23.85,4271700
2000-08-01,32.25,33.25,31.62,32.5,23.8,4409600
2000-08-02,32.5,33.75,32.44,33.56,24.58,6514000
2000-08-03,33.31,34.88,33.0,34.56,25.31,8989000
2000-08-04,34.56,35.81,34.5,35.5,26.0,6877100
2000-08-07,35.25,36.75,34.75,36.69,26.87,4613700
2000-08-08,36.44,38.06,36.25,37.56,27.51,8621900
