Date,Open,High,Low,Close,Adj Close,Volume
2013-06-13,17.5,17.52,16.9,17.36,14.91,46263100
2013-06-14,17.45,17.55,17.2,17.52,15.04,9049500
2013-06-17,17.61,17.65,17.31,17.39,14.93,5489500
2013-06-18,17.39,17.42,17.16,17.3,14.85,6717200
2013-06-19,17.25,17.35,16.4,17.19,14.76,7128600
2013-06-20,16.8,16.85,16.31,16.75,14.38,2785200
2013-06-21,16.75,17.07,16.5,16.99,14.59,2542800
2013-06-24,16.8,16.82,16.46,16.61,14.26,1206100
2013-06-25,16.7,16.88,16.55,16.75,14.38,1074800
2013-06-26,16.8,17.14,16.8,17.02,14.61,3420800
2013-06-27,17.07,17.24,16.97,17.24,14.8,1773800
2013-06-28,17.2,17.23,16.91,17.18,14.75,1904600
2013-07-01,17.18,17.25,17.07,17.18,14.75,1188800
2013-07-02,17.18,17.35,17.1,17.26,14.82,665300
2013-07-03,17.2,17.28,17.14,17.25,14.81,332000
2013-07-05,17.3,17.31,17.19,17.26,14.82,573400
2013-07-08,17.34,17.34,17.02,17.27,14.83,855900
2013-07-09,17.25,17.4,17.24,17.38,14.92,521300
2013-07-10,17.4,17.48,17.3,17.39,14.93,524300
2013-07-11,17.45,17.49,17.26,17.45,14.98,990200
2013-07-12,17.4,17.52,17.35,17.5,15.03,1258600
2013-07-15,17.5,17.55,17.12,17.18,14.75,242900
2013-07-16,17.29,17.34,17.2,17.32,14.87,507600
2013-07-17,17.13,17.4,17.05,17.3,14.85,995700
2013-07-18,17.35,17.43,17.11,17.15,14.73,682700
2013-07-19,17.15,17.27,17.05,17.08,14.67,599500
2013-07-22,17.08,17.08,16.93,16.95,14.55,462000
2013-07-23,17.15,17.22,16.85,17.06,14.65,1619500
2013-07-24,17.18,17.22,16.92,17.13,14.71,373600
2013-07-25,17.06,17.4,16.97,17.35,14.9,743800
2013-07-26,17.32,17.34,17.0,17.11,14.69,311800
2013-07-29,17.05,17.26,16.91,17.22,14.79,400800
2013-07-30,17.25,17.29,17.01,17.13,14.71,531000
2013-07-31,17.15,17.3,17.02,17.19,14.76,291100
2013-08-01,17.27,17.39,17.12,17.27,14.83,577100
2013-08-02,17.34,17.36,17.07,17.26,14.82,344100
2013-08-05,17.25,17.54,17.17,17.48,15.01,1976900
2013-08-06,17.46,17.74,17.28,17.51,15.03,1702000
2013-08-07,17.5,17.5,17.1,17.28,14.84,801000
2013-08-08,17.28,17.36,16.65,16.81,14.43,1275600
2013-08-09,16.77,17.11,16.7,16.94,14.55,381300
2013-08-12,16.85,17.05,16.85,16.96,14.56,276200
2013-08-13,16.93,17.07,16.55,16.59,14.24,508200
2013-08-14,16.62,16.76,16.33,16.76,14.39,742500
2013-08-15,16.71,17.07,16.45,16.99,14.59,611000
2013-08-16,16.9,17.0,16.74,16.89,14.5,238800
2013-08-19,16.92,17.0,16.86,16.99,14.59,109800
2013-08-20,16.98,17.02,16.9,16.99,14.59,226400
2013-08-21,17.02,17.08,16.82,16.84,14.46,237700
2013-08-22,16.88,16.96,16.71,16.78,14.41,253500
2013-08-23,16.8,16.86,16.5,16.58,14.24,228100
2013-08-26,16.57,16.7,16.5,16.53,14.19,154200
2013-08-27,16.43,16.51,15.79,15.91,13.66,518200
2013-08-28,15.96,15.96,15.31,15.63,13.42,651300
2013-08-29,15.6,16.01,15.47,16.01,13.75,571100
2013-08-30,15.97,16.35,15.85,16.3,14.0,422000
2013-09-03,16.3,16.36,16.06,16.14,13.86,268300
2013-09-04,16.15,16.23,16.02,16.21,13.92,228400
2013-09-05,16.15,16.2,15.92,16.01,13.75,1042900
2013-09-06,15.98,16.13,15.73,15.8,13.57,286000
2013-09-09,15.75,15.81,15.43,15.56,13.36,491600
2013-09-10,15.62,15.65,15.36,15.44,13.26,907300
2013-09-11,15.39,15.5,15.28,15.43,13.25,669500
2013-09-12,15.45,15.49,15.35,15.41,13.23,691600
2013-09-13,15.48,15.92,15.47,15.87,13.63,1190900
2013-09-16,15.94,16.34,15.82,16.25,13.95,1171500
2013-09-17,16.25,16.48,14.99,15.64,13.43,4292800
2013-09-18,15.21,15.59,15.21,15.56,13.36,2002900
2013-09-19,15.56,15.81,15.36,15.74,13.51,2296600
2013-09-20,15.68,15.85,15.46,15.85,13.61,968600
2013-09-23,15.75,15.95,15.51,15.73,13.51,1582200
2013-09-24,15.64,15.75,14.46,15.64,13.43,2822600
2013-09-25,15.65,15.77,15.37,15.51,13.32,267200
2013-09-26,15.44,15.85,15.39,15.62,13.41,463000
2013-09-27,15.55,15.99,15.39,15.98,13.72,864700
2013-09-30,15.89,16.45,15.82,16.21,13.92,4901000
2013-10-01,16.3,16.38,15.82,16.03,13.76,1016500
2013-10-02,16.51,16.51,15.92,16.06,13.79,963800
2013-10-03,16.2,16.2,15.9,16.02,13.76,1609800
2013-10-04,16.1,16.12,15.92,16.0,13.74,604900
2013-10-07,16.01,16.05,15.67,16.0,13.74,1069900
2013-10-08,15.91,16.05,15.86,15.92,13.67,1009400
2013-10-09,15.65,15.83,15.35,15.8,13.74,479300
2013-10-10,15.89,16.15,15.86,15.99,13.9,835400
2013-10-11,16.03,16.45,16.03,16.36,14.23,2727100
2013-10-14,16.31,16.52,16.14,16.3,14.17,543200
2013-10-15,16.17,16.39,15.93,16.0,13.91,1126900
2013-10-16,16.0,16.27,15.97,16.16,14.05,829700
2013-10-17,16.14,16.2,16.0,16.15,14.04,326400
2013-10-18,16.29,16.41,16.11,16.29,14.16,593000
2013-10-21,16.32,16.5,16.15,16.31,14.18,520500
2013-10-22,16.29,16.53,16.06,16.09,13.99,644400
2013-10-23,16.11,16.26,15.98,16.11,14.01,320100
2013-10-24,16.07,16.24,15.63,15.96,13.88,735700
2013-10-25,15.9,16.0,15.65,15.95,13.87,889700
2013-10-28,15.9,16.0,15.52,15.85,13.78,1631100
2013-10-29,15.84,15.96,15.67,15.72,13.67,646400
2013-10-30,15.8,15.92,15.68,15.75,13.7,776400
2013-10-31,15.75,15.88,15.13,15.38,13.37,994600
2013-11-01,15.35,15.56,15.15,15.51,13.49,509200
2013-11-04,15.49,15.69,15.24,15.41,13.4,926500
2013-11-05,15.35,15.44,15.04,15.28,13.29,746300
2013-11-06,15.38,15.48,15.21,15.4,13.39,1167500
2013-11-07,15.37,16.2,14.63,15.11,13.14,2337300
2013-11-08,15.06,15.22,14.81,14.99,13.03,1731400
2013-11-11,15.03,15.26,14.95,15.22,13.23,575000
2013-11-12,15.26,15.28,15.0,15.26,13.27,582000
2013-11-13,15.21,15.48,15.06,15.44,13.43,665200
2013-11-14,15.47,15.65,15.26,15.63,13.59,629700
2013-11-15,15.5,15.98,15.36,15.73,13.68,2026200
2013-11-18,15.71,15.84,15.44,15.49,13.47,1511600
2013-11-19,15.41,15.66,15.41,15.54,13.51,463500
2013-11-20,15.65,15.88,15.3,15.41,13.4,763300
2013-11-21,15.45,16.13,15.41,15.9,13.83,654300
2013-11-22,15.95,16.12,15.79,16.09,13.99,510200
2013-11-25,16.11,16.25,16.06,16.19,14.08,312700
2013-11-26,16.25,16.39,16.1,16.19,14.08,463400
2013-11-27,16.24,16.63,16.23,16.52,14.36,420500
2013-11-29,16.21,16.68,16.2,16.42,14.28,459800
2013-12-02,16.38,16.48,16.05,16.12,14.02,516700
2013-12-03,16.04,16.37,15.88,16.2,14.09,672200
2013-12-04,16.21,16.21,15.84,16.06,13.96,312100
2013-12-05,16.0,16.11,16.0,16.05,13.96,211100
2013-12-06,16.11,16.11,15.39,15.57,13.54,842200
2013-12-09,15.6,15.73,15.33,15.69,13.64,576700
2013-12-10,15.66,15.7,15.38,15.53,13.5,659300
2013-12-11,15.5,15.73,15.42,15.55,13.52,652000
2013-12-12,15.47,15.65,15.46,15.63,13.59,342600
2013-12-13,15.15,15.26,14.81,15.25,13.26,1607400
2013-12-16,15.3,15.37,15.01,15.17,13.19,1235700
2013-12-17,15.14,15.27,15.04,15.06,13.1,419700
2013-12-18,15.05,15.16,14.99,15.09,13.12,425900
2013-12-19,15.05,15.2,15.0,15.18,13.2,366500
2013-12-20,15.15,15.24,14.95,15.11,13.14,725700
2013-12-23,15.21,15.24,14.8,15.06,13.1,1639100
2013-12-24,14.99,15.25,14.97,15.02,13.06,307400
2013-12-26,15.08,15.21,14.97,14.99,13.03,280100
2013-12-27,15.2,15.57,15.1,15.49,13.47,1029000
2013-12-30,15.42,15.51,15.13,15.41,13.4,568900
2013-12-31,15.42,15.59,15.25,15.25,13.26,481800
2014-01-02,15.27,15.62,15.16,15.57,13.54,783800
2014-01-03,15.54,15.78,15.51,15.58,13.55,465100
2014-01-06,15.68,15.69,15.05,15.2,13.22,839300
2014-01-07,15.06,15.34,14.94,15.19,13.21,498700
2014-01-08,15.11,15.25,14.86,15.1,13.13,694500
2014-01-09,15.18,15.3,14.99,15.16,13.18,573100
2014-01-10,15.17,15.2,14.98,15.16,13.18,259400
2014-01-13,15.07,15.23,14.97,15.03,13.07,457400
2014-01-14,15.1,15.23,15.0,15.14,13.16,353900
2014-01-15,15.07,15.35,15.01,15.3,13.3,435000
2014-01-16,15.22,15.56,15.13,15.43,13.42,672700
2014-01-17,14.92,14.97,14.6,14.71,12.79,1497800
2014-01-21,14.67,14.74,14.28,14.41,12.53,1237500
2014-01-22,14.24,14.47,14.02,14.42,12.54,1114700
2014-01-23,14.2,14.53,13.67,14.47,12.58,1579000
