Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,38.81,38.81,38.19,38.69,21.79,199200
2000-01-03,39.62,39.62,36.94,37.25,20.98,982600
2000-01-04,37.0,37.31,35.69,35.88,20.21,1007000
2000-01-05,35.81,37.0,35.12,35.56,20.16,1016800
2000-01-06,35.12,36.5,35.06,36.31,20.58,743500
2000-01-07,36.62,37.19,36.38,37.0,20.97,526700
2000-01-10,36.75,37.5,35.56,35.81,20.3,562600
2000-01-11,35.62,37.0,35.62,36.19,20.51,902500
2000-01-12,36.19,36.62,35.31,35.75,20.26,693800
2000-01-13,35.94,36.94,35.88,36.38,20.62,709300
2000-01-14,34.38,36.0,34.38,35.31,20.01,801000
2000-01-18,33.56,35.38,33.44,35.12,19.91,861400
2000-01-19,33.62,34.44,33.12,33.5,18.99,772600
2000-01-20,33.38,33.75,32.06,32.19,18.24,1178000
2000-01-21,32.31,33.44,32.0,33.06,18.74,1127800
2000-01-24,32.88,33.19,30.38,31.25,17.71,800400
2000-01-25,31.19,31.62,30.06,30.44,17.25,771600
2000-01-26,30.75,31.75,30.5,31.0,17.57,718800
2000-01-27,31.5,31.5,29.94,30.62,17.36,602200
2000-01-28,30.5,30.56,29.25,29.56,16.76,648600
2000-01-31,29.88,32.25,29.56,31.44,17.82,912400
2000-02-01,30.88,31.06,29.12,29.44,16.68,1091100
2000-02-02,28.75,29.12,28.25,28.81,16.33,1250800
2000-02-03,28.81,29.69,28.69,29.31,16.61,927900
2000-02-04,29.06,29.06,27.75,28.19,15.98,705600
2000-02-07,28.19,28.25,27.5,27.81,15.76,710200
2000-02-08,27.75,28.62,27.69,28.38,16.08,582800
2000-02-09,28.31,28.31,27.62,27.69,15.69,669400
2000-02-10,27.0,27.62,26.25,26.31,14.91,1171500
2000-02-11,26.31,26.44,25.44,25.81,14.63,1239800
2000-02-14,25.81,26.5,25.81,25.94,14.7,576000
2000-02-15,25.94,27.56,25.88,27.44,15.55,887900
