Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.41,3.62,3.36,3.62,3.62,331200
2000-01-03,3.59,3.66,2.89,3.25,3.25,1405200
2000-01-04,3.09,3.1,2.78,2.84,2.84,2026800
2000-01-05,2.85,2.93,2.79,2.82,2.82,2210400
2000-01-06,2.82,2.91,2.57,2.62,2.62,1986000
2000-01-07,2.63,2.97,2.62,2.93,2.93,648000
2000-01-10,2.98,3.02,2.91,2.97,2.97,1221600
2000-01-11,2.95,2.97,2.85,2.85,2.85,596400
2000-01-12,2.93,2.93,2.83,2.85,2.85,3552000
2000-01-13,2.91,2.91,2.83,2.89,2.89,986400
2000-01-14,2.89,2.93,2.88,2.92,2.92,2293200
2000-01-18,2.93,2.95,2.92,2.94,2.94,2076000
2000-01-19,2.94,3.09,2.93,3.01,3.01,2413200
2000-01-20,3.1,3.28,3.08,3.28,3.28,2022000
2000-01-21,3.29,3.32,3.16,3.25,3.25,2014800
2000-01-24,3.18,3.29,3.18,3.24,3.24,1581600
2000-01-25,3.33,3.33,2.58,3.26,3.26,1291600
2000-01-26,3.04,3.17,2.83,3.0,3.0,1450000
2000-01-27,3.16,3.17,2.73,2.96,2.96,720400
2000-01-28,2.96,3.06,2.94,3.02,3.02,414000
2000-01-31,3.03,3.03,2.71,2.83,2.83,1330800
2000-02-01,2.96,3.06,2.88,2.92,2.92,554800
2000-02-02,3.0,3.08,2.96,3.03,3.03,338400
2000-02-03,3.07,3.17,3.0,3.15,3.15,932800
2000-02-04,3.15,3.15,3.08,3.15,3.15,1452000
2000-02-07,3.21,3.23,3.16,3.23,3.23,896800
2000-02-08,3.25,3.3,3.21,3.22,3.22,1069600
2000-02-09,3.22,3.38,3.22,3.33,3.33,840000
2000-02-10,3.32,3.68,3.31,3.68,3.68,2610400
2000-02-11,3.68,3.69,3.42,3.47,3.47,2826400
2000-02-14,3.46,3.58,3.42,3.56,3.56,2654400
2000-02-15,3.6,3.6,3.53,3.56,3.56,919200
2000-02-16,3.55,3.62,3.54,3.59,3.59,512400
2000-02-17,3.62,3.65,3.49,3.54,3.54,1261600
2000-02-18,3.54,3.54,3.48,3.5,3.5,1128000
2000-02-22,3.48,3.56,3.4,3.56,3.56,2496000
2000-02-23,3.56,3.57,3.42,3.47,3.47,1097200
2000-02-24,3.46,3.5,3.17,3.33,3.33,1694400
2000-02-25,3.4,3.4,3.23,3.28,3.28,926400
2000-02-28,3.83,3.96,3.34,3.62,3.62,3458400
2000-02-29,3.71,3.79,3.17,3.51,3.51,1877200
2000-03-01,3.48,3.55,3.42,3.49,3.49,1684800
2000-03-02,3.35,3.5,2.92,3.12,3.12,2400400
2000-03-03,3.15,3.17,2.83,2.88,2.88,2394400
2000-03-06,2.88,2.96,2.5,2.81,2.81,7657600
2000-03-07,2.88,2.88,2.68,2.75,2.75,1867200
2000-03-08,2.76,3.06,2.76,2.94,2.94,1120000
2000-03-09,2.94,2.96,2.81,2.92,2.92,820800
2000-03-10,2.92,2.98,2.82,2.82,2.82,1162000
2000-03-13,2.83,3.1,2.79,3.0,3.0,1009200
2000-03-14,3.04,3.04,2.82,2.91,2.91,1374000
2000-03-15,2.89,2.9,2.67,2.78,2.78,1285600
2000-03-16,2.84,2.92,2.62,2.92,2.92,1019200
2000-03-17,2.5,3.0,2.5,2.97,2.97,956800
2000-03-20,2.96,3.08,2.94,3.04,3.04,3447600
