Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.58,36.58,34.0,35.42,27.74,891100
2000-01-03,35.33,35.33,32.67,34.83,27.28,702700
2000-01-04,34.67,35.12,32.83,33.42,26.17,875200
2000-01-05,33.58,34.42,33.17,33.79,26.47,1037700
2000-01-06,33.38,34.67,33.25,33.98,26.61,1216800
2000-01-07,33.96,36.08,33.67,35.69,27.95,1029900
2000-01-10,36.0,37.0,35.75,36.5,28.59,934800
2000-01-11,36.12,36.12,34.12,34.38,26.92,1240000
2000-01-12,34.17,34.25,33.42,33.42,26.17,1554300
2000-01-13,33.33,36.25,33.33,36.21,28.36,953200
2000-01-14,36.33,37.08,35.67,36.38,28.49,1023600
2000-01-18,35.88,37.08,35.58,36.88,28.88,931000
2000-01-19,37.0,37.0,34.38,34.67,27.15,691600
2000-01-20,34.96,35.08,34.0,34.17,26.76,1232400
2000-01-21,33.83,34.0,32.58,32.83,25.72,1536300
2000-01-24,32.79,33.17,32.67,32.71,25.62,1067100
2000-01-25,32.46,32.46,29.97,31.5,24.67,2318400
2000-01-26,31.5,32.42,31.38,31.79,24.9,995100
2000-01-27,31.83,32.5,31.33,31.71,24.83,793200
2000-01-28,31.29,32.0,29.75,29.92,23.43,2060100
2000-01-31,30.25,31.42,30.12,31.23,24.46,1420000
2000-02-01,31.4,31.58,30.65,31.0,24.28,757300
2000-02-02,31.21,32.04,30.72,32.0,25.21,1240900
2000-02-03,31.83,33.04,31.38,32.46,25.58,1006300
2000-02-04,32.33,33.5,32.17,32.92,25.94,807600
2000-02-07,32.92,33.08,30.0,30.25,23.84,1191000
2000-02-08,31.08,31.17,27.33,29.08,22.92,2582200
2000-02-09,29.0,29.04,27.67,28.38,22.36,4528800
2000-02-10,28.08,28.08,26.5,26.83,21.14,3092400
2000-02-11,26.88,26.92,25.67,25.88,20.39,2822800
2000-02-14,26.12,27.17,25.5,26.56,20.93,2050300
2000-02-15,26.0,27.5,25.62,27.17,21.41,1731900
2000-02-16,26.92,27.0,26.17,26.29,20.72,874200
2000-02-17,26.67,27.12,26.17,27.04,21.31,898500
2000-02-18,27.33,27.38,24.67,24.92,19.63,1857300
2000-02-22,24.54,24.62,23.17,24.29,19.14,3278200
2000-02-23,24.25,25.0,23.83,24.25,19.11,1589500
2000-02-24,24.58,25.5,24.0,25.46,20.06,1579000
2000-02-25,25.42,27.25,25.38,25.6,20.17,1473400
2000-02-28,25.0,26.54,24.12,25.79,20.32,1348900
2000-02-29,25.79,26.92,25.29,26.62,20.98,1001400
2000-03-01,26.75,27.62,25.25,27.17,21.41,1091100
2000-03-02,26.92,28.0,26.67,27.04,21.31,842400
2000-03-03,27.67,28.5,27.08,27.5,21.67,1120600
2000-03-06,27.27,27.43,26.83,27.04,21.31,991000
2000-03-07,27.0,27.21,26.58,26.67,21.01,1314600
2000-03-08,27.0,27.0,25.31,26.69,21.03,1237200
2000-03-09,26.56,27.5,26.25,27.25,21.47,1455300
2000-03-10,27.0,28.62,26.88,27.69,21.82,1278100
2000-03-13,26.75,27.75,25.62,26.88,21.18,1089100
2000-03-14,26.88,28.12,26.31,26.38,20.78,881200
2000-03-15,27.0,31.25,25.75,29.88,23.54,2065700
2000-03-16,29.56,37.88,29.5,36.25,28.56,4676400
2000-03-17,34.75,35.75,33.62,34.12,26.89,2144500
2000-03-20,33.5,33.5,31.0,32.06,25.26,1252900
2000-03-21,32.25,35.25,32.25,35.06,27.63,1323700
2000-03-22,35.0,35.25,33.88,34.88,27.48,1267200
2000-03-23,34.31,35.69,33.75,35.06,27.63,759400
2000-03-24,35.5,36.88,35.5,36.81,29.01,1317500
2000-03-27,36.75,37.12,35.75,36.44,28.71,660000
2000-03-28,36.38,36.62,35.62,36.06,28.42,661800
2000-03-29,35.44,36.25,34.25,34.81,27.43,923200
2000-03-30,34.62,36.81,34.56,36.06,28.42,1673900
2000-03-31,36.0,39.62,34.75,39.19,30.88,2071600
2000-04-03,38.38,40.0,38.06,39.06,30.78,978700
2000-04-04,39.0,41.25,38.25,40.38,31.81,2293100
2000-04-05,39.69,40.88,37.81,38.33,30.2,688600
2000-04-06,38.31,38.44,36.94,37.62,29.65,726300
2000-04-07,37.38,38.94,36.94,38.94,30.68,566500
2000-04-10,39.31,39.31,37.12,37.12,29.25,702300
2000-04-11,37.0,38.94,36.5,37.75,29.75,926000
2000-04-12,37.25,38.44,37.0,37.88,29.84,1144100
2000-04-13,38.0,38.44,36.25,38.25,30.14,1132700
2000-04-14,37.81,38.12,33.44,33.75,26.59,1464800
2000-04-17,33.0,40.0,33.0,39.88,31.42,1627300
2000-04-18,39.0,39.38,37.44,37.62,29.65,1572400
2000-04-19,37.38,37.44,35.5,36.25,28.56,872800
2000-04-20,36.31,38.19,36.31,37.88,29.84,896500
2000-04-24,37.25,39.31,37.0,38.88,30.63,894300
2000-04-25,38.62,42.62,38.62,42.12,33.19,1509400
2000-04-26,42.06,42.06,37.0,37.62,29.65,1168600
2000-04-27,37.06,41.0,36.75,40.0,31.52,1050400
2000-04-28,39.56,39.88,37.5,39.62,31.22,845700
2000-05-01,39.62,40.12,38.38,39.75,31.32,610700
2000-05-02,39.09,39.75,37.25,37.44,29.5,834400
2000-05-03,37.25,37.5,35.56,37.06,29.2,749700
2000-05-04,37.5,38.25,36.75,38.12,30.04,757700
2000-05-05,38.06,40.0,37.5,39.44,31.07,630400
2000-05-08,38.88,40.44,37.44,38.75,30.53,798300
2000-05-09,39.25,40.44,37.5,39.75,31.32,614700
2000-05-10,39.19,41.3,39.0,39.31,30.98,800100
2000-05-11,39.5,40.06,38.44,39.69,31.27,866300
2000-05-12,39.69,40.19,39.06,40.06,31.57,533700
2000-05-15,39.62,41.75,39.62,41.12,32.4,713500
2000-05-16,41.5,44.88,41.25,44.88,35.36,1410700
2000-05-17,43.94,44.12,41.94,42.12,33.19,663200
2000-05-18,42.25,43.0,40.12,40.25,31.72,412700
2000-05-19,39.19,41.88,39.19,40.44,31.86,591600
2000-05-22,40.5,41.94,39.19,41.31,32.55,657000
2000-05-23,41.75,43.0,39.25,39.31,30.98,534400
2000-05-24,39.38,44.25,38.75,42.62,33.59,1259100
2000-05-25,42.12,43.38,40.38,40.75,32.11,723200
2000-05-26,41.62,42.75,39.81,42.0,33.09,642600
2000-05-30,42.25,45.19,42.19,45.19,35.61,1078700
2000-05-31,43.69,47.38,43.62,44.0,34.67,1350600
2000-06-01,44.12,47.25,43.62,46.88,36.94,896500
2000-06-02,47.31,48.5,47.25,48.12,37.92,1920800
2000-06-05,48.12,48.88,45.06,46.81,36.89,957900
2000-06-06,46.5,46.69,45.12,45.38,35.75,622800
2000-06-07,45.44,45.62,43.75,44.81,35.31,794800
2000-06-08,44.78,44.94,40.81,41.0,32.31,1052800
2000-06-09,41.59,43.0,41.0,42.5,33.49,673800
2000-06-12,43.12,43.38,40.81,41.12,32.4,499200
2000-06-13,40.53,42.5,40.0,42.0,33.09,821300
2000-06-14,42.38,43.62,40.12,40.5,31.91,1182600
2000-06-15,40.75,41.06,39.5,40.69,32.06,1221900
2000-06-16,42.5,43.56,41.12,41.81,32.95,1323900
2000-06-19,41.03,44.19,40.5,42.94,33.83,499400
2000-06-20,42.75,43.5,41.19,43.25,34.08,542900
2000-06-21,43.03,43.25,41.88,42.31,33.34,524900
2000-06-22,42.31,42.31,40.0,40.12,31.62,617800
2000-06-23,40.0,40.19,38.62,39.38,31.03,895600
2000-06-26,39.38,40.56,39.12,40.25,31.72,644200
2000-06-27,40.22,40.75,38.12,38.25,30.14,855200
2000-06-28,39.12,39.5,37.81,38.94,30.68,817500
2000-06-29,38.94,39.38,37.56,38.19,30.09,534100
2000-06-30,38.19,39.94,36.0,36.69,28.91,1239200
2000-07-03,37.38,41.81,37.38,40.44,31.86,655000
2000-07-05,40.31,42.75,39.88,41.19,32.45,1082500
2000-07-06,41.56,44.44,41.53,43.81,34.52,1135800
2000-07-07,44.0,47.94,44.0,45.88,36.15,1248600
2000-07-10,45.75,48.12,45.62,47.06,37.08,2043100
2000-07-11,46.62,46.69,44.94,45.25,35.65,1753600
2000-07-12,44.94,47.25,44.75,47.25,37.23,868600
2000-07-13,47.12,47.56,46.12,46.44,36.59,612900
2000-07-14,46.62,47.69,46.5,47.19,37.18,599200
2000-07-17,47.31,47.62,46.45,47.44,37.38,550600
2000-07-18,47.5,47.5,46.75,46.81,36.89,617600
2000-07-19,46.75,47.0,46.56,46.75,36.84,1372000
2000-07-20,46.56,47.5,46.56,47.44,37.38,997500
2000-07-21,47.44,47.88,45.12,45.25,35.65,638900
2000-07-24,40.69,44.0,40.5,42.5,33.49,2375200
2000-07-25,42.25,43.19,42.0,43.12,33.98,1024100
2000-07-26,42.56,42.62,41.38,41.81,32.95,992900
2000-07-27,41.88,42.16,40.12,41.69,32.85,1057900
2000-07-28,41.62,41.75,39.5,40.5,31.91,778000
2000-07-31,40.62,42.38,40.0,42.19,33.24,678600
2000-08-01,42.19,42.19,41.27,41.56,32.75,605800
2000-08-02,41.56,44.81,41.56,43.81,34.52,794500
2000-08-03,43.19,44.44,42.06,44.0,34.67,740700
2000-08-04,44.44,44.75,42.31,42.5,33.49,591000
