Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,42.84,43.34,42.38,43.31,21.7,1118400
2000-01-03,42.94,42.94,41.28,41.81,20.95,4387600
2000-01-04,41.47,42.06,41.25,41.81,20.95,3702400
2000-01-05,41.53,43.28,41.53,42.56,21.33,5567600
2000-01-06,42.66,44.59,42.66,44.38,22.24,4353400
2000-01-07,45.0,45.44,44.5,45.16,22.63,4487400
2000-01-10,45.03,45.03,43.84,43.94,22.02,2104800
2000-01-11,43.94,44.44,43.47,43.53,21.81,2791200
2000-01-12,43.53,43.81,42.94,43.38,21.73,2992600
2000-01-13,43.25,44.62,43.06,43.78,21.94,3253400
2000-01-14,42.91,43.72,42.78,43.5,21.8,3673000
2000-01-18,43.75,44.75,43.47,44.66,22.38,4317400
2000-01-19,44.5,44.5,43.88,43.97,22.03,5027000
2000-01-20,44.09,44.09,43.41,43.75,21.92,3419800
2000-01-21,43.94,44.94,43.91,44.28,22.19,3947800
2000-01-24,44.75,45.19,43.97,44.41,22.25,3536600
2000-01-25,44.41,45.25,43.81,44.28,22.19,3854600
2000-01-26,44.62,44.88,43.25,43.88,21.98,2681000
2000-01-27,43.66,43.81,41.78,42.16,21.12,3550800
2000-01-28,41.78,41.84,40.94,41.28,20.68,4066000
2000-01-31,41.03,41.97,40.38,41.81,20.95,3660600
2000-02-01,41.69,42.22,41.25,41.59,20.84,2611600
2000-02-02,41.34,41.97,41.22,41.31,20.7,3418800
2000-02-03,41.06,41.25,40.31,40.72,20.4,3512800
2000-02-04,40.62,40.62,39.19,39.28,19.68,4224200
2000-02-07,39.56,40.0,39.22,39.53,19.81,3135600
2000-02-08,40.06,40.34,39.16,39.16,19.62,3567400
2000-02-09,39.22,39.34,37.47,37.5,18.79,4802400
2000-02-10,37.78,38.72,37.44,38.41,19.24,3832600
2000-02-11,38.69,38.81,36.09,37.0,18.54,5019800
2000-02-14,37.09,37.72,36.81,36.91,18.49,5039800
2000-02-15,37.22,38.84,37.22,38.75,19.42,6143400
2000-02-16,38.88,39.47,38.66,38.91,19.66,4749200
2000-02-17,39.06,39.09,38.28,38.88,19.64,3735800
2000-02-18,38.75,38.88,37.91,38.09,19.25,3570400
2000-02-22,37.53,38.09,37.12,37.84,19.12,3526400
2000-02-23,37.5,37.53,36.41,36.62,18.51,3770000
2000-02-24,36.66,36.78,35.69,35.72,18.05,5415600
2000-02-25,36.0,36.38,34.97,35.53,17.95,6453400
2000-02-28,35.53,37.47,35.44,37.28,18.84,5097800
2000-02-29,37.28,37.72,36.72,37.34,18.87,4296600
2000-03-01,37.28,37.81,36.31,37.62,19.01,4633400
2000-03-02,37.69,38.72,37.47,37.84,19.12,4050400
2000-03-03,37.28,37.69,36.78,37.28,18.84,4637600
2000-03-06,37.22,37.38,36.84,37.0,18.7,2814400
2000-03-07,37.28,41.0,37.25,40.5,20.47,5600000
2000-03-08,40.06,42.19,39.88,40.53,20.48,7262800
2000-03-09,40.16,42.0,39.88,41.62,21.03,4307200
2000-03-10,41.78,42.41,39.72,40.19,20.31,5384600
2000-03-13,40.47,41.88,39.88,39.91,20.17,4170800
2000-03-14,40.0,41.56,39.66,41.44,20.94,4209400
2000-03-15,41.44,42.0,40.44,41.97,21.21,3756200
2000-03-16,41.59,43.5,40.84,42.06,21.25,5194400
2000-03-17,41.97,42.0,41.16,41.66,21.05,4251000
2000-03-20,41.78,42.03,40.84,41.47,20.95,2280400
2000-03-21,41.5,43.25,41.5,43.0,21.73,3546000
2000-03-22,42.25,42.88,41.22,42.0,21.22,2794200
2000-03-23,41.5,42.91,41.12,42.31,21.38,4197800
2000-03-24,42.38,42.97,42.38,42.81,21.63,2815200
2000-03-27,42.09,42.94,41.22,42.28,21.37,3774200
2000-03-28,41.78,42.88,41.62,42.44,21.44,3260800
2000-03-29,42.41,44.5,42.34,44.25,22.36,5306200
2000-03-30,44.59,46.12,44.53,46.09,23.29,7823200
2000-03-31,46.12,47.12,45.94,46.22,23.35,6282000
2000-04-03,46.31,46.88,45.75,46.16,23.32,3577200
2000-04-04,46.28,46.62,44.69,44.91,22.69,7643400
2000-04-05,44.81,45.34,43.69,43.75,22.11,2959200
2000-04-06,44.0,44.91,43.66,44.47,22.47,2299000
2000-04-07,44.47,44.47,43.16,43.22,21.84,2876000
2000-04-10,42.72,43.72,42.56,43.03,21.74,2417600
2000-04-11,43.28,44.75,43.28,44.34,22.41,3443400
2000-04-12,44.66,45.22,44.22,44.5,22.49,2795400
2000-04-13,44.47,44.47,43.47,43.47,21.97,5013200
2000-04-14,43.5,43.53,42.72,42.84,21.65,3769400
2000-04-17,42.5,42.84,41.16,41.47,20.95,3983000
2000-04-18,41.38,42.47,41.16,42.28,21.37,3010400
2000-04-19,42.16,43.06,41.97,42.38,21.41,3027000
2000-04-20,41.56,43.16,41.56,43.16,21.81,2225200
2000-04-24,42.66,43.66,42.47,42.62,21.54,2998400
2000-04-25,42.69,43.09,42.03,42.41,21.43,3206000
2000-04-26,43.09,43.28,42.72,43.16,21.81,2055600
2000-04-27,43.16,44.5,43.16,44.22,22.34,2895600
2000-04-28,43.72,44.22,42.56,42.56,21.51,2810200
2000-05-01,42.75,44.25,42.75,43.16,21.81,2961200
2000-05-02,43.59,44.97,43.56,44.66,22.57,3557800
2000-05-03,44.72,44.72,43.66,43.66,22.06,2793800
2000-05-04,43.78,44.56,43.78,44.19,22.33,1928200
2000-05-05,44.31,45.38,44.03,45.38,22.93,2409600
2000-05-08,45.53,46.47,45.38,45.91,23.2,3292000
2000-05-09,45.84,45.88,44.44,45.06,22.77,1992000
2000-05-10,44.72,45.94,44.72,45.44,22.96,2675600
2000-05-11,45.44,46.72,45.44,46.69,23.59,3395000
2000-05-12,46.5,47.16,46.31,47.14,23.82,3320400
2000-05-15,46.91,47.38,46.72,47.0,23.75,3337600
2000-05-16,47.0,47.0,46.03,46.47,23.48,3079800
2000-05-17,45.38,45.84,45.03,45.66,23.23,3003200
2000-05-18,45.78,46.03,45.19,45.44,23.12,1768400
2000-05-19,45.5,46.97,45.34,46.66,23.74,2767800
2000-05-22,46.91,47.44,46.66,47.03,23.93,3359600
2000-05-23,46.84,46.84,45.78,46.62,23.73,2436200
2000-05-24,46.69,47.22,46.38,47.12,23.98,3430600
2000-05-25,46.94,46.94,45.72,46.59,23.71,2944800
2000-05-26,46.91,47.0,45.56,45.69,23.25,2299800
2000-05-30,45.72,45.84,45.28,45.66,23.23,2054400
2000-05-31,45.91,46.72,45.78,46.22,23.52,2577800
2000-06-01,46.22,46.22,44.72,45.5,23.15,2455200
2000-06-02,45.0,45.28,44.41,45.28,23.04,4548400
2000-06-05,45.38,45.62,45.12,45.22,23.01,2703200
2000-06-06,45.25,46.59,45.22,46.44,23.63,2582000
2000-06-07,46.94,46.97,45.84,46.19,23.5,3026200
2000-06-08,46.22,46.5,45.91,46.28,23.55,2089800
2000-06-09,46.5,46.59,45.75,46.0,23.41,3247800
2000-06-12,46.41,47.25,46.38,46.44,23.63,4403400
2000-06-13,46.0,46.16,45.72,45.88,23.34,3726600
2000-06-14,46.03,47.22,46.03,46.62,23.73,4136000
2000-06-15,46.53,46.97,46.0,46.56,23.69,2941800
2000-06-16,46.31,47.34,46.31,46.38,23.6,4890200
2000-06-19,46.66,46.72,45.22,45.69,23.25,3055400
2000-06-20,45.69,45.69,44.84,45.12,22.96,3538800
2000-06-21,45.06,45.94,44.75,45.63,23.22,3511400
2000-06-22,45.91,46.28,44.69,44.78,22.79,2522800
2000-06-23,44.78,45.25,44.72,44.88,22.84,2062600
2000-06-26,44.84,45.25,44.34,44.37,22.58,2193200
2000-06-27,44.44,44.44,44.12,44.22,22.5,3088800
2000-06-28,44.12,44.19,43.53,43.79,22.28,2898200
2000-06-29,43.44,43.97,43.25,43.32,22.04,2383200
2000-06-30,43.31,43.56,42.28,42.41,21.58,5210600
2000-07-03,42.5,43.31,42.44,42.96,21.86,1704400
2000-07-05,42.53,42.53,41.03,41.25,20.99,4520200
2000-07-06,41.41,42.69,41.41,41.78,21.26,3421600
2000-07-07,42.0,42.59,41.88,41.98,21.36,2845600
2000-07-10,42.03,42.59,42.0,42.0,21.37,1892200
2000-07-11,42.06,43.78,42.06,43.5,22.14,2678800
2000-07-12,43.53,43.53,42.84,42.84,21.8,3279400
2000-07-13,42.91,42.97,41.62,41.98,21.36,3753200
2000-07-14,41.84,41.88,41.34,41.88,21.31,2709000
2000-07-17,42.0,42.25,41.31,41.34,21.03,2861800
2000-07-18,41.03,41.72,40.47,40.72,20.72,3793600
2000-07-19,40.94,41.12,40.81,40.97,20.85,2491800
2000-07-20,41.0,41.0,40.0,40.0,20.35,2726600
2000-07-21,40.0,40.12,39.25,39.25,19.97,3367000
2000-07-24,39.34,39.47,38.66,38.69,19.69,4472000
2000-07-25,39.0,39.06,38.44,38.66,19.67,4068600
2000-07-26,39.25,39.5,38.66,38.66,19.67,5404200
2000-07-27,39.0,40.56,38.97,40.47,20.59,4901800
2000-07-28,40.62,41.19,40.12,40.29,20.5,2873200
2000-07-31,40.0,40.91,39.34,39.49,20.1,3118600
2000-08-01,39.25,40.09,39.25,39.44,20.07,2891600
2000-08-02,39.69,40.12,39.69,39.91,20.31,3739200
2000-08-03,40.12,40.5,39.44,40.0,20.35,3113800
2000-08-04,39.34,40.12,38.81,39.66,20.18,3283000
2000-08-07,39.84,40.78,39.81,40.35,20.53,2206600
2000-08-08,40.0,40.38,39.84,40.18,20.45,2108200
2000-08-09,40.75,41.62,40.53,41.3,21.01,4060600
2000-08-10,41.31,42.16,41.31,41.94,21.34,2548800
2000-08-11,41.91,42.28,41.56,42.0,21.37,3094600
2000-08-14,41.62,42.34,41.62,42.19,21.47,2507600
2000-08-15,42.25,42.62,41.75,41.75,21.25,2118000
2000-08-16,41.81,42.81,41.81,42.73,21.91,3550000
2000-08-17,42.72,43.88,42.56,43.59,22.36,3080200
2000-08-18,42.84,43.44,42.84,43.02,22.06,3106800
2000-08-21,43.09,43.59,42.75,43.38,22.25,1498800
2000-08-22,43.5,43.84,43.12,43.31,22.21,1903600
2000-08-23,43.81,44.84,43.59,44.44,22.79,4678000
2000-08-24,43.31,43.47,42.94,43.09,22.1,3075600
2000-08-25,43.28,43.75,42.84,43.44,22.28,2516400
2000-08-28,43.06,44.03,42.94,43.47,22.29,1837600
2000-08-29,43.44,43.69,42.97,43.0,22.05,1724400
2000-08-30,42.91,42.97,42.47,42.55,21.82,1886400
2000-08-31,42.81,42.97,42.19,42.26,21.67,2609800
