Date,Open,High,Low,Close,Adj Close,Volume
2007-08-03,11.61,13.39,11.6,12.9,12.85,6608700
2007-08-06,13.0,13.23,12.07,12.7,12.65,796500
2007-08-07,12.64,12.9,12.37,12.6,12.55,450100
2007-08-08,12.65,13.0,12.52,12.88,12.83,225500
2007-08-09,12.45,13.1,12.27,12.94,12.89,131900
2007-08-10,12.72,13.2,12.61,12.81,12.76,236000
2007-08-13,12.91,13.21,12.9,13.07,13.02,240400
2007-08-14,13.45,13.49,12.81,13.01,12.96,45600
2007-08-15,12.99,13.1,12.6,12.88,12.83,298900
2007-08-16,12.6,12.73,12.5,12.7,12.65,78900
2007-08-17,12.49,13.0,12.49,13.0,12.95,297300
2007-08-20,12.89,12.89,12.45,12.75,12.7,88600
2007-08-21,12.7,13.0,12.56,12.9,12.85,280800
2007-08-22,12.99,12.99,12.5,12.63,12.58,158900
2007-08-23,12.51,12.99,12.5,12.9,12.85,351400
2007-08-24,12.83,13.0,12.77,12.99,12.94,40200
2007-08-27,12.99,13.1,12.6,13.1,13.05,104900
2007-08-28,13.16,13.2,12.76,12.76,12.71,17800
2007-08-29,12.76,13.2,12.76,12.77,12.72,47400
2007-08-30,12.61,12.85,12.54,12.54,12.49,38100
2007-08-31,12.69,12.82,12.53,12.69,12.64,22600
2007-09-04,12.68,13.8,12.5,13.75,13.69,154200
2007-09-05,13.77,15.0,13.1,14.55,14.49,451200
2007-09-06,14.53,14.78,13.95,14.5,14.44,73600
2007-09-07,14.5,14.7,14.25,14.5,14.44,93800
2007-09-10,14.53,15.29,14.5,14.83,14.77,358900
2007-09-11,14.84,15.95,14.84,15.2,15.14,126600
2007-09-12,15.29,15.5,15.1,15.22,15.16,216000
2007-09-13,15.34,15.56,15.22,15.55,15.49,459700
2007-09-14,15.55,16.0,15.47,15.89,15.83,210200
2007-09-17,15.84,15.9,15.65,15.7,15.64,517600
2007-09-18,15.59,15.91,15.25,15.4,15.34,391600
2007-09-19,15.3,15.7,15.0,15.7,15.64,72100
2007-09-20,15.74,15.91,15.65,15.85,15.79,44200
2007-09-21,15.94,16.32,15.75,16.13,16.06,489600
2007-09-24,16.23,16.44,16.02,16.17,16.1,214700
2007-09-25,16.14,16.14,15.65,15.65,15.59,67900
2007-09-26,16.0,16.39,16.0,16.1,16.03,301100
2007-09-27,16.17,16.38,15.15,15.42,15.36,203200
2007-09-28,15.3,15.5,14.81,14.81,14.75,1450100
2007-10-01,14.79,16.21,14.3,15.8,15.74,298900
2007-10-02,15.71,16.34,15.71,16.03,15.96,130600
2007-10-03,16.0,16.55,16.0,16.42,16.35,220100
2007-10-04,16.51,17.24,16.26,16.95,16.88,210800
2007-10-05,17.15,17.31,16.71,17.25,17.18,154600
2007-10-08,17.24,17.43,16.7,16.7,16.63,160600
2007-10-09,16.8,17.18,16.01,17.07,17.0,156500
2007-10-10,17.0,17.55,16.51,17.54,17.47,366300
2007-10-11,17.55,18.69,17.44,18.6,18.52,713200
2007-10-12,18.65,18.83,18.35,18.46,18.38,216600
2007-10-15,18.46,18.5,17.77,18.03,17.96,100000
2007-10-16,18.2,18.94,18.1,18.82,18.74,409000
2007-10-17,19.01,19.37,18.7,18.86,18.78,1175200
2007-10-18,19.06,19.74,18.95,19.73,19.65,117000
2007-10-19,19.68,20.07,19.31,19.65,19.57,242800
2007-10-22,19.58,20.5,19.33,19.56,19.48,165300
2007-10-23,19.75,20.0,19.11,19.95,19.87,374600
2007-10-24,20.0,20.18,19.31,20.16,20.08,103600
2007-10-25,19.51,19.98,19.5,19.74,19.66,242200
2007-10-26,20.03,21.75,19.71,21.37,21.28,149100
2007-10-29,21.8,22.3,20.87,21.99,21.9,196600
2007-10-30,21.65,22.17,20.35,20.46,20.38,146900
2007-10-31,20.8,20.8,19.23,19.49,19.41,201500
