Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,62.03,63.81,62.03,63.39,38.6,874700
2000-01-03,63.51,63.93,62.65,62.92,38.31,1296000
2000-01-04,61.68,62.39,61.2,61.2,37.27,2073600
2000-01-05,61.29,63.19,61.05,63.19,38.48,3653200
2000-01-06,63.1,67.13,62.86,64.97,39.56,4885500
2000-01-07,65.94,66.86,65.47,66.42,40.44,3469200
2000-01-10,66.06,66.39,64.64,64.73,39.41,1707300
2000-01-11,63.81,64.49,63.78,64.11,39.04,1343200
2000-01-12,64.11,65.71,63.81,65.35,39.79,3209100
2000-01-13,64.76,66.09,64.76,65.47,39.87,2186600
2000-01-14,65.47,66.39,65.03,65.94,40.15,2217800
2000-01-18,65.47,65.59,61.65,61.82,37.64,2656000
2000-01-19,62.27,63.19,60.84,61.29,37.32,2812000
2000-01-20,61.41,61.41,58.35,59.68,36.34,2608800
2000-01-21,58.59,59.04,56.69,57.94,35.28,3664000
2000-01-24,58.83,60.01,57.32,59.93,36.49,2639600
2000-01-25,59.93,60.07,56.81,57.91,35.26,2975800
2000-01-26,57.88,59.04,56.69,57.52,35.03,2580300
2000-01-27,58.35,59.07,55.98,56.49,34.39,3089300
2000-01-28,56.57,56.66,54.23,54.44,33.15,3281200
2000-01-31,54.56,55.36,53.79,55.27,33.65,2186000
2000-02-01,55.15,57.26,54.91,56.87,34.63,2265800
2000-02-02,56.46,56.69,53.76,54.62,33.26,2853900
2000-02-03,54.86,55.03,53.76,54.56,33.22,2287600
2000-02-04,55.03,55.09,52.9,53.22,32.41,1822300
2000-02-07,53.61,53.73,52.6,52.9,32.21,2215300
2000-02-08,53.85,53.85,52.54,52.93,32.23,1770700
2000-02-09,53.14,53.58,51.24,51.39,31.29,2501300
2000-02-10,51.5,51.59,50.11,50.26,30.6,2352900
2000-02-11,50.2,51.12,49.34,50.17,30.55,2152400
2000-02-14,50.05,51.24,49.1,50.2,30.57,3123300
2000-02-15,50.26,52.16,50.05,51.68,31.47,3978400
2000-02-16,51.65,51.95,50.59,50.88,30.98,1846800
