Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.38,21.75,21.22,21.69,14.29,494600
2000-01-03,21.81,21.91,21.28,21.44,14.12,2691200
2000-01-04,21.25,21.5,21.22,21.41,14.1,3370600
2000-01-05,21.47,22.22,21.22,21.91,14.43,6213800
2000-01-06,22.31,23.44,22.22,23.03,15.17,6081400
2000-01-07,23.03,23.72,22.84,23.0,15.15,4113000
2000-01-10,23.0,23.72,22.84,23.47,15.46,3156600
2000-01-11,23.22,23.69,23.19,23.47,15.46,3176400
2000-01-12,23.22,23.28,22.91,23.03,15.17,3013800
2000-01-13,23.16,23.53,22.91,23.12,15.24,2002800
2000-01-14,23.5,24.16,23.38,24.06,15.85,2989400
2000-01-18,23.84,23.84,22.72,23.56,15.52,3040400
2000-01-19,23.5,23.91,22.69,23.19,15.28,2004000
2000-01-20,23.31,23.38,22.56,22.78,15.01,2164600
2000-01-21,22.78,22.78,21.91,22.09,14.56,2659600
2000-01-24,22.12,22.44,21.91,22.44,14.78,1653400
2000-01-25,22.44,22.66,21.44,22.25,14.66,3080400
2000-01-26,22.31,23.03,22.28,22.81,15.03,2465200
2000-01-27,22.88,23.0,22.62,22.91,15.09,1466800
2000-01-28,22.69,22.72,22.0,22.38,14.74,2606000
2000-01-31,22.31,22.31,21.75,21.84,14.39,1826400
2000-02-01,21.81,21.81,21.14,21.38,14.08,3139800
2000-02-02,21.88,22.25,21.28,21.31,14.04,3168600
2000-02-03,21.34,21.5,20.19,20.62,13.59,4060000
2000-02-04,20.25,20.56,19.91,20.44,13.47,2953600
2000-02-07,20.44,20.78,20.03,20.66,13.61,2017200
2000-02-08,20.88,20.91,18.12,20.03,13.2,10296000
2000-02-09,20.09,20.5,19.81,20.0,13.18,4098600
2000-02-10,20.0,20.09,18.56,18.75,12.35,2402000
2000-02-11,18.94,18.94,17.97,18.09,11.92,3009000
2000-02-14,18.16,19.56,17.84,19.5,12.85,3117800
2000-02-15,20.0,20.56,19.81,20.22,13.32,2621600
2000-02-16,20.34,20.81,19.5,19.66,12.95,2736800
2000-02-17,20.0,20.31,19.75,19.91,13.12,2028000
2000-02-18,19.78,20.19,18.97,19.25,12.68,1174200
2000-02-22,19.12,20.25,19.0,20.0,13.18,1886400
2000-02-23,19.75,19.94,19.12,19.25,12.68,1308400
2000-02-24,19.12,19.16,18.09,18.5,12.19,1469200
2000-02-25,18.38,19.53,18.25,18.47,12.17,2246400
2000-02-28,18.34,18.72,18.28,18.47,12.17,1822600
2000-02-29,18.5,18.53,17.78,17.88,11.78,4101400
2000-03-01,17.94,18.62,17.41,18.5,12.19,3712600
2000-03-02,17.5,17.53,17.0,17.28,11.39,3581200
2000-03-03,17.22,17.75,16.97,17.44,11.49,4530800
2000-03-06,17.41,17.91,17.03,17.09,11.26,2483400
2000-03-07,17.09,17.09,15.16,15.19,10.01,6393000
2000-03-08,15.5,17.62,15.5,17.62,11.61,5782200
2000-03-09,17.75,17.84,17.44,17.84,11.76,3835400
2000-03-10,17.97,18.22,17.53,17.75,11.7,1321000
2000-03-13,17.78,17.84,17.16,17.66,11.63,1525800
2000-03-14,17.97,18.06,17.25,17.28,11.39,2147400
2000-03-15,17.28,20.0,17.09,18.75,12.35,4763400
2000-03-16,19.0,20.75,19.0,19.75,13.01,3794800
2000-03-17,19.75,19.94,18.94,19.09,12.58,2753600
2000-03-20,19.09,19.56,18.91,19.16,12.62,1378800
2000-03-21,18.62,20.0,18.62,19.28,12.7,1823200
2000-03-22,19.25,19.38,18.69,19.09,12.58,1387400
2000-03-23,19.03,19.75,18.81,19.41,12.79,1578800
2000-03-24,19.41,19.5,18.75,19.19,12.64,1828200
2000-03-27,18.81,19.19,18.78,18.81,12.4,1169400
2000-03-28,18.56,19.03,18.19,18.44,12.15,1722400
2000-03-29,18.19,18.94,18.06,18.62,12.35,1565600
2000-03-30,18.66,19.94,18.25,19.53,12.95,2151400
2000-03-31,19.5,19.5,19.0,19.0,12.59,2154400
2000-04-03,19.0,19.53,18.34,19.44,12.88,3520000
2000-04-04,19.56,21.12,19.06,20.09,13.32,4191800
2000-04-05,19.75,21.0,19.75,20.16,13.36,4099400
2000-04-06,20.16,21.0,19.91,20.0,13.26,2217000
2000-04-07,20.06,20.06,19.31,19.5,12.93,1130600
2000-04-10,19.62,20.41,19.56,19.62,13.01,1557400
2000-04-11,20.31,20.94,20.09,20.16,13.36,1764200
2000-04-12,20.47,21.44,20.44,21.22,14.06,2337400
2000-04-13,21.5,22.31,20.5,20.75,13.75,3147800
2000-04-14,20.38,20.5,19.88,20.12,13.34,2050600
2000-04-17,19.88,20.38,19.31,19.62,13.01,1692800
2000-04-18,19.88,20.0,19.03,19.94,13.22,1618800
2000-04-19,19.81,19.97,18.94,19.28,12.78,1148200
2000-04-20,19.0,19.56,18.97,19.44,12.88,1155000
2000-04-24,18.94,19.69,18.94,19.41,12.86,1533800
2000-04-25,19.47,20.62,19.31,20.47,13.57,1887000
2000-04-26,20.44,20.44,20.03,20.06,13.3,908200
2000-04-27,20.0,20.66,19.94,20.44,13.55,1745800
2000-04-28,20.19,20.44,19.97,20.19,13.38,1451600
2000-05-01,19.75,20.22,19.62,20.22,13.4,1827400
2000-05-02,20.44,21.0,20.22,20.34,13.48,1803600
2000-05-03,20.38,20.44,19.97,20.28,13.44,1219600
2000-05-04,20.12,20.12,19.75,19.97,13.24,2078400
2000-05-05,19.88,19.88,19.44,19.69,13.05,1786400
2000-05-08,19.75,20.47,19.59,20.12,13.34,1469800
2000-05-09,20.19,20.81,20.0,20.03,13.28,1664000
2000-05-10,20.0,20.88,19.97,20.88,13.84,1814000
2000-05-11,21.38,21.44,20.41,20.75,13.75,5960200
2000-05-12,21.28,22.19,21.19,22.03,14.6,4789800
2000-05-15,22.16,22.47,22.16,22.47,14.89,2729800
2000-05-16,23.81,24.12,23.19,23.28,15.43,7587000
2000-05-17,23.06,23.59,22.81,23.28,15.43,4932800
2000-05-18,23.5,23.78,22.97,23.16,15.35,4023800
