Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.68,3.86,3.67,3.81,2.9,270800
2000-01-03,3.81,3.81,3.62,3.65,2.78,840000
2000-01-04,3.68,3.68,3.37,3.51,2.67,568400
2000-01-05,3.53,3.58,3.5,3.56,2.71,501700
2000-01-06,3.55,3.55,3.37,3.37,2.57,2483300
2000-01-07,3.41,3.55,3.39,3.5,2.66,684500
2000-01-10,3.5,3.56,3.43,3.56,2.71,581600
2000-01-11,3.56,3.56,3.32,3.34,2.54,2928500
2000-01-12,3.34,3.37,3.29,3.31,2.52,1210100
2000-01-13,3.37,3.39,3.29,3.34,2.54,1182100
2000-01-14,3.36,3.5,3.27,3.5,2.66,972000
2000-01-18,3.34,3.36,3.27,3.32,2.53,883200
2000-01-19,3.37,3.37,3.2,3.24,2.46,782900
2000-01-20,3.27,3.27,3.13,3.24,2.46,1253600
2000-01-21,3.24,3.24,3.12,3.2,2.44,1131600
2000-01-24,3.32,3.34,3.17,3.2,2.44,1783200
2000-01-25,3.24,3.24,3.0,3.03,2.31,1065600
2000-01-26,3.06,3.17,3.06,3.08,2.35,1167600
2000-01-27,3.1,3.2,3.1,3.12,2.37,1120900
2000-01-28,3.1,3.13,3.06,3.06,2.33,1064500
2000-01-31,3.31,3.31,3.13,3.2,2.44,1476100
2000-02-01,3.22,3.22,3.12,3.15,2.4,1028400
2000-02-02,3.27,3.27,3.15,3.2,2.44,1501700
2000-02-03,3.22,3.43,3.22,3.36,2.56,2116400
2000-02-04,3.48,3.48,3.32,3.34,2.55,895300
2000-02-07,3.41,3.41,3.34,3.39,2.59,1000900
2000-02-08,3.39,3.51,3.37,3.41,2.6,1261300
2000-02-09,3.56,3.58,3.41,3.43,2.62,765700
2000-02-10,3.67,3.67,3.39,3.41,2.6,1729300
2000-02-11,3.41,3.41,3.27,3.32,2.54,680500
2000-02-14,3.32,3.48,3.32,3.43,2.62,873700
2000-02-15,3.44,3.48,3.37,3.43,2.62,1095700
2000-02-16,3.44,3.44,3.22,3.22,2.46,1053600
2000-02-17,3.36,3.43,3.27,3.27,2.5,1070500
2000-02-18,3.22,3.29,3.06,3.27,2.5,1752100
2000-02-22,3.27,3.27,3.12,3.24,2.47,818500
2000-02-23,3.19,3.24,3.1,3.15,2.41,689600
2000-02-24,3.13,3.19,3.06,3.08,2.35,626500
2000-02-25,3.15,3.15,3.1,3.1,2.37,1208000
2000-02-28,3.1,3.17,3.06,3.12,2.38,581300
2000-02-29,3.12,3.13,3.06,3.1,2.37,820800
2000-03-01,3.13,3.32,3.13,3.32,2.54,1351300
2000-03-02,3.31,3.34,3.29,3.32,2.54,978000
