Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.1,9.44,9.03,9.15,5.89,1186000
2000-01-03,9.1,9.17,8.72,8.81,5.67,1474600
2000-01-04,8.86,8.87,8.43,8.49,5.47,2424800
2000-01-05,8.58,8.77,8.41,8.59,5.53,2854800
2000-01-06,8.49,8.88,8.29,8.68,5.59,1281000
2000-01-07,8.72,8.81,8.67,8.75,5.64,1751600
2000-01-10,8.8,8.93,8.79,8.93,5.75,2592600
2000-01-11,8.91,8.96,8.68,8.71,5.6,1867700
2000-01-12,8.67,8.68,8.4,8.47,5.45,1282000
2000-01-13,8.54,8.67,8.54,8.6,5.54,3044700
2000-01-14,8.58,8.62,8.4,8.6,5.54,1747400
2000-01-18,8.51,8.51,8.32,8.36,5.38,1972100
2000-01-19,8.32,8.39,8.2,8.27,5.32,2894900
2000-01-20,8.26,8.27,8.02,8.09,5.21,1182300
2000-01-21,8.09,8.09,7.68,7.81,5.03,4429700
2000-01-24,7.77,7.77,7.19,7.2,4.64,4488800
2000-01-25,7.25,7.68,7.25,7.64,4.92,3804500
2000-01-26,7.64,7.94,7.62,7.87,5.06,2309300
2000-01-27,7.65,8.07,7.64,7.88,5.07,4236600
2000-01-28,7.88,8.04,7.83,8.01,5.15,3923200
2000-01-31,8.0,8.47,8.0,8.17,5.26,4537300
2000-02-01,8.16,8.22,8.11,8.2,5.28,3269000
2000-02-02,8.17,8.34,8.14,8.19,5.27,2158900
2000-02-03,8.21,8.33,8.17,8.26,5.32,927500
2000-02-04,8.32,8.33,8.15,8.2,5.28,1120600
2000-02-07,8.2,8.3,8.03,8.17,5.26,2507100
2000-02-08,8.17,8.39,8.17,8.3,5.35,2540900
2000-02-09,8.33,8.35,8.23,8.27,5.32,3223100
2000-02-10,8.24,8.28,7.87,7.9,5.09,1377500
2000-02-11,7.96,8.02,7.69,7.78,5.01,2378400
2000-02-14,7.76,7.79,7.65,7.76,4.99,1699300
2000-02-15,7.72,7.87,7.7,7.81,5.03,2668600
2000-02-16,7.74,7.83,7.74,7.75,4.99,2291300
2000-02-17,7.76,7.88,7.75,7.76,4.99,1535300
2000-02-18,7.76,7.79,7.45,7.56,4.87,2646900
2000-02-22,7.56,7.68,7.44,7.53,4.85,2453800
2000-02-23,7.51,7.57,7.39,7.45,4.8,2994100
2000-02-24,7.45,7.49,7.11,7.31,4.71,2940800
2000-02-25,7.26,7.43,7.18,7.29,4.69,1538400
2000-02-28,7.34,7.51,7.19,7.44,4.79,1354800
2000-02-29,7.44,7.81,7.44,7.74,4.98,3825100
2000-03-01,7.77,7.97,7.76,7.85,5.06,3342300
2000-03-02,7.84,7.85,7.59,7.65,4.93,2038100
2000-03-03,7.65,7.75,7.47,7.58,4.88,2355200
2000-03-06,7.58,7.63,7.45,7.61,4.9,2738200
2000-03-07,7.56,7.56,7.17,7.17,4.61,2554100
2000-03-08,7.17,7.18,6.91,7.04,4.53,2385200
2000-03-09,7.01,7.2,6.93,7.2,4.64,2324600
2000-03-10,7.16,7.38,7.16,7.29,4.69,1293100
2000-03-13,7.29,7.29,7.05,7.12,4.58,2291300
2000-03-14,7.11,7.27,6.99,7.12,4.58,3006200
2000-03-15,7.05,7.43,6.97,7.4,4.77,4955200
2000-03-16,7.36,8.27,7.33,8.23,5.3,4577400
2000-03-17,8.23,8.45,8.08,8.23,5.3,3301700
2000-03-20,8.19,8.27,7.85,8.16,5.25,2466500
2000-03-21,8.16,8.28,7.95,8.28,5.33,1884500
2000-03-22,8.23,8.23,8.02,8.06,5.19,1597000
2000-03-23,8.06,8.09,7.94,8.08,5.2,2626900
2000-03-24,8.06,8.29,7.82,7.83,5.04,1664000
2000-03-27,7.78,8.32,7.78,8.21,5.28,3090600
2000-03-28,8.21,8.59,8.21,8.4,5.41,2456500
2000-03-29,8.39,8.96,8.35,8.96,5.77,2707100
2000-03-30,8.91,9.56,8.88,9.49,6.11,4257200
2000-03-31,9.54,9.71,9.38,9.67,6.22,3118100
2000-04-03,9.67,9.86,9.52,9.78,6.3,3124400
2000-04-04,9.83,10.16,9.63,9.95,6.41,4155900
2000-04-05,9.9,10.16,9.69,10.13,6.52,1842900
2000-04-06,10.13,10.34,9.97,10.08,6.49,1621300
2000-04-07,10.03,10.03,9.6,9.81,6.32,1390700
2000-04-10,9.78,9.78,9.58,9.73,6.26,1147500
2000-04-11,9.77,9.95,9.68,9.83,6.33,1025100
2000-04-12,9.83,9.95,9.56,9.61,6.19,1517300
2000-04-13,9.56,9.93,9.38,9.8,6.31,1463500
2000-04-14,9.75,9.75,9.07,9.11,5.87,1106300
2000-04-17,9.11,9.62,9.04,9.44,6.08,2273900
2000-04-18,9.42,9.44,9.24,9.35,6.02,1467200
2000-04-19,9.39,9.89,9.38,9.73,6.26,2345100
2000-04-20,9.75,10.07,9.6,10.03,6.46,1642900
2000-04-24,10.03,10.15,9.93,10.13,6.52,1455600
2000-04-25,10.08,10.45,10.07,10.41,6.71,2073900
2000-04-26,10.41,10.98,10.41,10.6,6.83,2547700
2000-04-27,10.5,10.85,10.5,10.8,6.96,1590100
2000-04-28,10.8,10.87,10.63,10.83,6.97,1296800
2000-05-01,10.73,11.17,10.65,11.16,7.19,2067100
2000-05-02,11.16,11.16,10.91,10.95,7.05,1349000
2000-05-03,10.9,10.9,10.64,10.67,6.87,2100300
2000-05-04,10.63,10.65,10.47,10.52,6.77,1525800
2000-05-05,10.33,10.92,10.33,10.91,7.03,2286600
2000-05-08,11.01,11.16,10.77,10.79,6.95,2499200
2000-05-09,10.74,10.79,10.6,10.65,6.86,2090800
2000-05-10,10.7,10.7,10.52,10.52,6.77,1764200
2000-05-11,10.52,10.66,10.5,10.52,6.77,2130400
2000-05-12,10.51,10.6,10.38,10.48,6.75,1512100
2000-05-15,10.42,10.46,10.28,10.42,6.71,2114000
2000-05-16,10.52,10.7,10.44,10.52,6.77,2635300
2000-05-17,10.47,10.47,10.25,10.42,6.71,1091000
2000-05-18,10.38,10.39,10.2,10.21,6.58,749100
2000-05-19,10.05,10.07,9.78,9.78,6.3,1639700
2000-05-22,9.78,9.81,9.61,9.76,6.29,2393700
2000-05-23,9.67,9.71,9.31,9.37,6.03,2239600
2000-05-24,9.44,9.61,9.36,9.45,6.09,2227500
2000-05-25,9.45,9.6,9.43,9.48,6.1,3458400
2000-05-26,9.43,9.45,9.1,9.13,5.88,1101600
2000-05-30,9.16,9.28,9.16,9.19,5.92,1730000
2000-05-31,9.19,9.23,9.13,9.13,5.88,1050400
2000-06-01,9.04,9.1,8.94,9.09,5.85,3079000
2000-06-02,9.13,9.56,9.13,9.54,6.14,1779500
2000-06-05,9.48,9.5,9.39,9.49,6.11,1646100
2000-06-06,9.63,9.63,9.47,9.49,6.11,1834900
2000-06-07,9.51,9.54,9.28,9.29,5.98,1450300
2000-06-08,9.3,9.45,9.24,9.3,5.99,1176500
2000-06-09,9.35,9.48,9.29,9.47,6.1,915900
2000-06-12,9.44,9.55,9.31,9.35,6.02,1217700
2000-06-13,9.48,9.48,9.23,9.36,6.03,918500
2000-06-14,9.31,9.38,9.09,9.15,5.89,1698800
2000-06-15,9.1,9.29,9.1,9.18,5.91,1503100
2000-06-16,9.33,9.41,9.26,9.3,5.99,2187900
2000-06-19,9.29,9.29,9.01,9.05,5.83,1581700
2000-06-20,9.0,9.07,8.87,9.01,5.81,2097200
2000-06-21,9.0,9.03,8.87,9.0,5.8,1927300
2000-06-22,9.03,9.18,8.9,9.13,5.88,1930400
2000-06-23,9.18,9.18,8.98,9.04,5.82,1155400
2000-06-26,9.01,9.28,9.01,9.1,5.86,1517900
2000-06-27,9.1,9.36,9.07,9.3,5.99,2409500
2000-06-28,9.17,9.31,9.09,9.26,5.97,3409300
2000-06-29,9.23,9.26,9.11,9.17,5.91,2245400
2000-06-30,9.19,9.38,9.19,9.37,6.04,2769900
2000-07-03,9.36,9.41,9.28,9.41,6.06,648400
2000-07-05,9.41,9.41,9.03,9.09,5.85,1648200
2000-07-06,8.98,9.09,8.79,8.9,5.73,3463600
2000-07-07,8.91,9.06,8.88,9.01,5.81,1861900
2000-07-10,8.98,9.07,8.91,8.97,5.78,1924600
2000-07-11,8.99,9.01,8.78,8.79,5.66,2231200
2000-07-12,8.8,9.0,8.79,8.91,5.74,2777200
2000-07-13,8.79,8.91,8.77,8.8,5.67,1295200
2000-07-14,8.8,8.87,8.65,8.67,5.59,1244600
2000-07-17,8.7,8.75,8.56,8.64,5.56,3074300
2000-07-18,8.66,8.84,8.66,8.84,5.69,3012000
2000-07-19,8.91,8.91,8.62,8.8,5.67,1601200
2000-07-20,8.91,9.05,8.86,9.05,5.83,1544200
2000-07-21,9.04,9.17,8.88,8.97,5.78,3014100
2000-07-24,9.12,9.3,9.06,9.25,5.96,1758400
2000-07-25,9.24,9.62,9.24,9.5,6.12,2779900
2000-07-26,9.45,9.5,9.3,9.45,6.09,1925700
2000-07-27,9.49,9.55,9.11,9.2,5.93,1245600
2000-07-28,9.28,9.32,9.16,9.25,5.96,1281500
2000-07-31,9.25,9.65,9.25,9.65,6.22,1861300
2000-08-01,9.65,9.65,9.38,9.39,6.05,1530000
2000-08-02,9.45,9.58,9.38,9.48,6.1,1246700
2000-08-03,9.52,9.63,9.23,9.63,6.2,1580100
2000-08-04,9.73,10.28,9.73,10.22,6.59,4071400
2000-08-07,10.26,10.32,10.0,10.09,6.5,1476700
2000-08-08,10.09,10.22,9.99,10.18,6.55,1477800
2000-08-09,10.39,10.52,10.25,10.39,6.69,2371000
2000-08-10,10.41,10.46,10.33,10.44,6.72,1725700
2000-08-11,10.44,10.52,10.4,10.51,6.77,1339500
2000-08-14,10.45,10.5,10.12,10.48,6.75,1524700
2000-08-15,10.46,10.47,10.13,10.13,6.52,2383100
2000-08-16,10.14,10.15,9.96,10.0,6.44,2450700
2000-08-17,10.0,10.1,9.97,10.08,6.49,2585700
2000-08-18,10.06,10.45,10.05,10.41,6.71,2760400
2000-08-21,10.38,10.48,10.32,10.38,6.68,953300
2000-08-22,10.38,10.45,10.29,10.37,6.68,670500
2000-08-23,10.37,10.44,10.2,10.42,6.71,1478800
2000-08-24,10.42,10.54,10.37,10.54,6.79,1696200
2000-08-25,10.54,10.54,10.39,10.5,6.76,1347400
2000-08-28,10.54,10.71,10.48,10.52,6.78,945400
2000-08-29,10.52,10.76,10.52,10.7,6.89,2013800
2000-08-30,10.7,10.71,10.47,10.52,6.78,956500
2000-08-31,10.47,10.67,10.44,10.65,6.86,1788500
2000-09-01,10.7,10.73,10.57,10.67,6.88,800800
2000-09-05,10.63,10.69,10.54,10.6,6.83,1207600
2000-09-06,10.24,10.32,10.07,10.19,6.56,3576000
2000-09-07,10.38,10.38,10.19,10.28,6.62,3025200
2000-09-08,10.33,10.33,9.76,10.02,6.46,2780400
2000-09-11,10.07,10.16,9.9,9.95,6.41,1438200
2000-09-12,9.99,10.08,9.83,10.02,6.46,2322400
2000-09-13,10.02,10.19,10.0,10.02,6.46,1080500
2000-09-14,10.0,10.07,9.8,9.89,6.37,806700
2000-09-15,10.09,10.09,9.7,9.94,6.4,3303300
2000-09-18,9.94,9.94,9.52,9.52,6.14,4179600
2000-09-19,9.54,9.54,8.84,9.1,5.86,4334200
2000-09-20,9.24,9.32,9.05,9.19,5.92,2497100
2000-09-21,9.18,9.2,9.01,9.15,5.89,1511000
2000-09-22,9.15,9.16,8.96,9.11,5.87,1564800
2000-09-25,9.23,9.36,9.23,9.25,5.96,1464600
2000-09-26,9.25,9.49,9.07,9.1,5.86,2615300
2000-09-27,9.06,9.16,8.87,9.11,5.87,2253300
2000-09-28,9.11,9.56,9.0,9.5,6.12,2676500
2000-09-29,9.51,9.51,9.3,9.43,6.08,2082900
2000-10-02,9.38,9.62,9.29,9.38,6.05,1504700
2000-10-03,9.38,9.56,9.31,9.45,6.09,1839200
2000-10-04,9.45,9.82,9.42,9.76,6.29,2118300
2000-10-05,9.81,9.9,9.65,9.83,6.34,3691000
2000-10-06,9.88,10.16,9.69,9.74,6.28,1485700
2000-10-09,9.69,9.81,9.57,9.78,6.31,1384900
2000-10-10,9.78,10.19,9.77,9.87,6.36,2398400
2000-10-11,9.87,10.19,9.87,10.07,6.49,5793500
2000-10-12,10.07,10.15,9.6,9.75,6.28,2268100
2000-10-13,9.75,10.01,9.67,10.0,6.44,1667700
2000-10-16,10.0,10.21,9.99,10.15,6.54,1289400
2000-10-17,10.22,10.39,9.89,9.95,6.41,2525000
2000-10-18,9.95,10.13,9.76,10.06,6.48,1848100
2000-10-19,10.31,10.71,10.31,10.46,6.74,4129500
2000-10-20,10.37,10.77,10.27,10.76,6.93,2129900
2000-10-23,10.76,10.85,10.69,10.7,6.89,2214300
2000-10-24,10.73,10.77,10.47,10.57,6.81,2481300
2000-10-25,10.6,10.6,10.2,10.32,6.65,1894600
2000-10-26,10.37,10.74,10.37,10.55,6.8,3018300
2000-10-27,10.61,11.05,10.61,10.93,7.05,1891400
2000-10-30,11.01,11.35,11.01,11.3,7.28,2326700
2000-10-31,11.27,11.96,11.17,11.96,7.71,4203900
2000-11-01,11.94,12.17,11.73,11.79,7.6,5887400
2000-11-02,11.79,11.95,11.68,11.82,7.62,2543500
2000-11-03,11.78,11.88,11.55,11.66,7.51,1863400
2000-11-06,11.69,11.85,11.57,11.85,7.63,2079200
2000-11-07,11.85,11.85,11.73,11.74,7.57,2123000
2000-11-08,11.75,12.0,11.75,11.83,7.63,1497300
2000-11-09,11.88,11.91,11.61,11.74,7.57,1706700
2000-11-10,11.74,11.74,11.49,11.57,7.46,1375900
2000-11-13,11.59,11.59,11.36,11.59,7.47,1973200
2000-11-14,11.68,12.3,11.67,11.8,7.6,4221300
2000-11-15,11.85,12.19,11.8,12.07,7.78,2623700
2000-11-16,12.18,12.28,11.93,12.04,7.76,1145400
2000-11-17,12.13,12.31,12.02,12.11,7.8,1956800
2000-11-20,12.11,12.26,11.95,12.05,7.76,2059200
2000-11-21,11.98,12.2,11.98,12.14,7.82,1467200
2000-11-22,12.13,12.23,11.85,11.88,7.66,933300
2000-11-24,11.93,12.32,11.93,12.26,7.9,694300
2000-11-27,12.31,12.47,12.04,12.24,7.89,3952200
2000-11-28,12.25,12.3,11.95,12.05,7.76,1901400
2000-11-29,12.0,12.37,11.93,12.32,7.94,1362200
2000-11-30,12.33,12.38,12.08,12.36,7.96,1625500
2000-12-01,12.4,12.76,12.25,12.37,7.97,3157600
2000-12-04,12.37,12.49,12.2,12.47,8.04,1938900
2000-12-05,12.76,12.98,12.65,12.95,8.34,2900700
2000-12-06,12.9,12.94,12.52,12.63,8.14,1761600
2000-12-07,12.66,12.86,12.57,12.84,8.28,1281500
2000-12-08,12.88,13.05,12.79,12.88,8.3,1630800
2000-12-11,12.84,13.23,12.77,13.0,8.37,1244600
2000-12-12,13.0,13.1,12.82,12.88,8.3,1404400
2000-12-13,12.79,12.85,12.32,12.33,7.95,2682300
2000-12-14,12.28,12.43,11.83,11.91,7.67,4275100
2000-12-15,11.87,12.43,11.87,12.34,7.95,4635400
2000-12-18,12.3,12.55,12.14,12.31,7.93,2509700
2000-12-19,12.31,12.32,12.13,12.15,7.83,3272100
2000-12-20,12.15,12.15,11.69,11.83,7.63,5511300
2000-12-21,11.89,11.89,11.75,11.81,7.61,3306900
2000-12-22,11.83,11.99,11.79,11.99,7.73,2886400
2000-12-26,12.02,12.53,11.95,12.45,8.02,1798500
2000-12-27,12.56,12.92,12.52,12.89,8.31,2141500
2000-12-28,13.05,13.08,12.79,13.02,8.39,3170800
2000-12-29,13.03,13.21,12.95,12.96,8.35,1517900
2001-01-02,12.96,13.02,12.57,12.6,8.12,4349000
2001-01-03,12.62,12.92,12.12,12.83,8.27,3614500
2001-01-04,12.88,13.02,12.46,12.59,8.12,2768800
2001-01-05,12.57,12.57,12.19,12.25,7.9,1828600
2001-01-08,11.56,11.83,10.91,11.09,7.15,14914700
2001-01-09,11.37,11.64,11.28,11.48,7.4,8042700
2001-01-10,11.4,11.74,11.27,11.73,7.56,7420100
2001-01-11,11.85,12.08,11.69,12.04,7.76,3484200
2001-01-12,12.08,12.12,11.87,12.08,7.79,2382600
2001-01-16,12.04,12.05,11.74,12.05,7.77,3652000
2001-01-17,11.7,11.85,11.5,11.75,7.58,6411900
2001-01-18,11.8,11.93,11.74,11.81,7.61,3179800
2001-01-19,11.86,11.86,11.6,11.67,7.52,4389600
2001-01-22,11.67,11.78,11.54,11.67,7.52,3741700
2001-01-23,11.72,11.91,11.61,11.89,7.67,7650700
2001-01-24,11.94,12.07,11.75,11.89,7.67,3557600
2001-01-25,11.85,11.99,11.82,11.95,7.7,4928300
2001-01-26,11.95,12.0,11.76,11.95,7.7,2032300
2001-01-29,11.9,12.03,11.86,11.93,7.69,1709400
2001-01-30,11.93,12.06,11.8,12.06,7.77,1455600
2001-01-31,12.01,12.31,12.01,12.22,7.88,3921100
2001-02-01,12.22,12.27,12.2,12.23,7.88,2429500
2001-02-02,12.24,12.29,12.17,12.27,7.91,4353200
2001-02-05,12.41,12.41,12.16,12.25,7.9,2285000
2001-02-06,12.32,12.41,12.25,12.35,7.96,2275000
2001-02-07,12.23,12.31,12.07,12.15,7.83,1203900
2001-02-08,12.16,12.32,12.16,12.28,7.92,1457700
2001-02-09,12.27,12.27,12.01,12.08,7.78,2849000
2001-02-12,12.06,12.23,12.05,12.21,7.87,2369400
2001-02-13,12.23,12.24,12.11,12.19,7.86,2154100
2001-02-14,12.19,12.32,12.16,12.3,7.93,2789900
2001-02-15,12.29,12.59,12.28,12.51,8.06,3647800
2001-02-16,12.51,12.6,12.0,12.15,7.83,1533700
2001-02-20,12.15,12.26,12.09,12.21,7.87,1900400
2001-02-21,12.2,12.3,12.09,12.17,7.84,3426200
2001-02-22,12.17,12.32,12.0,12.04,7.76,4286200
2001-02-23,12.04,12.08,11.78,11.88,7.66,3705300
2001-02-26,11.98,12.26,11.9,12.26,7.9,2310800
2001-02-27,12.26,12.36,12.1,12.15,7.83,2626300
2001-02-28,12.15,12.16,11.87,12.02,7.75,3356000
2001-03-01,12.02,12.2,12.02,12.07,7.78,6284200
2001-03-02,12.06,12.13,11.99,12.03,7.76,2494400
2001-03-05,12.03,12.2,12.03,12.14,7.83,2432200
2001-03-06,12.23,12.33,12.04,12.04,7.76,1919900
2001-03-07,12.08,12.18,12.06,12.15,7.83,3038900
2001-03-08,12.2,12.3,12.05,12.18,7.85,2322400
2001-03-09,12.18,12.18,11.66,11.71,7.55,3056900
2001-03-12,11.7,11.7,11.37,11.39,7.34,3942200
2001-03-13,11.4,11.42,11.12,11.16,7.19,4187000
2001-03-14,11.03,11.04,10.71,10.87,7.01,3737500
2001-03-15,10.87,10.99,10.87,10.96,7.07,3028900
2001-03-16,10.96,10.96,10.71,10.81,6.97,5041700
2001-03-19,10.81,10.95,10.81,10.95,7.06,3868800
2001-03-20,10.96,11.06,10.75,10.75,6.93,3962800
2001-03-21,10.75,10.8,10.41,10.46,6.74,6393400
2001-03-22,10.42,10.45,9.9,10.38,6.69,6313700
