Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.73,28.98,28.42,28.86,22.77,2946000
2000-01-03,28.86,29.53,28.36,29.47,23.25,8402200
2000-01-04,29.59,31.44,29.59,31.2,24.62,16051100
2000-01-05,31.2,32.68,31.2,32.49,25.64,19823800
2000-01-06,32.49,32.68,31.2,31.2,24.62,7903100
2000-01-07,31.2,31.69,30.4,30.7,24.23,6773500
2000-01-10,33.54,35.45,33.54,35.39,27.92,33965800
2000-01-11,35.39,36.25,34.77,35.76,28.22,20134800
2000-01-12,35.45,35.45,32.86,33.23,26.22,13100900
2000-01-13,33.36,34.53,33.36,34.34,27.1,8732300
2000-01-14,34.34,34.53,32.99,33.11,26.12,8151500
2000-01-18,33.11,34.34,32.62,34.03,26.85,8101700
2000-01-19,34.03,34.47,33.6,34.28,27.05,6551300
2000-01-20,34.28,34.96,32.99,33.17,26.17,7212000
2000-01-21,33.17,33.17,32.25,32.31,25.49,8284100
2000-01-24,32.31,33.54,31.94,32.86,25.93,8343000
2000-01-25,36.01,37.49,36.01,36.99,29.19,29911200
2000-01-26,36.93,36.93,35.88,36.13,28.51,10400700
2000-01-27,36.13,37.12,36.13,36.62,28.9,9818400
2000-01-28,36.62,36.99,35.95,36.25,28.6,7500900
2000-01-31,35.95,35.95,35.33,35.82,28.26,7909000
2000-02-01,35.82,35.95,35.45,35.51,28.02,7237200
2000-02-02,35.51,37.49,35.33,36.75,28.99,9411300
2000-02-03,37.06,37.98,37.06,37.36,29.48,10908100
2000-02-04,37.36,37.73,36.5,37.61,29.68,6272900
2000-02-07,37.61,37.92,37.06,37.49,29.58,6153500
2000-02-08,37.43,37.43,36.5,37.06,29.24,5780200
2000-02-09,37.06,38.47,36.62,37.18,29.33,6158300
2000-02-10,37.18,37.36,36.38,36.44,28.75,5675900
2000-02-11,36.44,38.1,36.32,37.36,29.48,7247000
2000-02-14,36.87,36.87,36.13,36.5,28.8,5201600
2000-02-15,36.5,36.69,34.9,36.38,28.7,7082700
2000-02-16,36.38,36.75,36.07,36.44,28.75,4475200
2000-02-17,36.38,36.38,35.21,36.01,28.41,4756300
2000-02-18,35.88,35.88,34.84,35.02,27.63,6493800
2000-02-22,34.96,34.96,32.18,32.92,25.98,12744100
2000-02-23,32.92,34.16,32.18,33.66,26.56,8371700
2000-02-24,33.6,33.6,32.0,32.74,25.83,8338600
2000-02-25,32.62,32.62,30.58,30.58,24.13,8440600
2000-02-28,31.57,32.49,31.57,32.31,25.49,7943600
2000-02-29,32.31,33.54,31.81,33.54,26.46,5506400
2000-03-01,33.54,34.28,32.74,34.22,27.0,7250300
