Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,11.11,11.21,10.4,10.76,10.76,2283600
2000-01-03,10.74,10.86,10.56,10.86,10.86,2134200
2000-01-04,10.64,10.94,10.64,10.85,10.85,1854200
2000-01-05,10.78,10.89,10.67,10.86,10.86,1842200
2000-01-06,10.89,11.56,10.78,11.06,11.06,4415600
2000-01-07,11.03,11.53,10.94,11.46,11.46,3104400
2000-01-10,11.53,11.89,11.22,11.89,11.89,2665800
2000-01-11,11.78,11.78,11.31,11.44,11.44,2284200
2000-01-12,11.44,11.46,10.99,11.24,11.24,2380800
2000-01-13,11.22,11.67,11.22,11.58,11.58,2675000
2000-01-14,11.56,12.03,11.56,11.88,11.88,4453200
2000-01-18,11.83,12.11,11.78,11.88,11.88,3394200
2000-01-19,11.85,11.96,11.58,11.61,11.61,1293200
2000-01-20,11.67,11.74,10.81,10.94,10.94,4147400
2000-01-21,11.0,11.0,10.42,10.65,10.65,2277200
2000-01-24,10.56,10.58,9.94,10.12,10.12,4721400
2000-01-25,10.22,10.39,9.69,10.38,10.38,2458200
2000-01-26,10.42,10.83,10.33,10.33,10.33,3739800
2000-01-27,10.4,10.49,9.79,9.89,9.89,3025200
2000-01-28,9.78,9.94,9.33,9.92,9.92,4706000
2000-01-31,9.89,10.06,9.67,9.79,9.79,2523000
2000-02-01,9.89,10.21,9.83,10.07,10.07,4168200
2000-02-02,10.11,10.5,10.08,10.28,10.28,1119800
2000-02-03,10.33,10.67,10.19,10.51,10.51,1728800
2000-02-04,10.64,10.69,10.19,10.28,10.28,1947800
2000-02-07,10.32,10.32,9.69,10.1,10.1,1037000
2000-02-08,10.17,10.36,10.15,10.32,10.32,1568000
2000-02-09,10.42,10.51,9.64,9.86,9.86,1039800
2000-02-10,9.89,9.92,9.29,9.33,9.33,3423600
2000-02-11,9.35,9.39,9.01,9.08,9.08,3532400
2000-02-14,9.11,9.14,8.75,8.99,8.99,2786600
2000-02-15,9.06,9.15,8.58,8.72,8.72,4944000
2000-02-16,8.75,8.78,7.97,8.17,8.17,1882800
2000-02-17,8.25,8.67,7.42,7.96,7.96,5431800
2000-02-18,8.0,8.03,7.5,7.64,7.64,2809800
2000-02-22,7.61,7.67,6.94,7.12,7.12,7953200
2000-02-23,7.25,7.94,7.17,7.94,7.94,6981600
2000-02-24,7.86,8.08,7.33,8.01,8.01,5361600
2000-02-25,7.89,8.03,7.62,7.75,7.75,3162800
2000-02-28,7.71,8.28,7.53,8.25,8.25,2303400
2000-02-29,8.28,8.97,8.22,8.62,8.62,3374400
2000-03-01,8.68,9.22,8.0,8.1,8.1,8658000
2000-03-02,8.14,8.69,8.08,8.39,8.39,2426600
2000-03-03,8.44,8.71,8.39,8.71,8.71,1326800
2000-03-06,8.67,8.67,7.89,7.96,7.96,3555800
2000-03-07,8.06,8.06,7.64,7.74,7.74,4142000
2000-03-08,7.72,8.4,7.6,8.39,8.39,3408600
2000-03-09,8.26,9.56,8.22,9.5,9.5,5188800
2000-03-10,9.17,9.42,8.74,8.9,8.9,2474000
2000-03-13,8.69,8.95,8.5,8.88,8.88,1322000
2000-03-14,8.89,8.89,8.19,8.38,8.38,1165800
2000-03-15,8.44,10.03,8.32,9.86,9.86,4213200
2000-03-16,9.83,10.89,9.67,10.47,10.47,8054400
2000-03-17,10.55,10.96,10.36,10.42,10.42,3510000
2000-03-20,10.39,10.5,9.89,9.96,9.96,808200
2000-03-21,9.89,10.45,9.65,10.43,10.43,1458200
2000-03-22,10.33,10.78,10.22,10.5,10.5,2268200
2000-03-23,10.46,10.69,10.15,10.5,10.5,2664800
2000-03-24,10.54,10.65,9.9,9.96,9.96,2318400
2000-03-27,10.26,10.28,9.89,10.0,10.0,991200
2000-03-28,10.0,10.33,9.76,10.0,10.0,3283200
2000-03-29,10.04,11.5,10.04,11.11,11.11,5102000
2000-03-30,10.73,11.53,10.61,11.47,11.47,2936600
2000-03-31,11.53,11.64,11.0,11.58,11.58,5114600
2000-04-03,11.72,12.19,11.36,12.17,12.17,3336200
2000-04-04,12.08,12.14,11.26,11.58,11.58,4530600
2000-04-05,11.6,11.6,10.94,11.36,11.36,1140600
2000-04-06,10.43,11.86,10.33,11.85,11.85,7894800
2000-04-07,11.85,11.88,11.25,11.6,11.6,2872800
2000-04-10,11.56,11.6,11.06,11.29,11.29,1320600
2000-04-11,11.11,11.51,11.0,11.26,11.26,1561800
2000-04-12,11.32,12.04,11.29,11.81,11.81,2538200
2000-04-13,11.78,11.96,11.22,11.24,11.24,1632000
2000-04-14,11.14,11.15,10.64,10.72,10.72,2054600
