Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.81,19.5,18.75,19.5,6.28,314400
2000-01-03,19.12,19.12,18.12,19.0,6.12,297800
2000-01-04,18.81,18.88,18.56,18.88,6.08,621800
2000-01-05,18.81,19.06,18.75,18.94,6.1,439900
2000-01-06,18.88,19.5,18.88,19.38,6.24,593400
2000-01-07,19.44,20.0,19.38,19.75,6.36,334800
2000-01-10,19.88,19.94,19.62,19.88,6.4,278200
2000-01-11,20.12,20.12,19.69,19.69,6.34,243100
2000-01-12,19.75,19.81,19.5,19.5,6.28,151100
2000-01-13,19.69,19.69,19.5,19.56,6.3,134700
2000-01-14,19.56,19.69,19.44,19.5,6.28,246200
2000-01-18,19.38,19.69,19.38,19.62,6.32,235600
2000-01-19,19.69,19.88,19.56,19.88,6.4,350100
2000-01-20,19.88,19.94,19.56,19.88,6.4,161400
2000-01-21,19.88,20.75,19.62,20.5,6.6,325700
2000-01-24,20.5,20.56,20.0,20.0,6.44,226200
2000-01-25,20.0,20.12,19.81,20.06,6.46,257700
2000-01-26,20.0,20.0,19.62,19.81,6.38,272900
2000-01-27,19.75,19.81,19.5,19.62,6.32,227100
2000-01-28,19.69,19.75,19.5,19.69,6.34,169000
2000-01-31,19.81,20.06,19.62,19.81,6.38,183000
2000-02-01,19.81,20.06,19.81,20.0,6.44,150100
2000-02-02,20.19,20.38,20.0,20.06,6.46,263100
2000-02-03,19.94,20.38,19.94,20.25,6.52,116700
2000-02-04,20.06,20.19,20.0,20.12,6.48,113500
2000-02-07,19.88,20.25,19.88,20.12,6.48,248900
2000-02-08,20.19,20.25,20.12,20.12,6.48,208100
2000-02-09,19.94,20.0,19.69,19.75,6.49,294600
2000-02-10,19.5,19.69,19.5,19.56,6.43,201600
2000-02-11,19.56,20.06,19.5,19.5,6.41,5817900
2000-02-14,18.5,19.38,18.5,19.12,6.28,336100
2000-02-15,19.31,19.38,18.75,18.94,6.22,431100
2000-02-16,19.12,19.5,19.0,19.19,6.3,140700
2000-02-17,19.25,19.81,19.12,19.31,6.34,212000
2000-02-18,19.25,19.31,19.0,19.12,6.28,196800
2000-02-22,18.88,19.19,18.69,18.81,6.18,209400
2000-02-23,18.69,18.94,18.69,18.81,6.18,153300
2000-02-24,18.69,18.88,18.62,18.75,6.16,149200
2000-02-25,18.75,18.75,18.5,18.56,6.1,118500
2000-02-28,18.06,18.62,18.06,18.38,6.04,267400
2000-02-29,18.38,18.44,18.19,18.38,6.04,373900
2000-03-01,18.38,18.62,18.31,18.56,6.1,350500
2000-03-02,18.5,18.62,18.19,18.5,6.08,193200
2000-03-03,18.31,18.56,18.19,18.25,5.99,444000
2000-03-06,18.31,18.44,18.12,18.31,6.02,119300
2000-03-07,18.12,18.25,17.88,18.0,5.91,613400
2000-03-08,18.0,18.31,17.88,17.94,5.89,227500
2000-03-09,17.94,18.12,17.88,18.0,5.91,126900
2000-03-10,18.06,18.12,17.88,18.0,5.91,107200
2000-03-13,17.94,18.0,17.75,17.94,5.89,174400
2000-03-14,18.0,18.12,17.75,17.88,5.87,215400
2000-03-15,17.88,18.0,17.75,18.0,5.91,317600
2000-03-16,18.0,18.5,17.88,18.25,5.99,537900
2000-03-17,18.38,18.5,17.94,17.94,5.89,446800
2000-03-20,18.06,18.5,18.0,18.19,5.97,232100
2000-03-21,18.06,18.62,18.0,18.44,6.06,504700
2000-03-22,18.56,18.75,18.31,18.5,6.08,370600
2000-03-23,18.5,18.69,18.25,18.56,6.1,259200
2000-03-24,18.38,18.62,18.31,18.56,6.1,280800
2000-03-27,18.44,18.69,18.12,18.25,5.99,393400
2000-03-28,18.25,18.5,18.06,18.12,5.95,384900
2000-03-29,18.38,18.5,18.12,18.44,6.06,261100
2000-03-30,18.5,18.75,18.38,18.56,6.1,383800
2000-03-31,18.56,19.12,18.5,19.12,6.28,423200
2000-04-03,19.0,19.19,18.62,18.94,6.22,474200
2000-04-04,18.94,19.06,18.75,18.88,6.2,208500
2000-04-05,18.75,19.19,18.56,19.19,6.3,273000
2000-04-06,19.19,19.38,18.88,19.25,6.32,428200
2000-04-07,19.19,19.75,19.12,19.62,6.45,619200
2000-04-10,19.5,19.94,19.44,19.81,6.51,591800
2000-04-11,19.94,19.94,19.5,19.56,6.43,201800
2000-04-12,19.69,19.94,19.44,19.81,6.51,324300
2000-04-13,19.88,20.19,19.62,20.0,6.57,361600
2000-04-14,19.94,20.06,19.69,19.94,6.55,362600
2000-04-17,19.56,19.88,19.56,19.81,6.51,229400
2000-04-18,19.81,19.94,19.69,19.81,6.51,156800
2000-04-19,19.81,19.94,19.75,19.81,6.51,238300
2000-04-20,19.88,20.44,19.88,20.0,6.57,464000
2000-04-24,20.0,20.12,19.94,20.0,6.57,283100
