Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.54,10.84,10.43,10.8,6.89,161000
2000-01-03,10.73,10.76,10.28,10.32,6.58,451700
2000-01-04,10.32,10.47,10.13,10.24,6.53,311500
2000-01-05,10.17,10.76,10.17,10.62,6.77,447000
2000-01-06,10.54,10.84,10.5,10.5,6.7,223500
2000-01-07,10.58,10.88,10.35,10.35,6.6,749400
2000-01-10,10.32,10.54,10.32,10.43,6.65,320100
2000-01-11,10.43,10.91,10.43,10.84,6.91,466900
2000-01-12,10.8,10.84,10.35,10.47,6.67,1300200
2000-01-13,10.58,11.17,10.5,11.1,7.08,1086600
2000-01-14,11.1,11.32,11.1,11.25,7.17,398100
2000-01-18,11.17,11.32,10.95,11.1,7.08,460900
2000-01-19,11.1,11.14,10.8,10.91,6.96,931000
2000-01-20,10.84,10.88,10.43,10.5,6.7,777700
2000-01-21,10.65,10.65,10.47,10.47,6.67,788400
2000-01-24,10.62,10.62,10.13,10.21,6.51,791000
2000-01-25,10.09,10.13,9.87,9.91,6.32,872000
2000-01-26,10.02,10.02,9.76,9.87,6.29,1011600
2000-01-27,9.87,9.94,9.68,9.83,6.27,631200
2000-01-28,9.76,9.76,9.35,9.39,5.98,1339000
2000-01-31,9.39,9.57,9.27,9.46,6.03,646000
2000-02-01,9.46,9.53,9.09,9.16,5.84,714200
2000-02-02,9.16,9.42,8.49,9.42,6.01,4170000
2000-02-03,9.46,9.65,9.31,9.65,6.15,631300
2000-02-04,9.61,9.98,9.61,9.98,6.36,1958700
2000-02-07,9.94,9.98,9.5,9.57,6.1,690000
2000-02-08,9.68,9.83,9.61,9.76,6.22,994400
2000-02-09,9.68,9.72,9.39,9.42,6.01,658900
2000-02-10,9.35,9.57,9.24,9.46,6.03,754500
2000-02-11,9.53,9.57,9.2,9.27,5.91,614800
2000-02-14,9.24,9.27,8.98,9.01,5.75,481900
2000-02-15,8.98,9.2,8.9,9.16,5.84,1080900
2000-02-16,9.16,9.2,8.72,8.83,5.63,764600
2000-02-17,8.86,8.9,8.68,8.79,5.6,589600
2000-02-18,8.64,8.72,8.49,8.6,5.48,1097100
