Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.1,2.25,2.08,2.23,2.23,2130800
2000-01-03,2.25,2.31,2.17,2.29,2.29,1027400
2000-01-04,2.25,2.27,2.12,2.25,2.25,518400
2000-01-05,2.21,2.21,2.06,2.06,2.06,1800000
2000-01-06,2.04,2.06,1.96,2.0,2.0,2559600
2000-01-07,2.0,2.21,1.98,2.21,2.21,2153000
2000-01-10,2.33,2.35,2.25,2.25,2.25,1212800
2000-01-11,2.23,2.33,2.21,2.23,2.23,783000
2000-01-12,2.27,2.33,2.19,2.21,2.21,772200
2000-01-13,2.23,2.31,2.23,2.31,2.31,1608200
2000-01-14,2.35,2.54,2.35,2.4,2.4,2369600
2000-01-18,2.33,2.5,2.27,2.4,2.4,963200
2000-01-19,2.21,2.21,1.58,1.62,1.62,10565600
2000-01-20,1.65,1.79,1.62,1.77,1.77,5778600
2000-01-21,1.79,1.96,1.77,1.92,1.92,6084600
2000-01-24,1.9,1.92,1.67,1.67,1.67,3576200
2000-01-25,1.71,1.79,1.65,1.65,1.65,1853400
2000-01-26,1.67,1.75,1.65,1.65,1.65,1546200
2000-01-27,1.67,1.67,1.56,1.58,1.58,1993800
2000-01-28,1.58,1.58,1.52,1.52,1.52,1328400
2000-01-31,1.54,1.58,1.5,1.54,1.54,1049000
2000-02-01,1.58,1.58,1.52,1.52,1.52,2383800
2000-02-02,1.54,1.6,1.54,1.56,1.56,1445600
2000-02-03,1.56,1.56,1.48,1.52,1.52,4986600
2000-02-04,1.5,1.52,1.46,1.46,1.46,2919200
2000-02-07,1.46,1.5,1.42,1.46,1.46,1455600
2000-02-08,1.48,1.5,1.44,1.46,1.46,873000
2000-02-09,1.46,1.48,1.4,1.42,1.42,1524800
2000-02-10,1.42,1.44,1.27,1.33,1.33,1789800
2000-02-11,1.33,1.4,1.31,1.35,1.35,2527200
2000-02-14,1.35,1.4,1.23,1.25,1.25,2811000
2000-02-15,1.25,1.33,1.25,1.29,1.29,2350800
2000-02-16,1.31,1.33,1.29,1.29,1.29,1055400
2000-02-17,1.31,1.33,1.29,1.31,1.31,2709000
2000-02-18,1.27,1.31,1.27,1.27,1.27,1063400
2000-02-22,1.27,1.31,1.25,1.27,1.27,988200
2000-02-23,1.31,1.33,1.29,1.29,1.29,888600
2000-02-24,1.31,1.31,1.25,1.29,1.29,910400
2000-02-25,1.31,1.31,1.17,1.17,1.17,2386800
2000-02-28,1.17,1.17,0.92,1.04,1.04,4963800
2000-02-29,1.08,1.12,0.96,1.0,1.0,2095200
2000-03-01,1.0,1.04,0.96,0.96,0.96,2486400
2000-03-02,0.83,1.04,0.69,1.04,1.04,12602400
2000-03-03,1.06,1.08,0.96,1.0,1.0,2180600
2000-03-06,1.08,1.25,1.08,1.17,1.17,2396600
2000-03-07,1.17,1.21,1.15,1.17,1.17,1963400
2000-03-08,1.17,1.19,1.1,1.15,1.15,1114400
2000-03-09,1.12,1.25,1.06,1.1,1.1,2439000
2000-03-10,1.1,1.1,1.02,1.04,1.04,759200
2000-03-13,1.02,1.06,0.94,0.96,0.96,1875200
2000-03-14,0.98,1.0,0.98,1.0,1.0,1673400
2000-03-15,1.0,1.0,0.81,0.9,0.9,5955800
2000-03-16,0.9,0.96,0.88,0.96,0.96,1356600
2000-03-17,0.92,0.96,0.92,0.96,0.96,974000
2000-03-20,0.94,0.96,0.85,0.9,0.9,2575800
2000-03-21,0.88,0.92,0.75,0.85,0.85,3794000
2000-03-22,0.85,0.88,0.81,0.85,0.85,2763200
2000-03-23,0.85,0.9,0.83,0.85,0.85,3479000
2000-03-24,0.88,1.08,0.88,1.0,1.0,4530200
2000-03-27,0.98,0.98,0.88,0.88,0.88,2176400
2000-03-28,0.88,0.92,0.85,0.88,0.88,3159000
2000-03-29,0.88,0.9,0.85,0.9,0.9,1092200
2000-03-30,0.92,1.02,0.92,0.98,0.98,1827800
2000-03-31,1.0,1.08,1.0,1.04,1.04,1781000
2000-04-03,1.06,1.06,1.0,1.0,1.0,899400
2000-04-04,1.04,1.04,0.92,1.02,1.02,1104000
2000-04-05,1.02,1.04,1.0,1.02,1.02,950400
2000-04-06,1.04,1.06,1.02,1.04,1.04,1057400
2000-04-07,1.04,1.08,1.02,1.06,1.06,488000
2000-04-10,1.12,1.17,1.1,1.17,1.17,1349600
2000-04-11,1.17,1.48,1.15,1.48,1.48,2556600
2000-04-12,1.4,1.4,1.15,1.17,1.17,3282200
2000-04-13,1.17,1.17,1.06,1.1,1.1,2264000
2000-04-14,1.06,1.12,0.81,0.9,0.9,11777400
2000-04-17,0.92,0.98,0.9,0.92,0.92,2560400
2000-04-18,0.96,1.02,0.96,1.0,1.0,2129000
2000-04-19,1.0,1.04,0.98,1.04,1.04,2095800
2000-04-20,1.04,1.08,0.98,0.98,0.98,1423800
2000-04-24,1.0,1.0,0.88,0.96,0.96,984200
2000-04-25,1.0,1.0,0.9,0.92,0.92,1031400
2000-04-26,0.92,1.0,0.9,0.94,0.94,822200
2000-04-27,0.9,0.96,0.9,0.9,0.9,956000
2000-04-28,0.92,0.98,0.9,0.96,0.96,772400
2000-05-01,0.98,1.0,0.92,1.0,1.0,1220400
2000-05-02,1.0,1.02,0.98,0.98,0.98,492000
2000-05-03,1.0,1.0,0.92,0.96,0.96,608000
2000-05-04,0.94,0.96,0.94,0.94,0.94,965000
2000-05-05,0.94,0.98,0.92,0.98,0.98,421200
2000-05-08,0.94,0.96,0.9,0.92,0.92,987000
2000-05-09,0.94,0.94,0.85,0.88,0.88,1095600
2000-05-10,0.88,0.92,0.83,0.92,0.92,1032200
2000-05-11,1.08,1.38,1.08,1.38,1.38,6360800
2000-05-12,1.42,1.48,1.33,1.38,1.38,3804200
2000-05-15,1.35,1.54,1.33,1.44,1.44,1885200
2000-05-16,1.42,1.48,1.4,1.46,1.46,2350800
2000-05-17,1.46,1.46,1.33,1.42,1.42,780800
2000-05-18,1.42,1.44,1.33,1.44,1.44,486200
2000-05-19,1.44,1.44,1.4,1.44,1.44,400400
2000-05-22,1.44,1.44,1.29,1.33,1.33,912800
2000-05-23,1.33,1.33,1.19,1.21,1.21,715400
2000-05-24,1.19,1.23,1.12,1.23,1.23,624600
2000-05-25,1.23,1.25,1.19,1.21,1.21,748800
2000-05-26,1.19,1.31,1.19,1.29,1.29,697800
2000-05-30,1.29,1.38,1.29,1.38,1.38,813800
2000-05-31,1.33,1.4,1.31,1.31,1.31,594600
2000-06-01,1.33,1.33,1.29,1.31,1.31,655800
2000-06-02,1.31,1.33,1.31,1.33,1.33,381800
2000-06-05,1.33,1.35,1.29,1.33,1.33,332600
2000-06-06,1.35,1.44,1.33,1.4,1.4,1450800
2000-06-07,1.4,1.48,1.4,1.46,1.46,866400
2000-06-08,1.48,1.48,1.23,1.33,1.33,676800
2000-06-09,1.33,1.33,1.27,1.31,1.31,757200
2000-06-12,1.33,1.35,1.29,1.29,1.29,1473000
2000-06-13,1.33,1.42,1.29,1.42,1.42,1453200
2000-06-14,1.46,1.73,1.46,1.69,1.69,3901200
2000-06-15,1.71,1.81,1.71,1.81,1.81,2116200
2000-06-16,1.81,1.83,1.75,1.77,1.77,852200
2000-06-19,1.77,1.98,1.77,1.96,1.96,994400
2000-06-20,2.0,2.0,1.77,1.85,1.85,1745600
2000-06-21,1.85,1.9,1.75,1.79,1.79,563600
2000-06-22,1.81,1.98,1.77,1.85,1.85,930600
2000-06-23,1.83,1.85,1.75,1.81,1.81,618800
2000-06-26,1.81,1.83,1.77,1.79,1.79,509400
2000-06-27,1.81,1.94,1.79,1.94,1.94,805400
2000-06-28,1.94,1.94,1.83,1.92,1.92,430400
2000-06-29,1.92,1.94,1.79,1.9,1.9,1706400
2000-06-30,1.88,2.0,1.81,2.0,2.0,1193600
2000-07-03,2.0,2.08,1.9,2.04,2.04,494600
2000-07-05,2.0,2.17,1.98,2.12,2.12,1094600
2000-07-06,2.21,2.27,2.19,2.25,2.25,1030800
2000-07-07,2.29,2.33,2.25,2.29,2.29,1806800
2000-07-10,2.48,2.52,2.38,2.5,2.5,2200400
2000-07-11,2.5,2.58,2.25,2.31,2.31,1389600
2000-07-12,2.35,2.42,2.31,2.42,2.42,1033200
2000-07-13,2.38,2.48,2.33,2.48,2.48,1567800
2000-07-14,2.48,2.5,2.44,2.48,2.48,642600
2000-07-17,2.5,2.56,2.48,2.5,2.5,1107800
2000-07-18,2.54,2.6,2.5,2.5,2.5,1230800
2000-07-19,2.5,2.52,2.42,2.46,2.46,591200
2000-07-20,2.48,2.54,2.46,2.5,2.5,1239800
2000-07-21,2.48,2.5,2.4,2.4,2.4,417800
2000-07-24,2.4,2.42,2.19,2.25,2.25,717200
2000-07-25,2.27,2.29,2.04,2.15,2.15,798000
2000-07-26,2.12,2.12,1.9,2.12,2.12,1104200
2000-07-27,2.08,2.08,1.98,2.06,2.06,472400
2000-07-28,2.06,2.12,2.0,2.12,2.12,468600
2000-07-31,2.08,2.54,2.04,2.54,2.54,1313000
2000-08-01,2.5,2.52,2.44,2.5,2.5,1101800
2000-08-02,2.48,2.52,2.38,2.52,2.52,706400
2000-08-03,2.48,2.48,2.33,2.46,2.46,431000
2000-08-04,2.44,2.5,2.42,2.5,2.5,574200
2000-08-07,2.48,2.52,2.35,2.4,2.4,437400
2000-08-08,2.38,2.44,2.25,2.4,2.4,441200
2000-08-09,2.48,2.5,2.25,2.31,2.31,540800
2000-08-10,2.29,2.31,2.1,2.19,2.19,586200
2000-08-11,2.15,2.23,2.12,2.23,2.23,331400
2000-08-14,2.19,2.25,2.15,2.19,2.19,401600
2000-08-15,2.19,2.21,2.08,2.08,2.08,360800
2000-08-16,2.04,2.19,2.04,2.19,2.19,252800
2000-08-17,2.15,2.25,2.12,2.19,2.19,246600
2000-08-18,2.15,2.17,2.06,2.12,2.12,196800
2000-08-21,2.17,2.21,2.1,2.21,2.21,225200
2000-08-22,2.17,2.21,2.1,2.12,2.12,279800
2000-08-23,2.1,2.17,2.08,2.08,2.08,318600
2000-08-24,2.06,2.1,2.04,2.06,2.06,81800
2000-08-25,2.06,2.06,2.0,2.04,2.04,321800
2000-08-28,2.0,2.1,2.0,2.1,2.1,565800
2000-08-29,2.08,2.19,2.08,2.15,2.15,212600
2000-08-30,2.17,2.27,2.1,2.27,2.27,618600
2000-08-31,2.27,2.33,2.17,2.33,2.33,420600
2000-09-01,2.33,2.33,2.21,2.25,2.25,314400
2000-09-05,2.21,2.33,2.19,2.27,2.27,356600
2000-09-06,2.23,2.31,2.12,2.15,2.15,547800
2000-09-07,2.17,2.25,2.17,2.19,2.19,317400
2000-09-08,2.15,2.25,2.1,2.19,2.19,245400
2000-09-11,2.17,2.21,2.17,2.19,2.19,346200
2000-09-12,2.15,2.21,2.15,2.17,2.17,306600
2000-09-13,2.17,2.35,2.15,2.31,2.31,717800
2000-09-14,2.35,2.38,2.29,2.35,2.35,407000
2000-09-15,2.29,2.4,2.29,2.4,2.4,379200
2000-09-18,2.35,2.35,2.25,2.27,2.27,238200
2000-09-19,2.25,2.29,2.21,2.29,2.29,269000
2000-09-20,2.29,2.31,2.23,2.27,2.27,155600
2000-09-21,2.19,2.25,2.17,2.19,2.19,319800
2000-09-22,2.12,2.19,2.08,2.17,2.17,1105400
