Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,45.05,47.01,44.87,47.01,26.67,677300
2000-01-03,46.89,46.92,44.22,46.33,26.28,2389300
2000-01-04,45.49,46.82,44.9,46.02,26.11,3484500
2000-01-05,38.38,43.28,38.38,42.79,24.27,8718300
2000-01-06,43.04,44.22,42.29,43.41,24.63,2856500
2000-01-07,43.69,43.69,42.23,43.32,24.57,2222500
2000-01-10,43.38,46.02,43.38,45.71,25.93,1970200
2000-01-11,46.2,46.58,44.34,44.81,25.42,1675800
2000-01-12,44.71,44.87,43.41,44.81,25.42,1209400
2000-01-13,44.93,45.68,44.68,45.68,25.91,1039300
2000-01-14,45.8,47.17,45.77,46.33,26.28,1716800
2000-01-18,45.89,46.61,45.37,45.37,25.74,894600
2000-01-19,44.93,45.61,44.62,45.12,25.6,1316100
2000-01-20,45.24,45.52,41.79,43.47,24.66,2822700
2000-01-21,44.22,45.43,43.97,44.37,25.17,1945500
2000-01-24,44.4,45.37,44.03,44.28,25.12,1090100
2000-01-25,44.19,44.19,42.82,44.09,25.01,1256100
2000-01-26,44.09,45.18,43.32,43.69,24.79,1729700
2000-01-27,43.69,45.12,43.66,44.5,25.24,1835600
2000-01-28,44.43,44.68,44.0,44.34,25.16,1289100
2000-01-31,43.97,45.64,43.6,45.64,25.9,2135100
2000-02-01,44.96,45.55,44.19,44.31,25.14,3415000
2000-02-02,44.34,44.37,42.45,42.69,24.22,1963600
2000-02-03,43.32,44.68,43.28,43.78,24.84,1527400
2000-02-04,44.62,45.89,44.56,45.74,25.95,1232100
2000-02-07,45.86,46.17,44.68,44.71,25.37,1504300
2000-02-08,44.74,45.15,44.19,44.56,25.28,1234300
2000-02-09,43.72,44.43,43.41,43.47,24.66,1328200
2000-02-10,43.56,43.66,42.69,43.25,24.54,1218300
2000-02-11,43.13,43.13,41.05,41.64,23.62,1287000
2000-02-14,41.73,42.38,41.61,41.92,23.78,917900
2000-02-15,41.89,42.26,40.86,41.64,23.62,893500
2000-02-16,41.51,41.55,39.9,40.61,23.04,2101100
2000-02-17,40.61,40.61,39.75,39.84,22.6,1588200
2000-02-18,40.4,40.4,39.65,39.81,22.58,1452600
2000-02-22,39.93,40.4,39.81,40.12,22.76,1146600
2000-02-23,39.75,40.37,39.75,40.21,22.81,992800
2000-02-24,40.21,40.21,38.91,39.71,22.53,2227900
2000-02-25,39.62,39.81,38.5,38.88,22.06,1415900
2000-02-28,38.97,38.97,37.23,37.6,21.33,1752700
2000-02-29,37.85,39.19,37.73,39.16,22.21,2219800
2000-03-01,38.66,38.69,37.23,37.26,21.14,1995200
2000-03-02,37.54,38.07,36.8,37.63,21.35,2139900
2000-03-03,38.13,39.12,37.66,38.19,21.67,1721500
2000-03-06,38.22,38.38,37.45,38.1,21.61,1441500
2000-03-07,38.22,38.81,37.91,38.5,21.84,1943600
2000-03-08,38.13,38.41,37.73,38.35,21.76,1786300
2000-03-09,38.35,40.24,38.16,39.65,22.5,1909100
2000-03-10,39.53,40.4,38.38,40.09,22.74,1151700
2000-03-13,40.09,40.09,38.66,39.62,22.48,1395000
2000-03-14,39.75,40.52,38.72,39.28,22.28,1675800
2000-03-15,39.16,39.16,37.32,38.16,21.65,1597300
2000-03-16,38.25,38.53,37.26,37.54,21.3,2588600
2000-03-17,36.76,36.76,35.96,36.39,20.65,3050700
2000-03-20,36.39,37.14,35.77,35.86,20.35,2162700
2000-03-21,35.86,37.54,35.83,37.54,21.3,2785700
2000-03-22,37.98,39.9,37.94,39.25,22.27,1656300
2000-03-23,38.75,39.16,38.25,39.16,22.21,1297300
2000-03-24,39.16,40.65,38.84,40.09,22.74,1367200
2000-03-27,40.09,40.58,39.5,39.75,22.55,956800
2000-03-28,39.65,39.87,38.41,38.72,21.97,910100
2000-03-29,38.63,39.31,37.11,38.07,21.6,1137800
2000-03-30,38.47,38.69,36.95,37.85,21.47,1313100
2000-03-31,37.98,39.31,37.35,39.31,22.3,2066400
2000-04-03,39.16,39.4,38.1,39.4,22.35,1039900
2000-04-04,39.28,39.75,37.94,39.75,22.55,2383500
2000-04-05,39.62,42.48,39.53,41.92,23.78,2509300
2000-04-06,41.86,42.69,40.93,41.92,23.78,2124000
2000-04-07,42.01,42.01,39.25,40.58,23.02,2199100
2000-04-10,39.96,39.96,38.35,38.75,21.98,2018000
2000-04-11,38.72,38.94,38.1,38.1,21.61,1051200
2000-04-12,38.5,39.09,37.73,38.01,21.56,1283900
2000-04-13,38.01,39.65,37.85,38.5,21.84,1162900
2000-04-14,38.01,38.32,36.02,37.79,21.44,2252300
2000-04-17,36.42,38.19,35.83,37.51,21.28,1798600
2000-04-18,37.51,40.21,37.35,38.72,21.97,1122200
2000-04-19,38.72,39.16,37.98,38.5,21.84,1217200
2000-04-20,38.63,40.21,38.63,40.18,22.8,1437200
2000-04-24,39.99,39.99,38.29,38.94,22.09,1238400
2000-04-25,38.84,41.7,38.84,41.36,23.46,1537700
2000-04-26,41.24,41.24,40.34,40.65,23.06,963500
2000-04-27,40.34,41.79,40.34,41.79,23.71,1393400
2000-04-28,41.76,42.14,39.93,40.52,22.99,1090600
2000-05-01,40.77,41.61,39.93,40.46,22.95,1096500
2000-05-02,40.34,41.14,39.99,40.61,23.04,1230300
2000-05-03,40.24,40.24,38.91,39.22,22.25,1048000
2000-05-04,39.34,39.71,38.88,39.22,22.25,891800
