Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.97,7.0,6.58,6.59,6.51,44898700
2000-01-03,6.85,7.46,6.18,7.43,7.35,116192100
2000-01-04,7.13,7.37,6.68,6.73,6.66,80316400
2000-01-05,6.38,7.31,6.33,7.18,7.11,104891800
2000-01-06,7.05,7.75,6.86,7.1,7.02,104893700
2000-01-07,7.05,7.3,6.8,7.09,7.01,51260700
2000-01-10,7.42,7.67,7.37,7.48,7.4,59533000
2000-01-11,7.47,7.63,7.08,7.32,7.24,53849600
2000-01-12,7.24,7.32,6.82,6.86,6.78,50848300
2000-01-13,7.02,7.28,6.94,7.25,7.17,45824400
2000-01-14,7.37,7.57,6.97,7.04,6.96,55461500
2000-01-18,6.9,7.38,6.9,7.34,7.26,42982700
2000-01-19,7.32,7.6,7.21,7.56,7.48,42939000
2000-01-20,7.62,8.19,7.57,8.15,8.06,99018300
2000-01-21,8.06,8.35,7.85,7.92,7.83,54334300
2000-01-24,7.94,7.94,7.02,7.17,7.1,65153700
2000-01-25,7.32,7.63,7.04,7.23,7.15,86341900
2000-01-26,7.71,8.3,7.47,8.08,7.99,188994600
2000-01-27,7.92,8.13,7.81,8.1,8.01,61430000
2000-01-28,7.94,8.05,7.63,7.76,7.68,46461200
2000-01-31,7.68,8.03,7.63,7.89,7.81,38827600
2000-02-01,7.81,8.08,7.8,7.94,7.85,27274500
2000-02-02,7.99,8.23,7.85,7.94,7.86,28956700
2000-02-03,8.17,8.75,8.1,8.68,8.58,82131600
2000-02-04,8.42,9.01,8.39,8.84,8.74,73792800
2000-02-07,8.7,9.02,8.62,8.92,8.82,32028400
2000-02-08,9.07,9.21,8.81,8.93,8.83,47362200
2000-02-09,8.89,8.89,8.48,8.63,8.53,33665000
2000-02-10,8.6,8.69,8.33,8.54,8.45,32497900
2000-02-11,8.56,8.58,7.98,8.07,7.98,22906500
2000-02-14,8.12,8.39,7.98,8.11,8.02,30281600
2000-02-15,8.03,8.13,7.58,7.81,7.73,49434100
2000-02-16,7.81,7.81,7.37,7.4,7.32,32832500
2000-02-17,7.44,7.65,7.4,7.64,7.56,43338200
2000-02-18,7.66,7.68,7.21,7.22,7.14,26474300
2000-02-22,7.32,7.44,6.98,7.08,7.0,37599700
2000-02-23,7.35,8.31,7.33,8.15,8.06,80787800
2000-02-24,8.1,8.63,7.91,8.63,8.53,61507900
2000-02-25,8.54,8.59,7.89,7.93,7.85,32745000
2000-02-28,7.78,7.92,7.52,7.63,7.55,45594400
2000-02-29,7.69,7.83,7.29,7.54,7.46,30705500
2000-03-01,7.78,8.18,7.65,7.85,7.77,57881200
2000-03-02,7.75,8.08,7.62,7.9,7.81,23434900
2000-03-03,7.91,8.08,7.58,7.87,7.78,20302400
2000-03-06,7.88,8.68,7.86,8.5,8.41,53473300
2000-03-07,8.74,8.85,8.45,8.57,8.47,45957500
2000-03-08,8.62,9.73,8.36,9.68,9.57,88556300
2000-03-09,9.52,9.67,9.21,9.6,9.5,66356900
2000-03-10,9.44,10.71,9.35,10.17,10.05,96406600
2000-03-13,9.68,11.68,9.52,11.03,10.91,118879800
2000-03-14,11.4,11.81,11.0,11.1,10.98,67465000
2000-03-15,11.43,11.43,9.76,9.97,9.86,82553600
2000-03-16,10.06,11.57,9.69,11.55,11.42,92952900
2000-03-17,11.45,11.78,11.1,11.52,11.39,42836400
2000-03-20,11.55,11.55,10.26,10.32,10.2,53800200
2000-03-21,10.31,11.36,10.0,11.28,11.16,51817700
2000-03-22,11.15,12.64,11.0,12.24,12.1,74627300
2000-03-23,12.1,12.57,11.75,11.76,11.63,56345400
2000-03-24,12.11,13.14,11.96,12.82,12.68,78854600
2000-03-27,12.63,13.42,12.41,12.62,12.48,48873300
2000-03-28,12.73,13.0,11.73,11.77,11.64,47383100
2000-03-29,11.71,11.77,10.42,10.47,10.35,72103000
2000-03-30,10.26,11.02,10.1,10.9,10.78,64509300
2000-03-31,10.57,10.63,9.2,9.26,9.16,131387000
2000-04-03,9.42,9.61,7.48,7.54,7.45,121061900
2000-04-04,7.81,9.0,6.9,8.79,8.69,158562800
2000-04-05,8.5,9.88,8.2,8.73,8.63,78987700
2000-04-06,9.01,9.6,8.91,9.57,9.47,108284700
2000-04-07,9.42,9.71,9.22,9.52,9.41,59808600
2000-04-10,9.41,9.41,8.15,8.19,8.1,72142900
2000-04-11,8.13,8.68,8.05,8.18,8.09,80641400
2000-04-12,8.26,8.4,7.49,7.54,7.46,71684800
2000-04-13,7.88,8.27,7.26,7.3,7.22,88786300
2000-04-14,7.3,7.64,7.03,7.34,7.26,137591300
2000-04-17,6.96,7.73,6.94,7.54,7.45,104355800
2000-04-18,7.51,8.58,7.5,8.57,8.48,62477300
2000-04-19,8.42,8.63,7.89,7.91,7.82,52865000
2000-04-20,8.1,8.2,7.49,7.9,7.82,37223300
2000-04-24,7.73,7.76,6.61,7.46,7.38,53819200
2000-04-25,7.53,8.2,7.4,8.08,7.99,93909000
2000-04-26,8.48,8.49,7.79,7.85,7.77,120961200
2000-04-27,7.63,8.62,7.53,8.52,8.43,72620000
2000-04-28,8.52,8.58,8.22,8.37,8.28,56408100
2000-05-01,8.38,8.39,8.08,8.19,8.1,44410200
2000-05-02,8.08,8.1,7.54,7.54,7.46,37835400
2000-05-03,7.54,7.69,7.1,7.37,7.28,48483700
2000-05-04,7.46,7.65,7.01,7.2,7.12,58010500
2000-05-05,7.14,7.31,6.92,7.05,6.97,56560200
2000-05-08,6.96,7.1,6.73,6.76,6.69,28707700
2000-05-09,6.82,6.84,6.17,6.38,6.31,62082000
2000-05-10,6.23,6.37,5.79,5.84,5.78,72677000
2000-05-11,6.02,6.3,5.92,6.19,6.13,57025900
2000-05-12,6.26,6.55,6.23,6.38,6.31,40688500
2000-05-15,6.35,6.73,6.07,6.71,6.63,32600600
2000-05-16,6.72,7.26,6.68,7.1,7.02,65718200
2000-05-17,6.9,7.02,6.64,6.74,6.67,37115000
2000-05-18,6.81,6.94,6.52,6.53,6.45,34157300
2000-05-19,6.35,6.49,6.1,6.22,6.15,33722000
2000-05-22,6.27,7.35,5.76,7.16,7.09,91103400
2000-05-23,6.92,7.05,6.1,6.1,6.04,97720100
2000-05-24,6.14,6.9,5.97,6.84,6.76,99406100
2000-05-25,6.89,7.1,6.37,6.37,6.3,41037300
2000-05-26,6.48,6.68,6.16,6.52,6.45,19943100
2000-05-30,6.72,7.06,6.68,7.05,6.97,25800500
2000-05-31,7.0,7.18,6.58,6.58,6.51,24047000
2000-06-01,6.75,7.25,6.69,7.09,7.01,39836900
2000-06-02,7.56,8.13,7.43,8.12,8.03,47443900
2000-06-05,7.87,8.35,7.75,7.94,7.85,36101800
2000-06-06,7.97,8.08,7.56,7.56,7.47,27961700
2000-06-07,7.5,7.96,7.15,7.96,7.87,31277600
2000-06-08,7.99,8.0,7.47,7.54,7.46,20769000
2000-06-09,7.75,7.84,7.5,7.7,7.62,21223300
