Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.38,19.59,19.22,19.56,15.31,175800.0
2000-01-03,19.5,19.5,18.75,18.84,14.75,582000.0
2000-01-04,18.81,18.97,18.0,18.34,14.36,863200.0
2000-01-05,18.47,19.19,18.38,19.06,14.92,613600.0
2000-01-06,18.75,19.94,18.69,19.91,15.58,893600.0
2000-01-07,19.91,20.38,19.59,19.91,15.58,900000.0
2000-01-10,20.0,20.34,19.81,20.31,15.9,848600.0
2000-01-11,20.19,20.22,19.94,20.09,15.73,518000.0
2000-01-12,19.5,19.91,19.38,19.72,15.43,777800.0
2000-01-13,19.72,19.94,19.53,19.56,15.31,492200.0
2000-01-14,19.56,19.75,19.44,19.72,15.43,427200.0
2000-01-18,19.59,19.62,19.16,19.22,15.04,569600.0
2000-01-19,19.31,19.41,18.88,18.97,14.85,807200.0
2000-01-20,19.03,19.09,18.75,18.91,14.8,684200.0
2000-01-21,19.0,19.0,18.5,18.53,14.5,623800.0
2000-01-24,18.56,18.62,18.0,18.19,14.24,417400.0
2000-01-25,18.31,18.75,17.59,17.81,13.94,729200.0
2000-01-26,17.91,18.38,17.66,18.09,14.16,801800.0
2000-01-27,17.97,18.34,17.75,18.03,14.11,354600.0
2000-01-28,17.91,17.91,16.88,17.25,13.5,724200.0
2000-01-31,17.5,17.78,17.41,17.59,13.77,500200.0
2000-02-01,17.5,17.62,17.31,17.53,13.72,274000.0
2000-02-02,17.59,17.59,17.0,17.03,13.33,690400.0
2000-02-03,17.16,17.59,17.0,17.38,13.6,626800.0
2000-02-04,17.38,17.88,17.25,17.56,13.75,754600.0
2000-02-07,17.44,17.69,17.25,17.47,13.67,655800.0
2000-02-08,17.44,17.44,16.94,17.09,13.38,695400.0
2000-02-09,17.06,17.06,16.41,16.53,12.94,611800.0
2000-02-10,16.41,16.75,16.31,16.56,12.96,441000.0
2000-02-11,16.69,16.75,16.16,16.25,12.72,366600.0
2000-02-14,16.31,16.44,16.09,16.25,12.72,302000.0
2000-02-15,16.25,16.69,16.12,16.69,13.06,683400.0
2000-02-16,16.62,16.81,16.25,16.38,12.82,408000.0
2000-02-17,16.44,16.44,16.19,16.34,12.79,393000.0
2000-02-18,16.22,16.34,15.12,15.53,12.16,849000.0
2000-02-22,16.0,16.09,15.5,15.84,12.4,626000.0
2000-02-23,15.81,15.94,15.38,15.56,12.18,501000.0
2000-02-24,15.5,15.53,14.19,14.56,11.4,1124400.0
2000-02-25,14.69,15.03,14.53,14.56,11.4,557800.0
2000-02-28,14.69,14.91,14.0,14.31,11.2,720600.0
2000-02-29,14.38,14.47,14.06,14.12,11.06,651800.0
2000-03-01,14.38,14.62,14.25,14.44,11.3,710400.0
2000-03-02,14.41,14.62,14.28,14.38,11.25,718800.0
2000-03-03,14.38,15.5,14.31,15.34,12.01,1126800.0
2000-03-06,15.34,15.41,14.09,14.25,11.15,570200.0
2000-03-07,14.44,14.75,14.09,14.19,11.1,778000.0
2000-03-08,14.06,14.72,14.0,14.56,11.4,667600.0
2000-03-09,14.62,15.25,14.44,15.12,11.84,873200.0
2000-03-10,14.97,15.34,14.88,15.19,11.89,709600.0
2000-03-13,15.22,15.22,14.75,14.91,11.67,614200.0
2000-03-14,14.81,15.66,14.81,15.41,12.06,907800.0
2000-03-15,15.31,16.5,15.25,16.28,12.74,1011600.0
2000-03-16,16.62,17.34,16.38,17.31,13.55,877400.0
2000-03-17,17.94,17.94,17.03,17.22,13.52,1137400.0
2000-03-20,17.28,17.47,16.81,17.06,13.4,896600.0
2000-03-21,16.88,17.69,16.88,17.5,13.74,430200.0
2000-03-22,17.5,17.56,17.0,17.19,13.5,450000.0
2000-03-23,17.06,17.25,16.44,16.94,13.3,1142000.0
2000-03-24,16.81,17.34,16.69,17.28,13.57,669200.0
2000-03-27,17.19,17.47,17.09,17.28,13.57,460000.0
2000-03-28,17.22,17.88,17.19,17.31,13.6,505400.0
2000-03-29,17.28,17.5,17.28,17.47,13.72,221800.0
2000-03-30,17.59,18.5,17.56,18.25,14.33,760400.0
2000-03-31,18.22,18.5,18.19,18.34,14.41,706800.0
2000-04-03,18.25,19.0,18.12,18.59,14.6,869000.0
2000-04-04,18.69,19.0,18.0,18.47,14.51,494200.0
2000-04-05,18.41,19.0,18.41,18.88,14.82,587400.0
2000-04-06,18.84,19.03,18.81,18.94,14.87,459400.0
2000-04-07,18.81,18.97,18.66,18.72,14.7,368400.0
2000-04-10,18.66,19.19,18.66,18.94,14.87,527000.0
2000-04-11,18.81,19.47,18.81,19.12,15.02,556200.0
2000-04-12,19.12,19.5,19.12,19.19,15.07,437200.0
2000-04-13,19.19,19.31,18.84,18.97,14.9,424000.0
2000-04-14,18.56,18.81,17.94,18.31,14.38,719000.0
2000-04-17,18.06,18.53,18.0,18.19,14.28,467600.0
2000-04-18,18.22,18.22,17.5,17.78,13.97,535800.0
2000-04-19,17.72,18.0,17.47,17.81,13.99,595000.0
2000-04-20,18.5,18.78,18.25,18.31,14.38,1123800.0
2000-04-24,18.19,19.12,18.12,18.97,14.9,1053000.0
2000-04-25,18.84,19.38,18.75,19.28,15.14,578800.0
2000-04-26,19.28,19.84,19.16,19.44,15.27,712000.0
2000-04-27,19.19,19.62,19.12,19.5,15.32,830200.0
2000-04-28,19.44,20.0,19.44,19.53,15.34,764800.0
2000-05-01,19.41,20.09,19.41,20.09,15.78,643400.0
2000-05-02,19.97,20.03,19.75,20.03,15.73,1046400.0
2000-05-03,19.75,20.12,19.62,19.94,15.66,1325200.0
2000-05-04,19.94,20.09,19.72,19.94,15.66,819000.0
2000-05-05,19.84,20.56,19.75,20.12,15.81,841400.0
2000-05-08,19.94,19.94,19.28,19.62,15.41,713000.0
2000-05-09,19.5,20.0,19.34,20.0,15.71,1005400.0
2000-05-10,19.94,20.44,19.84,20.0,15.71,448600.0
2000-05-11,19.88,20.62,19.88,20.34,15.98,595000.0
2000-05-12,20.28,20.47,20.0,20.44,16.05,636400.0
2000-05-15,20.31,20.5,20.22,20.41,16.03,619000.0
2000-05-16,20.16,20.16,19.75,20.0,15.71,813600.0
2000-05-17,20.0,20.03,19.72,20.0,15.71,389200.0
2000-05-18,19.88,20.09,19.56,19.59,15.39,515600.0
2000-05-19,19.5,19.62,19.22,19.5,15.32,690200.0
2000-05-22,19.59,19.94,19.59,19.78,15.54,391400.0
2000-05-23,19.69,19.81,19.28,19.5,15.32,519800.0
2000-05-24,19.62,19.81,19.53,19.62,15.41,373600.0
2000-05-25,19.56,19.56,18.97,18.97,14.9,557000.0
2000-05-26,19.03,19.25,18.97,19.09,15.0,348200.0
2000-05-30,19.0,19.38,19.0,19.34,15.19,458200.0
2000-05-31,19.22,19.22,19.0,19.12,15.02,419200.0
2000-06-01,19.0,19.16,18.53,19.09,15.0,994800.0
2000-06-02,19.12,19.69,19.09,19.59,15.39,586200.0
2000-06-05,19.41,19.41,19.03,19.12,15.02,492400.0
2000-06-06,19.06,19.09,18.81,18.94,14.87,500400.0
2000-06-07,18.91,19.19,18.88,19.03,14.95,387800.0
2000-06-08,18.91,19.44,18.47,19.22,15.09,411800.0
2000-06-09,19.28,19.47,19.09,19.19,15.07,367400.0
2000-06-12,19.06,19.38,18.44,18.56,14.58,709200.0
2000-06-13,18.69,18.81,18.59,18.66,14.65,634000.0
2000-06-14,18.69,19.03,18.62,18.84,14.8,441800.0
2000-06-15,18.94,19.19,18.66,18.66,14.65,408200.0
2000-06-16,18.66,18.72,18.38,18.52,14.59,701400.0
2000-06-19,18.44,18.62,18.41,18.47,14.55,559600.0
2000-06-20,18.38,18.44,17.94,18.28,14.4,734800.0
2000-06-21,18.16,18.22,17.81,17.91,14.11,455400.0
2000-06-22,17.81,17.97,17.69,17.88,14.08,489800.0
2000-06-23,17.97,18.22,17.91,18.0,14.18,293400.0
2000-06-26,18.0,18.09,17.72,17.94,14.13,447200.0
2000-06-27,18.0,18.75,17.97,18.47,14.55,667200.0
2000-06-28,18.59,19.09,18.0,18.67,14.71,897800.0
2000-06-29,18.53,19.31,18.53,19.03,15.0,706200.0
2000-06-30,18.91,19.56,18.66,19.53,15.39,1034600.0
2000-07-03,19.53,20.0,19.53,20.0,15.76,512800.0
2000-07-05,19.94,20.0,19.81,20.0,15.76,528000.0
2000-07-06,19.81,19.81,19.0,19.22,15.14,590800.0
2000-07-07,19.06,19.38,19.06,19.22,15.14,445600.0
2000-07-10,19.25,19.34,19.19,19.31,15.22,1173000.0
2000-07-11,19.25,19.34,18.91,18.94,14.92,1101600.0
