Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.19,23.81,23.12,23.56,11.58,276700
2000-01-03,23.06,23.25,21.06,22.38,10.99,440100
2000-01-04,21.88,22.25,21.56,21.62,10.63,529100
2000-01-05,21.81,22.19,21.31,21.38,10.5,362400
2000-01-06,21.62,21.62,20.81,21.12,10.38,491100
2000-01-07,21.44,22.38,21.06,22.12,10.87,357000
2000-01-10,21.88,22.19,21.81,21.94,10.78,270200
2000-01-11,21.88,22.62,21.88,22.56,11.09,478700
2000-01-12,22.31,22.5,21.06,21.56,10.6,333100
2000-01-13,21.5,21.56,20.0,20.31,9.98,822600
2000-01-14,20.75,21.25,20.19,21.25,10.44,759200
2000-01-18,21.19,21.56,20.88,21.06,10.35,433200
2000-01-19,21.0,21.69,20.94,21.19,10.41,366200
2000-01-20,21.31,21.5,20.62,20.69,10.17,268600
2000-01-21,21.06,21.12,20.25,20.44,10.04,406600
2000-01-24,20.38,20.5,19.88,19.88,9.77,710800
2000-01-25,20.25,23.38,20.12,21.25,10.44,1474900
2000-01-26,21.12,21.38,20.19,21.25,10.44,877900
2000-01-27,21.44,22.38,21.06,21.44,10.53,1049800
2000-01-28,21.5,21.75,21.25,21.56,10.6,762300
2000-01-31,21.56,21.62,20.88,21.5,10.56,358900
2000-02-01,21.31,21.31,20.62,21.0,10.32,788700
2000-02-02,20.75,21.62,20.75,21.5,10.56,595900
2000-02-03,22.25,22.25,21.25,21.75,10.69,530600
2000-02-04,21.94,22.0,21.31,21.62,10.63,445700
2000-02-07,21.38,21.44,21.06,21.31,10.47,211900
2000-02-08,21.5,22.06,21.31,22.06,10.84,349700
2000-02-09,21.62,21.69,21.12,21.5,10.56,494500
2000-02-10,21.62,22.19,21.44,21.94,10.78,581700
2000-02-11,22.5,22.88,21.88,22.19,10.9,863500
2000-02-14,22.81,22.81,21.88,22.0,10.81,366100
2000-02-15,21.94,22.31,21.62,21.94,10.78,455800
2000-02-16,21.94,22.06,21.5,21.75,10.69,424000
2000-02-17,21.69,21.88,21.5,21.75,10.69,426500
2000-02-18,22.0,22.12,21.31,21.31,10.52,590400
2000-02-22,20.94,21.25,20.56,21.19,10.46,423700
2000-02-23,20.94,22.0,20.94,21.75,10.73,378300
2000-02-24,21.81,22.0,20.44,21.94,10.83,508300
2000-02-25,21.94,21.94,21.0,21.38,10.55,425700
2000-02-28,21.0,21.19,20.62,21.19,10.46,460900
2000-02-29,21.19,21.62,20.94,21.19,10.46,312200
2000-03-01,21.25,21.25,20.88,21.06,10.39,273400
