Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.06,26.38,26.06,26.19,15.12,16138200
2000-01-03,25.5,25.56,24.81,25.06,14.62,755000
2000-01-04,24.88,25.62,24.88,25.31,14.77,715400
2000-01-05,25.94,27.5,25.81,26.94,15.72,1330000
2000-01-06,26.69,26.88,26.12,26.88,15.68,1210100
2000-01-07,27.0,28.0,27.0,28.0,16.33,2816800
2000-01-10,27.94,28.06,27.62,28.0,16.33,912200
2000-01-11,28.0,28.06,27.75,27.88,16.26,960100
2000-01-12,27.81,28.19,27.81,27.94,16.3,618300
2000-01-13,27.81,28.0,27.69,27.75,16.19,848500
2000-01-14,27.5,27.62,27.25,27.5,16.04,712800
2000-01-18,27.25,27.5,26.75,27.0,15.75,1032700
2000-01-19,26.56,27.38,26.56,27.25,15.9,1014000
2000-01-20,26.88,26.94,26.69,26.81,15.64,787500
2000-01-21,27.0,27.5,26.88,27.44,16.01,1016200
2000-01-24,27.62,29.31,27.56,28.5,16.63,1592700
2000-01-25,28.5,29.06,28.5,28.88,16.85,2807400
2000-01-26,28.94,29.06,28.81,29.0,16.92,896900
2000-01-27,28.81,29.56,28.69,29.0,16.92,1649600
2000-01-28,29.0,29.0,28.25,28.25,16.48,869500
2000-01-31,28.31,29.12,28.0,29.12,16.99,965200
2000-02-01,29.38,29.38,28.12,28.62,16.7,1351400
2000-02-02,28.56,28.69,28.38,28.56,16.66,943300
2000-02-03,28.5,30.0,28.5,29.5,17.21,1030100
2000-02-04,29.44,29.5,28.12,28.38,16.55,838100
2000-02-07,28.12,28.38,27.88,28.38,16.55,855100
2000-02-08,28.19,28.19,27.62,27.88,16.26,1400500
2000-02-09,27.81,28.12,27.5,28.0,16.33,1100700
2000-02-10,27.69,28.38,27.5,27.5,16.04,756100
2000-02-11,27.56,28.25,27.56,27.75,16.19,487000
2000-02-14,27.75,28.25,27.69,27.94,16.3,624800
2000-02-15,28.0,28.12,27.88,28.0,16.33,524600
2000-02-16,28.06,28.5,28.0,28.38,16.55,600200
2000-02-17,28.31,28.44,27.94,28.06,16.37,381000
2000-02-18,28.06,28.12,27.12,27.25,15.9,929100
2000-02-22,27.25,27.44,26.88,27.31,15.93,570400
2000-02-23,27.44,27.44,26.62,26.69,15.57,629800
2000-02-24,26.12,26.12,25.0,25.31,14.77,1181500
2000-02-25,25.56,25.81,25.31,25.75,15.02,838700
2000-02-28,25.75,26.81,25.62,26.5,15.46,1114200
2000-02-29,26.38,26.38,25.62,26.25,15.31,715300
2000-03-01,26.0,26.19,25.25,25.75,15.02,683600
2000-03-02,25.38,25.75,25.38,25.62,14.95,747300
2000-03-03,25.75,26.0,25.5,25.62,14.95,591100
2000-03-06,18.38,19.62,17.5,17.94,10.46,7939800
2000-03-07,18.44,18.44,15.75,16.0,9.33,7697000
2000-03-08,16.31,16.31,15.88,16.25,9.48,4156800
2000-03-09,16.38,16.44,15.44,15.69,9.15,4243400
2000-03-10,15.69,15.75,15.25,15.31,8.93,3127100
2000-03-13,15.5,16.44,15.44,16.31,9.52,2262100
2000-03-14,16.31,16.38,15.38,15.56,9.08,1930600
2000-03-15,15.62,15.62,15.38,15.44,9.01,4160000
2000-03-16,15.5,16.62,15.38,16.62,9.7,3011500
2000-03-17,16.88,16.88,16.38,16.5,9.63,1714200
2000-03-20,16.5,16.75,16.06,16.38,9.55,2209900
2000-03-21,16.38,16.38,15.5,15.75,9.19,4099000
2000-03-22,15.81,15.88,15.56,15.69,9.15,1459000
2000-03-23,15.88,16.19,15.75,16.12,9.41,2910700
2000-03-24,16.0,16.06,15.75,16.0,9.33,5091500
2000-03-27,16.06,16.56,15.94,16.25,9.48,1886300
2000-03-28,16.31,16.44,15.94,15.94,9.3,975100
2000-03-29,16.06,16.56,16.06,16.5,9.63,2507700
2000-03-30,16.56,16.69,16.38,16.62,9.7,1006900
2000-03-31,16.56,16.69,16.5,16.56,9.66,1433900
2000-04-03,16.38,16.94,16.31,16.88,10.01,2032100
2000-04-04,16.94,17.5,16.62,16.75,9.94,1911900
2000-04-05,16.75,17.25,16.69,16.81,9.98,1954400
2000-04-06,17.06,17.12,16.81,17.06,10.13,857000
2000-04-07,16.81,16.94,16.75,16.81,9.98,441100
2000-04-10,16.62,17.19,16.62,16.94,10.05,1015400
2000-04-11,16.94,17.12,16.88,16.94,10.05,1243100
2000-04-12,17.19,17.31,17.06,17.12,10.16,1546900
2000-04-13,17.06,17.56,17.0,17.44,10.35,1505800
2000-04-14,17.5,17.62,16.94,17.06,10.13,2005400
2000-04-17,17.19,18.12,17.12,18.0,10.68,2643200
2000-04-18,18.0,18.12,17.56,18.12,10.76,1891100
2000-04-19,17.88,18.12,17.75,17.81,10.57,2039400
2000-04-20,17.88,18.0,17.81,17.94,10.64,912100
2000-04-24,18.0,18.88,17.94,18.88,11.2,987900
2000-04-25,18.62,19.12,18.25,19.0,11.28,1603300
2000-04-26,19.0,19.44,18.94,19.38,11.5,1141600
2000-04-27,19.31,19.31,18.88,19.25,11.42,889700
2000-04-28,19.06,19.12,18.75,19.06,11.31,1322200
2000-05-01,18.81,19.62,18.81,19.31,11.46,1840100
2000-05-02,19.19,19.44,18.81,18.94,11.24,1642600
2000-05-03,18.75,19.25,18.62,19.06,11.31,1507900
2000-05-04,19.06,19.56,18.88,19.31,11.46,947900
2000-05-05,19.25,20.0,19.06,19.38,11.5,903100
2000-05-08,19.19,20.06,19.19,19.5,11.57,857100
2000-05-09,19.56,19.62,19.19,19.44,11.53,1659100
2000-05-10,19.19,19.56,19.19,19.38,11.5,1094900
2000-05-11,19.31,19.88,19.31,19.75,11.72,1003000
2000-05-12,19.69,19.88,19.56,19.75,11.72,1392600
2000-05-15,19.75,20.19,19.69,20.0,11.87,448700
2000-05-16,19.75,20.0,19.44,19.81,11.76,846500
2000-05-17,19.56,19.81,19.5,19.62,11.65,1201600
2000-05-18,19.75,20.44,19.69,20.38,12.09,851400
2000-05-19,20.0,20.5,20.0,20.25,12.02,926400
2000-05-22,20.19,20.69,20.19,20.5,12.17,1258800
2000-05-23,20.81,20.81,20.31,20.62,12.24,1070700
2000-05-24,20.62,21.0,20.44,20.69,12.28,1351000
2000-05-25,20.62,20.69,20.34,20.62,12.24,940500
2000-05-26,20.75,21.12,20.75,20.81,12.35,2283900
2000-05-30,20.88,21.06,20.44,21.06,12.5,1023800
2000-05-31,21.12,21.81,21.12,21.38,12.68,1730500
2000-06-01,21.44,21.62,21.38,21.56,12.8,666700
2000-06-02,21.56,21.56,20.94,20.94,12.42,1056200
2000-06-05,21.0,21.06,20.31,20.56,12.2,684300
2000-06-06,20.5,21.19,20.44,21.06,12.5,895300
2000-06-07,21.06,21.38,21.06,21.31,12.65,694600
2000-06-08,21.12,21.25,21.0,21.19,12.57,639800
2000-06-09,21.06,21.44,21.06,21.25,12.61,449000
2000-06-12,21.38,21.69,21.38,21.69,12.87,603900
2000-06-13,21.5,21.75,21.38,21.75,12.91,515700
2000-06-14,21.69,21.81,21.69,21.75,12.91,952100
2000-06-15,21.62,21.94,21.62,21.75,12.91,777100
