Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.5,28.75,28.5,28.69,16.13,747600
2000-01-03,28.44,28.78,28.16,28.78,16.19,2246800
2000-01-04,28.75,28.78,28.41,28.44,15.99,1708200
2000-01-05,28.44,29.12,28.41,28.97,16.29,2190200
2000-01-06,28.75,30.0,28.69,29.78,16.75,2593200
2000-01-07,30.25,31.34,29.88,31.12,17.51,2663200
2000-01-10,31.0,31.03,29.31,29.5,16.59,2557000
2000-01-11,29.38,30.0,29.31,29.44,16.56,1895000
2000-01-12,29.53,30.19,29.5,29.84,16.79,1361200
2000-01-13,29.97,31.09,29.88,30.75,17.29,2131800
2000-01-14,30.69,30.88,30.44,30.47,17.14,2687600
2000-01-18,30.34,30.38,29.69,30.09,16.93,2101600
2000-01-19,30.22,31.19,30.19,30.84,17.35,2323600
2000-01-20,30.94,31.19,30.16,30.22,17.0,2345000
2000-01-21,29.88,30.28,29.81,30.03,16.89,2468600
2000-01-24,30.16,30.16,28.88,29.06,16.35,2503800
2000-01-25,28.81,29.0,28.56,28.59,16.08,1917400
2000-01-26,28.72,28.75,27.91,28.25,15.89,2555000
2000-01-27,28.25,28.75,27.62,27.84,15.66,2657000
2000-01-28,27.81,28.5,27.62,28.0,15.75,3268000
2000-01-31,27.75,28.03,27.53,27.53,15.48,1994200
2000-02-01,27.56,27.72,27.19,27.31,15.36,2353000
2000-02-02,27.44,27.47,26.75,26.75,15.05,3647600
2000-02-03,26.31,27.72,26.31,27.06,15.22,3129800
2000-02-04,26.62,26.88,25.72,25.88,14.55,4791600
2000-02-07,25.12,25.53,24.66,24.97,14.04,4253800
2000-02-08,25.0,25.44,24.78,24.94,14.03,4255000
2000-02-09,24.81,24.91,23.97,24.0,13.5,3230000
2000-02-10,24.03,24.22,23.03,23.34,13.13,4165200
2000-02-11,23.47,23.72,23.09,23.19,13.04,3386000
2000-02-14,23.31,23.38,22.84,23.19,13.04,2457000
2000-02-15,23.06,24.22,22.88,23.94,13.46,4507000
2000-02-16,23.84,24.66,23.56,24.44,13.85,2960000
2000-02-17,24.75,24.78,24.25,24.69,13.99,4165600
2000-02-18,24.72,25.56,24.53,25.0,14.17,3859000
2000-02-22,24.62,25.31,24.53,24.81,14.06,2932600
2000-02-23,24.75,24.84,24.19,24.28,13.76,3111800
2000-02-24,24.25,24.62,23.75,24.22,13.72,2665200
2000-02-25,25.0,25.03,23.78,23.81,13.49,2696800
2000-02-28,23.81,24.0,23.25,23.25,13.18,2706000
2000-02-29,23.25,23.47,22.66,22.78,12.91,3848800
2000-03-01,22.5,22.72,22.09,22.31,12.64,4875000
2000-03-02,22.06,22.38,21.81,22.03,12.48,3486200
2000-03-03,22.03,22.47,21.53,21.81,12.36,3784200
2000-03-06,21.78,21.81,20.75,21.0,11.9,4171000
2000-03-07,21.12,21.38,20.75,20.94,11.86,2950600
2000-03-08,21.06,21.38,20.66,21.12,11.97,3992400
