Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,350.45,792500
2000-08-14,419.0,420.0,384.0,384.0,320.41,80200
2000-08-15,389.0,396.0,384.0,388.0,323.75,48400
2000-08-16,386.0,418.0,386.0,396.0,330.42,42100
2000-08-17,392.0,400.0,382.0,384.0,320.41,47200
2000-08-18,401.0,460.0,396.0,458.0,382.15,60400
2000-08-21,482.0,520.0,446.0,486.0,405.52,66500
2000-08-22,492.0,502.0,432.0,432.0,360.46,33800
2000-08-23,434.0,440.0,408.0,416.0,347.11,17900
2000-08-24,414.0,418.0,386.0,386.0,322.08,18400
2000-08-25,402.0,414.0,388.0,412.0,343.77,20100
2000-08-28,429.0,433.5,400.0,420.0,350.45,19400
2000-08-29,430.0,432.0,404.0,428.0,357.12,22700
2000-08-30,427.0,470.0,424.0,454.0,378.82,19800
2000-08-31,482.0,528.0,476.0,518.0,432.22,87300
2000-09-01,516.0,520.0,480.0,504.0,420.54,27700
2000-09-05,506.0,520.0,496.0,498.0,415.53,23000
2000-09-06,516.0,520.0,488.0,496.0,413.86,20500
2000-09-07,512.0,512.0,428.0,460.0,383.82,23900
2000-09-08,456.5,464.0,440.0,448.0,373.81,15900
2000-09-11,442.0,448.0,432.0,444.0,370.47,34500
2000-09-12,435.0,442.0,412.0,416.0,347.11,33800
2000-09-13,408.0,420.0,396.0,400.0,333.76,10300
2000-09-14,444.0,444.0,400.0,406.0,338.77,8100
2000-09-15,402.0,416.0,400.0,402.0,335.43,3600
2000-09-18,420.0,424.0,382.0,386.0,322.08,18600
2000-09-19,419.0,420.0,344.0,360.0,300.38,48000
2000-09-20,368.0,370.0,312.0,332.0,277.02,24100
2000-09-21,330.0,344.0,326.0,340.0,283.7,25200
2000-09-22,307.0,346.0,302.0,338.0,282.03,8400
2000-09-25,340.0,346.0,300.0,302.0,251.99,21000
2000-09-26,316.0,318.0,288.0,296.0,246.98,19600
2000-09-27,301.0,302.0,276.0,299.0,249.49,16700
2000-09-28,296.0,344.0,292.0,320.0,267.01,22000
2000-09-29,323.0,324.0,279.0,284.0,236.97,19100
2000-10-02,300.0,301.0,268.0,272.0,226.96,6800
2000-10-03,275.0,284.0,248.0,254.0,211.94,10100
2000-10-04,256.0,258.0,216.0,228.0,190.24,14600
2000-10-05,222.0,260.0,208.0,210.0,175.22,15100
2000-10-06,222.5,224.0,190.0,195.0,162.71,11400
2000-10-09,210.0,214.0,185.0,198.0,165.21,10600
2000-10-10,202.0,204.0,176.0,182.0,151.86,13200
2000-10-11,168.0,184.0,130.0,132.0,110.14,42400
2000-10-12,163.0,168.0,144.0,166.0,138.51,37200
2000-10-13,182.0,252.0,177.0,242.0,201.92,42800
2000-10-16,260.0,262.0,236.0,260.0,216.94,38500
2000-10-17,272.0,274.0,244.0,250.0,208.6,11000
2000-10-18,248.0,268.0,190.0,258.0,215.27,19300
2000-10-19,272.0,298.0,216.0,221.0,184.4,25900
2000-10-20,240.0,240.0,224.0,234.0,195.25,21700
2000-10-23,236.0,269.0,228.0,264.0,220.28,17800
2000-10-24,265.5,272.0,260.0,270.0,225.29,19700
2000-10-25,267.5,272.0,252.0,272.0,226.96,13200
2000-10-26,271.0,308.0,270.0,290.0,241.98,8700
2000-10-27,291.5,292.0,276.0,288.0,240.31,3300
2000-10-30,286.0,300.0,276.0,286.0,238.64,7600
2000-10-31,292.0,328.0,280.0,312.0,260.33,10400
2000-11-01,311.5,336.0,306.0,312.0,260.33,11500
2000-11-02,311.5,316.0,284.0,296.0,246.98,7800
2000-11-03,287.0,302.0,287.0,292.0,243.64,7700
2000-11-06,296.0,300.0,278.0,284.0,236.97,9700
