Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.06,21.34,21.06,21.34,7.7,230800
2000-01-03,21.22,21.25,20.94,21.09,7.61,305200
2000-01-04,20.94,20.97,20.75,20.94,7.56,492600
2000-01-05,20.75,21.38,20.75,21.38,7.71,580400
2000-01-06,21.25,21.72,21.25,21.59,7.79,687600
2000-01-07,21.75,22.16,21.72,22.0,7.94,724400
2000-01-10,22.0,22.25,21.94,22.16,8.0,626600
2000-01-11,22.19,22.25,21.91,22.03,7.95,530800
2000-01-12,22.03,22.06,21.88,21.94,7.92,430400
2000-01-13,21.94,21.97,21.69,21.69,7.83,453200
2000-01-14,21.56,21.81,21.31,21.31,7.69,437000
2000-01-18,21.25,21.28,20.91,21.12,7.62,669600
2000-01-19,21.0,21.25,21.0,21.22,7.66,673600
2000-01-20,21.12,21.44,21.09,21.09,7.61,439600
2000-01-21,21.09,21.31,21.06,21.31,7.69,338200
2000-01-24,21.25,21.28,21.03,21.06,7.6,465600
2000-01-25,21.03,21.19,21.0,21.03,7.59,708600
2000-01-26,21.0,21.19,20.62,21.06,7.6,875400
2000-01-27,21.0,21.12,20.84,21.12,7.62,362000
2000-01-28,21.16,21.16,20.81,20.94,7.56,330800
2000-01-31,21.0,21.03,20.75,20.75,7.49,419400
2000-02-01,20.75,21.0,20.72,21.0,7.58,365800
2000-02-02,20.88,21.09,20.88,20.97,7.57,374400
2000-02-03,20.88,21.03,20.75,20.84,7.52,992000
2000-02-04,20.78,20.97,20.78,20.88,7.53,290800
2000-02-07,20.69,20.94,20.69,20.81,7.51,254800
2000-02-08,20.84,21.0,20.78,20.94,7.56,533600
2000-02-09,20.97,21.0,20.81,20.84,7.52,282800
2000-02-10,20.75,20.84,20.44,20.47,7.39,554400
2000-02-11,20.5,20.69,20.22,20.25,7.31,921000
2000-02-14,19.5,20.25,19.5,20.06,7.24,693800
2000-02-15,20.0,20.12,19.94,20.09,7.25,665400
2000-02-16,19.97,20.06,19.84,19.94,7.2,741600
2000-02-17,19.97,19.97,19.81,19.81,7.15,1126000
2000-02-18,19.81,19.91,19.78,19.84,7.16,524000
2000-02-22,19.78,19.91,19.78,19.81,7.15,489000
2000-02-23,19.94,20.0,19.81,19.88,7.17,408200
2000-02-24,19.88,19.97,19.75,19.75,7.13,468200
2000-02-25,19.78,19.88,19.69,19.75,7.13,718600
