Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,263.75,268.75,260.0,261.25,233.28,385600
2000-01-03,268.75,282.5,260.0,280.62,250.58,728100
2000-01-04,280.0,298.75,272.5,273.12,243.88,710400
2000-01-05,271.88,272.5,252.5,261.25,233.28,690900
2000-01-06,265.0,277.5,260.0,263.75,235.51,513500
2000-01-07,261.25,269.38,260.0,266.88,238.3,377400
2000-01-10,274.38,285.0,266.88,280.62,250.58,499600
2000-01-11,280.62,280.62,265.0,266.88,238.3,505700
2000-01-12,266.25,273.75,256.88,260.62,232.72,807700
2000-01-13,260.0,283.75,252.5,280.62,250.58,781000
2000-01-14,285.62,290.0,272.5,287.5,256.72,683000
2000-01-18,283.75,296.25,275.0,279.38,249.46,592200
2000-01-19,292.03,292.5,260.62,261.88,233.84,1073900
2000-01-20,267.5,267.5,250.0,250.62,223.79,846100
2000-01-21,251.25,252.03,228.75,235.62,210.4,861200
2000-01-24,238.12,244.38,232.5,233.12,208.16,727900
2000-01-25,235.62,236.25,220.62,225.62,201.47,992400
2000-01-26,225.0,246.25,220.62,242.81,216.81,981200
2000-01-27,246.88,248.75,223.12,233.75,208.72,531800
2000-01-28,230.0,233.75,224.38,226.25,202.03,500800
2000-01-31,228.12,228.75,209.38,210.62,188.07,991800
2000-02-01,211.25,212.5,193.75,199.38,178.03,1794900
2000-02-02,196.25,212.5,191.88,202.5,180.82,2183800
2000-02-03,208.12,223.12,206.25,220.0,196.44,1553800
2000-02-04,223.75,236.25,215.0,218.12,194.77,966900
2000-02-07,231.25,235.0,226.88,227.5,203.14,817300
2000-02-08,235.0,236.88,228.12,230.0,205.37,701300
2000-02-09,231.25,232.5,217.5,218.75,195.33,590900
2000-02-10,225.0,225.0,215.0,220.0,196.44,414500
2000-02-11,216.88,220.0,211.88,213.75,190.86,343200
2000-02-14,219.38,219.38,210.0,215.0,191.98,392900
2000-02-15,215.0,227.5,210.0,224.38,200.35,652900
2000-02-16,223.12,223.75,211.25,213.75,190.86,474400
2000-02-17,212.5,221.25,211.88,214.38,191.42,360400
2000-02-18,213.12,221.25,205.0,205.0,183.05,379700
2000-02-22,203.75,212.5,200.0,200.0,178.59,565800
2000-02-23,201.88,222.5,200.62,221.25,197.56,989300
2000-02-24,223.75,227.5,211.88,216.25,193.1,734100
2000-02-25,216.88,225.62,215.0,222.5,198.68,566200
2000-02-28,232.5,237.66,226.25,228.75,204.26,881100
2000-02-29,241.88,253.12,240.0,246.25,219.88,1779800
2000-03-01,258.75,270.62,255.62,261.88,233.84,1658400
2000-03-02,270.0,272.5,243.75,250.0,223.23,783600
2000-03-03,258.75,260.0,252.5,255.62,228.25,448400
2000-03-06,258.75,270.62,253.12,265.62,237.18,863100
2000-03-07,270.0,272.5,248.75,248.75,222.12,636700
2000-03-08,250.62,258.75,230.62,246.25,219.88,539400
2000-03-09,249.38,260.62,236.25,256.88,229.37,533600
2000-03-10,250.0,271.25,248.75,265.0,236.63,805400
2000-03-13,248.75,265.0,245.0,257.5,229.93,530900
2000-03-14,269.38,279.38,249.38,250.62,223.79,996600
2000-03-15,253.75,260.0,247.5,258.75,231.05,581200
2000-03-16,259.38,265.0,249.38,261.88,233.84,494200
2000-03-17,263.75,295.0,257.5,292.5,261.18,1947300
2000-03-20,298.75,301.25,280.0,284.38,253.93,1030700
2000-03-21,283.75,285.0,265.0,276.25,246.67,583100
2000-03-22,281.25,289.69,276.88,286.25,256.12,637200
