Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,15.43,15.79,15.4,15.75,7.63,993200
2000-01-03,15.7,15.94,15.47,15.48,7.5,1937200
2000-01-04,15.43,15.5,14.78,14.95,7.24,1450400
2000-01-05,14.95,15.24,14.7,15.08,7.3,1298000
2000-01-06,15.02,15.4,14.64,15.39,7.45,2220800
2000-01-07,15.4,15.98,15.37,15.86,7.68,1418000
2000-01-10,15.84,15.94,15.44,15.46,7.48,2075600
2000-01-11,15.51,15.81,15.47,15.48,7.5,1530800
2000-01-12,15.48,15.81,15.36,15.44,7.48,2347200
2000-01-13,15.51,15.62,15.42,15.47,7.49,1679200
2000-01-14,15.42,15.71,15.42,15.47,7.49,1564000
2000-01-18,15.42,15.92,15.42,15.82,7.66,2088400
2000-01-19,15.69,15.77,15.61,15.67,7.59,4262400
2000-01-20,15.66,15.71,15.29,15.47,7.49,2594800
2000-01-21,14.97,15.01,14.49,14.55,7.04,3798000
2000-01-24,14.99,15.92,14.98,15.78,7.64,5206400
2000-01-25,15.9,15.9,15.1,15.25,7.39,4718800
2000-01-26,15.28,15.39,15.05,15.2,7.36,5008000
2000-01-27,15.18,15.77,15.18,15.5,7.5,1914000
2000-01-28,15.48,15.63,15.18,15.2,7.36,1774800
2000-01-31,15.33,15.7,15.33,15.5,7.5,1352400
2000-02-01,15.55,15.63,15.37,15.47,7.49,1816400
2000-02-02,15.42,15.55,15.25,15.25,7.39,783200
2000-02-03,15.2,15.2,14.63,14.94,7.28,1547200
2000-02-04,14.97,15.14,14.47,14.66,7.14,1947200
2000-02-07,14.71,14.71,14.43,14.52,7.08,1884000
2000-02-08,14.53,14.72,14.33,14.55,7.09,2366800
2000-02-09,14.53,14.53,14.1,14.26,6.95,1678800
2000-02-10,14.24,14.26,13.77,14.07,6.86,2040400
2000-02-11,14.06,14.06,13.33,13.48,6.57,2455600
2000-02-14,13.42,13.99,13.04,13.87,6.76,3359600
2000-02-15,13.87,14.4,13.75,14.14,6.89,3350000
