Date,Open,High,Low,Close,Adj Close,Volume
2000-03-27,3.81,4.16,3.81,4.12,4.12,3675600
2000-03-28,4.12,4.12,4.0,4.02,4.02,1077600
2000-03-29,4.0,4.03,3.95,4.0,4.0,437200
2000-03-30,4.0,4.0,3.84,3.84,3.84,1883600
2000-03-31,3.73,3.73,3.39,3.39,3.39,7931600
2000-04-03,3.5,3.7,3.44,3.44,3.44,11486800
2000-04-04,3.53,3.58,3.09,3.5,3.5,13136800
2000-04-05,3.47,3.56,3.45,3.48,3.48,6349600
2000-04-06,3.5,3.59,3.47,3.58,3.58,7181200
2000-04-07,3.59,3.81,3.59,3.61,3.61,13904800
2000-04-10,3.69,3.75,3.62,3.64,3.64,5280800
2000-04-11,3.58,3.66,3.56,3.58,3.58,6590000
2000-04-12,3.55,3.64,3.53,3.58,3.58,8546400
2000-04-13,3.58,3.66,3.58,3.61,3.61,6874400
2000-04-14,3.61,3.62,3.53,3.61,3.61,2626000
2000-04-17,3.58,3.61,3.52,3.56,3.56,2992000
2000-04-18,3.61,3.62,3.48,3.52,3.52,2896000
2000-04-19,3.56,3.66,3.56,3.59,3.59,4662400
2000-04-20,3.58,3.69,3.56,3.66,3.66,4558800
2000-04-24,3.59,3.66,3.53,3.56,3.56,3815200
2000-04-25,3.58,3.78,3.47,3.77,3.77,4635600
2000-04-26,3.78,4.12,3.75,3.83,3.83,5321200
2000-04-27,3.77,3.77,3.64,3.7,3.7,4085200
2000-04-28,3.69,3.75,3.62,3.75,3.75,3539200
2000-05-01,3.75,3.75,3.61,3.69,3.69,4310000
2000-05-02,3.66,3.69,3.61,3.64,3.64,2684400
2000-05-03,3.55,3.64,3.52,3.56,3.56,4164400
2000-05-04,3.59,3.69,3.56,3.69,3.69,3610400
2000-05-05,3.72,3.84,3.72,3.78,3.78,1710800
2000-05-08,3.84,3.91,3.8,3.81,3.81,1435600
2000-05-09,3.86,3.88,3.75,3.75,3.75,1343600
2000-05-10,3.75,3.84,3.72,3.8,3.8,775200
2000-05-11,3.8,3.88,3.69,3.73,3.73,2287200
2000-05-12,3.73,3.92,3.73,3.92,3.92,768400
2000-05-15,3.88,4.22,3.88,4.09,4.09,1328400
2000-05-16,4.12,4.23,4.08,4.12,4.12,1263600
2000-05-17,4.12,4.12,3.95,4.0,4.0,2517200
2000-05-18,4.0,4.03,3.86,3.89,3.89,2078800
2000-05-19,3.89,3.91,3.83,3.83,3.83,630400
2000-05-22,3.86,3.92,3.83,3.89,3.89,629600
2000-05-23,3.88,4.0,3.88,3.91,3.91,867200
2000-05-24,3.91,4.19,3.91,4.11,4.11,2265600
2000-05-25,4.08,4.41,4.08,4.33,4.33,3015200
2000-05-26,4.36,4.53,4.33,4.5,4.5,2294000
2000-05-30,4.5,4.95,4.5,4.94,4.94,3808800
2000-05-31,4.94,5.16,4.94,5.08,5.08,3260000
2000-06-01,5.02,5.06,4.84,4.97,4.97,1439200
2000-06-02,4.97,5.03,4.64,4.8,4.8,1328000
2000-06-05,4.73,4.73,4.52,4.53,4.53,2012800
2000-06-06,4.56,4.56,4.2,4.28,4.28,3908800
2000-06-07,4.38,4.66,4.38,4.62,4.62,2362400
2000-06-08,4.56,4.62,4.55,4.62,4.62,1389600
2000-06-09,4.59,4.75,4.58,4.62,4.62,1259200
2000-06-12,4.66,4.73,4.59,4.66,4.66,828800
2000-06-13,4.62,4.64,4.55,4.59,4.59,917200
2000-06-14,4.66,4.66,4.55,4.61,4.61,1511600
2000-06-15,4.61,4.66,4.58,4.58,4.58,719200
2000-06-16,4.59,4.61,4.47,4.5,4.5,1062000
2000-06-19,4.39,4.59,4.38,4.53,4.53,1400800
2000-06-20,4.5,4.52,4.41,4.45,4.45,1800000
2000-06-21,4.48,4.75,4.45,4.75,4.75,1013600
2000-06-22,4.69,5.16,4.58,4.86,4.86,1576000
2000-06-23,4.89,5.08,4.89,4.97,4.97,3058400
2000-06-26,5.0,5.06,4.81,4.97,4.97,2096400
2000-06-27,4.97,5.01,4.69,4.78,4.78,2303200
2000-06-28,4.69,5.12,4.53,5.11,5.11,1966800
2000-06-29,5.14,5.25,5.06,5.06,5.06,1450400
2000-06-30,5.08,5.12,4.62,4.63,4.63,3830800
2000-07-03,4.72,5.19,4.72,5.14,5.14,1035200
2000-07-05,5.14,5.19,4.91,4.92,4.92,665600
2000-07-06,4.95,5.11,4.95,5.06,5.06,660000
2000-07-07,5.12,5.16,5.0,5.12,5.12,1048400
2000-07-10,5.14,5.34,5.14,5.31,5.31,1723600
2000-07-11,5.36,5.58,5.34,5.5,5.5,2323200
2000-07-12,5.56,5.81,5.45,5.53,5.53,1302400
2000-07-13,5.5,5.94,5.5,5.81,5.81,2296400
2000-07-14,5.88,5.89,5.67,5.73,5.73,1480400
2000-07-17,5.8,5.81,5.64,5.7,5.7,1066400
2000-07-18,5.81,6.0,5.81,5.97,5.97,1789200
2000-07-19,6.03,6.38,6.0,6.05,6.05,1901600
2000-07-20,6.09,6.12,5.94,6.02,6.02,734400
2000-07-21,5.98,6.25,5.91,6.22,6.22,1531600
2000-07-24,6.23,6.23,6.12,6.19,6.19,896000
2000-07-25,6.19,6.25,6.12,6.12,6.12,931200
2000-07-26,6.12,6.12,5.92,5.98,5.98,859200
2000-07-27,5.92,5.98,5.72,5.88,5.88,804800
2000-07-28,5.84,5.88,5.72,5.77,5.77,626000
2000-07-31,5.75,5.81,5.41,5.45,5.45,1100400
2000-08-01,5.44,5.67,5.44,5.66,5.66,873200
2000-08-02,5.66,5.77,5.66,5.7,5.7,1701600
2000-08-03,5.62,5.8,5.34,5.78,5.78,1846800
2000-08-04,5.72,5.83,5.62,5.75,5.75,478000
2000-08-07,5.75,5.81,5.66,5.66,5.66,288000
2000-08-08,5.67,5.69,5.5,5.62,5.62,224000
2000-08-09,5.59,5.62,5.44,5.53,5.53,565600
2000-08-10,5.47,5.5,5.31,5.42,5.42,654000
2000-08-11,5.47,5.67,5.47,5.61,5.61,502400
2000-08-14,5.58,5.67,5.58,5.64,5.64,371200
2000-08-15,5.64,5.72,5.58,5.7,5.7,502000
2000-08-16,5.7,5.73,5.66,5.72,5.72,661600
2000-08-17,5.69,5.73,5.66,5.69,5.69,569200
2000-08-18,5.66,5.72,5.56,5.62,5.62,562000
2000-08-21,5.62,5.8,5.62,5.8,5.8,691200
2000-08-22,5.75,5.77,5.64,5.72,5.72,326800
2000-08-23,5.72,5.73,5.64,5.72,5.72,220000
2000-08-24,5.69,5.72,5.61,5.69,5.69,708400
2000-08-25,5.69,5.72,5.62,5.67,5.67,272000
2000-08-28,5.66,5.78,5.64,5.73,5.73,547600
2000-08-29,5.72,5.98,5.7,5.98,5.98,540800
2000-08-30,5.95,6.19,5.92,6.09,6.09,740400
2000-08-31,6.44,6.59,6.44,6.56,6.56,2637600
2000-09-01,6.34,6.41,5.56,5.66,5.66,4447200
2000-09-05,5.66,5.81,5.5,5.66,5.66,2281200
2000-09-06,5.7,5.72,5.42,5.61,5.61,1290800
2000-09-07,5.62,5.66,5.56,5.66,5.66,779600
2000-09-08,5.7,5.7,5.47,5.56,5.56,540400
2000-09-11,5.59,5.59,5.53,5.58,5.58,264400
2000-09-12,5.62,5.62,5.36,5.56,5.56,376000
2000-09-13,5.56,5.56,5.16,5.25,5.25,1355200
2000-09-14,5.31,5.38,5.22,5.34,5.34,587200
2000-09-15,5.19,5.27,5.16,5.22,5.22,889200
