Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.38,17.5,17.09,17.38,8.3,868800
2000-01-03,17.25,17.31,16.5,16.94,8.09,917400
2000-01-04,16.75,17.06,16.56,16.81,8.03,890600
2000-01-05,16.81,17.88,16.81,17.62,8.42,1035200
2000-01-06,17.44,18.0,17.19,17.66,8.43,874200
2000-01-07,17.69,18.69,17.5,17.66,8.43,2686600
2000-01-10,18.41,18.84,18.28,18.72,8.94,1020400
2000-01-11,18.62,18.84,18.56,18.59,8.88,974400
2000-01-12,18.5,18.94,18.41,18.75,8.95,1382200
2000-01-13,18.84,19.41,18.69,19.31,9.22,1100600
2000-01-14,19.19,19.5,19.03,19.25,9.19,1040000
2000-01-18,19.12,19.22,18.62,18.84,9.0,906800
2000-01-19,18.91,19.28,18.84,19.19,9.16,1042800
2000-01-20,19.06,19.09,18.62,18.91,9.03,961400
2000-01-21,19.12,19.53,18.78,19.44,9.28,3596200
2000-01-24,19.44,20.5,19.38,20.31,9.7,2606000
2000-01-25,20.28,20.28,19.84,20.0,9.55,2527600
2000-01-26,19.94,20.56,19.72,20.44,9.76,1538000
2000-01-27,20.5,21.09,20.47,21.0,10.03,9224200
2000-01-28,20.91,21.25,20.59,20.59,9.83,3436000
2000-01-31,20.62,20.88,20.28,20.88,9.97,2972200
2000-02-01,20.81,21.06,20.61,20.78,9.92,2746000
2000-02-02,20.78,21.16,20.75,20.84,9.95,1080000
2000-02-03,20.97,21.84,20.97,21.75,10.39,1765400
2000-02-04,21.72,21.75,21.47,21.5,10.27,5839000
2000-02-07,21.31,21.44,21.0,21.0,10.03,1156000
2000-02-08,21.03,21.25,21.03,21.19,10.12,1108200
2000-02-09,21.19,21.47,21.16,21.25,10.15,4433000
2000-02-10,21.12,21.25,20.97,20.97,10.01,2660600
2000-02-11,20.91,21.0,20.59,20.62,9.85,1441600
2000-02-14,20.62,20.75,20.41,20.59,9.83,3236600
2000-02-15,20.5,20.66,20.34,20.44,9.76,1908800
2000-02-16,20.25,20.47,20.06,20.38,9.73,2052800
2000-02-17,20.12,20.53,20.06,20.12,9.61,1335200
2000-02-18,20.03,20.16,19.72,19.78,9.45,973200
2000-02-22,19.81,20.19,19.81,19.91,9.51,1546200
2000-02-23,19.78,20.31,19.78,20.19,9.7,2460600
2000-02-24,20.19,20.19,18.81,19.0,9.13,1995800
2000-02-25,19.28,19.28,19.0,19.28,9.27,1486000
2000-02-28,19.28,19.91,19.06,19.66,9.45,887200
2000-02-29,19.53,19.53,18.66,18.66,8.96,1613800
2000-03-01,19.25,19.28,18.75,18.88,9.07,1197800
2000-03-02,18.88,19.5,18.81,19.5,9.37,1188600
2000-03-03,19.81,19.91,19.53,19.75,9.49,2300600
2000-03-06,19.75,19.88,19.31,19.38,9.31,2042000
2000-03-07,19.38,19.59,18.84,18.88,9.07,2483200
2000-03-08,19.0,19.38,19.0,19.09,9.18,1318800
2000-03-09,18.97,19.22,18.91,19.16,9.21,1543800
2000-03-10,19.03,19.22,18.94,19.12,9.19,758800
2000-03-13,19.03,19.12,18.91,19.06,9.16,626600
2000-03-14,18.81,18.97,18.5,18.66,8.96,1466400
2000-03-15,18.56,19.34,18.53,19.31,9.28,1899800
2000-03-16,19.31,20.38,19.31,20.03,9.63,1312000
2000-03-17,20.06,20.12,19.19,19.25,9.25,1210200
2000-03-20,19.12,19.59,19.09,19.22,9.24,872200
2000-03-21,19.12,19.59,19.06,19.38,9.31,1362000
2000-03-22,19.38,19.38,18.75,18.88,9.07,1228800
2000-03-23,18.75,18.88,18.59,18.72,8.99,1411000
2000-03-24,18.75,19.03,18.66,19.0,9.13,1105200
2000-03-27,18.81,19.34,18.66,18.66,8.96,1122400
2000-03-28,18.5,18.69,17.97,18.34,8.81,1279000
2000-03-29,18.28,18.59,18.25,18.59,8.93,1591200
2000-03-30,18.75,18.78,18.5,18.56,8.92,975000
2000-03-31,18.56,18.94,18.19,18.44,8.86,2352600
2000-04-03,18.62,18.78,18.28,18.47,8.87,656000
2000-04-04,18.59,19.69,18.59,19.69,9.46,2341000
2000-04-05,19.81,21.0,19.81,20.28,9.75,2886000
2000-04-06,20.22,20.53,19.62,19.81,9.52,1463200
2000-04-07,19.75,20.12,19.69,19.84,9.54,911800
2000-04-10,19.88,20.84,19.84,20.69,9.94,1412200
2000-04-11,20.72,21.34,20.69,20.84,10.02,1971200
2000-04-12,20.94,21.75,20.78,21.25,10.21,1775200
2000-04-13,21.62,22.31,21.34,21.78,10.47,1546000
2000-04-14,21.69,22.47,20.81,21.48,10.32,1809600
2000-04-17,20.91,21.31,20.09,21.0,10.09,1407000
2000-04-18,21.0,21.56,20.38,20.47,9.84,1076800
2000-04-19,20.34,20.5,19.88,20.34,9.78,678800
2000-04-20,20.22,20.88,20.22,20.81,10.0,841200
2000-04-24,20.94,21.47,20.81,21.0,10.09,674200
2000-04-25,21.44,21.69,20.94,21.59,10.38,1255200
2000-04-26,21.5,22.09,21.41,21.81,10.48,602000
2000-04-27,21.94,21.94,21.16,21.53,10.35,1088600
2000-04-28,21.56,21.56,20.84,20.84,10.02,950200
2000-05-01,20.66,21.09,20.62,20.88,10.03,548200
2000-05-02,20.88,21.06,20.31,20.34,9.78,1130200
