Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.78,11.0,10.62,10.95,9.12,591200
2000-01-03,10.97,11.0,10.64,10.8,8.99,1046800
2000-01-04,10.69,10.75,10.62,10.62,8.84,813600
2000-01-05,10.67,10.72,10.59,10.65,8.86,568400
2000-01-06,10.59,10.81,10.58,10.7,8.91,490400
2000-01-07,10.59,10.81,10.47,10.62,8.84,804000
2000-01-10,10.59,10.91,10.58,10.77,8.97,1740000
2000-01-11,10.88,10.88,10.47,10.52,8.75,647600
2000-01-12,10.5,10.5,10.0,10.03,8.35,636400
2000-01-13,10.12,10.41,10.06,10.33,8.6,561600
2000-01-14,10.42,11.19,10.41,11.07,9.21,1625200
2000-01-18,11.16,11.16,10.47,10.47,8.71,942400
2000-01-19,10.44,10.66,10.25,10.59,8.81,857600
2000-01-20,10.61,10.72,10.5,10.6,8.82,1080800
2000-01-21,10.58,10.75,10.5,10.59,8.82,339200
2000-01-24,10.62,10.75,10.22,10.5,8.74,1446000
2000-01-25,10.55,10.75,10.48,10.49,8.73,595600
2000-01-26,10.56,10.89,10.56,10.73,8.93,895200
2000-01-27,10.81,10.88,10.73,10.73,8.93,686800
2000-01-28,10.7,10.88,10.12,10.52,8.76,1000400
2000-01-31,10.42,10.56,10.28,10.54,8.77,500800
2000-02-01,10.62,10.62,10.19,10.55,8.79,805200
2000-02-02,10.56,10.56,9.69,10.45,8.7,1085600
2000-02-03,10.44,11.34,10.38,11.06,9.21,1152800
2000-02-04,11.14,11.38,10.95,11.22,9.34,692400
2000-02-07,11.31,11.31,10.48,10.59,8.82,709600
2000-02-08,10.88,10.94,10.47,10.55,8.78,1979600
2000-02-09,10.56,10.78,9.83,10.0,8.32,1277200
2000-02-10,10.08,10.12,8.89,9.3,7.74,3404000
2000-02-11,9.5,9.53,9.12,9.5,7.91,3893200
2000-02-14,9.48,9.81,9.41,9.43,7.85,2596800
2000-02-15,9.5,9.53,9.31,9.38,7.8,1386000
2000-02-16,9.39,9.58,9.31,9.42,7.84,1514000
2000-02-17,9.58,9.58,8.88,9.12,7.6,1335200
2000-02-18,9.19,9.19,8.66,8.66,7.21,1092400
2000-02-22,8.69,8.72,8.41,8.55,7.11,1075600
2000-02-23,8.55,8.59,8.16,8.16,6.79,2822800
2000-02-24,8.28,8.91,8.22,8.34,6.95,1948400
