Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,29.4,29.47,29.26,29.3,15.4,1206200
2000-01-03,28.99,29.23,28.65,28.78,15.13,4056600
2000-01-04,28.47,28.71,27.65,27.82,14.62,7322400
2000-01-05,28.03,28.3,27.89,27.92,14.67,5038200
2000-01-06,28.03,28.47,27.68,27.96,14.69,4544900
2000-01-07,28.85,30.22,28.65,30.02,15.78,9266000
2000-01-10,30.09,30.33,29.13,29.47,15.49,4956000
2000-01-11,28.85,29.4,28.44,28.68,15.07,4231100
2000-01-12,28.82,29.95,28.82,29.5,15.51,4919100
2000-01-13,29.88,29.88,29.06,29.16,15.32,3928600
2000-01-14,28.89,29.09,28.1,28.44,14.95,7472700
2000-01-18,29.54,30.22,29.19,29.81,15.67,7774600
2000-01-19,29.95,30.16,29.02,29.37,15.43,4516000
2000-01-20,29.4,29.5,28.3,28.7,15.08,6817300
2000-01-21,28.54,28.58,27.65,27.72,14.57,9005000
2000-01-24,28.47,28.54,27.68,28.1,14.77,7922000
2000-01-25,28.13,28.16,27.0,27.55,14.48,6527500
2000-01-26,27.0,27.07,26.0,26.38,13.86,14526800
2000-01-27,27.1,27.48,26.76,27.44,14.42,10779700
2000-01-28,27.0,27.41,26.82,26.93,14.29,6029200
2000-01-31,27.37,27.58,27.0,27.34,14.51,4956400
2000-02-01,27.27,27.48,26.65,27.37,14.53,7414500
2000-02-02,27.44,27.79,26.34,26.72,14.19,9993700
2000-02-03,26.31,26.86,26.28,26.79,14.22,6290100
2000-02-04,26.86,26.93,26.38,26.41,14.02,4310400
2000-02-07,26.65,26.65,25.93,26.34,13.98,3732800
2000-02-08,26.58,26.86,26.38,26.45,14.04,5246600
2000-02-09,26.17,26.24,25.9,25.93,13.77,4513200
2000-02-10,25.86,25.97,25.31,25.83,13.71,5803900
2000-02-11,25.93,25.93,24.83,25.35,13.46,5298500
2000-02-14,25.28,25.9,24.73,25.86,13.73,5710200
2000-02-15,25.76,25.76,24.97,25.49,13.53,4605000
2000-02-16,25.11,25.52,24.87,25.45,13.51,5907700
2000-02-17,25.18,25.62,24.87,25.21,13.38,6101300
2000-02-18,24.83,24.97,23.84,23.84,12.65,9104800
2000-02-22,24.39,24.66,23.91,24.21,12.85,7342600
2000-02-23,24.28,24.32,23.63,23.63,12.54,3801900
2000-02-24,23.63,23.77,22.63,23.36,12.4,8694100
2000-02-25,23.29,24.32,23.22,23.6,12.53,8183500
2000-02-28,24.32,24.32,23.39,23.46,12.45,9181900
2000-02-29,23.77,23.8,22.63,22.87,12.14,7659100
2000-03-01,23.01,23.18,22.57,22.86,12.13,9631300
2000-03-02,22.81,22.98,22.6,22.74,12.07,5370300
2000-03-03,22.74,23.73,22.7,23.46,12.45,8321600
2000-03-06,23.56,23.97,22.81,23.05,12.23,7033200
2000-03-07,23.08,23.32,22.33,22.6,12.0,6905200
2000-03-08,22.6,23.42,22.12,23.39,12.42,7834400
2000-03-09,23.12,23.18,22.43,22.87,12.14,5908800
2000-03-10,22.43,22.98,22.33,22.57,11.98,6017700
2000-03-13,22.29,23.42,22.26,23.39,12.42,5938000
2000-03-14,23.05,23.05,22.12,22.53,11.96,9783300
2000-03-15,22.53,24.21,22.46,24.21,12.85,14963500
2000-03-16,24.18,24.39,23.49,24.08,12.78,14633600
2000-03-17,24.42,25.28,24.32,24.52,13.02,12064300
2000-03-20,24.21,24.32,23.7,24.04,12.76,7709400
2000-03-21,23.66,25.24,23.49,25.18,13.36,9053200
2000-03-22,24.59,24.87,23.77,24.18,12.84,9256400
2000-03-23,24.08,24.87,24.01,24.45,12.98,12420600
2000-03-24,24.18,24.87,24.18,24.52,13.02,6384600
2000-03-27,24.28,24.76,24.15,24.28,12.89,5726100
2000-03-28,24.11,24.59,24.01,24.45,12.98,5174500
2000-03-29,24.56,25.14,24.56,24.63,13.07,6008300
2000-03-30,25.14,25.62,24.83,25.62,13.6,9839600
2000-03-31,25.59,25.66,25.11,25.24,13.4,5097300
2000-04-03,25.69,26.38,25.69,25.83,13.71,9295500
2000-04-04,26.79,27.37,25.66,26.96,14.31,13769500
