Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.38,10.69,10.38,10.56,6.57,643400
2000-01-03,10.53,10.72,10.38,10.59,6.59,1455000
2000-01-04,10.47,10.5,9.97,10.0,6.22,1618200
2000-01-05,10.03,10.41,10.03,10.38,6.46,1535600
2000-01-06,10.38,10.47,9.91,10.06,6.26,2296600
2000-01-07,9.94,10.25,9.66,9.81,6.11,2253000
2000-01-10,10.12,10.12,9.84,9.88,6.15,1169200
2000-01-11,9.84,10.0,9.78,9.94,6.19,845400
2000-01-12,9.88,9.91,9.56,9.78,6.09,1784000
2000-01-13,9.75,9.94,9.69,9.72,6.05,1897600
2000-01-14,9.66,9.72,9.38,9.5,5.91,1986800
2000-01-18,9.56,9.75,9.34,9.75,6.07,1356000
2000-01-19,9.75,10.0,9.69,10.0,6.22,1086000
2000-01-20,10.0,10.0,9.53,9.53,5.93,1130400
2000-01-21,9.62,9.62,9.19,9.19,5.72,1141000
2000-01-24,9.25,9.25,8.75,8.94,5.56,711400
2000-01-25,8.88,8.91,8.5,8.81,5.49,592200
2000-01-26,8.75,8.75,8.16,8.34,5.19,877400
2000-01-27,8.41,8.91,8.38,8.91,5.54,1056800
2000-01-28,8.75,9.12,8.56,8.72,5.43,1770800
2000-01-31,8.66,8.84,8.66,8.72,5.43,859400
2000-02-01,8.59,8.91,8.59,8.72,5.43,735600
2000-02-02,8.72,8.88,8.69,8.72,5.43,1475200
2000-02-03,8.69,8.81,8.66,8.75,5.45,1541000
2000-02-04,9.0,9.38,9.0,9.28,5.78,1479400
2000-02-07,9.44,9.47,9.19,9.19,5.72,1530800
2000-02-08,9.19,9.22,8.97,9.0,5.6,1079800
2000-02-09,9.0,9.16,8.91,8.97,5.58,1466600
2000-02-10,9.0,9.03,8.88,8.91,5.54,1569000
2000-02-11,8.84,9.09,8.81,9.09,5.66,1071400
2000-02-14,9.03,9.25,9.03,9.19,5.72,757800
2000-02-15,9.22,9.34,9.12,9.16,5.7,1684400
2000-02-16,9.12,9.19,8.97,9.0,5.6,616600
2000-02-17,9.0,9.28,8.94,9.06,5.64,775800
2000-02-18,9.03,9.19,8.97,9.0,5.6,1126400
2000-02-22,8.94,9.12,8.69,8.88,5.52,915400
2000-02-23,8.94,8.94,8.31,8.34,5.19,771400
2000-02-24,8.34,8.34,7.47,7.47,4.65,1482600
2000-02-25,7.44,7.44,7.0,7.0,4.36,1446400
2000-02-28,7.19,7.41,6.81,6.88,4.28,1726600
2000-02-29,6.91,7.12,6.81,6.88,4.28,886400
2000-03-01,6.91,7.12,6.62,7.03,4.38,1116600
2000-03-02,7.03,7.03,6.5,6.66,4.14,1086800
2000-03-03,6.66,6.97,6.5,6.84,4.26,1030400
2000-03-06,6.81,6.94,6.62,6.66,4.14,899400
2000-03-07,6.72,6.97,6.72,6.97,4.34,925800
2000-03-08,6.81,6.91,6.66,6.78,4.22,1219200
2000-03-09,6.72,6.84,6.53,6.62,4.12,636600
2000-03-10,6.84,6.84,6.53,6.53,4.07,463200
2000-03-13,6.59,6.66,6.44,6.47,4.03,453800
2000-03-14,6.41,6.5,6.25,6.31,3.93,569000
2000-03-15,6.31,6.69,6.31,6.66,4.14,1225600
2000-03-16,6.62,7.0,6.62,6.88,4.28,2312000
2000-03-17,6.91,6.91,6.53,6.59,4.1,1215200
2000-03-20,6.78,6.94,6.72,6.88,4.28,638600
2000-03-21,6.94,7.0,6.75,6.94,4.32,887200
2000-03-22,6.88,6.88,6.25,6.31,3.93,983400
2000-03-23,6.34,6.88,6.31,6.88,4.28,1081200
2000-03-24,6.81,6.97,6.72,6.78,4.22,966200
2000-03-27,6.75,6.78,6.5,6.75,4.2,539200
2000-03-28,6.75,6.88,6.75,6.84,4.26,702800
2000-03-29,6.78,6.81,6.12,6.19,3.85,1720800
2000-03-30,6.31,6.41,6.03,6.09,3.79,1206200
2000-03-31,6.03,6.34,6.03,6.03,3.75,1814400
2000-04-03,6.0,6.19,5.94,6.06,3.77,741800
2000-04-04,6.03,6.38,5.81,6.0,3.73,1477000
2000-04-05,5.94,6.12,5.84,6.12,3.81,930200
2000-04-06,6.16,6.28,6.0,6.09,3.79,578200
2000-04-07,6.0,6.0,5.25,5.47,3.4,1485200
2000-04-10,5.53,5.78,5.5,5.78,3.6,1166400
2000-04-11,5.72,5.81,5.22,5.34,3.33,1457600
2000-04-12,5.34,5.72,5.34,5.56,3.46,1471600
