Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.46,6.46,6.33,6.39,6.39,1921600
2000-01-03,6.36,6.39,6.17,6.35,6.35,4728000
2000-01-04,6.23,6.38,5.83,5.92,5.92,5572000
2000-01-05,5.92,6.4,5.9,6.33,6.33,5250400
2000-01-06,6.25,6.32,6.02,6.13,6.13,4111600
2000-01-07,6.1,6.4,6.02,6.36,6.36,3436000
2000-01-10,6.34,6.42,6.23,6.34,6.34,4317600
2000-01-11,6.24,6.29,5.65,5.69,5.69,5001600
2000-01-12,5.71,5.98,5.71,5.94,5.94,5349600
2000-01-13,5.98,6.35,5.98,6.33,6.33,4538400
2000-01-14,6.38,6.38,6.04,6.07,6.07,7019200
2000-01-18,6.0,6.06,5.9,6.0,6.0,5345200
2000-01-19,6.06,6.17,6.0,6.14,6.14,5064400
2000-01-20,6.08,6.2,6.04,6.12,6.12,5478400
2000-01-21,6.17,6.18,5.92,5.95,5.95,9739600
2000-01-24,5.96,6.0,5.61,5.67,5.67,8083200
2000-01-25,5.69,6.0,5.6,5.95,5.95,16414800
2000-01-26,6.03,6.04,5.81,5.84,5.84,4674400
2000-01-27,5.85,5.9,5.76,5.8,5.8,3192000
2000-01-28,5.79,5.8,5.44,5.46,5.46,5467200
2000-01-31,5.48,5.81,5.46,5.66,5.66,6261600
2000-02-01,5.67,5.73,5.52,5.73,5.73,4817200
2000-02-02,5.73,6.27,5.71,6.06,6.06,6899200
2000-02-03,6.11,6.21,5.94,6.01,6.01,6731200
2000-02-04,6.02,6.08,5.82,5.82,5.82,4045600
2000-02-07,5.85,5.88,5.8,5.84,5.84,3231600
2000-02-08,5.9,6.04,5.88,6.02,6.02,5332800
2000-02-09,6.0,6.04,5.79,5.83,5.83,4369600
2000-02-10,5.9,6.03,5.79,6.03,6.03,3734400
2000-02-11,6.03,6.1,5.56,5.67,5.67,4976800
2000-02-14,5.7,5.75,5.6,5.66,5.66,3025200
2000-02-15,5.65,5.67,5.4,5.51,5.51,5024800
2000-02-16,5.48,5.59,5.17,5.33,5.33,5890800
2000-02-17,5.34,5.42,5.03,5.04,5.04,8635600
2000-02-18,5.01,5.01,4.05,4.55,4.55,34001200
2000-02-22,4.56,5.02,4.55,4.66,4.66,12378000
2000-02-23,4.62,4.73,4.48,4.73,4.73,9028000
2000-02-24,4.77,4.77,4.48,4.67,4.67,9739600
2000-02-25,4.68,4.72,4.62,4.69,4.69,13707600
2000-02-28,4.62,4.65,4.33,4.48,4.48,13508400
2000-02-29,4.54,4.61,4.49,4.54,4.54,11926800
2000-03-01,4.54,4.6,4.48,4.58,4.58,5245600
