Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.22,12.43,12.07,12.43,5.66,181200
2000-01-03,12.47,12.49,11.9,11.93,5.43,684800
2000-01-04,11.88,11.91,11.74,11.78,5.36,347200
2000-01-05,11.78,12.12,11.78,11.99,5.46,665000
2000-01-06,11.9,12.09,11.88,11.98,5.46,1022400
2000-01-07,11.98,12.25,11.9,11.97,5.45,1384000
2000-01-10,12.2,12.52,12.13,12.41,5.65,857800
2000-01-11,12.39,12.79,12.17,12.54,5.71,1138200
2000-01-12,12.55,12.96,12.55,12.79,5.83,2153800
2000-01-13,12.82,13.12,12.82,12.9,5.87,1583700
2000-01-14,12.96,13.01,12.79,12.93,5.89,1252600
2000-01-18,12.97,12.98,12.68,12.72,5.79,816700
2000-01-19,12.71,12.71,12.33,12.36,5.63,1357700
2000-01-20,12.39,12.39,11.99,12.05,5.49,808000
2000-01-21,12.07,12.12,11.84,11.97,5.45,907600
2000-01-24,12.17,12.36,11.71,11.87,5.41,1466100
2000-01-25,11.84,12.09,11.44,11.55,5.26,806100
2000-01-26,11.55,11.93,11.49,11.87,5.41,936200
2000-01-27,11.84,12.17,11.82,11.98,5.46,459300
2000-01-28,11.98,11.98,11.59,11.63,5.29,373100
2000-01-31,11.68,11.82,11.63,11.65,5.31,527100
2000-02-01,11.65,11.79,11.61,11.7,5.33,769700
2000-02-02,11.65,11.71,11.59,11.61,5.29,558500
2000-02-03,11.64,11.74,11.55,11.65,5.31,598100
2000-02-04,11.64,11.64,11.36,11.4,5.19,432600
2000-02-07,11.44,11.55,11.3,11.41,5.2,1214300
2000-02-08,11.41,11.6,11.18,11.25,5.12,793200
2000-02-09,11.19,11.37,10.9,10.98,5.0,641000
2000-02-10,10.84,10.98,10.73,10.85,4.94,629500
2000-02-11,10.91,10.95,10.68,10.68,4.86,420600
2000-02-14,10.68,10.81,10.53,10.8,4.92,457000
2000-02-15,10.8,11.19,10.76,11.06,5.04,778900
2000-02-16,11.06,11.15,10.77,10.84,4.94,646600
2000-02-17,10.79,11.0,10.64,10.99,5.0,647900
2000-02-18,10.94,10.94,10.54,10.67,4.86,699100
2000-02-22,10.6,10.79,10.57,10.79,4.91,323700
2000-02-23,10.79,10.79,10.27,10.45,4.76,745200
2000-02-24,10.48,10.54,10.38,10.52,4.79,968500
2000-02-25,10.52,10.54,10.06,10.12,4.61,847200
2000-02-28,10.12,10.38,10.0,10.19,4.64,929300
2000-02-29,10.22,10.48,10.19,10.48,4.77,689400
2000-03-01,10.62,10.79,10.35,10.54,4.8,995700
2000-03-02,10.54,10.65,10.42,10.45,4.76,593100
2000-03-03,10.46,10.87,10.33,10.68,4.86,521600
2000-03-06,10.69,10.81,10.35,10.41,4.74,529900
2000-03-07,10.43,10.65,10.16,10.18,4.63,712000
2000-03-08,10.14,10.49,9.99,10.46,4.76,719900
2000-03-09,10.62,10.77,10.43,10.61,4.83,713900
2000-03-10,10.54,10.79,10.27,10.43,4.75,1171900
2000-03-13,10.41,10.49,10.29,10.46,4.76,830100
2000-03-14,10.41,10.68,10.35,10.67,4.86,523400
2000-03-15,10.62,11.48,10.62,11.4,5.19,1154800
2000-03-16,11.41,12.3,11.29,12.17,5.54,900200
2000-03-17,11.93,11.99,11.41,11.44,5.21,979500
2000-03-20,11.49,11.9,11.45,11.55,5.26,734600
2000-03-21,11.57,11.95,11.57,11.75,5.35,886400
2000-03-22,11.71,11.79,11.33,11.49,5.23,492500
2000-03-23,11.27,11.61,11.22,11.6,5.28,427000
2000-03-24,11.56,11.74,11.55,11.6,5.28,262800
2000-03-27,11.71,11.71,11.25,11.41,5.2,525700
2000-03-28,11.41,11.93,11.41,11.93,5.43,939000
2000-03-29,11.9,12.1,11.87,12.02,5.47,587500
2000-03-30,12.07,12.39,12.05,12.28,5.59,455600
2000-03-31,12.36,12.47,12.22,12.25,5.58,693600
2000-04-03,12.25,12.51,12.25,12.48,5.68,481000
2000-04-04,12.44,12.66,12.36,12.49,5.69,888700
2000-04-05,12.41,12.63,12.35,12.37,5.63,1548700
2000-04-06,12.41,12.74,12.4,12.67,5.77,1048700
2000-04-07,12.63,12.66,12.49,12.52,5.7,729100
2000-04-10,12.54,12.58,12.14,12.26,5.58,790000
2000-04-11,12.36,12.94,12.36,12.74,5.8,641900
2000-04-12,12.79,13.25,12.79,13.04,5.94,1236900
2000-04-13,13.09,13.09,12.62,12.77,5.81,753100
2000-04-14,12.74,12.74,12.28,12.41,5.65,1094800
2000-04-17,12.36,12.49,12.17,12.3,5.6,1153000
2000-04-18,12.41,12.81,12.33,12.79,5.83,2127900
2000-04-19,12.77,12.87,12.47,12.58,5.73,855900
2000-04-20,12.52,12.71,12.47,12.51,5.7,624000
2000-04-24,12.56,12.67,12.33,12.56,5.72,1505300
2000-04-25,12.56,12.6,12.36,12.49,5.69,1910700
2000-04-26,12.47,12.59,12.33,12.54,5.71,1120700
2000-04-27,12.55,12.74,12.48,12.64,5.76,808400
2000-04-28,12.68,12.77,12.44,12.62,5.75,1491500
2000-05-01,12.62,12.74,12.33,12.68,5.78,929300
2000-05-02,12.68,13.0,12.62,12.83,5.84,913600
2000-05-03,12.79,12.79,12.58,12.66,5.76,688500
2000-05-04,12.3,12.79,12.3,12.43,5.66,1404800
2000-05-05,12.39,12.79,12.39,12.61,5.74,442700
2000-05-08,12.66,13.09,12.62,12.83,5.84,1113700
2000-05-09,12.79,12.97,12.67,12.79,5.83,658100
2000-05-10,12.77,12.77,12.6,12.64,5.76,884100
2000-05-11,12.64,12.96,12.6,12.6,5.74,511900
2000-05-12,12.79,13.09,12.79,12.93,5.89,1609100
2000-05-15,12.93,13.71,12.93,13.28,6.05,1379900
2000-05-16,13.29,13.71,13.28,13.63,6.21,1674600
2000-05-17,13.55,14.01,13.51,13.82,6.29,1299600
2000-05-18,13.84,13.85,13.66,13.66,6.22,532600
2000-05-19,13.82,13.99,13.61,13.65,6.21,1164900
2000-05-22,13.77,13.96,13.77,13.92,6.34,975400
2000-05-23,13.92,14.09,13.92,14.05,6.4,832400
2000-05-24,14.07,14.54,14.07,14.31,6.52,1400200
2000-05-25,14.36,14.36,13.9,14.05,6.4,1366500
2000-05-26,14.04,14.17,13.58,13.67,6.23,1004000
2000-05-30,13.73,13.82,12.96,13.17,6.0,1847500
2000-05-31,13.28,13.48,13.12,13.17,6.0,1117900
2000-06-01,13.25,13.5,12.9,13.4,6.1,739700
2000-06-02,13.4,13.47,13.31,13.38,6.09,472700
2000-06-05,13.33,13.55,12.93,12.98,5.91,861900
2000-06-06,12.98,13.44,12.85,13.19,6.0,729100
2000-06-07,13.21,13.33,12.77,12.85,5.85,784500
2000-06-08,12.9,13.2,12.85,13.19,6.0,369800
2000-06-09,13.2,13.61,13.2,13.61,6.2,1200500
2000-06-12,13.61,13.78,13.48,13.63,6.21,1016400
2000-06-13,13.52,13.55,13.44,13.54,6.16,1085600
2000-06-14,13.54,13.94,13.5,13.66,6.22,838900
2000-06-15,13.66,13.69,13.28,13.35,6.08,522500
2000-06-16,13.31,13.44,13.17,13.36,6.08,1217100
2000-06-19,13.35,13.35,12.93,12.93,5.89,1453700
2000-06-20,12.9,12.98,12.58,12.89,5.87,757200
2000-06-21,12.9,13.2,12.77,13.1,5.97,1285300
2000-06-22,13.12,13.12,12.89,12.97,5.91,903900
2000-06-23,12.98,13.06,12.74,12.82,5.84,803400
2000-06-26,12.82,12.91,12.6,12.64,5.76,355100
2000-06-27,12.63,13.1,12.43,13.0,5.92,2173100
2000-06-28,13.01,13.01,12.6,12.91,5.88,1324100
2000-06-29,12.91,13.17,12.67,12.74,5.8,1509900
2000-06-30,12.75,12.87,12.58,12.59,5.73,1304700
2000-07-03,12.59,13.2,12.58,13.2,6.01,365200
2000-07-05,13.2,13.28,12.58,12.65,5.76,1051000
2000-07-06,12.7,12.94,12.63,12.75,5.81,861900
2000-07-07,12.79,12.9,12.64,12.81,5.83,645600
2000-07-10,12.82,13.06,12.82,12.91,5.88,424700
2000-07-11,12.96,13.47,12.96,13.35,6.08,916400
2000-07-12,13.33,13.35,13.16,13.25,6.04,665000
2000-07-13,13.23,13.39,13.2,13.25,6.04,486500
2000-07-14,13.31,13.33,12.96,13.1,5.97,361100
2000-07-17,13.1,13.2,13.01,13.11,5.97,766900
2000-07-18,13.13,13.24,13.09,13.15,5.99,506300
2000-07-19,13.2,13.2,12.66,12.74,5.8,460200
2000-07-20,12.9,12.98,12.71,12.79,5.83,525700
2000-07-21,12.74,12.77,12.63,12.68,5.78,322800
2000-07-24,12.71,12.87,12.7,12.79,5.83,342200
2000-07-25,12.85,13.24,12.82,13.17,6.0,636400
