Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.5,18.88,18.5,18.81,7.95,69700
2000-01-03,18.81,18.88,18.62,18.81,7.95,110000
2000-01-04,18.75,18.81,18.62,18.75,7.93,176500
2000-01-05,18.75,18.88,18.62,18.69,7.9,135400
2000-01-06,18.75,19.25,18.62,19.25,8.14,186800
2000-01-07,19.25,20.38,19.19,20.25,8.56,190200
2000-01-10,20.31,20.5,20.06,20.38,8.61,64400
2000-01-11,20.25,20.25,19.5,19.62,8.3,56900
2000-01-12,19.75,20.25,19.75,20.0,8.46,96100
2000-01-13,19.88,20.06,19.62,19.94,8.43,164200
2000-01-14,20.0,20.06,19.75,19.75,8.35,53400
2000-01-18,20.0,20.06,19.81,20.0,8.46,64000
2000-01-19,19.88,20.12,19.75,20.12,8.51,154100
2000-01-20,20.19,20.25,20.12,20.19,8.53,51900
2000-01-21,20.19,20.19,20.06,20.19,8.53,29200
2000-01-24,20.12,20.19,20.0,20.0,8.46,52600
2000-01-25,20.0,20.12,19.88,20.0,8.46,66700
2000-01-26,20.06,20.06,20.0,20.0,8.46,34200
2000-01-27,20.06,20.12,20.0,20.06,8.48,61000
2000-01-28,20.0,20.06,20.0,20.06,8.48,33400
2000-01-31,19.94,20.06,19.94,19.94,8.43,57100
2000-02-01,20.06,20.06,19.88,20.06,8.48,49100
2000-02-02,20.06,20.06,19.62,19.69,8.32,171500
2000-02-03,19.75,19.81,19.69,19.75,8.35,34500
2000-02-04,19.62,19.69,19.44,19.44,8.22,73000
2000-02-07,19.38,19.5,19.19,19.19,8.11,99200
2000-02-08,19.19,19.25,19.0,19.12,8.09,73500
2000-02-09,19.19,19.25,18.88,19.12,8.09,70600
2000-02-10,19.0,19.38,18.94,19.31,8.16,33400
2000-02-11,19.19,19.25,18.75,18.75,7.93,77400
2000-02-14,18.75,18.75,17.75,18.0,7.61,143600
2000-02-15,18.0,18.25,17.88,18.0,7.61,249000
2000-02-16,18.0,18.12,17.88,17.88,7.56,97100
2000-02-17,17.94,18.06,17.94,18.06,7.64,70100
2000-02-18,18.06,18.38,18.06,18.19,7.69,113000
2000-02-22,18.12,18.5,18.06,18.5,7.82,83500
2000-02-23,18.38,18.69,18.12,18.62,7.87,85000
2000-02-24,18.5,18.5,18.06,18.25,7.72,49900
2000-02-25,18.25,18.5,18.25,18.38,7.77,37200
2000-02-28,18.38,18.75,18.38,18.62,7.87,57300
2000-02-29,18.75,19.25,18.62,19.25,8.14,114200
2000-03-01,19.19,19.25,18.94,19.12,8.09,109400
2000-03-02,19.06,19.06,19.0,19.0,8.03,39600
2000-03-03,19.25,19.25,18.94,19.06,8.06,135200
2000-03-06,19.0,19.19,18.81,19.19,8.11,184300
2000-03-07,19.19,19.25,18.75,18.75,7.93,128000
2000-03-08,18.88,19.0,18.88,19.0,8.03,58400
2000-03-09,18.94,19.0,18.75,18.88,7.98,31800
2000-03-10,18.81,18.94,18.69,18.75,7.93,42500
2000-03-13,18.75,18.88,18.69,18.75,7.93,17600
2000-03-14,18.75,19.0,18.75,18.88,7.98,49800
2000-03-15,18.94,18.94,18.62,18.75,7.93,285500
2000-03-16,18.88,19.0,18.88,19.0,8.03,68400
2000-03-17,19.0,19.25,19.0,19.19,8.11,61800
2000-03-20,19.06,19.38,19.0,19.31,8.16,111500
2000-03-21,19.19,19.69,19.0,19.69,8.32,53200
2000-03-22,19.06,19.12,18.5,19.0,8.22,66600
2000-03-23,18.88,19.0,18.5,18.81,8.14,59800
2000-03-24,18.62,18.94,18.56,18.56,8.03,71900
2000-03-27,18.69,18.94,18.62,18.81,8.14,80500
2000-03-28,18.75,19.0,18.75,18.88,8.17,76200
2000-03-29,18.94,19.06,18.88,19.0,8.22,142300
2000-03-30,19.0,19.12,19.0,19.12,8.27,39400
2000-03-31,19.06,19.31,19.0,19.31,8.36,41400
2000-04-03,19.25,19.31,19.06,19.12,8.27,42500
2000-04-04,19.06,19.38,18.94,19.38,8.38,71400
2000-04-05,19.25,19.88,19.25,19.75,8.55,115800
2000-04-06,19.81,20.31,19.75,20.31,8.79,120100
2000-04-07,20.38,21.0,20.38,21.0,9.09,111600
2000-04-10,20.88,20.94,20.56,20.69,8.95,102800
2000-04-11,20.75,21.12,20.44,20.62,8.92,97000
2000-04-12,20.56,21.12,20.56,21.06,9.11,141500
2000-04-13,21.06,21.06,20.94,21.06,9.11,68400
2000-04-14,21.0,21.0,20.62,20.69,8.95,114400
2000-04-17,20.75,20.75,20.44,20.56,8.9,120000
2000-04-18,20.44,20.44,19.88,20.31,8.79,340800
2000-04-19,20.5,20.5,20.19,20.25,8.76,34200
2000-04-20,20.31,20.75,20.12,20.38,8.82,99000
2000-04-24,20.25,20.44,20.0,20.31,8.79,68500
2000-04-25,20.44,20.62,20.12,20.62,8.92,34300
2000-04-26,20.56,21.12,20.31,21.0,9.09,97300
2000-04-27,21.75,21.75,21.31,21.31,9.22,39500
2000-04-28,21.25,21.5,21.12,21.25,9.19,69800
2000-05-01,21.5,21.62,21.25,21.62,9.36,58500
2000-05-02,21.62,22.12,21.5,22.0,9.52,237600
2000-05-03,22.0,22.25,21.88,22.06,9.55,167100
2000-05-04,22.12,22.19,22.0,22.06,9.55,52300
2000-05-05,22.06,22.19,21.94,22.0,9.52,84400
2000-05-08,22.0,22.0,21.75,21.81,9.44,73800
2000-05-09,21.94,21.94,21.44,21.81,9.44,34200
2000-05-10,21.69,21.69,21.31,21.5,9.3,49800
2000-05-11,21.56,21.75,21.5,21.75,9.41,20300
2000-05-12,21.62,22.0,21.62,21.81,9.44,32900
2000-05-15,21.81,21.94,21.56,21.94,9.49,39700
2000-05-16,21.81,21.94,21.62,21.81,9.44,32400
2000-05-17,21.69,21.81,21.38,21.56,9.33,65000
2000-05-18,21.69,22.31,21.62,22.31,9.65,96400
2000-05-19,22.25,22.31,22.0,22.0,9.52,52600
2000-05-22,21.88,22.06,21.56,22.06,9.55,41100
2000-05-23,21.94,22.0,21.56,21.75,9.41,34000
2000-05-24,21.62,22.12,21.31,22.12,9.57,53000
2000-05-25,22.06,22.12,21.88,21.88,9.46,74100
2000-05-26,21.75,22.06,21.62,22.06,9.55,39300
2000-05-30,22.0,22.06,21.69,22.06,9.55,32000
2000-05-31,22.06,22.06,21.5,21.94,9.49,152300
2000-06-01,21.81,21.94,21.69,21.94,9.49,132500
2000-06-02,21.94,22.0,21.69,22.0,9.52,29700
2000-06-05,21.88,21.94,21.56,21.62,9.36,26900
2000-06-06,21.56,22.0,21.56,21.75,9.41,104500
2000-06-07,21.75,21.94,21.62,21.94,9.49,252900
2000-06-08,21.94,22.0,21.69,21.75,9.41,36400
2000-06-09,21.81,21.88,21.69,21.88,9.46,45400
2000-06-12,21.88,21.88,21.56,21.56,9.33,171700
2000-06-13,21.62,21.81,21.56,21.81,9.44,91600
2000-06-14,21.75,21.94,21.62,21.81,9.44,106400
2000-06-15,21.81,21.88,21.5,21.62,9.36,103200
2000-06-16,21.62,21.62,21.25,21.38,9.25,111200
2000-06-19,21.44,21.44,21.12,21.25,9.19,73900
2000-06-20,21.25,21.31,21.12,21.25,9.19,144300
2000-06-21,21.38,21.38,21.12,21.25,9.19,137000
2000-06-22,20.75,20.81,20.56,20.62,9.12,91900
2000-06-23,20.75,20.81,20.5,20.75,9.17,41200
2000-06-26,20.75,20.75,20.62,20.69,9.14,142100
2000-06-27,20.62,20.88,20.62,20.75,9.17,35000
2000-06-28,20.75,20.94,20.75,20.88,9.23,80600
2000-06-29,20.75,21.0,20.75,20.81,9.2,39600
2000-06-30,20.88,21.12,20.0,20.02,8.85,414100
2000-07-03,20.25,20.88,20.25,20.88,9.23,26900
