Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,49.6,49.88,49.3,49.6,27.18,6119200
2000-01-03,49.04,49.26,47.82,48.08,26.35,22952500
2000-01-04,47.2,47.44,46.15,46.15,25.29,23006200
2000-01-05,46.07,47.12,45.69,46.07,25.25,28384500
2000-01-06,45.87,47.1,45.71,46.69,25.59,20668100
2000-01-07,47.44,48.68,47.12,48.5,26.58,20947000
2000-01-10,48.94,49.38,48.44,48.48,26.57,15835500
2000-01-11,48.4,48.94,48.28,48.56,26.61,15727900
2000-01-12,48.42,49.12,48.26,48.72,26.7,19075900
2000-01-13,49.08,49.66,49.04,49.28,27.01,15551600
2000-01-14,49.16,49.56,47.94,48.4,26.52,19219500
2000-01-18,47.96,47.96,47.04,47.44,26.0,19028500
2000-01-19,46.96,48.38,46.88,47.67,26.12,15443600
2000-01-20,47.78,48.0,45.71,46.77,25.63,31989300
2000-01-21,47.42,47.52,46.13,46.19,25.32,24965600
2000-01-24,46.57,46.77,43.73,44.27,24.26,28200700
2000-01-25,44.25,44.99,43.91,44.39,24.33,26403000
2000-01-26,45.03,45.57,44.51,45.33,24.84,16491000
2000-01-27,45.37,45.43,43.93,45.43,24.9,20013200
2000-01-28,44.97,45.03,42.83,42.95,23.54,31040500
2000-01-31,42.95,43.57,42.65,42.95,23.54,22654000
2000-02-01,43.03,43.91,42.95,43.59,23.89,28432500
2000-02-02,43.95,44.11,42.97,42.97,23.55,22693000
2000-02-03,43.57,44.81,43.35,44.63,24.46,21041200
2000-02-04,45.19,45.87,45.03,45.37,24.87,18893700
2000-02-07,45.41,45.43,43.55,43.75,23.98,19016400
2000-02-08,43.77,44.37,43.75,43.93,24.08,19442900
2000-02-09,43.91,44.13,42.97,42.97,23.55,16664800
2000-02-10,43.13,43.89,42.67,43.41,23.79,19934300
2000-02-11,43.29,44.01,42.81,42.87,23.49,21374400
2000-02-14,42.87,43.57,42.81,43.07,23.6,15123500
2000-02-15,42.95,44.55,42.93,44.07,24.15,19576400
2000-02-16,43.79,43.89,43.07,43.48,23.83,15112000
2000-02-17,43.23,43.47,41.67,41.99,23.01,30075800
2000-02-18,41.99,42.29,40.04,40.1,21.98,36740400
2000-02-22,40.46,41.67,40.08,41.55,22.77,28320200
2000-02-23,41.67,42.61,41.15,41.83,22.92,22834300
2000-02-24,41.77,42.61,40.4,41.99,23.01,28723300
2000-02-25,41.51,41.97,40.28,40.42,22.15,27736100
2000-02-28,40.38,42.39,40.38,41.49,22.74,28124600
2000-02-29,41.87,42.95,41.71,42.43,23.25,23478000
2000-03-01,42.79,42.91,41.91,42.11,23.08,27756400
2000-03-02,42.11,43.63,41.95,43.35,23.76,20680200
2000-03-03,43.99,45.03,43.93,44.67,24.48,24714400
2000-03-06,44.71,44.71,43.15,44.05,24.21,19238500
2000-03-07,44.03,44.03,41.55,41.65,22.89,30814600
2000-03-08,41.75,42.45,41.37,41.77,22.96,24871700
2000-03-09,41.77,42.31,40.77,41.35,22.73,19661300
2000-03-10,41.95,42.97,41.67,42.21,23.2,21527600
2000-03-13,41.35,41.83,40.91,41.49,22.8,20031300
2000-03-14,41.55,41.59,40.65,40.71,22.37,19833200
2000-03-15,40.67,43.17,40.46,42.81,23.53,26947400
2000-03-16,42.85,44.69,42.79,44.55,24.49,31204900
2000-03-17,44.27,45.33,43.97,44.83,24.64,33137500
2000-03-20,44.83,45.43,44.11,45.17,24.83,16220200
2000-03-21,44.47,48.54,44.25,48.24,26.51,38629900
2000-03-22,48.24,48.7,47.64,48.36,26.58,22580000
2000-03-23,48.56,51.28,48.38,51.28,28.19,32574000
2000-03-24,50.52,51.2,49.98,50.98,28.02,23999900
2000-03-27,50.56,50.88,50.08,50.62,27.82,17063900
2000-03-28,50.24,50.84,50.0,50.0,27.48,22684500
2000-03-29,50.44,52.84,50.44,52.24,28.72,40696300
2000-03-30,51.92,52.08,50.5,50.88,27.97,25965500
2000-03-31,51.04,51.24,49.6,49.88,27.42,24368400
2000-04-03,49.76,51.6,49.68,51.6,28.36,19949500
2000-04-04,50.82,50.92,47.16,49.36,27.13,34351200
2000-04-05,48.76,49.68,48.3,49.14,27.01,22275500
2000-04-06,49.42,50.54,49.38,50.28,27.64,14342900
2000-04-07,50.52,51.22,50.06,50.9,27.98,13859600
2000-04-10,51.08,51.6,50.6,51.1,28.09,14803700
2000-04-11,50.74,52.52,50.52,51.8,28.47,21842400
2000-04-12,52.12,52.32,50.0,50.24,27.61,20220700
2000-04-13,50.44,50.46,48.08,48.24,26.51,26516800
2000-04-14,47.44,48.12,45.85,46.71,25.68,32911300
2000-04-17,46.27,49.12,46.11,48.72,26.78,33229500
2000-04-18,48.98,50.62,48.7,50.16,27.57,26455400
2000-04-19,50.02,50.26,49.4,49.84,27.39,14716400
2000-04-20,50.02,50.8,49.84,50.8,27.92,17739000
2000-04-24,50.32,52.54,50.1,51.94,28.55,24975200
2000-04-25,52.0,53.31,51.56,53.21,29.24,23768700
2000-04-26,53.25,53.83,51.7,52.32,28.76,22186600
2000-04-27,51.44,51.9,50.7,51.76,28.45,21036200
2000-04-28,51.72,51.92,50.18,50.4,27.7,14699200
2000-05-01,50.96,51.92,50.56,51.08,28.08,12986000
2000-05-02,50.96,51.86,50.7,51.62,28.37,13234100
2000-05-03,51.12,51.28,49.54,50.02,27.49,17258500
2000-05-04,50.46,50.48,48.96,49.36,27.13,16027400
2000-05-05,49.36,51.28,49.2,50.64,27.83,21513300
2000-05-08,50.12,50.84,49.64,50.42,27.71,12143500
2000-05-09,50.36,50.66,48.92,50.12,27.55,13976900
2000-05-10,49.52,50.06,48.14,48.68,26.76,15661700
2000-05-11,49.52,50.36,48.8,48.98,26.92,13974700
2000-05-12,48.86,50.6,48.74,50.24,27.61,11142300
2000-05-15,50.3,52.34,50.24,51.92,28.54,14098500
2000-05-16,52.7,53.06,51.92,52.16,28.67,17609100
2000-05-17,51.68,52.28,51.08,51.56,28.34,11746600
2000-05-18,51.44,52.28,50.84,51.08,28.08,13381500
2000-05-19,50.12,50.66,49.04,49.88,27.42,13408700
2000-05-22,49.88,49.88,46.88,48.08,26.43,17424700
2000-05-23,47.3,48.08,47.06,48.08,26.43,12575600
2000-05-24,47.12,49.28,47.12,48.8,26.82,15540300
2000-05-25,48.8,49.82,47.84,48.8,26.82,11896000
2000-05-26,48.5,48.98,47.42,47.66,26.19,9220900
2000-05-30,47.9,49.52,47.48,49.28,27.09,13463300
2000-05-31,49.76,51.26,49.52,50.6,27.81,15043100
2000-06-01,50.06,51.32,48.8,50.36,27.68,13330300
2000-06-02,51.26,51.92,49.76,50.72,27.88,12495200
2000-06-05,50.0,50.24,49.1,49.58,27.25,9975900
2000-06-06,49.52,49.82,48.62,49.22,27.05,8283300
2000-06-07,49.16,50.42,49.04,49.4,27.15,10375600
2000-06-08,49.52,49.64,48.56,48.92,26.89,9039400
2000-06-09,49.1,49.28,47.36,47.96,26.36,11401300
2000-06-12,48.08,48.2,46.57,47.96,26.36,12736000
2000-06-13,48.08,49.58,47.84,49.22,27.05,13942600
2000-06-14,49.28,49.82,48.38,49.04,26.95,10712100
2000-06-15,48.56,50.0,48.08,49.88,27.42,12463600
2000-06-16,50.0,50.18,49.08,49.16,27.02,19754900
2000-06-19,48.86,49.76,48.08,48.32,26.56,10199600
2000-06-20,49.94,49.94,48.2,49.04,26.95,11608000
2000-06-21,48.14,48.44,47.3,47.54,26.13,14399000
2000-06-22,47.3,48.08,46.09,46.88,25.76,16321900
2000-06-23,46.81,47.96,46.69,47.96,26.36,10603500
2000-06-26,47.48,48.14,47.18,48.02,26.39,9467400
2000-06-27,48.08,48.38,47.18,47.36,26.03,10205600
2000-06-28,47.84,48.86,47.66,48.6,26.71,13776600
2000-06-29,48.56,48.56,47.42,47.84,26.29,13408700
2000-06-30,47.36,51.07,47.18,50.96,28.01,19839300
2000-07-03,50.48,50.48,49.4,50.0,27.48,6868700
2000-07-05,50.24,50.24,47.6,48.02,26.46,14100300
2000-07-06,48.14,49.04,47.9,48.26,26.59,10001100
2000-07-07,48.8,49.52,48.38,49.34,27.19,10335300
2000-07-10,49.34,50.6,49.16,50.42,27.79,12736500
2000-07-11,50.3,51.32,50.06,50.24,27.69,13429100
2000-07-12,51.8,51.8,50.24,51.68,28.48,11214400
2000-07-13,51.2,51.92,49.94,50.48,27.82,16744500
2000-07-14,50.3,50.48,49.52,49.52,27.29,11568800
2000-07-17,49.58,52.34,49.58,51.62,28.45,19104300
2000-07-18,51.56,51.68,50.24,50.24,27.69,12467000
2000-07-19,50.9,51.26,50.54,50.72,27.95,9912500
2000-07-20,51.14,52.64,50.78,52.22,28.78,11669300
2000-07-21,52.52,52.64,51.56,52.04,28.68,13540400
2000-07-24,52.1,52.52,51.56,51.92,28.61,9817600
2000-07-25,51.92,52.1,51.44,51.5,28.38,8806500
2000-07-26,51.86,51.86,50.12,50.12,27.62,17435900
2000-07-27,50.6,51.02,50.24,50.48,27.82,14338000
2000-07-28,50.48,50.6,48.44,48.98,26.99,13942900
2000-07-31,49.64,50.84,49.46,49.7,27.39,17881900
2000-08-01,49.94,50.84,49.82,50.72,27.95,13523000
2000-08-02,50.42,50.78,49.52,50.0,27.55,16063500
2000-08-03,51.8,51.8,49.88,50.84,28.02,13452800
2000-08-04,49.88,51.44,49.22,51.32,28.28,9452000
2000-08-07,50.12,51.56,50.12,50.6,27.89,8038800
2000-08-08,51.02,51.74,50.0,51.68,28.48,9160500
2000-08-09,51.8,54.03,51.56,53.79,29.64,22295200
2000-08-10,53.73,54.99,53.37,54.81,30.2,18971300
2000-08-11,53.97,55.17,53.61,54.39,29.97,12595500
2000-08-14,54.21,54.99,53.67,54.81,30.2,8106800
2000-08-15,54.57,55.17,54.03,55.05,30.34,11223800
2000-08-16,55.05,55.05,54.03,54.63,30.1,7749700
