Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.7,1.73,1.66,1.69,1.5,8720000
2000-01-03,1.79,1.8,1.72,1.76,1.56,54070400
2000-01-04,1.7,1.72,1.66,1.68,1.49,38960000
2000-01-05,1.68,1.68,1.64,1.67,1.47,24038400
2000-01-06,1.66,1.79,1.66,1.78,1.57,35760000
2000-01-07,1.8,2.1,1.79,2.05,1.81,67779200
2000-01-10,2.06,2.45,2.05,2.32,2.05,61219200
2000-01-11,2.32,2.32,2.07,2.11,1.86,46502400
2000-01-12,2.14,2.16,2.04,2.09,1.85,21923200
2000-01-13,2.16,2.21,2.09,2.2,1.95,23811200
2000-01-14,2.22,2.26,2.12,2.15,1.9,38908800
2000-01-18,2.15,2.15,1.96,2.14,1.89,38672000
2000-01-19,2.12,2.12,1.87,1.96,1.74,81686400
2000-01-20,2.04,2.05,1.84,1.96,1.73,39651200
2000-01-21,1.96,2.02,1.94,1.95,1.72,25081600
2000-01-24,2.0,2.0,1.73,1.73,1.53,51062400
2000-01-25,1.75,1.78,1.64,1.77,1.56,38486400
2000-01-26,1.78,1.78,1.63,1.69,1.49,29126400
2000-01-27,1.71,1.72,1.55,1.55,1.37,23321600
2000-01-28,1.56,1.6,1.44,1.53,1.35,44937600
2000-01-31,1.54,1.63,1.4,1.46,1.29,23894400
2000-02-01,1.45,1.52,1.43,1.44,1.28,31091200
2000-02-02,1.46,1.53,1.42,1.44,1.27,40953600
2000-02-03,1.47,1.47,1.4,1.41,1.24,39974400
2000-02-04,1.44,1.47,1.41,1.46,1.29,34313600
2000-02-07,1.48,1.75,1.45,1.7,1.5,55174400
2000-02-08,1.73,1.87,1.67,1.85,1.64,42739200
2000-02-09,1.89,1.91,1.7,1.72,1.52,36944000
2000-02-10,1.75,1.83,1.67,1.73,1.53,31875200
2000-02-11,1.73,1.77,1.67,1.75,1.55,35638400
2000-02-14,1.75,1.89,1.75,1.88,1.66,34112000
2000-02-15,1.89,2.0,1.86,1.98,1.75,52416000
2000-02-16,2.0,2.12,1.99,2.0,1.77,65075200
2000-02-17,2.1,2.37,2.1,2.33,2.06,72723200
2000-02-18,2.28,2.52,2.21,2.41,2.13,75715200
2000-02-22,2.36,2.39,2.13,2.34,2.07,44249600
2000-02-23,2.39,2.41,2.31,2.37,2.09,25321600
2000-02-24,2.39,2.43,2.26,2.29,2.03,22582400
2000-02-25,2.38,2.39,2.09,2.26,2.0,35862400
2000-02-28,2.21,2.29,2.15,2.22,1.96,28585600
2000-02-29,2.22,2.4,2.22,2.39,2.11,23766400
2000-03-01,2.37,2.54,2.37,2.5,2.21,36835200
2000-03-02,2.52,2.56,2.39,2.44,2.16,16652800
2000-03-03,2.47,2.59,2.44,2.5,2.21,16841600
2000-03-06,2.51,2.64,2.46,2.57,2.28,22163200
2000-03-07,2.61,2.66,2.29,2.4,2.12,19222400
2000-03-08,2.52,2.53,2.23,2.31,2.04,15993600
2000-03-09,2.34,2.38,2.22,2.24,1.98,14304000
2000-03-10,2.28,2.32,2.17,2.24,1.98,18297600
2000-03-13,2.15,2.21,2.08,2.12,1.87,18227200
2000-03-14,2.15,2.3,2.0,2.12,1.88,43184000
2000-03-15,2.14,2.19,2.0,2.0,1.77,23276800
2000-03-16,2.19,2.19,2.02,2.07,1.83,17696000
2000-03-17,2.02,2.18,1.94,1.99,1.76,18880000
2000-03-20,1.99,2.16,1.73,1.79,1.59,29299200
2000-03-21,1.79,1.91,1.66,1.78,1.57,48233600
2000-03-22,1.86,2.02,1.85,2.0,1.77,17088000
2000-03-23,2.11,2.24,2.06,2.18,1.92,43878400
2000-03-24,2.18,2.27,2.17,2.2,1.94,18467200
2000-03-27,2.25,2.25,2.12,2.18,1.93,17868800
2000-03-28,2.24,2.34,2.18,2.2,1.95,13974400
2000-03-29,2.25,2.34,2.03,2.08,1.84,21843200
2000-03-30,2.03,2.03,1.84,1.84,1.63,29782400
2000-03-31,1.93,2.01,1.91,1.98,1.75,32233600
2000-04-03,1.92,1.98,1.88,1.88,1.66,19635200
2000-04-04,1.9,1.92,1.71,1.85,1.64,23440000
2000-04-05,1.85,2.03,1.79,1.95,1.72,35942400
2000-04-06,2.05,2.1,1.95,2.06,1.82,28924800
2000-04-07,2.11,2.11,1.97,1.98,1.75,24265600
2000-04-10,1.99,2.04,1.92,1.94,1.71,15536000
2000-04-11,1.96,1.97,1.82,1.95,1.73,18240000
2000-04-12,1.92,1.92,1.75,1.82,1.61,20832000
2000-04-13,1.84,1.94,1.71,1.9,1.68,24284800
2000-04-14,1.9,1.91,1.71,1.73,1.53,18460800
2000-04-17,1.71,1.72,1.58,1.59,1.41,32432000
2000-04-18,1.6,1.73,1.57,1.71,1.51,31932800
2000-04-19,1.76,1.76,1.62,1.63,1.44,14256000
2000-04-20,1.68,1.68,1.52,1.6,1.42,20832000
2000-04-24,1.62,1.62,1.46,1.54,1.36,8732800
2000-04-25,1.56,1.58,1.5,1.5,1.32,17948800
2000-04-26,1.53,1.53,1.4,1.44,1.27,23382400
2000-04-27,1.42,1.42,1.35,1.36,1.2,20278400
2000-04-28,1.42,1.7,1.39,1.69,1.5,31238400
2000-05-01,1.69,1.77,1.52,1.74,1.54,24006400
2000-05-02,1.78,1.88,1.63,1.79,1.58,22195200
2000-05-03,1.79,1.8,1.66,1.68,1.48,12617600
2000-05-04,1.71,2.02,1.7,1.97,1.75,32393600
2000-05-05,1.89,2.21,1.84,2.16,1.91,41792000
2000-05-08,2.12,2.14,2.01,2.1,1.85,22076800
2000-05-09,2.12,2.15,2.03,2.03,1.8,28553600
2000-05-10,2.01,2.02,1.86,1.94,1.71,14000000
2000-05-11,1.95,2.05,1.92,1.94,1.71,7113600
2000-05-12,1.94,1.96,1.9,1.94,1.72,11344000
2000-05-15,1.95,2.02,1.84,2.01,1.78,7756800
2000-05-16,2.01,2.16,2.01,2.13,1.88,15056000
2000-05-17,2.12,2.12,2.02,2.05,1.81,22387200
2000-05-18,2.06,2.06,1.96,1.96,1.74,16163200
2000-05-19,1.98,1.98,1.84,1.87,1.65,10886400
2000-05-22,1.88,1.91,1.79,1.87,1.65,10668800
2000-05-23,1.85,1.91,1.84,1.89,1.67,17440000
2000-05-24,1.88,2.08,1.84,2.03,1.79,19913600
2000-05-25,2.03,2.11,1.92,1.93,1.71,12307200
2000-05-26,1.77,1.77,1.61,1.66,1.47,31942400
2000-05-30,1.7,1.75,1.54,1.75,1.55,29011200
2000-05-31,1.75,1.75,1.7,1.71,1.51,6003200
2000-06-01,1.75,1.79,1.72,1.77,1.56,5356800
2000-06-02,1.81,1.96,1.78,1.95,1.72,9289600
2000-06-05,1.91,1.93,1.82,1.88,1.66,8361600
2000-06-06,1.89,2.05,1.87,1.94,1.72,10672000
2000-06-07,1.97,2.07,1.89,2.06,1.82,13897600
2000-06-08,2.07,2.07,1.88,1.88,1.67,12883200
2000-06-09,1.92,2.14,1.92,2.08,1.84,18563200
2000-06-12,2.09,2.09,1.86,1.86,1.64,12643200
2000-06-13,1.85,1.97,1.81,1.97,1.74,12819200
2000-06-14,1.95,2.05,1.95,1.96,1.73,4963200
2000-06-15,1.93,2.02,1.84,2.01,1.78,14387200
2000-06-16,1.99,2.16,1.97,2.05,1.82,20144000
2000-06-19,2.06,2.2,1.93,2.2,1.94,11052800
2000-06-20,2.19,2.39,2.17,2.34,2.07,25004800
2000-06-21,2.16,2.33,2.07,2.25,1.99,29312000
2000-06-22,2.25,2.27,1.98,1.99,1.76,32425600
2000-06-23,2.07,2.32,2.03,2.17,1.92,29561600
2000-06-26,2.18,2.2,2.01,2.13,1.89,16083200
2000-06-27,2.13,2.14,2.1,2.11,1.87,14188800
2000-06-28,2.13,2.25,2.11,2.25,1.99,19318400
2000-06-29,2.14,2.29,2.08,2.21,1.95,32009600
2000-06-30,2.21,2.24,2.07,2.22,1.97,51056000
2000-07-03,2.2,2.22,2.16,2.18,1.93,2057600
2000-07-05,2.22,2.27,2.2,2.22,1.96,13731200
2000-07-06,2.22,2.3,2.21,2.29,2.02,15804800
2000-07-07,2.31,2.55,2.31,2.51,2.22,39459200
2000-07-10,2.5,2.54,2.34,2.48,2.19,17740800
2000-07-11,2.5,2.62,2.47,2.59,2.29,17724800
2000-07-12,2.59,2.82,2.57,2.79,2.47,31772800
2000-07-13,2.77,2.8,2.46,2.57,2.27,30131200
2000-07-14,2.57,2.59,2.51,2.52,2.23,9350400
2000-07-17,2.56,2.64,2.48,2.58,2.28,12636800
2000-07-18,2.58,2.58,2.44,2.51,2.22,9056000
2000-07-19,2.5,2.52,2.34,2.34,2.07,9075200
2000-07-20,2.34,2.43,2.27,2.27,2.0,11465600
2000-07-21,2.3,2.4,2.25,2.35,2.07,6131200
2000-07-24,2.33,2.48,2.18,2.18,1.93,10451200
2000-07-25,2.22,2.23,2.06,2.15,1.9,8566400
2000-07-26,2.14,2.2,2.09,2.17,1.92,13824000
2000-07-27,2.18,2.19,2.07,2.1,1.86,8627200
2000-07-28,2.15,2.28,2.15,2.19,1.94,14857600
2000-07-31,2.21,2.37,2.19,2.32,2.05,15580800
2000-08-01,2.35,2.8,2.34,2.72,2.4,56102400
2000-08-02,2.64,2.68,2.58,2.63,2.33,30928000
2000-08-03,2.59,2.85,2.5,2.84,2.51,23772800
2000-08-04,2.77,2.77,2.65,2.72,2.4,21721600
2000-08-07,2.73,2.8,2.68,2.79,2.47,15142400
2000-08-08,2.78,2.91,2.74,2.83,2.5,24345600
2000-08-09,2.84,2.85,2.73,2.78,2.46,16160000
2000-08-10,2.77,2.78,2.58,2.71,2.39,12329600
2000-08-11,2.69,2.71,2.62,2.7,2.39,12326400
2000-08-14,2.73,2.76,2.7,2.71,2.4,6140800
2000-08-15,2.72,2.78,2.58,2.64,2.33,7648000
2000-08-16,2.69,2.79,2.57,2.68,2.37,11248000
2000-08-17,2.66,2.88,2.65,2.82,2.5,11849600
2000-08-18,2.82,2.84,2.73,2.81,2.49,10924800
2000-08-21,2.83,3.0,2.77,2.97,2.63,14457600
2000-08-22,2.97,3.29,2.9,3.28,2.9,25312000
2000-08-23,3.22,3.23,3.09,3.14,2.77,24604800
2000-08-24,3.12,3.28,3.12,3.2,2.83,17635200
2000-08-25,3.22,3.36,3.19,3.22,2.85,24163200
2000-08-28,3.21,3.24,3.05,3.06,2.7,11600000
2000-08-29,3.12,3.19,3.06,3.1,2.74,19139200
2000-08-30,3.08,3.29,3.08,3.26,2.89,10979200
2000-08-31,3.28,3.49,3.26,3.38,2.98,18451200
2000-09-01,3.41,3.42,3.24,3.28,2.9,7875200
2000-09-05,3.22,3.36,3.07,3.07,2.72,20345600
2000-09-06,3.12,3.12,2.81,2.84,2.51,30144000
2000-09-07,2.83,3.23,2.83,3.12,2.76,37484800
2000-09-08,3.15,3.3,3.05,3.19,2.82,13718400
2000-09-11,3.22,3.25,3.07,3.07,2.71,17043200
2000-09-12,3.09,3.12,2.95,2.97,2.63,6902400
2000-09-13,2.95,3.04,2.87,3.03,2.68,11356800
2000-09-14,3.07,3.22,3.06,3.18,2.81,20076800
2000-09-15,3.14,3.25,3.06,3.23,2.86,23244800
2000-09-18,3.12,3.12,2.9,2.91,2.58,19308800
2000-09-19,2.91,3.11,2.88,3.06,2.71,21801600
2000-09-20,3.08,3.08,2.98,3.05,2.69,10793600
2000-09-21,3.07,3.33,3.03,3.21,2.84,17235200
2000-09-22,3.19,3.46,3.14,3.42,3.02,31980800
2000-09-25,3.41,3.69,3.4,3.63,3.21,36144000
2000-09-26,3.62,3.68,3.14,3.33,2.94,45699200
2000-09-27,3.33,3.44,3.25,3.34,2.95,20022400
2000-09-28,3.34,3.62,3.32,3.62,3.2,32915200
2000-09-29,3.59,3.62,3.38,3.43,3.03,29782400
2000-10-02,3.45,3.46,3.25,3.25,2.88,16102400
2000-10-03,3.32,3.46,3.18,3.22,2.85,19843200
2000-10-04,3.25,3.25,3.02,3.06,2.71,22128000
2000-10-05,3.04,3.24,3.03,3.1,2.74,16761600
2000-10-06,3.09,3.19,2.83,2.89,2.56,30726400
2000-10-09,2.9,2.92,2.7,2.81,2.49,19664000
2000-10-10,2.81,3.04,2.69,2.96,2.62,18073600
2000-10-11,2.95,3.11,2.79,2.93,2.59,12457600
2000-10-12,3.09,3.18,2.79,2.81,2.49,19350400
2000-10-13,2.76,3.0,2.74,3.0,2.65,22137600
2000-10-16,3.04,3.16,3.0,3.09,2.73,21558400
2000-10-17,3.15,3.21,3.06,3.12,2.76,25523200
2000-10-18,3.09,3.11,2.81,2.87,2.54,17840000
2000-10-19,2.91,2.92,2.76,2.86,2.53,16675200
2000-10-20,2.84,2.88,2.7,2.77,2.45,20092800
2000-10-23,2.82,3.09,2.79,3.03,2.68,20505600
2000-10-24,3.07,3.14,2.65,2.68,2.37,52003200
2000-10-25,2.67,2.88,2.67,2.87,2.54,78112000
2000-10-26,2.92,2.97,2.79,2.84,2.51,34444800
2000-10-27,2.58,2.8,2.55,2.57,2.28,93625600
2000-10-30,2.69,2.7,2.58,2.65,2.34,66624000
2000-10-31,2.62,2.73,2.56,2.69,2.38,27894400
2000-11-01,2.66,2.8,2.58,2.65,2.35,26128000
2000-11-02,2.67,2.78,2.64,2.75,2.43,27420800
2000-11-03,2.75,2.88,2.71,2.75,2.43,19875200
2000-11-06,2.74,2.94,2.72,2.93,2.59,27027200
2000-11-07,2.87,2.96,2.84,2.94,2.6,27872000
2000-11-08,2.9,2.95,2.81,2.82,2.49,31107200
2000-11-09,2.82,2.93,2.73,2.8,2.47,24889600
2000-11-10,2.78,2.9,2.77,2.82,2.49,12857600
2000-11-13,2.8,2.8,2.35,2.46,2.17,43756800
2000-11-14,2.5,2.5,2.35,2.42,2.14,24265600
2000-11-15,2.46,2.5,2.34,2.44,2.16,25318400
2000-11-16,2.42,2.49,2.37,2.38,2.1,9996800
2000-11-17,2.43,2.43,2.15,2.2,1.94,31888000
