Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.94,13.0,12.86,12.92,10.62,116200
2000-01-03,12.81,12.86,12.44,12.58,10.34,542400
2000-01-04,12.39,12.47,12.28,12.33,10.14,645400
2000-01-05,12.5,12.5,12.33,12.33,10.17,400200
2000-01-06,12.22,12.5,12.0,12.31,10.15,327100
2000-01-07,12.33,12.69,12.33,12.56,10.35,372600
2000-01-10,12.67,12.69,12.31,12.39,10.22,432400
2000-01-11,12.28,12.44,12.14,12.36,10.19,1053400
2000-01-12,12.36,12.44,12.17,12.31,10.15,595000
2000-01-13,12.28,12.56,12.19,12.42,10.24,705100
2000-01-14,12.44,12.56,12.08,12.17,10.03,1360000
2000-01-18,12.11,12.11,11.44,11.44,9.44,1974700
2000-01-19,11.53,11.56,10.83,10.83,8.93,1709200
2000-01-20,10.94,10.97,10.39,10.5,8.66,1652800
2000-01-21,10.61,10.61,10.25,10.36,8.54,1527900
2000-01-24,10.47,10.56,10.28,10.44,8.61,954400
2000-01-25,10.58,10.67,10.25,10.36,8.54,986500
2000-01-26,10.47,10.78,10.06,10.53,8.68,1753600
2000-01-27,10.67,10.81,10.61,10.61,8.75,913500
2000-01-28,10.61,10.61,10.22,10.22,8.43,777700
2000-01-31,10.56,11.19,10.39,11.19,9.23,1001200
2000-02-01,11.11,11.11,9.78,10.0,8.25,1878300
2000-02-02,10.11,10.5,9.94,10.31,8.5,1498200
2000-02-03,10.5,10.5,10.14,10.33,8.52,658800
2000-02-04,10.31,10.42,10.0,10.25,8.45,1679100
2000-02-07,10.25,10.44,10.19,10.25,8.45,1224400
2000-02-08,10.19,10.33,9.83,9.89,8.15,1152000
2000-02-09,9.78,9.89,9.53,9.53,7.86,2627100
2000-02-10,9.47,9.5,9.14,9.31,7.67,934300
2000-02-11,9.31,9.53,9.25,9.33,7.7,1185900
2000-02-14,9.36,9.36,9.03,9.11,7.51,832000
2000-02-15,9.22,9.39,9.14,9.28,7.65,723600
2000-02-16,9.28,9.42,9.19,9.22,7.6,1140900
2000-02-17,9.22,9.39,8.89,9.0,7.42,1158700
2000-02-18,8.78,9.31,8.78,8.83,7.28,1004400
2000-02-22,8.94,9.03,8.75,8.94,7.38,532800
2000-02-23,8.61,8.94,8.61,8.72,7.19,865800
2000-02-24,8.69,8.78,8.58,8.64,7.12,815400
2000-02-25,8.67,8.97,8.56,8.61,7.1,1071400
2000-02-28,8.64,8.83,8.58,8.58,7.08,1205100
2000-02-29,8.69,8.89,8.64,8.81,7.26,1392000
2000-03-01,8.78,9.06,8.69,9.0,7.42,864000
2000-03-02,8.89,9.08,8.67,8.75,7.22,1370400
2000-03-03,8.78,9.0,8.72,8.92,7.35,742000
2000-03-06,9.0,9.0,8.72,8.72,7.19,562500
2000-03-07,8.72,8.75,8.44,8.44,6.96,1246500
2000-03-08,8.42,8.64,8.39,8.53,7.03,819100
2000-03-09,8.53,8.81,8.44,8.61,7.1,719200
2000-03-10,8.67,8.67,8.5,8.5,7.01,472600
2000-03-13,8.56,8.56,8.33,8.47,6.99,542400
2000-03-14,8.47,8.64,8.44,8.47,6.99,1022100
2000-03-15,8.5,9.42,8.5,8.89,7.33,2491200
2000-03-16,8.97,10.44,8.97,10.06,8.29,1746400
2000-03-17,9.86,10.11,9.78,9.97,8.22,1258300
2000-03-20,9.92,10.06,9.72,10.03,8.27,603400
2000-03-21,10.08,10.47,10.06,10.44,8.61,901900
2000-03-22,10.33,10.56,10.11,10.31,8.5,875200
2000-03-23,10.36,10.72,10.31,10.56,8.7,844200
2000-03-24,10.61,10.86,10.44,10.61,8.75,1964400
2000-03-27,10.64,10.67,10.11,10.22,8.43,915700
2000-03-28,10.11,10.42,10.03,10.06,8.29,1243300
2000-03-29,10.0,10.42,10.0,10.11,8.34,907200
2000-03-30,10.33,10.58,10.19,10.42,8.59,1058500
2000-03-31,10.67,10.81,10.28,10.28,8.48,1611100
2000-04-03,10.39,10.72,10.33,10.53,8.68,1178200
2000-04-04,10.78,11.03,10.33,10.36,8.54,1475100
2000-04-05,10.39,10.69,10.39,10.47,8.67,844800
2000-04-06,10.58,10.89,10.44,10.53,8.72,998200
2000-04-07,10.53,10.72,10.36,10.47,8.67,861400
2000-04-10,10.31,10.67,10.31,10.61,8.78,946500
2000-04-11,10.61,10.69,10.28,10.61,8.78,1102900
2000-04-12,10.61,10.78,10.53,10.67,8.83,884200
2000-04-13,10.75,10.75,10.42,10.61,8.78,817800
2000-04-14,10.47,10.56,9.83,9.94,8.23,1017100
2000-04-17,9.94,10.0,9.72,9.94,8.23,980500
2000-04-18,9.97,10.19,9.83,10.19,8.44,956700
2000-04-19,10.17,10.17,9.61,9.86,8.16,568300
2000-04-20,9.86,10.14,9.83,10.06,8.32,1157400
2000-04-24,9.89,10.67,9.89,10.61,8.78,1271700
2000-04-25,10.44,11.19,10.33,11.11,9.2,1863400
2000-04-26,11.17,11.64,10.64,10.72,8.88,772200
2000-04-27,10.69,10.75,10.11,10.42,8.62,748800
2000-04-28,10.36,11.44,9.94,11.14,9.22,2892700
2000-05-01,11.83,11.83,11.36,11.39,9.43,1897300
2000-05-02,11.28,11.28,10.83,11.0,9.11,854700
2000-05-03,10.89,11.11,10.64,10.75,8.9,593100
2000-05-04,10.92,10.92,10.61,10.64,8.81,992200
2000-05-05,10.53,10.61,10.44,10.53,8.72,927000
2000-05-08,10.67,10.89,10.64,10.81,8.95,714300
2000-05-09,10.58,10.78,10.53,10.75,8.9,606700
2000-05-10,10.81,10.83,10.25,10.42,8.62,749700
2000-05-11,10.39,10.58,10.33,10.36,8.58,1298400
2000-05-12,10.39,10.97,10.22,10.75,8.9,2176300
2000-05-15,10.81,11.17,10.78,11.06,9.15,883000
2000-05-16,11.17,11.36,11.17,11.17,9.24,512500
2000-05-17,11.17,11.22,10.94,11.17,9.24,452800
2000-05-18,11.25,11.56,11.25,11.39,9.43,554500
2000-05-19,11.28,11.33,11.03,11.11,9.2,425400
2000-05-22,11.14,11.53,11.14,11.53,9.54,795300
2000-05-23,11.58,11.67,11.42,11.61,9.61,529300
2000-05-24,11.89,12.22,11.83,12.08,10.0,1042300
2000-05-25,12.14,12.28,11.47,11.69,9.68,540100
2000-05-26,11.81,12.14,11.36,11.67,9.66,915700
2000-05-30,11.72,11.83,11.58,11.72,9.7,392800
2000-05-31,11.81,12.33,11.78,12.08,10.0,760600
2000-06-01,12.22,12.61,12.08,12.58,10.42,966300
2000-06-02,12.67,12.78,12.22,12.31,10.19,512200
2000-06-05,12.42,12.42,12.11,12.14,10.05,558600
2000-06-06,12.44,12.44,12.14,12.19,10.09,908700
2000-06-07,12.25,12.67,12.25,12.44,10.3,727800
2000-06-08,12.33,12.33,11.92,11.97,9.91,293500
2000-06-09,12.06,12.19,12.0,12.08,10.0,278500
2000-06-12,12.31,12.39,11.81,11.94,9.89,539200
2000-06-13,11.92,12.28,11.92,12.17,10.07,423000
2000-06-14,12.14,12.25,12.0,12.06,9.98,913500
2000-06-15,12.06,12.08,11.56,11.67,9.66,1298200
2000-06-16,11.56,11.61,11.5,11.5,9.52,981100
2000-06-19,11.53,11.53,11.17,11.44,9.47,982300
2000-06-20,11.33,11.36,10.83,10.92,9.04,890500
2000-06-21,10.86,11.08,10.78,11.0,9.11,1504500
2000-06-22,11.11,11.11,10.67,10.86,8.99,673200
2000-06-23,10.97,11.33,10.97,11.11,9.2,1343800
2000-06-26,11.22,11.28,11.0,11.14,9.22,490200
2000-06-27,11.25,11.5,11.19,11.33,9.38,898300
2000-06-28,11.39,11.56,11.33,11.37,9.41,605700
2000-06-29,11.28,11.5,11.22,11.44,9.47,661900
2000-06-30,11.56,11.56,10.86,10.97,9.08,814600
2000-07-03,11.06,11.39,10.94,11.36,9.4,335800
2000-07-05,11.11,11.56,11.06,11.14,9.25,550300
2000-07-06,11.17,11.44,11.14,11.42,9.48,511800
2000-07-07,11.53,11.72,11.39,11.58,9.62,897300
2000-07-10,11.58,11.58,11.19,11.33,9.42,431100
2000-07-11,11.39,11.61,11.17,11.47,9.53,606600
2000-07-12,11.5,11.92,11.5,11.69,9.72,1048200
2000-07-13,11.78,11.78,11.33,11.56,9.6,650400
2000-07-14,11.5,11.86,11.5,11.83,9.83,363100
2000-07-17,11.89,11.89,11.17,11.28,9.37,1018500
2000-07-18,11.19,11.25,10.83,11.14,9.25,1043500
2000-07-19,11.06,11.11,10.86,10.86,9.02,955800
2000-07-20,10.86,11.0,10.78,10.89,9.05,1858600
2000-07-21,10.89,11.17,10.86,11.0,9.14,838900
2000-07-24,11.0,11.08,10.86,10.89,9.05,665500
2000-07-25,10.94,11.28,10.69,11.17,9.28,870700
2000-07-26,11.22,11.61,11.11,11.36,9.44,1512000
2000-07-27,11.39,11.64,11.36,11.47,9.53,704400
2000-07-28,11.56,11.58,11.08,11.14,9.25,708900
2000-07-31,11.03,11.47,11.03,11.06,9.18,1134900
2000-08-01,11.17,11.56,11.17,11.5,9.55,692700
2000-08-02,11.47,11.56,11.14,11.33,9.42,586300
2000-08-03,11.33,11.56,11.06,11.06,9.18,983700
