Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,24.44,24.88,24.19,24.81,12.8,150500
2000-01-03,24.88,24.88,23.69,24.06,12.41,602300
2000-01-04,24.0,24.06,23.56,23.81,12.29,397200
2000-01-05,23.81,24.0,23.69,23.69,12.22,234900
2000-01-06,23.69,24.0,23.5,23.69,12.22,298400
2000-01-07,23.94,25.38,23.94,25.25,13.03,512400
2000-01-10,25.12,25.19,24.25,24.94,12.87,486800
2000-01-11,25.31,25.38,24.38,24.56,12.67,649500
2000-01-12,24.75,25.5,24.12,24.38,12.58,1105000
2000-01-13,24.44,25.56,24.12,24.94,12.87,561900
2000-01-14,24.38,25.38,24.19,24.75,12.77,510000
2000-01-18,24.88,25.19,24.56,24.81,12.8,308400
2000-01-19,24.94,25.5,24.69,25.06,12.93,321600
2000-01-20,25.12,25.12,24.0,24.31,12.54,309400
2000-01-21,24.62,24.62,24.06,24.19,12.48,450800
2000-01-24,24.44,24.75,24.06,24.06,12.41,250800
2000-01-25,24.12,24.62,23.62,23.69,12.22,748600
2000-01-26,23.69,23.69,23.0,23.19,11.96,849200
2000-01-27,23.31,23.5,23.0,23.0,11.87,435400
2000-01-28,23.06,23.25,22.69,22.75,11.74,519100
2000-01-31,22.88,24.81,22.81,24.12,12.45,659400
2000-02-01,24.0,24.06,22.75,23.06,11.9,452300
2000-02-02,23.06,23.25,22.81,23.0,11.87,507000
2000-02-03,23.0,23.62,22.75,23.12,11.93,331000
2000-02-04,23.06,23.31,22.5,22.75,11.74,316800
2000-02-07,22.75,23.31,22.5,22.94,11.83,286700
2000-02-08,22.88,23.31,22.75,22.75,11.74,352300
2000-02-09,22.75,22.94,22.38,22.5,11.61,344900
2000-02-10,22.5,22.75,21.56,22.12,11.41,523700
2000-02-11,22.12,22.5,21.38,21.62,11.16,439900
2000-02-14,21.69,22.38,21.62,22.06,11.38,425600
2000-02-15,22.19,22.44,21.81,22.44,11.58,363200
2000-02-16,22.38,22.62,22.25,22.31,11.51,285200
2000-02-17,22.38,22.44,22.25,22.31,11.51,425800
2000-02-18,22.31,22.44,22.19,22.38,11.54,582200
2000-02-22,22.5,22.69,22.25,22.69,11.7,409600
2000-02-23,22.44,22.62,21.94,22.06,11.38,509900
2000-02-24,22.06,22.12,21.5,21.81,11.25,895500
2000-02-25,22.0,22.12,21.44,21.75,11.22,449500
2000-02-28,22.0,22.25,21.5,22.06,11.38,392200
2000-02-29,22.31,22.69,21.56,22.56,11.64,435100
2000-03-01,22.25,22.31,21.25,21.94,11.46,457500
2000-03-02,22.0,22.06,21.31,21.81,11.39,562900
2000-03-03,21.62,22.06,21.38,21.88,11.42,354100
2000-03-06,21.62,21.88,21.0,21.31,11.13,569500
2000-03-07,21.06,21.06,20.12,20.31,10.61,426200
2000-03-08,20.06,20.94,19.94,20.75,10.84,505800
2000-03-09,20.75,20.75,20.56,20.56,10.74,415800
2000-03-10,20.5,20.94,20.5,20.69,10.8,492500
2000-03-13,20.5,21.5,20.44,21.06,11.0,536500
2000-03-14,21.0,21.06,20.25,20.38,10.64,801300
2000-03-15,20.62,22.19,20.56,22.0,11.49,582300
2000-03-16,22.25,23.88,22.06,23.38,12.21,744100
2000-03-17,24.12,24.12,23.19,23.75,12.4,857400
2000-03-20,23.75,23.75,23.06,23.31,12.18,333500
2000-03-21,23.5,23.56,23.06,23.5,12.27,382500
2000-03-22,23.5,23.75,23.12,23.39,12.22,476900
2000-03-23,23.5,24.25,23.31,23.67,12.36,359600
2000-03-24,23.5,23.56,23.19,23.25,12.14,788300
2000-03-27,23.19,23.75,23.12,23.5,12.27,352300
2000-03-28,23.19,23.62,23.12,23.25,12.14,337900
2000-03-29,23.12,23.44,23.06,23.25,12.14,400700
2000-03-30,23.25,23.75,23.06,23.56,12.31,317000
2000-03-31,23.31,23.94,23.25,23.88,12.47,341900
2000-04-03,23.88,24.31,23.56,24.19,12.63,368400
2000-04-04,24.75,24.81,23.31,24.31,12.7,504700
2000-04-05,24.5,24.5,24.06,24.31,12.7,357200
2000-04-06,24.56,24.75,24.0,24.5,12.8,267200
2000-04-07,24.12,24.81,23.94,24.0,12.53,264100
2000-04-10,24.25,24.75,23.94,24.25,12.67,233100
2000-04-11,24.38,25.25,24.0,25.12,13.12,468300
2000-04-12,25.0,25.5,24.12,24.69,12.89,715300
2000-04-13,24.62,25.19,24.5,24.56,12.83,535200
2000-04-14,24.31,24.75,23.75,23.94,12.5,644700
2000-04-17,24.0,24.75,23.94,24.56,12.83,582100
2000-04-18,24.56,24.75,24.12,24.75,12.93,250700
2000-04-19,24.56,25.0,24.25,24.69,12.89,342100
2000-04-20,25.0,25.06,24.69,24.75,12.93,321200
2000-04-24,25.0,25.44,24.75,25.25,13.19,241100
2000-04-25,25.12,26.31,25.12,26.25,13.71,414500
2000-04-26,26.12,26.5,25.94,26.31,13.74,499200
2000-04-27,26.44,26.44,26.0,26.06,13.61,533500
2000-04-28,26.06,26.44,25.94,26.25,13.71,500600
2000-05-01,26.06,26.69,26.0,26.44,13.81,278700
2000-05-02,26.44,26.62,26.19,26.25,13.71,230000
2000-05-03,26.31,26.38,25.94,26.06,13.61,364500
2000-05-04,26.25,26.62,25.88,26.0,13.58,333900
2000-05-05,26.12,26.25,25.56,25.56,13.35,280500
2000-05-08,25.62,26.25,25.38,25.94,13.55,180100
2000-05-09,26.19,26.19,25.25,25.75,13.45,211100
2000-05-10,25.5,26.0,25.0,25.44,13.29,232600
2000-05-11,25.38,25.81,25.38,25.5,13.32,270700
2000-05-12,25.5,25.75,25.06,25.62,13.38,403900
2000-05-15,25.44,25.69,25.31,25.44,13.29,191900
2000-05-16,25.19,26.25,25.19,25.94,13.55,240100
2000-05-17,25.69,25.69,25.06,25.31,13.22,235500
2000-05-18,25.25,25.69,25.0,25.12,13.12,494800
2000-05-19,24.88,25.19,24.75,25.12,13.12,465600
2000-05-22,25.19,25.5,25.0,25.06,13.09,293100
2000-05-23,25.06,25.31,25.0,25.0,13.06,229900
2000-05-24,25.25,25.81,25.12,25.44,13.29,437700
2000-05-25,25.19,25.31,24.75,25.12,13.12,376800
2000-05-26,24.88,25.0,24.12,24.31,12.7,404300
2000-05-30,24.31,24.81,24.31,24.62,12.86,375900
2000-05-31,24.75,24.75,23.88,23.88,12.47,705300
