Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.25,46.25,44.62,46.0,30.99,1112200.0
2000-01-03,44.38,44.69,41.81,43.12,29.05,3908500.0
2000-01-04,42.88,42.88,41.44,41.56,28.0,2468700.0
2000-01-05,40.0,40.0,39.12,39.75,26.78,4486200.0
2000-01-06,43.88,45.0,43.0,44.44,29.94,5454800.0
2000-01-07,45.06,46.75,44.5,46.56,31.37,3577200.0
2000-01-10,47.44,48.0,47.0,47.75,32.17,3890400.0
2000-01-11,48.0,49.88,48.0,49.44,33.31,4715900.0
2000-01-12,49.25,50.31,48.31,49.94,33.64,4199800.0
2000-01-13,49.38,49.62,48.31,49.19,33.14,3074200.0
2000-01-14,48.56,48.75,47.69,47.81,32.21,2287700.0
2000-01-18,47.25,47.88,46.94,47.81,32.21,2388800.0
2000-01-19,47.62,48.25,47.44,47.81,32.21,2728600.0
2000-01-20,47.81,47.81,46.38,47.0,31.66,2087000.0
2000-01-21,46.75,46.94,45.06,45.12,30.4,2085800.0
2000-01-24,45.19,45.5,42.31,42.56,28.68,2469000.0
2000-01-25,43.12,44.44,43.0,44.31,29.85,2815900.0
2000-01-26,44.19,45.94,43.75,45.12,30.4,2446600.0
2000-01-27,46.0,46.19,44.12,45.0,30.32,2130200.0
2000-01-28,44.44,45.31,43.44,43.5,29.31,2666600.0
2000-01-31,43.62,44.94,42.75,44.69,30.11,2555100.0
2000-02-01,44.94,46.62,44.88,46.0,30.99,2413800.0
2000-02-02,45.62,47.44,44.94,46.81,31.54,1648300.0
2000-02-03,49.88,53.5,49.69,52.88,35.62,8402700.0
2000-02-04,53.06,53.75,51.56,51.69,34.82,5117300.0
2000-02-07,50.12,50.81,48.25,50.0,33.69,3890300.0
2000-02-08,50.44,50.5,49.62,50.06,33.73,2552700.0
2000-02-09,49.81,50.19,49.19,49.19,33.14,1885300.0
2000-02-10,49.44,49.88,48.38,49.0,33.01,1661100.0
2000-02-11,48.25,48.94,47.62,48.56,32.72,1272100.0
2000-02-14,48.62,50.25,48.56,50.12,33.77,1527800.0
2000-02-15,50.25,50.81,49.69,50.69,34.15,1980500.0
2000-02-16,49.69,49.69,48.44,49.0,33.01,2851300.0
2000-02-17,49.19,49.25,41.06,42.12,28.38,5680300.0
2000-02-18,42.12,43.44,41.06,43.0,28.97,7828000.0
2000-02-22,43.12,44.88,43.06,44.69,30.11,3167400.0
2000-02-23,44.19,44.25,42.88,42.94,28.94,3262200.0
2000-02-24,42.81,42.94,41.56,42.94,28.94,5456300.0
2000-02-25,44.81,47.69,44.31,46.81,31.55,4504800.0
2000-02-28,46.44,46.94,45.62,46.12,31.09,2128100.0
2000-02-29,46.56,48.38,46.12,48.31,32.57,2151700.0
