Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,91.94,94.81,91.5,94.19,75.9,383500
2000-01-03,94.19,94.38,87.75,88.31,71.16,1822600
2000-01-04,87.0,87.5,82.25,82.75,66.68,1647700
2000-01-05,80.88,81.88,78.38,78.88,63.56,1516600
2000-01-06,78.62,84.5,78.62,82.25,66.28,1845100
2000-01-07,83.06,83.19,79.88,82.56,66.53,1127400
2000-01-10,81.75,84.88,81.75,84.38,67.99,803100
2000-01-11,85.0,86.25,84.56,84.81,68.34,808600
2000-01-12,84.12,86.0,83.38,84.38,67.99,916100
2000-01-13,85.12,85.12,82.88,84.5,68.09,711000
2000-01-14,85.5,86.94,85.31,85.62,69.0,607000
2000-01-18,85.0,89.12,84.75,86.88,70.0,1095700
2000-01-19,86.88,89.38,86.75,87.56,70.56,636900
2000-01-20,87.0,87.94,84.88,85.94,69.34,621800
2000-01-21,86.19,86.19,84.56,85.69,69.14,542500
2000-01-24,87.5,87.5,81.5,81.75,65.96,712900
2000-01-25,83.0,84.19,82.38,83.88,67.68,749300
2000-01-26,84.12,88.5,84.12,88.25,71.21,1086600
2000-01-27,88.25,89.94,87.62,89.0,71.81,702000
2000-01-28,87.5,88.0,86.12,87.0,70.2,776800
2000-01-31,87.0,91.69,86.5,91.62,73.93,801800
2000-02-01,92.88,93.0,90.5,91.25,73.63,813100
2000-02-02,90.75,91.62,88.62,91.12,73.53,964700
2000-02-03,90.0,91.12,84.81,85.38,68.89,2213300
2000-02-04,87.25,87.25,83.56,84.69,68.33,1451700
2000-02-07,84.44,86.5,83.5,85.75,69.19,929800
2000-02-08,85.75,89.62,85.75,89.44,72.17,1024800
2000-02-09,89.44,89.44,86.56,86.75,70.0,397100
2000-02-10,86.75,87.31,85.5,86.62,69.9,503200
2000-02-11,86.44,88.75,85.0,85.12,68.69,856900
2000-02-14,85.12,86.88,84.62,86.5,69.8,627800
2000-02-15,86.25,86.62,85.12,86.5,69.8,542400
2000-02-16,86.75,87.31,82.88,82.94,66.92,720300
2000-02-17,84.75,84.75,81.12,82.12,66.27,895500
