Date,Open,High,Low,Close,Adj Close,Volume
2006-09-06,4.95,5.34,4.89,5.28,4.58,30584000
2006-09-07,5.28,5.71,5.14,5.53,4.79,21539200
2006-09-08,5.48,5.68,5.4,5.51,4.78,15618000
2006-09-11,5.38,5.49,5.38,5.43,4.71,20751600
2006-09-12,5.42,5.51,5.36,5.48,4.75,9154000
2006-09-13,5.5,5.8,5.5,5.64,4.89,12278800
2006-09-14,5.56,5.62,5.42,5.45,4.73,5515200
2006-09-15,5.43,5.46,5.3,5.32,4.61,8064000
2006-09-18,5.38,5.44,5.32,5.41,4.7,3601600
2006-09-19,5.39,5.62,5.31,5.35,4.64,3788800
2006-09-20,5.34,5.57,5.34,5.55,4.81,2536800
2006-09-21,5.43,5.5,5.42,5.44,4.72,2767600
2006-09-22,5.44,5.55,5.41,5.53,4.8,1448800
2006-09-25,5.48,5.63,5.46,5.57,4.83,3204000
2006-09-26,5.6,5.62,5.57,5.59,4.85,1690000
2006-09-27,5.47,5.67,5.45,5.65,4.9,4552400
2006-09-28,5.59,5.73,5.57,5.61,4.87,2999600
2006-09-29,5.64,5.66,5.55,5.63,4.88,3173200
2006-10-02,5.59,5.65,5.57,5.62,4.88,2194000
2006-10-03,5.64,5.68,5.58,5.63,4.88,2680400
2006-10-04,5.6,5.77,5.56,5.68,4.92,2998800
2006-10-05,5.65,5.82,5.65,5.79,5.02,4523200
2006-10-06,5.76,5.78,5.69,5.73,4.97,1599200
2006-10-09,5.7,5.78,5.66,5.74,4.98,993600
2006-10-10,5.63,5.71,5.6,5.67,4.92,3932000
2006-10-11,5.68,5.69,5.59,5.66,4.91,3731200
2006-10-12,5.84,5.87,5.72,5.75,4.99,6095200
2006-10-13,5.77,5.86,5.77,5.84,5.06,4036400
2006-10-16,5.84,5.84,5.75,5.75,4.99,1898400
2006-10-17,5.75,5.76,5.7,5.7,4.94,2042800
2006-10-18,5.72,5.76,5.68,5.75,4.98,2838800
2006-10-19,5.75,5.78,5.69,5.75,4.99,1372800
2006-10-20,5.75,5.84,5.75,5.81,5.04,722400
2006-10-23,5.81,5.92,5.81,5.89,5.11,2190800
2006-10-24,5.82,5.95,5.78,5.95,5.16,1939200
2006-10-25,5.93,6.04,5.91,5.95,5.16,2170400
2006-10-26,5.95,6.12,5.93,6.07,5.26,2729600
2006-10-27,6.06,6.12,6.04,6.11,5.3,2366000
2006-10-30,6.06,6.15,6.0,6.06,5.26,2126800
2006-10-31,5.88,5.98,5.76,5.9,5.12,5304000
2006-11-01,5.84,5.86,5.72,5.76,4.99,2341200
2006-11-02,5.75,5.91,5.62,5.89,5.11,2562000
2006-11-03,5.82,5.88,5.71,5.74,4.98,2596800
2006-11-06,5.7,5.75,5.68,5.7,4.94,3257200
2006-11-07,5.67,5.73,5.55,5.58,4.84,2862000
2006-11-08,5.5,5.59,5.43,5.53,4.8,3322800
2006-11-09,5.52,5.56,5.5,5.53,4.8,2870800
2006-11-10,5.59,5.64,5.5,5.63,4.88,2338400
2006-11-13,5.63,5.71,5.6,5.64,4.89,1491600
2006-11-14,5.62,5.9,5.62,5.87,5.09,2555200
2006-11-15,6.0,6.01,5.86,5.95,5.16,2912000
2006-11-16,5.96,6.04,5.93,6.01,5.21,2921600
2006-11-17,6.01,6.01,5.95,6.0,5.2,2610800
2006-11-20,6.0,6.09,5.96,6.07,5.26,2311600
2006-11-21,6.04,6.09,6.0,6.04,5.24,1254400
2006-11-22,6.06,6.16,6.03,6.12,5.31,2896400
2006-11-24,6.09,6.11,6.02,6.11,5.3,581200
2006-11-27,6.09,6.09,5.95,6.01,5.21,1120800
2006-11-28,5.99,6.03,5.93,6.01,5.21,2980800
2006-11-29,5.97,6.03,5.97,6.0,5.2,1025200
2006-11-30,6.05,6.14,6.0,6.1,5.29,5052000
2006-12-01,6.11,6.19,6.04,6.18,5.36,2306000
2006-12-04,6.0,6.02,5.89,5.97,5.18,4436000
2006-12-05,5.99,6.05,5.97,6.02,5.22,955200
2006-12-06,6.04,6.05,5.94,5.98,5.19,1823200
2006-12-07,5.98,6.07,5.94,5.96,5.17,1774400
2006-12-08,5.95,6.03,5.87,5.93,5.14,1918400
2006-12-11,5.91,6.0,5.82,5.99,5.2,2202000
2006-12-12,5.52,6.0,5.52,5.95,5.16,1162000
2006-12-13,5.94,6.02,5.92,6.01,5.21,991200
2006-12-14,6.05,6.06,5.95,5.98,5.18,3572800
2006-12-15,5.99,6.03,5.92,5.93,5.14,3381600
2006-12-18,5.94,5.96,5.83,5.89,5.11,1520400
2006-12-19,5.86,5.87,5.72,5.78,5.02,2048800
2006-12-20,5.78,5.86,5.78,5.86,5.08,1110000
2006-12-21,5.86,5.89,5.69,5.74,4.98,1804000
2006-12-22,5.73,5.89,5.72,5.84,5.06,889200
2006-12-26,5.82,5.93,5.82,5.9,5.12,787600
2006-12-27,5.91,6.0,5.91,5.96,5.17,782400
2006-12-28,5.96,6.01,5.9,6.0,5.21,1501600
2006-12-29,6.01,6.01,5.89,5.91,5.12,947200
2007-01-03,5.93,6.04,5.92,6.01,5.21,3182400
2007-01-04,5.99,6.06,5.95,6.02,5.22,1463600
2007-01-05,6.01,6.1,5.95,6.06,5.25,1504800
2007-01-08,6.05,6.2,6.04,6.2,5.38,1513600
2007-01-09,6.18,6.22,6.11,6.17,5.35,916800
2007-01-10,6.14,6.19,6.09,6.18,5.35,1479200
2007-01-11,6.19,6.23,6.16,6.23,5.4,1178400
2007-01-12,6.24,6.34,6.23,6.3,5.47,1158000
2007-01-16,6.31,6.44,6.3,6.43,5.57,2068400
2007-01-17,6.4,6.41,6.37,6.4,5.55,1318400
2007-01-18,6.38,6.44,6.32,6.41,5.56,1574800
2007-01-19,6.39,6.4,6.31,6.37,5.52,1012800
2007-01-22,6.32,6.38,6.23,6.37,5.52,1385600
2007-01-23,6.34,6.41,6.32,6.39,5.54,1312400
2007-01-24,6.38,6.5,6.34,6.49,5.62,2431200
2007-01-25,6.49,6.51,6.45,6.45,5.6,894000
2007-01-26,6.46,6.5,6.39,6.47,5.61,1055600
2007-01-29,6.46,6.5,6.36,6.44,5.59,1300000
2007-01-30,6.46,6.47,6.41,6.44,5.58,992000
2007-01-31,6.43,6.44,6.36,6.39,5.55,1929600
2007-02-01,6.3,6.34,6.14,6.29,5.45,4252400
2007-02-02,6.23,6.39,6.23,6.33,5.49,1593200
2007-02-05,6.31,6.39,6.24,6.28,5.44,4002000
2007-02-06,6.28,6.32,6.25,6.25,5.42,1961200
2007-02-07,6.26,6.36,6.24,6.28,5.44,1640000
2007-02-08,6.26,6.31,6.23,6.27,5.44,1783200
2007-02-09,6.26,6.34,6.26,6.3,5.46,1010800
2007-02-12,6.3,6.49,6.3,6.49,5.62,1383600
2007-02-13,6.5,6.62,6.47,6.58,5.71,1582000
2007-02-14,6.59,6.66,6.59,6.66,5.78,1328400
2007-02-15,6.68,6.72,6.62,6.69,5.8,1344400
2007-02-16,6.67,6.73,6.66,6.7,5.81,1002800
2007-02-20,6.68,6.75,6.65,6.68,5.79,1356000
2007-02-21,6.64,6.8,6.64,6.78,5.88,1059600
2007-02-22,6.79,6.81,6.74,6.76,5.86,1265600
2007-02-23,6.74,6.8,6.73,6.77,5.87,2868800
2007-02-26,6.75,6.87,6.74,6.86,5.94,2458000
2007-02-27,6.78,6.88,6.75,6.88,5.96,2372000
2007-02-28,6.87,7.19,6.83,7.15,6.2,3478800
2007-03-01,7.09,7.15,6.95,7.09,6.15,3306000
2007-03-02,7.03,7.16,6.99,7.0,6.07,2272400
2007-03-05,6.94,6.95,6.79,6.79,5.89,6603200
