Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.62,10.93,10.62,10.87,3.12,158100
2000-01-03,10.87,10.93,10.5,10.9,3.13,369100
2000-01-04,10.76,11.01,10.53,10.87,3.12,454100
2000-01-05,10.76,11.13,10.76,11.07,3.18,282800
2000-01-06,11.1,11.56,11.1,11.47,3.3,424000
2000-01-07,11.41,11.73,11.38,11.73,3.37,364500
2000-01-10,11.7,11.84,11.58,11.78,3.39,463100
2000-01-11,11.78,11.81,11.58,11.64,3.34,277100
2000-01-12,11.73,11.84,11.64,11.75,3.38,358100
2000-01-13,11.75,11.9,11.7,11.84,3.4,401400
2000-01-14,11.78,11.81,11.73,11.75,3.38,228100
2000-01-18,11.64,11.73,11.44,11.47,3.3,388600
2000-01-19,11.41,11.73,11.41,11.67,3.35,194100
2000-01-20,11.67,11.81,11.61,11.73,3.37,227000
2000-01-21,11.64,11.84,11.64,11.84,3.4,266300
2000-01-24,11.73,11.81,11.61,11.64,3.34,287600
2000-01-25,11.67,11.81,11.61,11.73,3.37,160300
2000-01-26,11.67,11.75,11.61,11.73,3.37,245700
2000-01-27,11.73,11.87,11.73,11.81,3.39,280400
2000-01-28,11.9,11.9,11.5,11.53,3.31,225000
2000-01-31,11.53,11.75,11.53,11.64,3.34,312900
2000-02-01,11.33,11.46,11.13,11.38,3.37,454300
2000-02-02,11.33,11.47,11.3,11.44,3.38,274200
2000-02-03,11.44,11.5,11.33,11.41,3.37,227500
2000-02-04,11.36,11.44,11.3,11.44,3.38,209700
2000-02-07,11.38,11.47,11.38,11.38,3.37,281700
2000-02-08,11.38,11.44,11.36,11.41,3.37,315300
2000-02-09,11.38,11.56,11.36,11.38,3.37,211400
2000-02-10,11.44,11.47,11.38,11.41,3.37,158700
2000-02-11,11.38,11.41,11.27,11.27,3.33,247700
2000-02-14,11.16,11.19,11.04,11.07,3.27,220200
2000-02-15,11.19,11.19,10.93,11.13,3.29,464600
2000-02-16,11.04,11.07,10.84,11.01,3.26,247900
2000-02-17,11.07,11.38,11.04,11.33,3.35,185500
2000-02-18,11.3,11.41,11.16,11.16,3.3,184900
2000-02-22,11.44,11.44,11.13,11.24,3.32,167100
2000-02-23,11.16,11.19,10.96,11.04,3.26,276900
2000-02-24,11.16,11.16,10.76,10.79,3.19,245000
2000-02-25,10.87,11.21,10.87,11.1,3.28,196300
2000-02-28,10.99,11.36,10.99,11.33,3.35,270300
2000-02-29,11.21,11.41,11.13,11.33,3.35,274700
2000-03-01,11.3,11.36,11.04,11.19,3.31,88200
2000-03-02,11.19,11.3,11.1,11.24,3.32,99600
2000-03-03,11.24,11.33,11.16,11.24,3.32,133500
2000-03-06,11.13,11.3,11.04,11.19,3.31,160700
2000-03-07,11.16,11.24,11.04,11.16,3.3,209200
2000-03-08,11.13,11.33,10.96,11.21,3.32,177400
2000-03-09,11.16,11.24,11.13,11.21,3.32,146600
2000-03-10,11.19,11.3,11.1,11.16,3.3,252700
2000-03-13,11.04,11.3,11.04,11.19,3.31,283500
2000-03-14,11.1,11.24,11.1,11.19,3.31,216500
2000-03-15,11.13,11.36,11.13,11.3,3.34,197200
2000-03-16,11.3,11.78,11.21,11.61,3.43,309100
2000-03-17,11.56,11.73,11.53,11.73,3.47,160900
2000-03-20,11.61,11.78,11.61,11.75,3.48,162700
2000-03-21,11.64,11.78,11.61,11.78,3.48,142900
2000-03-22,11.56,11.78,11.56,11.64,3.44,177400
2000-03-23,11.47,11.7,11.41,11.61,3.43,259100
2000-03-24,11.5,11.73,11.47,11.61,3.43,148000
