Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,67.44,69.75,67.25,68.75,46.53,3097800
2000-01-03,68.62,69.19,63.81,65.19,44.12,12030800
2000-01-04,64.0,64.31,61.25,61.75,41.79,8774500
2000-01-05,61.75,63.0,61.0,63.0,42.64,6931400
2000-01-06,61.62,62.0,60.0,60.0,40.61,6603400
2000-01-07,61.75,63.5,60.75,63.5,42.98,6201600
2000-01-10,62.0,63.56,62.0,63.19,42.77,5453000
2000-01-11,63.44,63.62,61.25,61.56,41.67,4371500
2000-01-12,61.56,62.06,60.69,61.06,41.33,4599400
2000-01-13,62.12,62.5,61.5,62.12,42.05,4538900
2000-01-14,62.38,62.44,61.19,61.94,41.92,4578000
2000-01-18,61.25,61.25,60.12,60.5,40.95,5322000
2000-01-19,60.12,62.44,60.12,61.88,41.88,5176400
2000-01-20,61.56,61.75,59.88,60.81,41.16,7213400
2000-01-21,61.5,61.5,59.44,60.0,40.61,6682900
2000-01-24,60.94,60.94,56.69,58.0,39.26,7339600
2000-01-25,57.0,57.12,54.88,56.12,37.99,10252400
2000-01-26,55.94,57.69,55.06,57.38,38.83,8468400
2000-01-27,57.88,59.5,56.19,58.25,39.43,6915900
2000-01-28,57.0,57.44,55.5,55.62,37.65,7425100
2000-01-31,56.5,56.81,55.06,56.62,38.33,5958600
2000-02-01,56.94,62.0,56.81,62.0,41.96,10950500
2000-02-02,61.0,61.5,59.62,60.75,41.12,5862100
2000-02-03,60.5,60.62,59.0,60.5,40.95,4008800
2000-02-04,61.0,61.5,60.31,61.12,41.37,4063900
2000-02-07,61.0,61.0,59.0,59.0,39.93,3796600
2000-02-08,59.75,61.44,59.56,61.0,41.29,4501700
2000-02-09,61.31,61.31,58.75,58.75,39.76,5289700
2000-02-10,59.0,59.94,58.38,59.56,40.31,3644900
2000-02-11,59.5,60.5,59.19,60.06,40.65,4647100
2000-02-14,59.5,60.5,59.44,60.31,40.82,3173900
2000-02-15,60.06,60.19,59.06,59.75,40.44,3531100
2000-02-16,58.75,59.38,55.75,57.25,38.75,6829800
2000-02-17,57.25,57.44,53.56,54.5,36.89,10785700
2000-02-18,54.56,55.81,52.81,53.75,36.38,10402700
2000-02-22,54.12,55.56,53.12,53.62,36.29,8019200
2000-02-23,54.19,55.0,52.88,54.81,37.1,6533700
2000-02-24,54.94,55.19,52.62,53.06,35.91,7763600
2000-02-25,53.5,54.25,52.75,53.0,35.87,6155600
2000-02-28,53.75,56.88,52.94,56.81,38.45,8120100
2000-02-29,57.44,58.44,56.81,57.5,38.92,7119900
2000-03-01,57.81,58.31,54.31,55.62,37.65,6504000
2000-03-02,55.56,56.25,54.19,55.12,37.31,5352000
2000-03-03,55.5,55.81,54.38,54.5,36.89,5832800
