Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.79,18.92,18.58,18.92,14.52,183300.0
2000-01-03,18.88,18.92,18.04,18.17,13.94,933600.0
2000-01-04,18.17,18.21,17.67,17.81,13.67,1185000.0
2000-01-05,17.71,17.83,17.54,17.67,13.56,2403000.0
2000-01-06,17.83,18.23,17.75,18.04,13.85,4519500.0
2000-01-07,18.25,18.81,18.25,18.81,14.44,1800600.0
2000-01-10,18.75,18.75,18.46,18.58,14.26,801600.0
2000-01-11,18.52,18.67,18.27,18.44,14.15,1033500.0
2000-01-12,18.5,18.81,18.29,18.31,14.05,1707000.0
2000-01-13,18.5,19.17,18.5,18.94,14.53,1754100.0
2000-01-14,18.96,19.1,18.75,19.02,14.6,1987800.0
2000-01-18,19.06,19.46,19.02,19.25,14.77,1319400.0
2000-01-19,19.38,19.42,19.15,19.4,14.89,2138100.0
2000-01-20,19.33,19.42,18.88,19.15,14.69,1174500.0
2000-01-21,19.33,19.67,19.31,19.52,14.98,3004800.0
2000-01-24,19.88,19.92,18.9,18.98,14.57,2499000.0
2000-01-25,18.62,18.96,18.33,18.65,14.31,2165700.0
2000-01-26,18.65,18.92,18.06,18.1,13.89,1545000.0
2000-01-27,18.19,18.42,17.67,17.88,13.72,1252200.0
2000-01-28,17.77,17.92,17.52,17.58,13.49,966300.0
2000-01-31,17.62,17.81,17.52,17.73,13.61,708300.0
2000-02-01,17.79,17.85,17.48,17.6,13.51,614400.0
2000-02-02,17.69,17.9,17.46,17.67,13.56,1350000.0
2000-02-03,17.71,17.71,17.17,17.31,13.29,1580100.0
2000-02-04,17.46,17.46,17.17,17.33,13.3,1376400.0
2000-02-07,17.33,17.54,17.27,17.42,13.37,2233500.0
2000-02-08,17.46,17.52,17.04,17.1,13.13,1460700.0
2000-02-09,17.17,17.25,16.52,16.62,12.76,1346700.0
2000-02-10,16.62,16.85,16.33,16.75,12.85,2574600.0
2000-02-11,16.67,16.69,15.94,16.08,12.34,1883400.0
2000-02-14,16.17,16.33,16.08,16.29,12.5,1545900.0
2000-02-15,16.67,17.0,16.67,16.81,12.9,1695600.0
2000-02-16,17.0,17.1,16.92,17.02,13.06,1622700.0
2000-02-17,17.21,17.31,17.06,17.17,13.17,1843500.0
2000-02-18,17.25,17.25,16.96,17.08,13.11,2174400.0
2000-02-22,17.08,17.1,16.92,17.0,13.05,1962900.0
2000-02-23,17.0,17.02,16.69,16.75,12.85,1487100.0
2000-02-24,16.77,16.79,16.46,16.56,12.71,1670700.0
2000-02-25,16.56,16.71,16.17,16.25,12.47,2069700.0
2000-02-28,16.25,16.67,16.25,16.62,12.76,1077900.0
2000-02-29,16.71,17.04,16.65,16.85,12.93,1150200.0
2000-03-01,17.12,17.5,17.02,17.31,13.29,2246400.0
2000-03-02,17.54,18.1,17.44,17.77,13.64,1854300.0
2000-03-03,18.17,18.17,17.92,17.94,13.77,1990200.0
2000-03-06,17.94,18.06,17.92,18.0,13.81,1321500.0
2000-03-07,18.0,19.48,17.98,19.25,14.77,2733000.0
2000-03-08,19.33,19.65,18.83,18.83,14.45,3372300.0
2000-03-09,18.83,19.06,18.81,18.98,14.6,2245500.0
2000-03-10,18.96,19.67,18.94,19.08,14.68,1636500.0
2000-03-13,19.0,19.4,18.85,18.92,14.56,1947300.0
2000-03-14,18.92,19.54,18.83,19.33,14.88,2195100.0
2000-03-15,19.25,19.35,18.94,19.23,14.8,1722000.0
2000-03-16,19.23,20.08,19.15,19.42,14.94,2916000.0
2000-03-17,19.54,19.67,19.12,19.25,14.81,2451600.0
2000-03-20,19.33,19.33,18.96,19.0,14.62,1831800.0
2000-03-21,19.04,19.67,19.04,19.54,15.04,1239600.0
2000-03-22,19.67,19.92,19.29,19.31,14.86,1520100.0
2000-03-23,19.48,19.67,19.17,19.19,14.76,1056300.0
2000-03-24,19.29,19.85,19.29,19.65,15.12,1638900.0
2000-03-27,19.65,19.79,19.21,19.35,14.89,1551000.0
2000-03-28,19.5,19.79,19.5,19.62,15.1,1016100.0
2000-03-29,19.71,20.77,19.71,20.52,15.79,3942300.0
2000-03-30,20.79,21.75,20.79,21.52,16.56,3381000.0
2000-03-31,21.67,21.92,21.42,21.54,16.58,2008500.0
2000-04-03,21.54,21.98,21.54,21.62,16.64,1672500.0
2000-04-04,21.54,21.88,21.33,21.56,16.59,2739000.0
2000-04-05,21.48,21.88,20.83,20.83,16.03,2400900.0
2000-04-06,21.0,21.5,21.0,21.33,16.42,1186200.0
2000-04-07,21.33,21.33,20.79,20.88,16.06,1184100.0
2000-04-10,20.85,20.92,20.35,20.83,16.03,1657800.0
2000-04-11,20.85,21.4,20.85,21.08,16.22,1366200.0
2000-04-12,21.23,21.48,21.21,21.25,16.35,1634700.0
2000-04-13,21.33,21.71,21.25,21.42,16.48,1455300.0
2000-04-14,21.38,21.75,21.08,21.12,16.26,1948800.0
2000-04-17,21.12,21.17,20.5,20.67,15.9,1857900.0
2000-04-18,20.67,20.9,20.5,20.67,15.9,1077900.0
2000-04-19,20.75,21.0,20.6,20.92,16.1,1788300.0
2000-04-20,20.92,21.06,20.79,20.92,16.1,876000.0
2000-04-24,21.0,21.22,20.88,21.1,16.24,927300.0
2000-04-25,21.19,21.44,21.1,21.25,16.35,1846800.0
2000-04-26,21.25,21.83,21.21,21.38,16.45,1192200.0
2000-04-27,21.38,21.92,21.35,21.4,16.46,2250900.0
2000-04-28,21.4,21.54,21.04,21.21,16.32,2116200.0
2000-05-01,21.25,21.79,21.25,21.4,16.46,1512000.0
2000-05-02,21.4,21.75,21.31,21.42,16.48,1343100.0
2000-05-03,21.35,21.44,20.67,20.83,16.03,1191600.0
2000-05-04,20.81,21.6,20.77,21.56,16.59,1939200.0
2000-05-05,21.48,21.67,21.29,21.58,16.61,1172700.0
2000-05-08,21.65,22.29,21.52,22.1,17.01,1661100.0
2000-05-09,22.06,22.08,21.81,21.85,16.82,1323300.0
2000-05-10,21.85,22.0,21.62,21.75,16.74,870000.0
2000-05-11,21.52,22.54,21.5,22.44,17.27,2937300.0
2000-05-12,22.71,23.38,22.46,23.38,17.99,3204600.0
2000-05-15,23.29,23.38,23.02,23.27,17.91,1746300.0
2000-05-16,23.19,23.19,22.5,22.6,17.39,1892400.0
2000-05-17,22.6,23.0,22.21,22.83,17.57,1795200.0
2000-05-18,22.88,22.88,22.33,22.42,17.25,2198100.0
