Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.06,47.62,47.0,47.38,31.34,312200
2000-01-03,47.12,47.12,45.06,45.25,29.93,571400
2000-01-04,44.25,44.5,43.31,43.75,28.94,856900
2000-01-05,43.75,44.44,42.44,42.44,28.07,797900
2000-01-06,42.5,43.0,42.25,42.81,28.32,975700
2000-01-07,43.0,45.0,43.0,44.81,29.64,1578200
2000-01-10,45.06,45.06,44.0,44.06,29.14,395800
2000-01-11,43.88,44.62,43.62,44.38,29.35,703900
2000-01-12,44.38,44.62,43.31,43.56,28.81,708800
2000-01-13,43.12,44.0,42.56,43.19,28.57,924700
2000-01-14,43.38,44.06,43.25,43.69,28.9,746200
2000-01-18,43.31,43.31,41.62,41.81,27.66,445700
2000-01-19,40.25,41.06,40.25,40.5,26.79,1199100
2000-01-20,41.0,41.0,39.25,39.44,26.09,955300
2000-01-21,39.69,39.69,37.62,37.94,25.09,848000
2000-01-24,38.0,39.0,38.0,38.69,25.59,1336500
2000-01-25,38.69,39.19,37.75,38.06,25.18,753100
2000-01-26,38.0,39.31,37.25,39.0,25.8,696100
2000-01-27,39.0,39.56,38.31,39.06,25.84,750100
2000-01-28,39.38,39.38,36.88,37.31,24.68,1286100
2000-01-31,37.38,38.5,36.81,38.12,25.22,1228300
2000-02-01,38.12,39.06,37.5,38.81,25.67,577700
2000-02-02,38.81,39.81,38.44,39.56,26.17,607500
2000-02-03,39.06,41.25,39.0,40.75,26.95,1342000
2000-02-04,40.38,41.94,40.25,41.88,27.7,1006000
2000-02-07,40.38,40.56,39.12,39.94,26.42,1282700
2000-02-08,39.69,40.0,37.44,37.5,24.8,641000
2000-02-09,37.75,37.75,35.12,35.38,23.4,1569900
2000-02-10,35.25,35.31,34.06,34.62,22.9,1235200
2000-02-11,34.88,34.94,34.31,34.62,22.9,1579400
2000-02-14,34.62,34.75,33.5,33.75,22.32,972800
2000-02-15,34.0,36.0,33.75,35.31,23.36,1618800
2000-02-16,35.25,35.25,33.25,34.0,22.49,1108200
2000-02-17,34.38,34.5,32.81,34.0,22.49,1123400
2000-02-18,34.0,34.0,32.56,33.06,21.87,830300
2000-02-22,33.0,33.62,32.69,33.0,21.83,1175100
2000-02-23,33.25,33.25,32.5,32.69,21.62,658200
2000-02-24,33.25,33.25,32.19,32.5,21.5,1347800
2000-02-25,32.62,32.88,30.94,31.0,20.5,716600
2000-02-28,31.25,31.81,30.88,31.0,20.66,684000
2000-02-29,31.0,31.38,30.94,31.25,20.83,700400
2000-03-01,31.25,31.88,30.88,31.12,20.75,942400
2000-03-02,31.0,31.0,29.62,30.62,20.41,827500
2000-03-03,30.75,31.06,30.12,31.0,20.66,898900
2000-03-06,31.0,31.06,30.12,31.0,20.66,1069600
2000-03-07,31.0,31.0,29.62,30.0,20.0,1316300
2000-03-08,29.81,30.06,29.38,29.38,19.58,725500
2000-03-09,29.75,30.38,29.56,30.12,20.08,706000
2000-03-10,32.0,32.0,30.25,30.38,20.25,1058800
2000-03-13,30.38,30.38,29.38,29.5,19.66,711100
2000-03-14,29.5,30.25,29.44,30.0,20.0,604200
2000-03-15,31.0,33.69,30.88,33.38,22.25,1356300
2000-03-16,38.0,40.25,37.38,40.25,26.83,1938800
2000-03-17,39.88,39.94,35.38,35.81,23.87,1133300
2000-03-20,36.06,37.0,36.0,36.44,24.29,568100
2000-03-21,36.31,40.0,35.81,40.0,26.66,1641500
2000-03-22,40.25,40.5,39.62,40.12,26.75,1533200
2000-03-23,41.0,42.69,41.0,41.5,27.66,1630000
2000-03-24,41.56,43.75,41.06,43.19,28.79,753900
2000-03-27,42.94,43.31,41.69,42.25,28.16,959000
2000-03-28,42.25,44.0,42.19,42.31,28.21,961700
2000-03-29,43.0,44.44,42.88,43.88,29.25,1096200
2000-03-30,44.12,49.25,44.0,46.38,30.91,1791100
2000-03-31,49.0,54.0,46.75,52.75,35.16,2611100
2000-04-03,52.0,52.0,49.5,51.0,34.0,1852100
2000-04-04,50.88,52.06,48.5,49.88,33.25,1324000
2000-04-05,49.25,49.38,48.5,48.94,32.62,1816400
2000-04-06,49.44,49.69,45.5,47.62,31.75,1628400
2000-04-07,47.88,48.25,46.5,46.56,31.04,591700
2000-04-10,47.25,48.62,47.0,47.69,31.79,747000
2000-04-11,47.44,48.5,47.25,47.38,31.58,696100
2000-04-12,47.38,48.88,47.38,48.38,32.25,1297500
2000-04-13,48.5,48.62,47.06,47.38,31.58,585500
2000-04-14,46.44,46.5,44.25,44.25,29.5,1049600
2000-04-17,44.12,47.56,44.0,46.81,31.21,1107900
2000-04-18,45.0,47.5,44.69,46.62,31.08,876700
2000-04-19,46.38,46.5,44.75,44.94,29.96,790800
2000-04-20,45.0,47.69,44.81,47.44,31.62,745000
2000-04-24,47.38,51.88,47.25,51.88,34.58,1189400
2000-04-25,51.0,53.62,51.0,53.62,35.75,1125400
2000-04-26,53.0,53.12,49.88,51.12,34.08,892600
2000-04-27,51.12,52.62,49.5,49.94,33.29,1183500
2000-04-28,50.0,53.25,49.5,52.06,34.71,993700
2000-05-01,52.44,55.12,52.44,54.69,36.46,1117200
2000-05-02,54.75,55.12,52.75,54.0,36.0,697100
2000-05-03,52.88,53.69,51.81,51.94,34.62,493100
2000-05-04,52.19,52.75,51.12,51.25,34.16,737300
2000-05-05,51.0,52.06,50.06,51.44,34.29,406800
2000-05-08,52.44,53.25,52.0,52.88,35.25,464000
2000-05-09,53.5,53.75,51.19,52.56,35.04,574600
2000-05-10,52.81,53.19,51.12,52.06,34.71,484900
2000-05-11,51.5,54.62,51.5,54.0,36.0,639200
2000-05-12,54.06,54.06,52.06,53.28,35.52,457700
2000-05-15,52.5,57.06,52.44,56.94,37.95,936200
2000-05-16,56.62,57.0,55.38,55.94,37.29,628100
2000-05-17,55.62,55.62,53.06,53.62,35.75,431500
2000-05-18,54.06,56.5,54.06,56.44,37.62,653000
2000-05-19,56.19,56.44,55.88,56.38,37.58,596500
2000-05-22,56.31,59.25,56.0,58.75,39.16,996700
2000-05-23,58.75,60.12,57.44,60.12,40.08,1398000
2000-05-24,59.88,64.0,58.75,64.0,42.66,1366000
2000-05-25,62.38,62.44,57.5,59.06,39.37,1382200
2000-05-26,58.5,59.44,58.06,59.12,39.41,539400
2000-05-30,59.38,61.19,58.56,61.06,40.87,1060300
2000-05-31,60.38,60.38,58.5,59.12,39.57,609000
2000-06-01,58.88,60.5,57.62,60.5,40.49,891600
2000-06-02,61.25,61.25,59.5,60.0,40.16,864200
2000-06-05,60.75,60.75,56.25,56.25,37.65,626200
2000-06-06,55.5,55.56,53.88,54.94,36.77,2687900
2000-06-07,54.81,56.19,54.81,55.75,37.31,3761500
2000-06-08,55.75,55.88,54.75,55.44,37.11,814900
2000-06-09,55.0,55.5,53.62,53.69,35.93,954800
2000-06-12,53.88,54.5,53.06,54.5,36.48,1041700
2000-06-13,54.88,54.94,54.06,54.5,36.48,456100
2000-06-14,54.0,55.75,53.69,55.69,37.27,1202200
2000-06-15,55.69,55.94,54.31,55.44,37.11,1500800
2000-06-16,55.0,55.0,53.38,53.56,35.85,1141600
2000-06-19,52.0,55.75,52.0,55.31,37.02,1399400
2000-06-20,55.25,55.25,52.25,52.78,35.33,688300
2000-06-21,52.38,52.56,50.5,51.38,34.39,976600
2000-06-22,50.62,50.88,49.44,50.81,34.01,858800
2000-06-23,52.56,54.5,51.88,53.31,35.68,1522100
2000-06-26,54.62,54.62,52.81,53.94,36.1,1132500
2000-06-27,55.5,56.0,54.81,55.94,37.44,1403500
2000-06-28,55.75,56.0,55.44,55.86,37.39,768200
2000-06-29,55.94,56.12,55.75,56.0,37.48,570600
2000-06-30,56.0,56.38,55.81,55.94,37.44,1594200
2000-07-03,55.94,56.62,55.38,56.62,37.9,344500
